index,ranking
106,"single_agent,zero_shot,maats",长着八只眼的雷普提利安人似乎在注视着你，但他们没有向你移动，事实上，当你慢慢走向他们时，他们一动不动。,八眼雷普尼德人似乎在注视着你，但他们没有向你移动，事实上，当你慢慢走向他们时，他们一动不动。,八眼雷普尼德人似乎在注视着你，但他们没有任何动作，事实上，当你慢慢走向他们时，他们一动不动。
107,"single_agent,zero_shot,maats",我开始做新的披肩。,你决定重新建立联系很危险，便回到你的飞行器。但这次经历让你清醒了过来，自从你跳入未来后，你的思绪就一直很混乱。,你认为重新建立联系很危险，于是回到你的飞行器，但这次经历让你清醒过来，自从你跳入未来后，你的思绪就一直很混乱。
108,"single_agent,zero_shot,maats",我正在使用H号钩针，采用与之前类似的双重钩针编织图案。.,我正在使用一个H号钩针，用与之前相似的双钩针编织图案。,我正在使用H号钩针，采用与之前相似的双重钩针编织图案。
109,"maats,single_agent,zero_shot",更糟糕的是，我非常讨厌文学课，但我喜欢阅读。,文学课的仇恨更糟：我爱阅读。,更糟糕的是我对文学课的厌恶：我喜欢阅读。
110,"single_agent,zero_shot,maats",大家会怎么想呢？,人类将于5天后推出。,人类将于5天后发布。
111,"single_agent,maats,zero_shot",午休回家，就看到这个东西坐在外面，真是太可爱了。,午休回家，就看到这个东西坐在外面，呜呜呜。,午休回家，看到这个萌物坐在外面，aww。
112,"maats,single_agent,zero_shot",真希望我能把它带回去，这样就能多设置一些了。,真希望我能把它带回工作场所，以便设置更多。,真希望我可以把它带回去工作，设置更多东西。
113,"maats,zero_shot,single_agent",所以，我终于刷完《怦然心动》了。,所以我终于看了#心跳漏一拍了。,所以我终于看了#心跳停止了。
114,"zero_shot,maats,single_agent",但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中，当你的项目负责人需要修改时。,但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中当你的负责人需要变更的时候。,但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中当你的主导项目需要变更的时候。
115,"single_agent,zero_shot,maats",这些根隐藏起来了。,好的批评是为了快速纠正问题，而不是针对你的能力。,好的批评旨在快速纠正问题，而非否定你的能力。
116,"zero_shot,single_agent,maats",这工作不可见。,工作不可见。,工作不可見。
117,"maats,single_agent,zero_shot",我最近在 Mastodon 上认识了一些很棒的新朋友，希望这个趋势能继续下去。,最近认识了一些很棒的 #Mastodon 新朋友，想保持这个趋势。,最近认识了一些很棒的 #Mastodon 新朋友，希望能继续保持这种趋势。
