index,original,translated,locale_convention_annotation
24,"Dresden. Wenn man im Jahr 1985 in Bautzen ein Telefongespräch führen wollte, gab es drei Möglichkeiten. Entweder gehörte man zu den sechs Prozent der Glücklichen, die über einen privaten Anschluss verfügten. Oder man gehörte zu denen, die Jemanden aus dieser exklusiven Gruppe in der Nachbarschaft hatten und dort für eine Flasche Radeberger mit der Verwandtschaft telefonieren konnten. Oder man suchte eine Telefonzelle auf. Unvergessen der Geruch des Plastehörers und das Klicken der Kleingeldmünzen im Automaten. Mein größter Traum war es, beim Anrufen auch das Gesicht des Anderen sehen zu können - Bildtelefonie, dachte ich, was wäre das für eine tolle Sache!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three possibilities. Either you belonged to the six percent of lucky people who had a private connection. Or you were among those who knew someone from this exclusive group in the neighborhood and could call relatives there for a bottle of Radeberger beer. Or you went to a phone booth. Unforgettable was the smell of the plastic receiver and the clicking of the small coins in the machine. My biggest dream was to be able to see the other person's face when calling - videotelephony, I thought, what a great thing that would be!","locale conventions:

MQM annotations:"
28,"Nach nur anderthalb Jahren im Amt war Ministerpräsidentin Natalia Gavrilita überraschend zurückgetreten. Die pro-europäische Regierungschefin stand unter massivem Druck., wie sie selbst als Erklärung für ihre Demission bekannt gab - offenbar wurde sie von pro-russischen Kräften angefeindet.","After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned. The pro-European head of government was under massive pressure, as she herself announced as an explanation for her resignation - apparently she was being attacked by pro-Russian forces.","locale conventions:

MQM annotations:"
33,Das waren die Kostüme der Promis,Those were the costumes of the celebrities.,"locale conventions:

MQM annotations:"
35,"Landesvater Markus Söder ging nicht etwa als Moses, was sein Kostüm vermuten lässt. Er sieht sich eher als Stammesältester der Bayern. An seiner Seite Ehefrau Karin Baumüller-Söder.","State Premier Markus Söder didn't go as Moses, as his costume might suggest. He sees himself more as a tribal elder of Bavaria. At his side, his wife Karin Baumüller-Söder.","locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
36,"Bayerns Umwelt- und Verbraucherschutzminister, Thorsten Glauber, hat sich den Kinderheld Chase von der Paw Patrol für sein Kostüm herausgesucht.","Bavaria's Environment and Consumer Protection Minister, Thorsten Glauber, chose the children's hero Chase from Paw Patrol for his costume.","locale conventions:

MQM annotations:
No locale convention errors found."
38,"Völlig abgehoben: Minister für Wissenschaft und Kunst, Markus Blume, zieht es in den Weltraum.","Completely detached: Minister for Science and Art, Markus Blume, is drawn to space.","locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
41,Bob der Baumeister alias Bauminister Christian Bernreiter mit seiner Frau Ann-Kathrin Jandt-Bernreiter als Wendy.,"Bob the Builder, a.k.a. Construction Minister Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","locale conventions:

MQM annotations:"
47,Das Wandern ist des SPD-Fraktionschefs Lust: Florian von Brunn mit SPD-Landesvorsitzenden Ronja Endres.,Hiking is the SPD parliamentary group leader's delight: Florian von Brunn with SPD state chairwoman Ronja Endres.,"locale conventions:

MQM annotations:
minor: style/other - While not technically incorrect, the translation could be slightly improved for naturalness. ""Hiking is a delight for the SPD parliamentary group leader"" might sound more idiomatic. However, this is a minor stylistic preference and not a locale convention error."
49,"Sonst spricht er sicherlich mehr. In Veitshöchheim war der Fraktionsvorsitzende im EU-Parlament, Manfred Weber, als Pantomime unterwegs. An seiner Seite Frau Andrea.","Otherwise, he certainly speaks more. In Veitshöchheim, the parliamentary group leader in the EU Parliament, Manfred Weber, was acting as a pantomime. At his side was Mrs. Andrea.","locale conventions:

MQM annotations:"
52,"Zurück in die 1920er: die juristische Direktorin des BR, Eva Majuntke, BR-Intendantin Katja Wildermuth und BR-Kultur-Programmdirektor Björn Wilhelm.","Back to the 1920s: BR's Legal Director Eva Majuntke, BR Director General Katja Wildermuth, and BR's Cultural Program Director Björn Wilhelm.","locale conventions:

MQM annotations:
no error"
53,Ein kleiner Seitenhieb gegen die Klimaaktivisten vom fränkischen Tatort-Kommissar Sebastian Fleischer gespielt von Alexander Leopold Schadt.,"A small jab at climate activists from Franconian Tatort commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.","```
MQM annotations:
```"
56,"Bö setzte seine beeindruckende Serie trotz schwieriger Bedingungen fort und gewann auch das sechste Sprintrennen der Saison. Der fünfmalige Olympiasieger hat nun schon 14 WM-Titel gesammelt und schließt weiter zu seinem Landsmann Ole Einar Björndalen auf. Die Biathlon-Ikone, die als TV-Experte vor Ort ist, ist mit 20 WM-Goldmedaillen noch unangefochtener Rekordchampion. Auch teilweise starker Nebel hinderte Dauersieger Bö nicht daran, schon sein zweites Gold am Rennsteig einzusammeln. Am Mittwoch hatte es mit Norwegens Mixed-Staffel schon zur erfolgreichen Titelverteidigung gereicht.","Bö continued his impressive streak despite difficult conditions, winning his sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and is closing in on his compatriot Ole Einar Björndalen. The biathlon icon, who is on-site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even periods of heavy fog didn't stop serial winner Bö from collecting his second gold on the Rennsteig. On Wednesday, it was enough for a successful title defense with Norway's mixed relay team.","locale conventions:

MQM annotations:"
57,"Kaum jemand zweifelt daran, dass im Jagdrennen Nummer drei folgen wird. In der Verfolgung ist Bö einmal mehr der klare Favorit. Seine Laufform ist überragend, sodass er Schießfehler bis zu einem gewissen Maß erschreckend einfach kompensieren kann.","Hardly anyone doubts that pursuit number three will follow in the hunting race. In the pursuit, Boe is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with terrifying ease.","locale conventions:

MQM annotations:
There are no locale convention errors in this translation.
```"
59,"In Hochfilzen gewann er vor sechs Jahren überraschend mit 0,7 Sekunden Vorsprung hauchdünn vor Bö. Es war einer von insgesamt nur drei Karriereerfolgen Dolls, der in diesem Winter bislang einmal auf dem Podest stand. Der Olympia-Achte von Peking zog nach seinem schwachen Auftritt wortlos davon und gab zunächst keine Interviews. Roman Rees schaffte es auf Platz 19, der zweite WM-Debütant David Zobel belegte Rang 35.","In Hochfilzen, six years ago, he surprisingly won by a hair's breadth, with a 0.7-second lead over Bö. It was one of only three career victories for Doll, who has so far been on the podium once this winter. The Olympic eighth-place finisher from Beijing left wordlessly after his weak performance and initially gave no interviews. Roman Rees finished in 19th place, while the second World Championship debutant, David Zobel, finished 35th.","locale conventions:

MQM annotations:"
61,"Bei einem Treffen zwischen US-Präsident Joe Biden und seinem Amtskollegen aus Brasilien, Luiz Inácio Lula da Silva, geht es vor allem um den Wert der Demokratie. Beide blicken auf ihre Vorgänger zurück.","A meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, will primarily focus on the value of democracy. Both are looking back at their predecessors.","locale conventions:

MQM annotations:"
68,"In einem Land mit Denunziationskultur, die gab es schon vor Corona, wurde so öffentlich Stimmung gemacht, gegen die gefährlichsten Gegner der BRD; sagen wir mal der bürgerlichen Demokratie, sagen wir mal der spätkapitalistischen Gesellschaft. (Hier nichts zu den wirklich Gefährlichen in Nadelstreifenanzug und Krawatte.)","In a country with a culture of denunciation, which existed even before Corona, public sentiment was incited against the most dangerous opponents of the Federal Republic of Germany; let's say of bourgeois democracy, let's say of late-capitalist society. (Here, nothing about the truly dangerous ones in pinstripe suits and ties.)","locale conventions:

MQM annotations:"
69,"Nun gibt die Stuttgarter Zeitung, die sonst eher hinter Raudis in den S-Bahnen oder Onanisten im Park her ist, eine Neuauflage mit des ""Kriegsverbrechers"" Putins Freunden. Weil die so schön sind, gibt es eine Bildergalerie. Natürlich ist die StZ schlecht informiert, denn es gibt in dieser Welt zu der Asien, Afrika und Lateinamerika gehören vielleicht mehr ""Russenfreunde"" als die StZ Platz für Bilder hat.","Now, the Stuttgarter Zeitung, which is usually more interested in chasing hooligans in commuter trains or masturbators in the park, is publishing a new edition featuring the ""war criminal"" Putin's friends. Because they're so beautiful, there's a picture gallery. Of course, the StZ is poorly informed, because in this world, which includes Asia, Africa, and Latin America, there are perhaps more ""friends of Russia"" than the StZ has space for pictures.","locale conventions:

MQM annotations:"
72,"Und spätestens jetzt, gut dialektisch, sollte Frau Wagenknecht die beliebteste Politikerin aller noch nicht ganz verblödeten, d.h. friedliebenden, pazifistischen und antimilitaristischen Menschen sein. (Und hier ist nun keine Differenzierung mehr nötig.)","And at the very latest now, dialectically speaking, Wagenknecht should be the most popular politician for all not-quite-stupid, i.e., peace-loving, pacifist, and antimilitarist people. (And no further differentiation is needed here.)","locale conventions:

MQM annotations:"
76,SS-Massakers in Oradour-sur-Glane: Letzter Überlebender tot,SS Massacre in Oradour-sur-Glane: Last Survivor Dead,"locale conventions:

MQM annotations:"
80,"Deutsche-Bank-Chef Christian Sewing hält weitere Zinserhöhungen im Kampf gegen die hohe Teuerungsrate für ""absolut"" notwendig. ""Die inflationären Risiken sind weiter groß. Die Kosten für Energie können leicht wieder steigen, und auch die Öffnung Chinas kann den Preisen vorübergehend einen Schub geben"", sagte Sewing der ""Welt am Sonntag"".","Deutsche Bank CEO Christian Sewing believes further interest rate hikes are ""absolutely"" necessary in the fight against the high inflation rate. ""The inflationary risks remain high. Energy costs could easily rise again, and the opening of China could also give prices a temporary boost,"" Sewing told ""Welt am Sonntag.""","locale conventions:

MQM annotations:"
82,"Höhere Zinsen verteuern Kredite. Dies kann die Nachfrage bremsen und so hohen Teuerungsraten entgegenwirken. Höhere Kreditzinsen können zugleich dazu führen, dass Investitionen aufgeschoben werden und somit das Wirtschaftswachstum schwächer ausfällt.","Higher interest rates make loans more expensive. This can dampen demand and thus counteract high inflation rates. At the same time, higher loan interest rates can lead to investments being postponed, resulting in weaker economic growth.","locale conventions:

MQM annotations:"
84,"Die EZB strebt für den Euroraum mittelfristig Preisstabilität bei einer Teuerungsrate von zwei Prozent an. Diese Zielmarke ist seit Monaten weit entfernt. Im Januar schwächte sich der Preisauftrieb zwar erneut ab, dennoch lagen die Verbraucherpreise im Währungsraum der inzwischen 20 Länder um 8,5 Prozent über dem Niveau des Vorjahresmonats.","The ECB aims for price stability in the euro area in the medium term, with an inflation rate of two percent. This target has been far from reach for months. In January, the rise in prices did weaken again, but consumer prices in the currency area, now comprising 20 countries, were still 8.5 percent above the level of the same month last year.","locale conventions:

MQM annotations:
no-error"
87,"Bosch-Chef Stefan Hartung hofft auf eine breite Debatte zum von Bundeskanzler Olaf Scholz (SPD) ausgerufenen ""Deutschland-Tempo"" bei Infrastrukturprojekten. ""Es wird einen politischen und gesellschaftlichen Dialog dazu geben müssen. Und er wird vielleicht auch ein bisschen kontroverser sein"", sagte er der Deutschen Presse-Agentur in Stuttgart. Er hoffe, dass am Ende ein Regelwerk herauskomme, mit dem es zwar nicht zwingend so schnell gehen müsse wie bei den um den Jahreswechsel in Betrieb genommenen LNG-Terminals - aber auch nicht so langsam wie vorher.","Bosch CEO Stefan Hartung hopes for a broad debate on the ""Germany Speed"" for infrastructure projects proclaimed by Chancellor Olaf Scholz (SPD). ""There will have to be a political and social dialogue about this. And it may even be a bit more controversial,"" he told the German Press Agency in Stuttgart. He hopes that in the end a set of rules will emerge that, while not necessarily as fast as the LNG terminals that went into operation around the turn of the year, is also not as slow as before.","locale conventions:

MQM annotations:
no-error"
90,"In der Vergangenheit habe man es mit dem klassischen Regelwerk versucht und nicht geschafft. ""Wir sollten uns nochmal Gedanken machen, ob das bisherige Vorgehen so richtig war. Vielleicht haben wir es mit dem Regelwerk auch übertrieben und es uns zu kompliziert gemacht"".","In the past, they tried using the classic set of rules and failed. ""We should think again about whether the previous approach was correct. Perhaps we overdid it with the rules and made it too complicated for ourselves.""","locale conventions:

MQM annotations:
No locale convention errors found."
91,"Angesichts der vielen offenen Aufgaben etwa beim Ausbau der Stromtrassen beneide er die Bundesregierung und die beteiligten Unternehmen aber nicht, sagte Hartung. ""Als Konsument dieser Energien brauche ich den Ausbau unbedingt und er soll so grün sein, wie es geht"".","Given the many outstanding tasks, such as the expansion of power lines, he wouldn't envy the federal government and the companies involved, Hartung said. ""As a consumer of these energies, I urgently need the expansion and it should be as green as possible.""","locale conventions:

MQM annotations:"
96,Baumann steht seit langem in der Kritik. Die 2018 abgeschlossene Übernahme des US-Saatgutherstellers Monsanto für 63 Milliarden Dollar hängt dem Manager nach. Mit dem Kauf hatten sich die Leverkusener teure Rechtsstreitigkeiten um angebliche Krebsrisiken des Unkrautvernichters Glyphosat ins Haus geholt. Die Bayer-Aktie befand sich über Jahre im Sinkflug. Im Jahr 2019 verweigerten die Aktionäre dem Vorstandschef auf der Hauptversammlung gar die Entlastung.,"Baumann has been under criticism for a long time. The acquisition of the US seed manufacturer Monsanto for 63 billion dollars, completed in 2018, is still haunting the manager. With the purchase, the Leverkusen-based company brought expensive lawsuits concerning alleged cancer risks of the weed killer glyphosate upon itself. The Bayer share price was in freefall for years. In 2019, the shareholders even refused to discharge the CEO at the annual general meeting.","locale conventions:

MQM annotations:"
97,"Schon länger war bekannt, dass Baumann keine Verlängerung seines Vertrags anstrebt, der eigentlich noch bis 2024 laufen sollte. Druck gemacht hatten langfristig orientierte strategische Investoren. Zuletzt mischten auch mehrere aktivistische angelsächsische Investoren wie Bluebell Capital mit. Bluebell dringt laut einem Medienbericht auf eine Aufspaltung des Konzerns.","It had been known for some time that Baumann was not seeking an extension of his contract, which was actually supposed to run until 2024. Long-term oriented strategic investors had been putting pressure on him. Recently, several activist Anglo-Saxon investors such as Bluebell Capital also got involved. According to a media report, Bluebell is pushing for a breakup of the company.","locale conventions:

MQM annotations:"
98,"Der sehr kleine Fonds mit unbekannter Beteiligungshöhe an Bayer ist für ein aggressives Vorgehen bekannt. Eine Abspaltung ""der Sparte Consumer Health wäre ein möglicher Weg, um den Unternehmenswert zu steigern"", sagte Markus Manns, Fondsmanager bei Union Investment, der ""Rheinischen Post"". Eine Abspaltung der weit größeren Agrarsparte Crop Science hält er dagegen nicht für machbar.","The very small fund with an unknown stake in Bayer is known for aggressive tactics. A spin-off ""of the Consumer Health division would be a possible way to increase the company's value,"" Markus Manns, fund manager at Union Investment, told the ""Rheinische Post."" He does not, however, consider a spin-off of the much larger Crop Science agricultural division to be feasible.","locale conventions:

MQM annotations:"
101,Auch am Samstag wollen die Franzosen wieder gegen die geplante Rentenreform auf die Straße gehen.,The French plan to take to the streets again on Saturday to protest the planned pension reform.,"locale conventions:

MQM annotations:"
104,"Bereits jetzt arbeiten viele Menschen in Frankreich länger als bis zum Alter von 62 Jahren, wenn sie mit Erreichen der Altersgrenze noch nicht lange genug für eine abschlagsfreie Rente eingezahlt haben. In vielen anstrengenden Berufen könnten die Menschen kaum länger arbeiten, meinen die Gegner der Reform. Außerdem wollten die Beschäftigten ihre wohlverdiente Rente genießen können und ihre Gesundheit nicht vollends im Job verschleißen.","Even now, many people in France work longer than until the age of 62 because they haven't contributed long enough for a full pension without deductions when they reach retirement age. Opponents of the reform argue that people in many physically demanding jobs could hardly work any longer. Furthermore, they say employees want to enjoy their well-deserved retirement and not completely wear out their health on the job.","locale conventions:

MQM annotations:"
106,"Macron begründet die Reform mit einem drohenden Defizit in der Rentenkasse. Weil die Bevölkerung immer älter wird, müssten die Beschäftigten mit ihren Beiträgen für eine steigende Zahl von Rentnern aufkommen. Damit die Höhe der Rente stabil gehalten werden könne, müsse die Bevölkerung etwas mehr arbeiten. Die Kritiker zweifeln die Berechnungen der Regierung an und fordern, der Staat müsse andere Geldquellen finden, um das Rentensystem im Gleichgewicht zu halten.","Macron justifies the reform with a looming deficit in the pension fund. Because the population is getting older and older, employees have to use their contributions to support a growing number of pensioners. In order to keep the pension amount stable, the population has to work a little more. Critics doubt the government's calculations and demand that the state find other sources of funding to keep the pension system in balance.","locale conventions:

MQM annotations:"
107,Doch nicht nur am Rentenalter will die Regierung schrauben. Die bereits vor Jahren beschlossene Anhebung der nötigen Einzahldauer für eine volle Rente soll beschleunigt werden. Außerdem sollen Einzelrentensysteme mit Privilegien für bestimmte Berufsgruppen abgeschafft werden. Die Mindestrente soll auf etwa 1200 Euro steigen.,"However, the government doesn't just want to tinker with the retirement age. The increase in the required contribution period for a full pension, which was decided years ago, is to be accelerated. In addition, individual pension systems with privileges for certain professional groups are to be abolished. The minimum pension is to be increased to around 1200 euros.","locale conventions:

MQM annotations:"
108,"Die Rentenreform gilt als eines der wichtigsten Vorhaben von Präsident Macron. Während der Corona-Pandemie wurde ein erster Anlauf zur Umsetzung der Reform abgebrochen, schon damals gab es massive Proteste und Streiks. Schon etliche Präsidenten vor Macron bemühten sich mit unterschiedlichem Erfolg um Reformen des französischen Rentensystems - breiter Protest und Streiks waren allen gewiss.","Pension reform is considered one of President Macron's most important projects. During the Corona pandemic, an initial attempt to implement the reform was abandoned, even then there were massive protests and strikes. Many presidents before Macron had tried with varying degrees of success to reform the French pension system - broad protest and strikes were certain for all of them.","locale conventions:

MQM annotations:"
113,"In Deutschland wird mindestens bis zu Wochenmitte ruhiges Hochdruckwetter erwartet. ""Beim Betrachten der Wetterkarten sticht sofort ein mächtiges Hochdruckgebiet direkt über Mitteleuropa ins Auge"", erklärt der Meteorologe Markus Übel vom Deutschen Wetterdienst am Samstag in Offenbach. ""Zwar verlagert sich dieses Hoch im Laufe der nächsten Woche ein wenig nach Osten. Es bestimmt aber weiterhin das Wetter in Deutschland"".","In Germany, calm high-pressure weather is expected until at least the middle of the week. ""Looking at the weather maps, a powerful high-pressure area directly over Central Europe immediately catches the eye,"" explains meteorologist Markus Übel from the German Weather Service in Offenbach on Saturday. ""Although this high shifts slightly eastward over the course of next week, it will continue to determine the weather in Germany.""","locale conventions:

MQM annotations:"
114,"Allerdings bedeute ruhiges Hochdruckwetter im Winter nicht zwangsläufig auch sonniges Wetter, sagt Übel. ""So ein Hoch kann sogar ziemlich gemein sein und den Menschen in den Niederungen tagelang tristes Hochnebelgrau bescheren, während es in den Hochlagen der Mittelgebirge Sonne pur gibt"".","However, calm high-pressure weather in winter doesn't necessarily mean sunny weather, says Übel. ""Such a high can even be quite nasty and bring people in the lowlands days of dreary high fog grey, while there is pure sunshine in the higher altitudes of the low mountain ranges.""","locale conventions:

MQM annotations:"
115,"So startet der Sonntag in den meisten Regionen neblig-trüb. Vom Erzgebirge und dem Thüringer Wald bis nach Niederbayern kann es laut DWD auch noch etwas regnen. Vor allem am Alpenrand, aber auch im Südwesten und teils im Westen lockert die Wolkendecke im Tagesverlauf auf und die Sonne kommt immer häufiger zum Vorschein. Im Rest des Landes bleibt es stark bewölkt oder hochnebelartig bedeckt. Die Temperaturen erreichen 4 bis 9 Grad, in Rheinnähe um 10 Grad.","This is how Sunday starts in most regions: foggy and gloomy. According to the DWD (German Weather Service), there might still be some rain from the Ore Mountains and the Thuringian Forest to Lower Bavaria. Especially on the edge of the Alps, but also in the southwest and partly in the west, the cloud cover will break up during the day, and the sun will appear more and more frequently. The rest of the country will remain heavily cloudy or covered in high fog. Temperatures will reach 4 to 9 degrees Celsius, around 10 degrees Celsius near the Rhine.","locale conventions:

MQM annotations:
minor: MEASUREMENT FORMAT - The degree symbol should be directly adjacent to the number with a space after it, not before it (e.g., ""4 to 9 °C"")."
116,"""Am Montag knabbert dann die allmählich stärker werdende Sonne wieder am Hochnebel und kann ihn im Tagesverlauf mehr und mehr auflösen"", sagt der Meteorologe. Am Alpenrand, in den Hochlagen der Mittelgebirge und in Teilen von Nordrhein-Westfalen werde ganztags Sonne erwartet, andernorts müsse sie sich erst durch die Hochnebeldecke kämpfen. Die Höchstwerte liegen bei 5 bis 9 Grad, am Niederrhein werden um 11 Grad, im Dauergrau im Südosten werden dagegen nur um 3 Grad erwartet. Dazu weht schwacher Wind aus unterschiedlichen Richtungen.","""On Monday, the gradually strengthening sun will nibble at the persistent high fog and will be able to dissolve it more and more over the course of the day,"" says the meteorologist. Sunshine is expected all day along the edge of the Alps, in the higher elevations of the low mountain ranges, and in parts of North Rhine-Westphalia; elsewhere, it will have to fight its way through the high fog cover first. The highs will be 5 to 9 degrees Celsius, around 11 degrees are expected on the Lower Rhine, while only around 3 degrees are expected in the persistent gray in the southeast. In addition, there will be a light wind from varying directions.","locale conventions:

MQM annotations:
minor: MEASUREMENT FORMAT - While not strictly an error, using Celsius is acceptable, but depending on the target audience, Fahrenheit might be more appropriate. This is a minor consideration as Celsius is widely understood."
117,"Am Dienstag kann es in manchen Niederungen erneut nur zähe Auflösung von Nebel oder Hochnebel geben. Ansonsten zeigt sich das Wetter nach Nebelauflösung heiter. In Hochlagen, in weiten Teilen von NRW und am Alpenrand scheint den Prognosen zufolge ganztags die Sonne. Die Temperaturen klettern je nach Sonnenschein auf 5 bis 11 Grad.","On Tuesday, in some low-lying areas, persistent fog or high fog may linger again. Otherwise, after the fog clears, the weather will be sunny. In higher elevations, in large parts of North Rhine-Westphalia (NRW), and on the edge of the Alps, the sun is predicted to shine all day. Temperatures will climb to 5 to 11 degrees Celsius, depending on sunshine.","```
locale conventions:

MQM annotations:
```"
119,Die geschlagene Topfavoritin Sofia Goggia hat sich nach ihrem Aus in der Abfahrt der alpinen Ski-Weltmeisterschaften schwer enttäuscht gezeigt.,Defeated top favorite Sofia Goggia expressed deep disappointment after her elimination in the downhill at the Alpine Ski World Championships.,"locale conventions:

MQM annotations:
None"
121,"""Ich bin traurig, weil ich nicht die Leistung gebracht habe, die ich kann"", sagte die Italienerin im ZDF, nachdem sie an einem Tor eingefädelt hatte und ausgeschieden war. Immerhin konnte die 30-Jährige einen womöglich schweren Sturz gerade noch verhindern.","""I'm sad because I didn't perform to my potential,"" the Italian woman said on ZDF after catching an edge on a gate and being eliminated. At least the 30-year-old was able to just prevent a potentially serious fall.","locale conventions:

MQM annotations:"
