index,original,zero_shot_translation,improved_translation
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私、ボードショーツとタンクトップを着て、そしてドメスティックパートナーはタトゥーだらけで、自分で「ネオナチみたいに見える」と言った新しい髪型をしている。,私、ボードショーツとノースリーブシャツを着て、そしてパートナーはタトゥーだらけで、自分で「“ネオナチ”みたいに見える」と言った新しい髪型をしている。
36,NY is the best hope for accountability,NYは説明責任を果たすための最良の希望です。,NYは説明責任を追及するための最良の希望です。
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠があります。,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠が多く存在します。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。,文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の多様性や広がりといった環境特性に大きく影響されると提案します。
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出に残る6か月を過ごすことができて幸運でした。,2011 年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出深い6か月を過ごすことができて、とても幸運でした。
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったとき、特に植樹と農場支援の進展について聞いて嬉しかったです。,週末に会ったとき、進展について聞いて特に嬉しく思いました。特に植樹と農場支援についてです。
61,Licht AGREED to an all Republican audience!,リヒトは全員が共和党員の観客に同意しました！,リヒトは全員が共和党員の観客を迎えることに同意しました。
65,It can't be repeated.,繰り返すことはできません。,それは繰り返せません。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩ついにこのルーティンにうんざりして、すべての罠からピーナッツバターを取り除き、ピスタチオをスーパーボンドで貼り付けました。,昨晩ついにこのルーティンにうんざりして、すべての罠からピーナッツバターを取り除き、ピスタチオを強力接着剤で貼り付けました。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",参考までに、市場に出回っているほとんどすべての「人道的」な罠を試しましたが、ほとんど成功しませんでした。,ちなみに、市場に出回っているほぼすべての「人道的」な罠を試しましたが、ほとんどうまくいきませんでした。
74,"They aren't, at least not in Alberta.",彼らはそうではありません、少なくともアルバータでは。,彼らは少なくともアルバータではそうではありません。
75,Sure they cut business taxes.,もちろん、彼らは事業税を削減しました。,確かに、彼らは法人税を減税しました。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「彼をグラスゴーに降ろすだけです」と、私は旅の仲間を指し示しながら説明しようとしました。,「彼をグラスゴーで降ろすだけです、」と、私は旅の仲間を指し示しながら説明しようとしました。
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「『彼をグラスゴーに降ろすだけです』なんてあまり聞かないですね」とチケット係が言った。,「『彼をグラスゴーに降ろすだけだよ』なんてことはあまり聞かないですね」と係員が言った。
90,And they are truly nuts.,そして彼らは本当に狂っています。,そして彼らは本当におかしいです。
95,Yell back at those who would try to talk over us.,私たちの声をかき消そうとする者たちに向かって叫び返せ。,私たちの声をかき消そうとする者たちに向かって言い返せ。
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,隣人と私は同時に帰宅しましたが、通りの向こうから彼がコロナの痰を激しく咳き込んでいるのが聞こえました。,隣人と私は同時に帰宅しましたが、通りの向こうから彼がコロナの激しい咳をしているのが聞こえました。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったが、それでも彼は追いついてきて話しかけてきた。,彼を避けるために急いでアパートに入ったが、それでも彼は追いついてきて、話をしようとしてきた。
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000年の苦悩の後、Ylは愛の場所に自分を見つけ、どうしていいかわからないほどの大きな感情を抱えているので、両方がたくさんあります。",4000の苦悩の後、Ylは愛の場所に自分を見つけ、どうしていいかわからないほどの大きな感情を抱えているので、たくさんの感情が入り混じっています。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンの大失敗は、非常にひどい失敗でした。,昨日の#MangoMoronの騒動は、信じられないほどの大失態でした。
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到達するでしょう。,来週半ばには寒冷前線が到達する見込みです。
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",今朝早く、IR衛星と地上観測により、低層の層雲とまだらな<URL>が拡大していることが示されました。,今朝早く、IR衛星と地上観測により、低層の層雲とまだらな雲が拡大していることが示されました。<URL>
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,信頼できるセールスフォースパートナーを見つけて、その専門知識を活用してCRM投資の価値を最大限に引き出しましょう。
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーが導入、カスタマイズ、統合、継続的なサポートでどのように役立ち、Salesforceエコシステムでビジネスが繁栄できるかを発見してください。,Salesforceパートナーが導入、カスタマイズ、統合、そして継続的なサポートを通じてどのように貢献し、Salesforceエコシステムでビジネスを成長させる方法を見つけてください。
137,But another individual often flies aboard that ship.,しかし、別の人物がしばしばその船に乗って飛ぶ。,しかし、別の人物がしばしばその船に乗って旅をする。
142,The Last of Us is an easy and canonical example of dad-ification.,『The Last of Us』は、父親化の簡単で典型的な例です。,『The Last of Us』は、父親的なテーマの簡単で代表的な例です。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",ダッドフィケーションは通常、親の立場にある人物が子供やその代わりとなる存在を世話したり守ったりしなければならない状況において、圧倒的な強さが解決策であり、その強さを使って非常に特定の形をした力のダイナミクスを強制することを示唆します。,ダッドフィケーションとは通常、親の立場にある人物が子供やその代わりとなる存在を世話したり守ったりしなければならない状況において、圧倒的な強さが解決策であり、その強さを使って非常に特定の形をした力関係を作り出すことを主張することを指します。
147,Here's a quick overview of how to make use of our website.,こちらは、当ウェブサイトの利用方法についての簡単な概要です。,当ウェブサイトの使い方について簡単にご紹介いたします。
148,- We send out notifications when airfare goes on sale.,航空運賃がセールになると通知を送信します。,航空券のセール情報があると通知を送信します。
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,ウクライナの子供たちは平和で安全な環境で育つ権利があります。,ウクライナの子供たちには、平和で安全な環境で育つ権利があります。
159,Over time dart became my go-to for quick UI.,時間が経つにつれて、ダートは私の迅速なUIの頼りになるものになりました。,時間が経つにつれて、Dartは私の手軽なUI開発の選択肢になりました。
164,Echidna with amethyst and magenta spikes.,アメジストとマゼンタのトゲを持つハリモグラ。,ハリモグラのトゲはアメジストとマゼンタ色です。
166,Their tail is extremely thick.,彼らの尻尾は非常に太いです。,彼らの尾はとても太いです。
168,Their eyes are pear and they wear scarlet cateye glasses.,彼らの目は洋ナシの形をしていて、スカーレットのキャットアイメガネをかけています。,彼らの目は洋ナシ色で、スカーレットのキャットアイメガネをかけています。
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーの最善の努力にもかかわらず、誰もが...,ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが彼らを悪く見せようとする最善の努力にもかかわらず、誰もが……
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",実生活では、私の母は数年前に私が作ったパズルゲームを気に入ってくれて、ほとんどの秘密を自力で見つけたので、彼女がそれを気に入ったと言ったとき、ただの母親としての言葉ではありませんでした。,実生活で、私の母は数年前に私が作ったパズルゲームを本当に気に入ってくれて、ほとんどの秘密を自力で見つけたので、彼女がそれを気に入ったと言ったのは、ただの母親としてではなく本心からでした。
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",それを中国語（標準語）および/または福建語に翻訳する必要がありますが、どちらも全く知りません。,それを中国語（普通話）および / またはホッキエン語に翻訳する必要がありますが、どちらの言語も全く知りません。
179,Been toying with this thought for a little while:,しばらくこの考えをいじっていました。,しばらくこの考えをあれこれ考えていました。
180,"Mental health is often seen as something separate from ""regular"" health.",メンタルヘルスはしばしば「通常の」健康とは別物と見なされます。,メンタルヘルスはしばしば「普通の」健康とは別のものと見なされがちです。
182,Because it happens in the mind and seems less tangible than physical health.,心の中で起こり、身体の健康よりも目に見えにくいように思えるからです。,心の中で起こり、身体の健康よりも目に見えにくいように感じられるからです。
194,Very much worth having a go at.,ぜひ挑戦する価値があります。,挑戦する価値があります。
196,Playing around a bit with Flutter.,Flutterで少し遊んでいます。,Flutterを使って少し遊んでみています。
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",正直に言うと、自分のビジネスをGoogleの技術に基づかせるのは嫌です。一方で、Googleは説得力のあるクロスプラットフォーム体験を作り出すための本当のインセンティブを持つ数少ない大手企業の一つであり、それが表れています。,正直に言うと、自分のビジネスをGoogleの技術に基づかせるのは嫌です。しかし一方で、Googleは説得力のあるクロスプラットフォーム体験を作り出すための強力なインセンティブを持つ数少ない大手企業の一つであり、それが明らかです。
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,また、Google/FlutterアプリがiOSやmacOSで使いにくいということは言わないでください。,また、Google/FlutterアプリがiOSやmacOSでひどいということは言わないで。
200,Cross platform is hard if you want to do it well.,クロスプラットフォームは、うまくやりたいなら難しいです。,クロスプラットフォームは、うまくやるのが難しいです。
201,I know that.,知っています。,知ってるよ。
202,Thank you to those people who have downloaded the latest update to Leasey.,最新のLeaseyアップデートをダウンロードしてくださった皆様、ありがとうございます。,最新のLeaseyアップデートをダウンロードしてくださった皆様に感謝申し上げます。
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,なぜ私の脳がそれを理解できないのか正確にはわからないのですが、ツールがあまりにも広範で曖昧なために、選択肢が多すぎて脳が固まってしまうのかもしれません。,なぜ私の脳がそれを理解できないのかはわからないのですが、ツールがあまりにも広範で曖昧なために、選択肢が多すぎて脳がハードロックしてしまうのかもしれません。
211,Grafana looks pretty.,グラファナはきれいに見えます。,グラファナは美しく見えます。
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""",新しい#FFXIVレイド層が近づいているので、「ちゃんとしたレイドをやってみたいけど、パーティーファインダーは混乱しそうだし、自分を受け入れてくれる固定メンバーは見つからないだろうな」とずっと考えていました。,新しい#FFXIVレイド層が近づいているので、「本格的なレイドに挑戦してみたいけど、パーティーファインダーは混乱しそうだし、自分を受け入れてくれる固定メンバーは見つからない気がする」とずっと考えていました。
214,"So I thought, screw it!",だから、もういいや！,だから、もうどうでもいいや！
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!",レイドの固定に参加するのを試すのが不安な人々でいっぱいで、全く上手くなる期待はありません！,レイドスタティックへの参加を試すのが不安な人々でいっぱいで、全く上手であることを期待していません。
219,I was a voracious reader in my youth.,若い頃、私は貪欲な読書家でした。,若い頃、私は本を貪るように読んでいました。
227,They're not gonna talk about this on Bloomberg!,彼らはこれについてブルームバーグで話さないだろう！,彼らはこれについてブルームバーグで話さないよ。
228,"But if Spotify has a good quarter, they will.",しかし、もしSpotifyが良い四半期を迎えれば、彼らはそうするでしょう。,しかし、もしSpotifyが良い四半期を迎えれば、彼らは行動を起こすでしょう。
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,彼らに全国の空洞化し腐敗した都市を再生させましょう。,彼らに全国の空洞化して老朽化した都市を再生させましょう。再び。
231,These people want to improve their lives.,これらの人々は自分たちの生活を改善したいと思っています。,これらの人々は生活を改善したいと考えています。
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""",「リモートワークは終わった」や「リモートワークは失敗した実験だった」と主張する見出しには本当にうんざりしています。,「リモートワークは終わった」とか「リモートワークは過去の失敗した実験だった」といった見出しには本当に飽き飽きしています。
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.",それにより、人々は窮屈で騒がしいオフィスではなく、快適な空間で働くことができます。,このようにして、人々は騒がしいオフィスではなく、快適な空間で働くことができます。
243,To just ignore these facts is wrong.,これらの事実を無視することは間違っています。,ただこれらの事実を無視するのは正しくありません。
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.",パーカーは中絶と、現代の都市部の女性がキャリアのために子供を持つことを遅らせる衝動について言及した。,パーカーは中絶と、現代の都市部の女性が自分のキャリアのために子供を持つことを先延ばしにする衝動について言及した。
255,It took years of changing my life and working hard but finally...,人生を変え、一生懸命働くのに何年もかかりましたが、ついに...,一生懸命働き続けるのに何年もかかりましたが、ついに…
264,I will zip the lining into my cycle jacket - just in case I need it inside.,サイクルジャケットの裏地をジップで取り付けます。念のために。,サイクルジャケットに裏地をジッパーで取り付けておきます、念のために。
266,This is for Wikipedia's component library (OOUI).,これはWikipediaのコンポーネントライブラリ（OOUI）のためのものです。,これはWikipediaのコンポーネントライブラリ（OOUI）に関連するものです。
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",一時的な親を作成し、そこにMOをインストールし、それが切り離される（つまり、他の場所に接続される）様子を観察します。,一時的な親を作成し、そこにMOをインストールし、それが他の場所に接続されるために切り離される様子を観察します。
276,He's just absolutely ripped from tearing around my office twice a day.,彼は1日に2回私のオフィスを駆け回っているので、完全に引き締まっています。,彼は1 日に 2 回私のオフィスを駆け回っているので、筋肉が際立っています。
278,It makes me so happy to see him thriving.,彼が成功しているのを見るととても嬉しいです。,彼が順調に成長している姿を見るのはとても嬉しいです。
285,Last week got a ton done and feeling much better about field items.,先週はたくさんのことを終えて、フィールドアイテムについてずっと良い気分です。,先週はたくさんのことを終えて、現場の作業について気分がずっと良くなりました。
286,"All collards, kale, chard is transplanted.",すべてのコラード、ケール、チャードは移植されました。,コラード、ケール、チャードはすべて移植されます。
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items",また、サラダ用の列をそこに植えて、カットグリーンを統合する必要があります。灌漑、ベッドの準備、移植について訓練を受けたクルーがいるので、非収穫スキル項目の90%をカバーしています。,また、サラダ用の列に種をまいて、カットした葉物野菜を取り入れる必要があります。灌漑、ベッドの準備、移植について訓練を受けたクルーがいるので、非収穫スキル項目の９０％をカバーしています。
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,Apple Mapsと比較してGoogle Mapsでの道順をたどる経験ははるかに優れていました。,Appleマップでの道順をたどる経験はGoogleマップよりもはるかに優れていました。
295,Apple Maps wins.,アップルマップが勝利。,Appleマップスの勝ち。
302,"That said, I'm biased.",とはいえ、私は偏っています。,それでも、私は偏見があります。
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,しかし、政府が私たちの生活するシステムを変えないと考える限り、それが富の良い蓄えとなるのは土地です。,しかし。政府が私たちの生活するシステムを変えないと考える限り、土地がそれを富の良い蓄えにするのです。
309,In China you can only lease land.,中国では土地を借りることしかできません。,中国では土地をリースすることができます。
311,The government can change these policies whenever it wants.,政府はこれらの政策をいつでも変更することができます。,政府はこれらの政策をいつでも変更できる。
312,The land is temporary.,土地は一時的です。,その土地の利用は一時的です。
318,That's why the Chinese only allow leases.,それが中国人が賃貸契約のみを許可する理由です。,それが中国当局が賃貸契約しか許可しない理由です。
322,Let us continue to work together towards creating a brighter future for all.,私たち皆のために、より明るい未来を創造するために共に働き続けましょう。,より明るい未来を創るために共に働き続けましょう。
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,自分に対してこれほどまでに厳しくなれる人間の能力に驚くことがよくありますが、実際の残酷さがどのようなものかを示す証拠がこれほど多くある中で。,人間がこれほどまでに自分を卑下できる能力に驚くことがよくありますが、実際の残酷さがどのようなものかを示す証拠がこれほど多くある中で。
326,"To agonize over personal failure & guilt in a world where ""success"" is so often bestowed on people responsible for the most reprehensible acts...",個人的な失敗や罪悪感に苦しむことは、「成功」が最も非道な行為を行った人々に与えられることが多い世界において…。,個人的な失敗や罪悪感に苦しむことは、「成功」が最も非道な行為の責任を負う人々にしばしば与えられるような世界において。
332,"or ""Modal editors are useless today"" :morty:",または「モーダルエディターは今日役に立たない」,または「モーダルエディターは今日役に立たない」:モーティ:
333,"Me extracting functionality of my #Axum projects into shared libraries: ""Hold my keyboard"" :partyparrot: :helix: :ferrisdance:",私が#Axumプロジェクトの機能を共有ライブラリに抽出しているとき: 「キーボードを持ってて」 :partyparrot: :helix: :ferrisdance:,私が#Axumプロジェクトの機能を共有ライブラリに抽出しているとき: 「キーボードを持ってて」 :partyparrot: :helix: :ferrisdance:
337,The prompt this week on Revelations is Stay up all night.,今週のRevelationsのテーマは「一晩中起きていること」です。,今週のRevelationsのテーマは「一晩中起きている」です。
339,It is definitely more romance than filth.,それは間違いなく汚れよりもロマンスです。,それは間違いなく不道徳なものよりもロマンスです。
341,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",またいつか、マイルハイオーガズムを絶対にやってみるつもりです。ストレートの人とは限りませんが。,またいつか、マイルハイオーガズムを絶対にやってみるつもりですが、誰とするかはまだわかりません…
345,"I wish there was a ""who to follow"" recommendation somehow.",「フォローする人」のおすすめがあればいいのに。,フォローする人をおすすめしてくれる機能があればいいのに。
348,"So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.",それに取り組むにはもう少し努力が必要で、おそらく#UXを改善するための良いアプリが必要です。,それに取り掛かるにはもう少し努力が必要で、おそらく#ユーザーエクスペリエンスを改善するための良いアプリが必要です。
354,"Interventions: knowledge about things we can do to create change, within some confidence bounds",介入：ある程度の信頼範囲内で変化を生み出すためにできることについての知識。,変革を起こすためにできることについての知識、ある程度の信頼範囲内で。
360,He's here and he's going to say this stuff no matter what.,彼はここにいて、何があってもこのことを言うつもりです。,彼はここにいて、何があってもこのことを必ず言います。
362,It's very underwhelming at the moment.,現時点では非常に期待外れです。,現時点ではあまり印象的ではありません。
363,"The ""MusicLM Demo"" is mildly interesting.",「MusicLMデモ」はやや興味深いです。,「MusicLMデモ」は少し興味深いです。
368,"It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress.",ウェイトリフティングをしているのに、自分のワンレップマックスが何なのか本当に分からないのは変な感じです。これは進捗を追跡する主要な方法の一つだからです。,ウェイトリフティングをしているのに、自分のワンレップマックスが何なのかよく分からないのは不思議なことです。これは人々が進捗を追跡する主要な方法の一つだからです。
369,I work out alone in my bedroom without a spotter or even a weight rack.,私は自分の寝室で一人でトレーニングをしており、スポッターやウェイトラックもありません。,私は自分の寝室で一人でトレーニングをしており、スポッターもウェイトラックさえもありません。
370,Just me and a barbell with a bunch of weights.,私とバーベルとたくさんの重りだけ。,私とバーベル、たくさんの重りだけ。
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",自分のワンレップマックスを計算しようとすると、最大限の重さを持っていないかもしれないし、逆にそれが原因で重傷を負ったり命を落としたりする可能性があります。,自分のワンレップマックスを試そうとすると、必要な重さが足りないかもしれないし、逆にそれが原因で重傷を負ったり、命を落とす危険があります。
375,I swear burrata didn't exist five years ago,5年前にはブラータなんて存在しなかったと誓います。,5年前にはブラータなんて存在しなかったと思います。
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,誰かのお母さんがそれを作るのを見たことも、パーティーで押し付けられたことも、誰かのソース作りや焼き菓子の日にそれが登場するのを見たこともありませんでした。,誰かのお母さんがそれを作るのを見たことも、パーティーで無理やり渡されたことも、誰かのソース作りの冒険や焼き菓子の日にそれが登場するのを見たこともありませんでした。
384,Does anyone have a Linux tablet they love?,誰かお気に入りのLinuxタブレットを持っていますか？,誰かLinuxタブレットを持っていますか？
385,"This would be mainly for web browsing, occasional email, and some games.",これは主にウェブ閲覧、時々のメール、およびいくつかのゲームのためです。,これは主にウェブ閲覧、時々のメール、そしていくつかのゲームのためです。
388,"A bad game is bad forever.""",悪いゲームは永遠に悪い。,悪いゲームは一度悪いと見なされると、その評価は変わらない。
389,So was it Epic that originated this?,それを始めたのはエピックですか？,エピックがそれを起源としたのですか？
390,We can keep going.,続けることができます。,続けられます。
391,"An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,",GamePro 1997年11月号の以前の問題には、はるかに曖昧な引用があります。,GamePro 1997-11号の以前の号には、はるかに曖昧な引用があります。
401,Esp the carriages with the bigger windows.,特に大きな窓のある車両。,特に窓がより大きい車両。
402,There's areas that could use some polish.,磨きをかけるべき部分があります。,磨きをかける必要があるところがあります。
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",すなわち、十分なゴミ箱の不足と、照明の色の意味を説明する標識の不足です。,すなわち、十分なゴミ箱がないことと、照明の色の重要性を説明する標識がないことです。
405,I won't be sad to see the end of the ICM or DDZ stock.,ICMやDDZ株の終わりを見ても悲しくはありません。,ICMやDDZストックが終わっても悲しくはありません。
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,お客様お一人様につき一つまでのルールは、並んでいる全ての方がボードを手に入れられるようにするために維持されています。,お一人様一つ限りのルールは、並んでいる方がボードを手に入れられるようにするために維持されています。
411,Such friendships transcend differences.,そのような友情は違いを超越します。,そのような友情は違いを乗り越えます。
412,We all have stories to tell.,私たちは皆、語るべき物語を持っています。,私たちは皆、物語を持っています。
416,"But I feel somehow I started this instance on the wrong foot, so to speak.",ただ、どういうわけか、この場面をいわば悪いスタートで始めてしまったように感じます。,ただ、どういうわけか、この場面で、いわば出だしが悪かったように感じます。
418,Will still linger a bit longer on here and think about whether I should migrate at all.,ここにもう少し長く留まって、移行すべきかどうか考えます。,まだここにもう少し長く留まるつもりで、移行するかどうかを考えます。
423,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,レプニッドが地表の下にトンネルを掘り、あなたはその下の洞窟で数百のレプニッドの体が沸騰する塊に落ち込む。,レプニッドが地表の下にトンネルを掘り、あなたは洞窟の中で数百のレプニッドの体がうごめく塊に落ち込む。
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",終わりは迅速であり、いくつもの牙が致命的な毒を注入し、ディスクラの空気があなたの肺を汚染します。,終わりは速やかに訪れ、いくつもの牙が致命的な毒を注ぎ込み、ディスクラの有毒な空気があなたの肺を蝕みます。
425,Nobody will ever know that you were the first human future traveller.,誰もあなたが最初の人間の未来旅行者であったことを知ることはありません。,あなたが最初の人間の未来旅行者であったことを知る者は誰もいないでしょう。
426,You land the flyer nose upward on the side of the slag heap and climb out.,あなたはフライヤーを鼻先を上に向けてスラグの山の側面に着陸させ、降りる。,あなたはフライヤーを機首を上に向けてスラグの山の側面に着陸させ、そこから降りる。
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八つ目のレプニッドは見ているようですが、あなたに向かって動くことはなく、実際にはあなたがゆっくりと彼らに向かって歩いても動かずにいます。,八つの目を持つレプニッドは見ているようですが、あなたがゆっくりと彼らに向かって歩いても、動くことなくじっとしています。
429,"It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer.",彼らはあなたの声を聞くことができないようです、ましてや理解することもできません。あなたのユニバーサルトランスレーターは何の応答も拾いません。,彼らはあなたのことを聞くことができないようで、ましてや理解することもできません。あなたのユニバーサル翻訳機は何の応答も拾いません。
430,You decide to use your Psychic Awareness to contact them mentally.,あなたは精神的な意識を使って彼らと心で連絡を取ることに決める。,あなたはサイキック・アウェアネスを使って彼らと精神的に連絡を取ることに決める。
436,"#today I have coffee, sunshine and quiet time!",今日はコーヒーと日差しと静かな時間があります！,今日はコーヒーを飲んで、日光を浴びながら静かなひとときを過ごしています☀️
439,I found a unevenly spun silver gray yarn that is mostly finely spun with lumps.,私は、主に細かく紡がれているが、所々に塊がある不均一に紡がれた銀灰色の糸を見つけました。,私は、細かく紡がれているが全体に塊がある不均一な銀灰色の糸を見つけました。
441,But am not sure I have enough of the purple.,しかし、紫色が十分あるかどうかはわからない。,紫色が足りるかどうか自信がない。
446,I have literally tried and dropped EVERY SINGLE ONE.,私は文字通りすべて試してみて、すべてやめました。,私は文字通りすべてを試してみて、すべてをやめてしまいました。
