index,reference,zero_shot_translation,improved_agent_translation,single_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
93,"Wie sie weiter erklärte, verbirgt sich dahinter eine Strategie, die die meisten Menschen innerhalb des Beltways für verrückt halten würden: Dies ist die beste Methode, um das Vertrauen der Presse zu gewinnen. Die Presse weiß, dass wir nicht wie alle anderen flunkern. SIGTARP wird schnell die einzige glaubwürdige Informationsquelle in Washington über TARP werden. Gelegentlich ist es uns vielleicht peinlich und wir sagen etwas, das wir leicht unter den Teppich kehren könnten – und andere würden das auch tun –, aber wir schockieren die Presse mit unserer Ehrlichkeit. Niemand sonst tut das und früher oder später haben wir eine eigene Verteidigung aufgebaut, wenn wir angegriffen werden. Egal was die Presse hört, sie wird immer zuerst zu uns kommen und uns glauben, weil wir ihr beweisen, dass wir die Wahrheit sagen. Das ist vielleicht der wichtigste Grund für Biden, den Weg der radikalen Verantwortungsübernahme einzuschlagen: Es wird immer Momente bei jeder Präsidentschaft geben, in denen es wichtig ist, das Vertrauen der Öffentlichkeit und der Institutionen zu haben, die das Interesse der Bürger schützen. Zudem lässt sich wichtiges Kapital gewinnen, wenn wir zu unseren Fehlern stehen, und hier kann Biden einen wichtigen Unterschied gegenüber seinen politischen Gegnern machen. Der Präsident täte gut daran, das alte Sprichwort zu befolgen: Sag die Wahrheit - und beschäme den Teufel.","Wie sie weiter ausführte, steckt Methode in einer Strategie, die die meisten Leute innerhalb des ""Beltway"" für Wahnsinn halten würden: Dies ist der beste Weg, um das Vertrauen der Presse zu gewinnen. Sie werden wissen, dass wir nicht wie alle anderen verdrehen. SIGTARP wird schnell zur einzigen glaubwürdigen Informationsquelle in Washington über TARP werden. Wir werden uns vielleicht manchmal schämen und Dinge offenlegen, die wir leicht verbergen könnten – und andere würden –, aber wir werden die Presse mit unserer Ehrlichkeit schockieren. Niemand sonst tut das, und bald werden wir eine eingebaute Verteidigung haben, wenn wir angegriffen werden. Egal, was sie hören, die Presse wird zuerst zu uns kommen und uns glauben, weil wir ihnen beweisen werden, dass wir die Wahrheit sagen. Dies ist vielleicht der wichtigste Grund für Biden, den Kurs radikaler Verantwortungsübernahme zu verfolgen: In jeder Präsidentschaft entstehen unweigerlich Momente, in denen es entscheidend ist, das Vertrauen der Öffentlichkeit und der Institutionen zu haben, die das bürgerliche Interesse schützen. Darüber hinaus kann man wichtiges Kapital gewinnen, indem man zu seinen Fehlern steht, und Biden kann eine wichtige Unterscheidung zu seinen politischen Gegnern treffen. Der Präsident wäre gut beraten, dem alten Sprichwort zu folgen: Sage die Wahrheit – und beschäme den Teufel.","Wie sie weiter erklärte, steckt Methode in einer Strategie, die die meisten Insider des ""Beltway"" für blanken Unsinn halten würden: Es ist der beste Weg, um das Vertrauen der Presse zu gewinnen. Sie werden merken, dass wir die Dinge nicht beschönigen wie alle anderen. SIGTARP wird sich schnell als die einzige glaubwürdige Informationsquelle über TARP in Washington etablieren. Wir werden uns vielleicht gelegentlich in Verlegenheit bringen und Dinge enthüllen, die wir – und andere – leicht verbergen könnten, aber wir werden die Presse mit unserer Ehrlichkeit überraschen. Das macht sonst niemand, und bald haben wir einen automatischen Schutzmechanismus, wenn wir angegriffen werden. Egal, was die Presse hört, sie wird sich zuerst an uns wenden und uns glauben, weil wir bewiesen haben, dass wir die Wahrheit sagen. Dies ist womöglich der Hauptgrund für Biden, radikale Verantwortung zu übernehmen: In jeder Amtszeit gibt es unweigerlich Momente, in denen das Vertrauen der Öffentlichkeit und der Institutionen, die die Bürgerrechte schützen, entscheidend ist. Außerdem können wir Pluspunkte sammeln, wenn wir unsere Fehler eingestehen, und Biden kann sich so klar von seinen politischen Gegnern abgrenzen. Der Präsident wäre gut beraten, sich an die alte Weisheit zu halten: Wer die Wahrheit sagt, braucht keine Ausrede.","Wie sie weiter erklärte, steckt Methode in einer Strategie, die die meisten Leute innerhalb des ""Beltway"" für Wahnsinn halten würden: Dies ist der beste Weg, um das Vertrauen der Presse zu gewinnen. Sie werden wissen, dass wir die Dinge nicht wie alle anderen verdrehen. SIGTARP wird schnell zur einzigen glaubwürdigen Informationsquelle in Washington über TARP werden. Wir werden uns vielleicht manchmal schämen und Dinge offenlegen, die wir – und andere – leicht verbergen könnten, aber wir werden die Presse mit unserer Ehrlichkeit schockieren. Niemand sonst tut das, und bald werden wir eine Art automatische Verteidigung haben, wenn wir angegriffen werden. Egal, was sie hören, die Presse wird zuerst zu uns kommen und uns glauben, weil wir ihnen beweisen werden, dass wir die Wahrheit sagen. Dies ist vielleicht der wichtigste Grund für Biden, den Kurs radikaler Verantwortungsübernahme zu verfolgen: In jeder Präsidentschaft entstehen unweigerlich Momente, in denen es entscheidend ist, das Vertrauen der Öffentlichkeit und der Institutionen zu haben, die das bürgerliche Interesse schützen. Darüber hinaus kann man wichtiges Kapital daraus schlagen, zu seinen Fehlern zu stehen, und Biden kann sich so klar von seinen politischen Gegnern abgrenzen. Der Präsident wäre gut beraten, dem alten Sprichwort zu folgen: Sag die Wahrheit – und beschäme den Teufel.",0.4167,0.2863,0.4067,0.5581,0.4062,0.5546,0.6257,0.6735,0.653,0.8467,0.8549,0.8648
95,"Ein Sitcom-Star aus den Neunzigern, der seine geliebte Rolle des Kfz-Versicherungsverkaufs wieder aufnimmt. Ein Werbespot, der ein kulturelles Phänomen wird und sofort das grüne Licht für eine TV-Show bekommt, womit aus einer 12-sekündigen Szene zehn Staffeln werden. Alle Prominenten von den Krypto-Werbespots des letzten Jahres, die sich für ihre Krypto-Werbespots entschuldigen. Diese „Was geht aaab“-Typen, aber der Haken ist, dass sie jetzt alle alt sind. Jeder mag jetzt Whodunit-Krimis, oder? Also eine Reihe von Werbespots unter der Regie von Rian Johnson, bei denen man eine einjährige Kfz-Versicherung mit einem Rabatt bekommt, wenn man herausfindet, wer der Mörder ist. Ein Werbespot, über den sich alle superkonservativen Online-Typen etwa eine Woche lang aufregen werden.","Ein Sitcom-Star der Neunziger, der seine geliebte Rolle wieder aufnimmt, um Ihnen eine Autoversicherung zu verkaufen. Eine Werbung, die zu einem kulturellen Phänomen wird und sofort als Fernsehsendung grünes Licht bekommt, wodurch eine zwölf Sekunden lange Szene auf zehn Staffeln ausgedehnt wird. All die Prominenten aus den Krypto-Werbungen des letzten Jahres, die sich für ihre Krypto-Werbungen entschuldigen. Diese ""Whassup""-Typen, aber der Witz ist, dass sie jetzt alt sind. Jeder steht jetzt auf Whodunnits, richtig? Also eine Reihe von Werbespots unter der Regie von Rian Johnson, bei denen Sie einen Rabatt auf ein Jahr Autoversicherung erhalten, wenn Sie herausfinden, wer den Mord begangen hat. Ein Werbespot, über den sich alle super-online-konservativen Typen eine Woche lang aufregen werden.","Ein Sitcom-Star aus den Neunzigern, der seine geliebte Rolle wieder aufnimmt, um für Autoversicherungen zu werben, eine Werbung, die zu einem kulturellen Phänomen wird und sofort als Fernsehsendung grünes Licht bekommt, wodurch eine zwölf Sekunden lange Szene zu einer Serie über zehn Staffeln ausgebaut wird, all die Prominenten aus den Krypto-Werbungen des letzten Jahres, die sich für ihre Krypto-Werbungen entschuldigen, diese ""Was geht ab?""-Typen, aber der Witz ist, dass sie jetzt alt sind, Krimis sind jetzt total angesagt, oder? Also eine Reihe von Werbespots unter der Regie von Rian Johnson, bei denen Sie, wenn Sie herausfinden, wer den Mord begangen hat, einen Rabatt auf ein Jahr Autoversicherung erhalten, ein Werbespot, über den sich alle super-online-konservativen Typen eine Woche lang aufregen werden.","Ein Sitcom-Star aus den Neunzigern, der seine geliebte Rolle wieder aufnimmt, um Ihnen eine Autoversicherung zu verkaufen. Eine Werbung, die zu einem kulturellen Phänomen wird und sofort als Fernsehsendung grünes Licht erhält, wodurch eine zwölf Sekunden lange Szene auf zehn Staffeln ausgeweitet wird. All die Prominenten aus den Krypto-Werbungen des letzten Jahres, die sich für ihre Krypto-Werbungen entschuldigen. Diese ""Whassup""-Typen, wobei der Witz ist, dass sie jetzt alt sind. Jeder steht jetzt auf Whodunnits, richtig? Also eine Reihe von Werbespots unter der Regie von Rian Johnson, bei denen man einen Rabatt auf ein Jahr Autoversicherung erhält, wenn man herausfindet, wer den Mord begangen hat. Ein Werbespot, über den sich alle super-online-konservativen Typen eine Woche lang aufregen werden.",0.3797,0.3742,0.4255,0.6064,0.606,0.6426,0.5599,0.5539,0.5479,0.7949,0.8056,0.8171
97,Bidens Justizministerium „will keine bewaffneten Bürger“,Bidens Justizministerium 'will keine bewaffnete Bürgerschaft'.,Bidens Justizministerium will keine bewaffneten Bürger.,Bidens Justizministerium will keine bewaffnete Bevölkerung.,0.065,0.4238,0.0856,0.4259,0.625,0.4259,0.6815,0.8336,0.6973,0.9284,0.9371,0.8694
99,"Clyde ist der Meinung, dass die Pistol Brace Rule des ATF in diesem feindlichen Umfeld zum zweiten Zusatzartikel zur Verfassung und zum privaten Besitz von Schusswaffen entstanden ist, und er plant, sie mit allen Mitteln zu bekämpfen. Er sagte, dass er „drei Instrumente“ habe, mit denen er die Regelung bekämpfen kann. Das erste dieser Instrumente ist der SHORT-Act und das zweite ist der Congressional Review Act.","Clydes Behauptung ist, dass die ATF-Regel zu Pistolenstützen in diesem Umfeld der Feindseligkeit gegenüber dem zweiten Verfassungszusatz und dem privaten Waffenbesitz entstanden ist, und er plant, sie mit aller Macht zu bekämpfen. Er sagte, er habe ""drei Werkzeuge"", mit denen er die Regel bekämpfen könne. Das erste dieser Werkzeuge ist der SHORT Act und das zweite der Congressional Review Act.","Clyde argumentiert, dass die ATF-Regel zu Pistolenstützen in diesem Umfeld der Feindseligkeit gegenüber dem zweiten Verfassungszusatz und dem privaten Waffenbesitz entstanden ist, und er plant, sie energisch zu bekämpfen. Er sagte, er habe ""drei Werkzeuge"", mit denen er die Regel bekämpfen könne. Das erste dieser Werkzeuge ist der SHORT Act und das zweite der Congressional Review Act"".","Clydes Behauptung ist, dass die ATF-Regel für Pistolenstützen in diesem Klima der Feindseligkeit gegenüber dem zweiten Verfassungszusatz und dem privaten Waffenbesitz entstanden ist, und er plant, sie mit aller Macht zu bekämpfen. Er sagte, er habe ""drei Werkzeuge"", mit denen er die Regel anfechten könne. Das erste dieser Werkzeuge ist der SHORT Act und das zweite der Congressional Review Act.",0.3436,0.3146,0.34,0.5619,0.5299,0.5383,0.6759,0.6757,0.6775,0.8223,0.8209,0.8445
102,"Wir hoffen, dass Biden einen Plan für das Ende von Title 42 hat. 'Wenn die Regierung einen Plan hat, dann hat sie ihn uns noch nicht vollständig mitgeteilt'","Wir hoffen, dass Biden einen Plan für den Umgang mit dem Auslaufen von Title 42 hat. ""Wenn sie einen haben, haben sie ihn nicht vollständig mitgeteilt"".","Wir hoffen, dass Biden einen Plan für den Umgang mit dem Auslaufen von Title 42 hat. 'Wenn sie einen Plan haben, haben sie ihn bisher nicht vollständig offengelegt'.","Wir hoffen, dass Biden einen Plan für den Umgang mit dem Auslaufen von Title 42 hat. ""Wenn dies der Fall ist, haben sie ihn nicht vollständig mitgeteilt.""",0.3882,0.4049,0.3711,0.5514,0.636,0.5495,0.6111,0.6568,0.5731,0.8061,0.8443,0.8144
103,"Am Freitag bei ""MTP Now"" auf NBC sagte der Gouverneur von Colorado, Jared Polis (D), dass er „sehr besorgt“ darüber sei, was nach dem Ende von Title 42 im Mai passiert, er hofft, dass die Regierung von Biden einen Plan hat, wenn die Verordnung endet, und dass, „wenn sie einen Plan hat, diesen uns noch nicht vollständig mitgeteilt hat“. Er erklärte außerdem, dass „wir gesagt haben, dass die Regierung einen Plan braucht. Wir wollen, dass die Regierung ihren Plan zusammen mit uns bespricht.“","In der Freitagsausgabe von NBCs ""MTP Now"" sagte der Gouverneur von Colorado, Jared Polis (D), dass er ""große Bedenken"" darüber habe, was passieren werde, wenn Title 42 im Mai ausläuft. Er hoffe, die Biden-Administration habe einen Plan für das Ende der Politik, und ""Wenn sie einen haben, haben sie ihn uns noch nicht vollständig mitgeteilt"". Und er sagte: ""Wir haben gesagt, Sie brauchen einen Plan. Wir wollen, dass sie ihn mit uns abstimmen.""","In der Freitagsausgabe der Sendung „MTP Now“ von NBC sagte der Gouverneur von Colorado, Jared Polis (D), dass er „große Bedenken“ darüber habe, was passieren werde, wenn Titel 42 im Mai ausläuft. Er hoffe, die Biden-Administration habe einen Plan für das Ende der Politik, und „Wenn sie einen haben, haben sie ihn uns noch nicht vollständig mitgeteilt.“ Wir haben gesagt, dass sie einen Plan brauchen, und wir wollen, dass sie diesen mit uns abstimmen.""","In der Freitagsausgabe von NBCs ""MTP Now"" sagte der Gouverneur von Colorado, Jared Polis (D), dass er ""große Bedenken"" darüber habe, was passieren werde, wenn Title 42 im Mai ausläuft. Er hoffe, die Biden-Administration habe einen Plan für das Ende der Politik, und ""wenn sie einen haben, haben sie ihn uns noch nicht vollständig mitgeteilt"". Und er sagte, ""wir haben gesagt, Sie brauchen einen Plan. Wir wollen, dass sie ihn mit uns abstimmen.""",0.2808,0.261,0.2895,0.4204,0.411,0.4204,0.696,0.6897,0.6969,0.8225,0.8166,0.829
106,"McDonald's hat sich entschuldigt, nachdem eine Werbung für den „McCrispy“-Burger der Fast-Food-Kette in der Nähe eines Krematoriums in Großbritannien platziert wurde – auch wenn einige Anwohner es lustig fanden. Die Restaurantkette hat erklärt, dass sie das anstößige Werbeplakat aufgrund von Beschwerden von Anwohnern in Truro in der englischen Grafschaft Cornwall entfernen wird. Das Plakat hatte am Freitag in den sozialen Medien für Aufsehen gesorgt, nachdem es an einer stark befahrenen Straße direkt gegenüber von einem Krematorium erschien. Die hell erleuchtete Werbung, die direkt hinter einem Schild zum Krematorium platziert worden war, wurde von einigen aufgebrachten Anwohnern als „geschmacklos“ bezeichnet. „Ich kann zwar verstehen, dass einige Personen das lustig finden, aber es ist geschmacklos und ich bin mir sicher, dass trauernde Familienmitglieder dieses Plakat nicht sehen wollen, wenn sie zu einer Beerdigung oder Einäscherung eines lieben Menschen nach Penmount kommen“, sagte ein Anwohner, dessen Schwiegermutter im letzten Jahr im Krematorium eingeäschert wurde, aus britischen Medien zitiert.","McDonald's hat sich entschuldigt, nachdem eine Werbung für den ""McCrispy""-Burger der Fast-Food-Kette in der Nähe eines Krematoriums in Großbritannien platziert wurde – obwohl einige Einheimische die humorvolle Seite sahen. Die Restaurantkette hat zugesagt, die anstößige Werbetafel nach Beschwerden von Anwohnern von Truro in der britischen Grafschaft Cornwall zu entfernen. Sie hatte am Freitag in den sozialen Medien Aufmerksamkeit erregt, weil sie an einer stark befahrenen Straße direkt gegenüber einer Einrichtung platziert wurde, die Kremationsdienste anbietet. Die hell erleuchtete Werbung, die direkt hinter einem Schild platziert wurde, das auf das Krematorium hinweist, wurde von einigen verärgerten Einheimischen als ""geschmacklos"" bezeichnet. ""Obwohl ich die humorvolle Seite erkennen kann, ist es geschmacklos und ich bin sicher, dass es einigen trauernden Familienangehörigen nicht gefallen wird, es beim Besuch von Penmount zur Beerdigung und Einäscherung eines geliebten Menschen zu sehen"", sagte ein Anwohner, dessen Schwiegermutter letztes Jahr in dem Bestattungsinstitut eingeäschert wurde, wie britische Medien berichteten.","McDonald's hat sich entschuldigt, nachdem eine Werbung für den ""McCrispy""-Burger der Fast-Food-Kette in der Nähe eines Krematoriums in Großbritannien platziert wurde – obwohl einige Einheimische die Sache mit Humor nahmen. Die Restaurantkette hat zugesagt, die anstößige Werbetafel nach Beschwerden von Anwohnern von Truro in der britischen Grafschaft Cornwall zu entfernen. Sie hatte am Freitag in den sozialen Medien Aufmerksamkeit erregt, weil sie an einer stark befahrenen Straße direkt gegenüber einer Einrichtung platziert wurde, die Kremationsdienste anbietet. Die hell erleuchtete Werbung, die direkt hinter einem Schild platziert wurde, das auf das Krematorium hinweist, wurde von einigen verärgerten Einheimischen als ""geschmacklos"" bezeichnet. ""Obwohl ich die Sache mit Humor betrachten kann, ist es geschmacklos und ich bin sicher, dass es einigen trauernden Familienangehörigen nicht gefallen wird, es beim Besuch von Penmount zur Beerdigung und Einäscherung eines geliebten Menschen zu sehen"", sagte ein Anwohner, dessen Schwiegermutter letztes Jahr im Krematorium eingeäschert wurde, wie britische Medien berichteten.","McDonald's hat sich entschuldigt, nachdem eine Werbung für den ""McCrispy""-Burger der Fast-Food-Kette in Großbritannien in unmittelbarer Nähe eines Krematoriums platziert worden war – obwohl einige Anwohner die humorvolle Seite der Sache erkannten. Nach Beschwerden von Anwohnern aus Truro in der britischen Grafschaft Cornwall sicherte die Restaurantkette zu, die beanstandete Werbetafel zu entfernen. Die Werbung hatte am Freitag in den sozialen Medien für Aufsehen gesorgt, da sie an einer stark befahrenen Straße, direkt gegenüber einer Einrichtung, die Kremationen anbietet, platziert worden war. Einige verärgerte Anwohner bezeichneten die hell erleuchtete Werbung, die direkt hinter einem Schild zum Krematorium platziert war, als ""geschmacklos"". ""Obwohl ich die humorvolle Seite daran erkennen kann, ist es doch geschmacklos, und ich bin sicher, dass es einigen trauernden Familienmitgliedern missfallen wird, dies beim Besuch von Penmount zur Beerdigung und Einäscherung eines geliebten Menschen zu sehen"", sagte ein Anwohner, dessen Schwiegermutter im vergangenen Jahr in dem Bestattungsinstitut eingeäschert wurde, laut britischen Medien.",0.3709,0.3875,0.3293,0.5698,0.5844,0.5194,0.7363,0.746,0.7482,0.8625,0.8702,0.8699
109,"Bauchgefühl sagt, dass vermisste Frau nicht im Fluss ist",Bauchgefühl: Vermisste Frau ist nicht im Fluss.,Instinkt: Vermisste Frau ist nicht im Fluss.,Bauchgefühl: Vermisste Frau befindet sich nicht im Fluss.,0.1263,0.1207,0.1187,0.5068,0.5068,0.4213,0.7147,0.5486,0.7311,0.7278,0.6393,0.7776
114,"BERLIN (AP) - Hans Modrow, der letzte Vorsitzende des Ministerrats der DDR während einer turbulenten Zeit, die in der ersten und einzigen freien Wahl des Landes endete, ist gestorben. Er war 95. Laut einem Tweet des Fraktionschefs der Partei Die Linke verstarb Modrow am frühen Samstag.","BERLIN (AP) – Hans Modrow, der als letzter kommunistischer Staats- und Parteichef der DDR während einer turbulenten Amtszeit amtierte, die mit der ersten und einzigen freien Wahl des Landes endete, ist gestorben. Er wurde 95 Jahre alt. Modrow starb am frühen Samstag, twitterte die Fraktion der Linken im Bundestag.","BERLIN (AP) – Hans Modrow, der während einer turbulenten Amtszeit als letzter kommunistischer Staatschef und Parteichef der DDR amtierte, die mit der ersten und einzigen freien Wahl des Landes endete, ist gestorben. Er wurde 95 Jahre alt. Modrow starb am frühen Samstag, Twitterte die Linksfraktion im Bundestag.","BERLIN (AP) – Hans Modrow, der als letzter kommunistischer Ministerpräsident der DDR während einer turbulenten Amtszeit, die mit der ersten und einzigen freien Wahl des Landes endete, amtierte, ist gestorben. Er wurde 95 Jahre alt. Modrow starb am frühen Samstag, teilte die Fraktion der Linken im Bundestag über Twitter mit.",0.4103,0.3932,0.3775,0.5864,0.5449,0.5797,0.7036,0.6709,0.7193,0.8818,0.8711,0.8824
116,"Ein Posten in der Führungsspitze der DDR blieb ihm verwehrt, bis er im November 1989 – wenige Tage nach dem Fall der Berliner Mauer – zum Ministerpräsidenten ernannt wurde, eine Position, die bis dahin wenig Einfluss hatte. Als der Hardliner Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, wurde Modrow zur wichtigsten politischen Figur der DDR. Aber die Kommunisten konnten nicht mehr allein bestimmen. Im darauffolgenden Monat erklärte sich Modrow bereit, die Regierung mit der immer lauter werdenden Opposition zu teilen und zog die ersten freien Wahlen in der DDR inmitten wachsender Unruhen auf März 1990 vor. Selbst als sich bei den pro-demokratischen Kundgebungen schnell der Wunsch nach einer Wiedervereinigung abzeichnete, lehnten die Kommunisten anfangs Gespräche zur Wiedervereinigung ab.","Ein Posten in der höchsten Führungsebene der DDR entging ihm, bis er im November 1989, wenige Tage nach dem Fall der Berliner Mauer, zum Ministerpräsidenten ernannt wurde – eine Position, die zuvor wenig Einfluss hatte. Als der Hardliner Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, stieg Modrow zur wichtigsten politischen Figur der DDR auf. Doch die Kommunisten konnten nicht mehr allein das Sagen haben. Im folgenden Monat stimmte er zu, die Macht mit der zunehmend lautstarken Opposition zu teilen, und verlegte angesichts wachsender Unruhen die wegweisende erste freie Wahl der DDR auf März 1990 vor. Obwohl die Pro-Demokratie-Kundgebungen rasch einen pro-vereinigungsorientierten Charakter annahmen, hatten sich die Kommunisten zunächst gegen Gespräche über eine Wiedervereinigung ausgesprochen.","Ein Posten in der höchsten Führungsebene der DDR entging ihm, bis er im November 1989, wenige Tage nach dem Fall der Berliner Mauer, zum Ministerpräsident ernannt wurde – eine Position, die zuvor wenig Einfluss hatte. Als der Hardliner Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, stieg Modrow zur wichtigsten politischen Figur der DDR auf. Doch die Kommunisten hatten nicht mehr die alleinige Entscheidungsgewalt. Im folgenden Monat stimmte er zu, die Macht mit der zunehmend lautstarken Opposition zu teilen, und verlegte angesichts wachsender Unruhen die wegweisenden ersten freien Wahlen der DDR auf März 1990 vor. Obwohl die Pro-Demokratie-Kundgebungen rasch einen pro-vereinigungsorientierten Charakter annahmen, hatten sich die Kommunisten zunächst gegen Gespräche über eine Wiedervereinigung ausgesprochen.","Ein Posten in der höchsten Führungsebene der DDR blieb ihm verwehrt, bis er im November 1989, wenige Tage nach dem Fall der Berliner Mauer, zum Ministerpräsidenten ernannt wurde – eine Position, die zuvor wenig Gewicht hatte. Als der Hardliner Egon Krenz und sein regierendes Politbüro Anfang Dezember zurücktraten, stieg Modrow zur wichtigsten politischen Figur der DDR auf. Doch die Kommunisten konnten nicht länger allein das Sagen haben. Im folgenden Monat stimmte er zu, die Macht mit der zunehmend lautstarken Opposition zu teilen, und verlegte angesichts wachsender Unruhen die wegweisende erste freie Wahl der DDR auf März 1990 vor. Obwohl die Pro-Demokratie-Kundgebungen rasch einen pro-vereinigungsorientierten Charakter annahmen, hatten sich die Kommunisten zunächst gegen Gespräche über eine Wiedervereinigung ausgesprochen.",0.4134,0.3839,0.4188,0.5492,0.5347,0.5444,0.7686,0.7701,0.7836,0.8858,0.8853,0.8903
119,"1995 verurteilte ihn ein Gericht wegen Anstiftung zur Fälschung der Ergebnisse bei den Kommunalwahlen im Mai 1989 in Dresden. Er erhielt eine neunmonatige Bewährungsstrafe und eine Geldstrafe. Modrow behauptete, dass die Gerichtsverhandlung politisch motiviert sei und dass ihr Ergebnis die Spaltung zwischen Ost- und Westdeutschen verschärfen würde. Sein Anwalt argumentierte, dass er früheres Unrecht wieder gut gemacht habe, da er als Ministerpräsident freie Wahlen gehalten habe.","1995 verurteilte ihn ein Gericht wegen Anstiftung zur Fälschung von Ergebnissen bei den Kommunalwahlen im Mai 1989 in Dresden. Es verhängte eine neunmonatige Bewährungsstrafe und eine Geldstrafe. Modrow behauptete, der Prozess sei politisch motiviert und argumentierte, dass sein Ausgang die Spaltung zwischen Ost- und Westdeutschen verschärfen würde. Sein Anwalt argumentierte, dass er frühere Ungerechtigkeiten durch die Überwachung freier Wahlen als Ministerpräsident wiedergutgemacht habe.","1995 verurteilte ihn ein Gericht wegen Anstiftung zur Fälschung von Ergebnissen bei den Kommunalwahlen im Mai 1989 in Dresden, und verhängte eine neunmonatige Bewährungs- und eine Geldstrafe. Modrow behauptete, der Prozess sei politisch motiviert, und argumentierte, dass das Ergebnis die Spaltung zwischen Ost- und Westdeutschen verschärfen würde. Sein Anwalt argumentierte, dass er früheres Unrecht durch die Leitung freier Wahlen als Ministerpräsidenten gutgemacht habe.","1995 verurteilte ihn ein Gericht wegen Anstiftung zur Fälschung der Ergebnisse der Kommunalwahlen vom Mai 1989 in Dresden. Er erhielt eine neunmonatige Bewährungsstrafe sowie eine Geldstrafe. Modrow behauptete, der Prozess sei politisch motiviert und argumentierte, das Urteil würde die Spaltung zwischen Ost- und Westdeutschen verstärken. Sein Anwalt argumentierte, dass er frühere Ungerechtigkeiten durch die Beaufsichtigung freier Wahlen als Ministerpräsident wieder gutgemacht habe.",0.5624,0.5506,0.4925,0.7486,0.7241,0.6965,0.8171,0.8034,0.8179,0.8981,0.8947,0.8986
