index,source,zero_shot,single_agent,maats,reference
17,The ratings--seeking delusional irresponsibility of it all.,追逐收视率的妄想般的不负责任。,追逐收视率，简直是妄想般的不负责任。,追求收视率，真是妄想般的不负责任。,为追求收视率而进行的不负责任的妄想。
18,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我家地下室非常漏风，这基本上意味着会有很多啮齿动物进来避难。,我家地下室很漏风，基本上意味着很多啮齿动物会跑进来避难。,我家地下室非常漏风，因此容易有许多小动物进来藏身。,我有一间通风非常好的地下室，这意味着可能会让许多老鼠在此避难。
19,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种一成不变的生活，把所有的捕鼠器都清理掉了花生酱，然后用强力胶粘了一颗开心果在上面。,昨晚我终于受够了这种一成不变的生活，清理了所有用花生酱做诱饵的捕鼠器，然后用强力胶把一颗开心果粘在了上面。,昨晚我终于受够了这种日复一日的生活，把所有捕鼠器上的花生酱都清理干净了，然后用强力胶在上面粘了一颗开心果。,昨晚我终于放弃了这种套路，把所有花生酱都清理了，还用强力胶粘了一颗开心果在上面。
20,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",恕我直言，我尝试了市面上几乎所有“人道”的捕鼠器，但效果甚微。,恕我直言，我试过市面上几乎所有“人道”的捕鼠器，但效果不佳。,说实话，我试过市面上几乎所有“人道的”捕鼠器，但效果甚微。,（顺便说一句，我几乎试过了市场上所有的“人道”陷阱，但收效甚微。
21,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府将自己包装成亲商的品牌。,我厌倦了保守党派和政府动辄标榜自己是亲商的。,我厌倦了保守党派和政府打着亲商的旗号。,我厌倦了保守派政党和政府打着亲商的旗号包装自己。
22,Sure they cut business taxes.,当然，他们削减了商业税。,当然，他们确实削减了商业税。,当然，他们削减了营业税。,对，他们削减了营业税。
23,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",痛苦地发现，在2023年，地方电视台的网站绝对是互联网上最糟糕的体验。,痛苦地发现，2023年的地方电视台网站绝对是互联网上最糟糕的体验。,后来我才发现，2023年地方电视台的网站绝对是互联网上最糟糕的体验。,我发现，在 2023 年，地方电视台网站带给我的绝对是互联网上最糟糕的体验。
24,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出框、以及广告，广告，广告。,弹出窗口、自动播放视频、动画、弹出式窗口，以及广告，广告，广告。,弹出窗口、自动播放视频、动画、弹窗、以及大量广告。,弹出窗口、自动播放视频、动画、弹出窗口和一而再再而三的广告。
25,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使在goatse.cx已经消失的现在，情况仍然如此。不过，如果要在goatse和khou.com（我在那里尝试观看Wendy发给我的视频）之间选一个最烂的网站，那将会是一场势均力敌的比赛。,即使 goatse.cx 已经消失，情况仍然如此。不过，要说 goatse 和 khou.com（我在那里尝试观看 Wendy 发给我的视频）哪个更烂，那可真是不相上下。,即使 goatse.cx 已经消失，情况依旧没有好转。如果非要说哪个网站更烂，goatse 和 khou.com（我在那里尝试观看 Wendy 发给我的视频）简直是半斤八两。,我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
26,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚发生的事情让我确信我们需要做好准备，反击特朗普主义。,昨晚发生的事情让我确信，我们需要做好准备，反击特朗普主义。,昨晚的事让我确信，我们需要做好准备，反击Trumpism。,昨晚，我确信，我们有必要准备好反击特朗普主义。
27,Yell back at those who would try to talk over us.,对那些试图盖过我们声音的人，大声回应回去。,对那些试图压制我们声音的人，大声回应。,对那些试图压制我们的人，大声回应。,对那些试图凌驾于我们之上的人大声呼喊。
28,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处散播你的新冠病毒飞沫是不被社会接受的！！！,我再说一遍。不要随地散播带新冠病毒的飞沫，这是一种不文明的行为！！！,再說一次，不要到處亂噴你的新冠病毒！,我重复一遍。到处传播你的带有新冠肺炎病毒的痰是社会所无法接受的！！！
29,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,安倍把悲伤藏在心底，笑容常挂脸上；而汤姆则不怕流泪，但对粗俗的笑话不感兴趣。,安倍把悲伤藏在心底，脸上常带笑容；而汤姆则不怕哭泣，但对粗俗的幽默不太感冒。,安倍把悲伤藏在心底，脸上常带笑容；而汤姆则不怕流泪，但对低俗的笑话不感兴趣。,Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
30,#CNN needs to just close down.,CNN 应该倒闭了。,CNN 应该倒闭。,CNN 应该关闭了吧。,#CNN 需要做的就是关门大吉。
31,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天的#芒果莫伦 惨败简直是场荒唐的惨败。,昨天的#芒果莫伦事件简直是一场荒唐的惨败。,昨天关于#芒果白痴的闹剧简直是一场荒唐的惨败。,昨天 #MangoMoron 的惨败真的令人愤慨。
32,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了克莉丝汀，一辆锈迹斑斑的1958年款普利茅斯·弗瑞，并痴迷于将这辆经典汽车修复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了克莉丝汀，一辆锈迹斑斑的1958年款普利茅斯·狂怒，并痴迷于将这辆经典汽车修复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了克莉丝汀——一辆锈迹斑斑的1958年款普利茅斯 Fury，并痴迷于将这辆经典汽车修复到昔日的光彩。,极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
33,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着他的异国情调的美车时变成了傲慢。,随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着这辆充满异域风情的美车时变成了傲慢。,随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着他那辆稀有的漂亮跑车时变成了傲慢。,随着汽车的变化，Arnie 也在变化，在他异域佳人的车轮下，他新获得的自信转变成了傲慢。
34,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,我的邻居们与我为敌，其中最令人难以置信的一点是想到要充满敌意得需要付出多大的努力。,我的邻居们与我作对，最让我难以置信的是，他们要付出多大的努力才能充满敌意。,我的邻居们与我为敌，其中最令人难以置信的一点是想到要怀有敌意需要付出这么大的努力。,我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
35,It hurts but you gotta do you.,虽然很伤人，但你还是要做你自己。,虽然很伤人，但你还是要坚持做自己。,虽然这很伤人，但你还是要坚持做自己。,会很痛苦，但必须这样做。
36,But at this point the open hostility and violence is getting worse.,但此时公开的敌意和暴力正在加剧。,但此时公开的敌对和暴力行为正在加剧。,但公开的敌意和暴力正在日益加剧。,而此时公开的敌意和暴力正在加速恶化。
37,They had keys to my apartment for 6+ years.,他们有我家公寓钥匙六年多了。,他们有我家公寓的钥匙六年多了。,他们有我公寓的钥匙六年多了。,他们 6 年多之前就有我公寓的钥匙了。
38,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是“爹化”现象的一个简单而典型的例子。,《最后生还者》是“爹化”现象一个简单且经典的例子。,《最后生还者》是“奶爸化”现象的一个简单而典型的例子。,《最后生还者》是一个关于父亲化的经典示例。
39,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父亲化通常假定，解决父辈角色必须照顾或保护儿童或儿童替代品的情况的方法是压倒性的力量，并利用这种力量来强加一种特定形状的权力动态。,父亲化通常假设，在需要父辈角色照顾或保护儿童或类似儿童的对象时，解决方案是压倒性的力量，并利用这种力量强行建立一种特定形式的权力关系。,在需要父亲角色照顾或保护儿童的情况下，“父亲化”现象通常认为解决方案是凭借压倒性的力量，强制形成一种特定的权力关系。,父亲化一般意味着，在父母必须照顾或保护孩子或弱势人员时，这种方法就屡试不爽，他们使用这种方法强制将自己的这种特定权力凌驾于他人之上。
40,,我们提供预订机票的链接。,我们提供可预订机票的链接。,我们提供可预订票价的链接。,
41,,更多详情请见完整博文。,更多详情请参见完整博文。,更多细节请阅读完整博文。,
42,Over time dart became my go-to for quick UI.,随着时间的推移，Dart成了我快速构建UI的首选。,随着时间的推移，Dart 逐渐成为我快速构建 UI 的首选工具。,渐渐地，Dart成了我快速构建用户界面的首选。,dart 逐渐成为我快速与用户对接的首选。
43,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",使用 Flutter 开发是一种享受，并且他们有 MobX 可以轻松进行状态管理。,使用 Flutter 开发是一种享受，而且他们还提供了 MobX，方便进行状态管理。,使用 Flutter 开发是一种享受，并且他们有 #mobx 方便地进行存储管理。,#flutter 是一个绝佳合作伙伴，他们拥有可以简化商店管理的 #mobx。
44,Echidna with amethyst and magenta spikes.,具有紫水晶色和品红色尖刺的针鼹.,具有紫水晶色和洋红色尖刺的针鼹。,长着紫水晶色和洋红色尖刺的针鼹。,长有紫水晶色和洋红色尖刺的针鼹。
45,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布莱姆·斯托克、马克斯·施莱克和斯蒂芬妮·梅尔尽了最大努力想让他们看起来很糟糕 - 每个人...,尽管布莱姆·斯托克、马克斯·施莱克和斯蒂芬妮·梅耶努力地想丑化他们——但每个人……,尽管布莱姆·斯托克、马克斯·施莱克和斯蒂芬妮·梅尔极力丑化他们，但……,尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
46,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","需要把它翻译成普通话和/或福建话，但我完全不懂。请直接提供翻译，不要添加任何额外的文字。",需要将其翻译成普通话和/或福建话，我完全不懂这两种语言。请直接提供翻译，无需任何额外说明。,"需要将它翻译成普通话或福建话，我对此一窍不通。请直接翻译，不要添加任何额外文字。

Beh su-iàu phiên- dịch chòe Pó͘-thong-uē kah/iah Hok-kiàn-uē, guá sī hoàn- toàn m̄ chai-iáⁿ. Chiáh- hó phiên-dịch, m̄-thang ka-thiam gōa-kháu ê su-jī.",我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
47,Been toying with this thought for a little while:,脑海里盘旋这个想法有一阵子了。,脑海里盘旋着这个想法已经有一阵子了。,一直在琢磨这件事儿。,考虑这个想法已经有一段时间了：
48,Because it happens in the mind and seems less tangible than physical health.,因为它发生在脑海中，并且似乎不如身体健康那样有形。,因为它更多是心理上的问题，不像身体健康那样容易被感知。,因为它发生在脑中，不像身体健康那样看得见摸得着。,因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
49,"My sex is non-binary, my gender is female.",我的生理性别为非二元性别，我的性别认同为女性。,我的生理性别为非二元性别，我的性别是女性。,我的生理性别为双性，性别认同为女性。,我的性是非二元的，我的性别是女。
50,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,类似于德国摇滚的情绪，超凡脱俗的流行音乐，无线电音响工作室，以及诸如此类的东西。,类似于德国摇滚的氛围、离世脱俗的流行音乐、无线电音效坊，以及各种其他风格。,类似于德国实验摇滚的情绪、超凡脱俗的流行音乐和电子音乐工作室等等。,比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
51,Playing around a bit with Flutter.,稍微玩了一下 Flutter。,稍微体验了一下 Flutter。,简单体验了一下 Flutter。,试玩了下 Flutter。
52,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",说实话，我不想把我的业务建立在谷歌的技术之上。但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大公司之一，而且这一点也体现了出来。,说实话，我不太想把业务建立在谷歌的技术之上。但另一方面，谷歌是少数真正有动力创造卓越跨平台体验的大公司之一，这一点也显而易见。,说实话，我不想把我的业务建立在谷歌的技术之上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台使用体验的大公司之一，这一点也显而易见。,说实话，我不喜欢把我的业务建立在谷歌的技术上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大玩家之一，这一点也很明显。
53,Nothing to set alarm bells ringing but nevertheless they are being addressed.,虽无须过度担忧，但相关问题正在处理中。,虽无需过度担忧，但相关问题正在处理中。,虽不必过分担忧，但相关问题正在解决中。,没有什么能敲响警钟，无论如何，正在解决这些问题。
54,A small update will be produced next week to correct them.,下周将会发布一个小更新来修正它们。,下周将发布一个小更新来修复这些问题。,下周将发布一个小更新以修正这些问题。,下周会发布一次小更新来纠正这些错误。
55,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不太清楚为什么我的大脑想不明白；可能是因为工具过于宽泛和模糊，导致我的大脑因为“选项太多”而直接卡死。,我不太清楚为什么我的大脑想不明白；可能是因为工具过于宽泛和模糊，导致我的大脑因“选项太多”而直接卡顿。,我不太清楚为什么我的大脑搞不明白，可能是因为工具过于宽泛和模糊，导致我的大脑因为“选项太多”而彻底卡住。,我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
56,"There's... no way that would work, probably!",不太可能吧！,这不太可能行得通吧！,不太可能吧，大概！,那...那可能行不通！
57,I was a voracious reader in my youth.,我年轻的时候是个贪婪的读者。,我年轻的时候非常爱读书。,我年轻的时候非常喜欢读书。,我年轻时是个如饥似渴的读者。
58,"But if Spotify has a good quarter, they will.",但如果Spotify这季度表现良好，他们会的。,但如果Spotify本季度表现良好，他们会的。,但如果Spotify这季度表现好的话，他们会的。,但是如果 Spotify 某个季度卖的很好，他们就会这么做。
59,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空且日益衰败的城市。,让他们再次重建全国那些被掏空且日益衰败的城市。,让他们再次修复全国那些被掏空且日益衰败的城市。,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
60,It's all clickbait but it does worry me about the executives and managers who read these articles.,这都是标题党，但它确实让我担心那些阅读这些文章的高管和经理们。,这都是标题党，但它确实让我担心阅读这些文章的高管和经理。,这些都是标题党文章，但它确实让我担心那些阅读这些文章的高管和经理们。,这些都是引诱别人点击的诱饵，但我确实担心阅读这些文章的高管和经理们。
61,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间和陪伴家人的时间。,它使人们能够避免冗长的通勤，从而节省时间和陪伴家人的时间。,它使人们能够避免耗时的通勤，从而节省更多的时间陪伴家人。,它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
62,"This is a war between the pro-humans and anti-humans, he said.",“这是一场亲人类和反人类之间的战争，” 他说。,“这是一场亲人类与反人类之间的战争，”他说。,他说，这是一场支持人类和反对人类之间的战争。,“这是亲人类和反人类之间的一场战争，”他说。
63,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还认为，新民主党和进步人士为了环境，想要减少社会人口。,他还认为，新民主党和进步人士为了保护环境，想要减少社会人口。,他还认为，新民主党和进步派为了保护环境，企图减少社会人口。,他还认为，NDP 和进步人士希望以保护环境为目的减少社会人口。
64,Whenever May would pop up I dreaded trying to celebrate my bday.,每当梅伊出现，我就害怕过生日。,每当梅伊出现，我就害怕庆祝我的生日。,每次梅伊出现的时候，我就发愁怎么庆祝我的生日。,每当遇到五月，我为庆祝生日感到恐惧。
65,Winter is 30 days away in this little part of the Great Southern World.,在这个南半球的这小片地方，离冬天还有30天。,在这个南半球的小区域，距离冬天还有30天。,在南半球的这片小区域，距离冬天还有30天。,离冬天还有 30 天，在大南方的一个小地方。
66,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",下着雨，虽然没结冰，但你也别想在雨中跳舞了！,下着雨，虽然没有结冰，你也别想在雨中跳舞！,下着雨，虽然没有结冰，但你最好还是别在雨中跳舞了。,雨还在下，当它还没结冰时，你不能在雨里跳舞！
67,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高性能的方法可以让 Web 组件响应被添加到文档或从文档中移除的事件吗？,你知道有什么高性能的方法可以让 Web 组件对添加到文档或从文档中移除的行为做出响应吗？,你知道有什么高性能的方法可以让 Web components 组件响应被添加到文档或从文档中移除的事件吗？,你知道 web 组件响应从文档中添加/删除的有效方式吗？
68,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个分离的临时父对象，将MO安装在那里，并观察它变为分离状态（因此被附加到其他地方）。,我们创建一个分离的临时父对象，将 MO 安装到该对象上，并观察到它变为分离状态（即被附加到其他位置）。,我们创建一个分离的临时父项，将MO安装到该父项上，并观察它变为已分离状态（从而附加到其他位置）。,我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
69,He's just absolutely ripped from tearing around my office twice a day.,他每天在我办公室里跑两趟，绝对练出来了。,他每天在我办公室里跑两趟，浑身肌肉都练出来了。,他每天在我办公室里跑两趟，累得浑身肌肉都出来了。,他一天在我的办公室里乱翻两次，简直是疯了。
70,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他，但他感觉肯定超过一磅了。,我没有秤来称重他，但他感觉肯定超过一磅了。,我没有秤来称他的重量，但他感觉肯定超过一磅重了。,我没有体重秤给他称体重，但他感觉自己胖了一磅多。
71,1) Slight modifications to the Hel's Fighters map layout.,对赫尔战士地图布局的轻微修改。,对赫尔战士地图的布局进行了细微调整。,对赫尔地图布局的轻微修改。,1）轻微修改了 Hel 的战斗机地图布局。
72,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、芥蓝、莙荙菜都已移栽。,所有羽衣甘蓝、羽衣甘蓝和瑞士甜菜都已移栽。,所有厚叶菜、羽衣甘蓝和瑞士甜菜都已移栽。,所有的羽衣甘蓝、甜菜都已完成移植。
73,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经长出来了，需要搭棚架了。,吉尔平的春豌豆已经露头了，需要开始搭设棚架。,吉尔平的春豌豆快要成熟了，该开始搭建棚架了。,吉尔平的春豌豆正在出芽，所以需要设置棚架。
74,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.",苹果地图是 iOS 的默认应用，但人们仍然会特意下载并在他们的 iPhone 上安装谷歌地图。,苹果地图是 iOS 的默认应用，但人们仍然会特意下载并在自己的 iPhone 上安装谷歌地图。,苹果地图是 iOS 的默认应用，但人们仍然会特意在 iPhone 上下载安装谷歌地图。,苹果地图是苹果系统的默认地图软件，然而人们会专门下载谷歌地图并安装到苹果手机上。
75,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).",出于好奇，我保持开放心态，对比了 Google 地图和 Apple 地图在我的测试 iPhone 设备上的表现（我的主力机是安卓设备，所以很少使用 iPhone）。,出于好奇，我保持开放心态，在我的测试 iPhone 设备上对比了 Google 地图和 Apple 地图的表现（我的主力机是安卓设备，所以我很少使用 iPhone，难得用一下 iPhone）。,出于好奇，我保持开放心态，在我的测试 iPhone 设备上对比了 Google 地图和 Apple 地图的表现，因为我主要使用安卓设备，所以很少使用 iPhone。,出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
76,Could it be that Google Search is integrated with Google Maps?,Google搜索是否可能与Google地图集成？,Google搜索是否已与Google地图整合？,Google 搜索是否有可能与 Google 地图相结合？,会不会是谷歌搜索和谷歌地图整合在一起造成的？
77,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.",我个人倾向于不向最终用户发布垃圾产品。 苹果2012年发布的苹果地图简直是一场灾难。,我个人倾向于不向最终用户发布粗制滥造的产品，而苹果2012年发布的苹果地图就是一个彻底的失败案例。,我个人倾向于不向最终用户发布劣质产品，而且苹果公司2012年发布的Apple 地图确实问题很多。,我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
78,The house itself declines in value because it loses its condition and needs to be replaced.,房子本身因失去状况和需要更换而贬值。,房子本身会因状况变差和需要维修更换而贬值。,房子本身因状况变差和需要维修更换而贬值。,房子本身的价值会不断下降，因为它的优越性会逐渐失去，然后就需要用其它房子取而代之。
79,They're not stupid enough to sell the sell forever.,他们还没蠢到会永远卖下去。,他们还没那么蠢，会永远卖下去。,他们还没那么蠢，不会永远卖下去的。,他们不会蠢到卖掉它的永久所有权。
80,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,观看澳大利亚和美国媒体频道时，你似乎无法想象土地有一天会被夺走，但这正是因为富人整天在那里确保你的思想朝着某个方向思考。,观看澳大利亚和美国媒体频道时，你似乎无法想象有一天土地会被剥夺，但这正是因为富人整天在那些频道上，确保你的思想朝着某个方向思考。,观看澳大利亚和美国新闻媒体时，你似乎无法想象土地有一天会被夺走，但这正是因为富人整天在那里，引导你的思想朝着某个方向发展。,当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
81,"To all the investors out there, I raise a toast to your success and the realization of your dreams.",敬各位投资者，我举杯祝愿你们成功，梦想成真。,敬各位投资者，我举杯祝贺你们取得成功，实现梦想。,敬各位投资者，我举杯祝愿各位成功顺遂，梦想实现。,在场的所有投资者们，我为你们的成功和梦想的实现干杯。
