index,source,zero_shot,single_agent,maats,reference
10,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,The area reserved for the future as set forth in this document.,The area reserved for future use as specified in this document.,Area set aside for this document's future provisions.
11,4 字汇,Vocabulary.,4-word vocabulary.,4 Vocabulary,4 Vocabulary
12,4.3 双字节部分,Double-byte portion.,Section 4.3: Double-byte Characters.,Double-Byte Portion,4.3 Double-byte part
13,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.",The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000.,"The double-byte part includes all the graphic characters in GB/T 2312-1980, the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.","All of the graphic characters in GB/T 2312-1980, CJK unified Chinese characters, and portions of the graphic characters in GB/T 13000 are included in the double-byte component."
14,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","Among them, the graphic, code position, and function of the ideographic character descriptor must comply with the provisions of Appendix B.","The graphic, code position, and function of the ideographic character descriptors must adhere to the requirements set forth in Appendix B.","Among these, the Appendix B requirements must be followed for the graphics, code places, and functions of ideographic descriptors."
15,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"Chinese characters with unique abstract forms are assigned their own unique character encodings, while characters with the same abstract form but different origins are assigned shared character encodings.",Les caractères chinois ayant des formes de caractères abstraites uniques se voient attribuer des positions de code individuelles. Les caractères chinois ayant les mêmes formes de caractères abstraites mais des origines différentes se voient attribuer des positions de code partagées.,"Chinese characters with distinctive abstract glyphs are given their own code positions, while characters with the same abstract glyph but from various sources are given a similar code position."
16,4.4 四字节部分,16-bit integer,The four-byte portion.,Four-byte part,4.4 Four-byte part
17,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, as well as CJK Unified Han Extensions A, B, C, D, and F, and a few minority language characters that have already been encoded in GB/T 13000.","Le fichier quatre octets comprend 66 caractères Han unifiés CJK (9FA6 - 9FEF, à l'exclusion de 8 caractères de 9FB4 à 9FBB) en dehors des caractères deux octets ci-dessus dans GB/T 13000, ainsi que les Extensions des caractères Han unifiés CJK A, B, C, D, E et F, et quelques caractères de langues minoritaires déjà codés dans GB/T 13000.","The text lists various Chinese characters in different standards, including GB/T 13000, .CJK unified character extensions A and C/D, and expansions."
18,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","All codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","The codes in the appendix are represented in hexadecimal (十六进制), while other numbers are represented in decimal (十进制).","The appendix's codes are all expressed in hexadecimal, while decimal is used for all other values."
19,6 字符的排列顺序,The order of arrangement of 6 characters.,The order of 6 letters.,The arrangement of 6 characters.,6 character character sort order
20,6.1 单字刷部分字符的排列顺序,character order,The arrangement of characters within a single character.,The order of character strokes,6.1 Character placement in single-character brushes: certain characters' order
21,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Single character memorization of partial characters is arranged according to the corresponding character order in GB/T 11383-1989.,The characters are arranged according to the corresponding character order specified in GB/T 11383-1989.,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.
22,7 码位分配,7 digit allocation,7-digit code allocation,7-Digit Code Allocation,7 Code point allocation
23,2.双字部分的码位分配,Code point allocation for two-character components.,Code point allocation for the two-character components.,Allocation of code points for two-character components.,Code distribution for double word section.
24,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The arrangement of code positions for the double-byte part is divided into two parts, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code positions.","The arrangement of code positions for the double-byte part is divided into two ranges, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, totaling 23,940 code positions.","The arrangement of the double-byte character codes is divided into two parts, 0x8140 to 0xFE7F and 0x8180 to 0xFEFE, with a total of 23 940 character codes.",The double-byte part's code bit layout is split into two sections with a combined 23940 code bits each: 0x8140-0xFE7E and 0x8180-0xFEFE.
25,双字节 1 区 : 846 码位,"4,370 code points.",The 1st double-byte area has 846 code points.,"The 4,370 code points in the Double-Byte Area 1.",Dual-byte region 1: 846 code syllables
26,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,192 character positions,The code positions are in the range of 0xA8 to 0xA9 in the double-byte character set 5.,192 码位,The first byte 0xA8~0xA9 double-byte area 5: 192 yards
27,3.双字蔬部分编码空间结构图,Dual-character vegetable part encoding space structure diagram.,Encoding space structure diagram for dual-character vegetable components.,Diagram of the Encoding Structure for Dual-Character Vegetable Components.,3. Double-word vegetable diagram of partial encoding space
28,表 3 中没有指明的四字节人码位分配见 6.3。,The four-byte character code assignments not specified in Table 3 are given in 6.3.,The four-byte person code assignments not specified in Table 3 are in 6.3.,The four-byte character code assignments not specified in Table 3 are provided in Section 6.3.,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.
29,表 3 四字闻部分的码位安排,Table 3 Arrangement of code positions for four-character radical components.,Table 3 Arrangement of code positions for four-character radical components.,Arrangement of Code Positions for Four-Character Radical Components in Table 3.,Table 3 Course of action of code focuses within the four-character news portion
30,码位范围码位数字符数,"Code point range, code point count, character count.","Code point range, number of code points, character count.",Code digit count and range,Code digit count and range
31,8 部分字符和代码的说明,8 parts of character and code description.,The 8 parts of character and code description.,Explanation of the 8 Characters and Codes,Chars & Codes Explained
32,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Level 1 implementation supports the single-byte encoding part, the double-season encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738).","Level 1 implementation supports the single-byte encoding part, the double-byte encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738).","Level 1 implementation supports the single-byte encoding, double-byte encoding, and four-character encoding of CJK Unified Ideographs (i.e., <0x82358F33> - <0x82359636>) and CJK Unified Ideographs Extension A (i.e., <0x8139EE39> - <0x82358738>).","Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738)."
33,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, the implementation of Level 2 includes the encoding of Chinese characters that are not included in Level 1 of the ""General Standard Chinese Character Set"".","The implementation of Level 2 includes the Chinese characters that are not contained within Level 1 of the ""General Standard Chinese Character Set"".",Achieving Level 2 includes the encoding of Chinese characters that are not covered within the General Standard Chinese Character Set Level 1.,"The coded Chinese characters within the ""Common Detail Chinese Character Table,"" which are truant from the genuine level 1 execution, are moreover upheld."
34,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and supporting software shall meet the requirements of implementation level 2.,The system software and supporting software shall meet the requirements of implementation level 2.,The system software and supporting software shall meet the requirements of Level 2 implementation.,Framework computer program and assistant program must follow to level 2 benchmarks.
35,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","System software and document software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).","System software and document software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).","System software and document processing software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36,475 for information on software product classification).","Note: Working frameworks, database administration frameworks, and middleware are cases of framework program and supporting program. But they are not the as it were ones (see GB/Work 36475 for points of interest on computer program item classification)."
36,实现级别 3 包含实现级别 2。,Maturity level 3 includes maturity level 2.,Maturity level 3 includes the implementation of maturity level 2.,Execution level 3 contains execution level 2.,Execution level 3 contains execution level 2.
37,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,The products used for government services and public services should meet the requirements of achieving Level 3 accessibility.,The products used for government and public services should meet the Level 3 requirements.,The products used for government services and public services should meet the requirements of achieving 三级无障碍 (Level 3 accessibility).,Things utilized for open and administrative administrations must follow to level 3 determinations.
38,附录 A (规范性 ),Appendix A (Normative).,Appendix A (Normative).,Reference section A (Regulating),Reference section A (Regulating)
39,双字字符表,Character set.,Double character table,"Improved Translation Sentence:

Bi-character character set",twofold character table
40,A.2 表的说明,Table description,Description of the table,Table Description,A.2 Clarification of the table
41,第一字节第二字节低位,the first byte the second byte low bit,the first byte and the second byte's low bit,The least significant bit of the second byte.,The primary and moment bytes are moo
42,表意文字描述符,Ideographic description characters.,Ideographic description characters.,Ideographic Description Characters,Ideographic descriptor
43,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Graphic, Code Position, and Functional Description of Ideographic Description Characters","Table B.1: Graphic, Code Position, and Functional Description of Ideographic Description Characters",Table B.1: Functional Description of Ideographic Description Characters,"Table B.1 gives utilitarian, realistic, and code-location definitions of ideographic descriptors"
44,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code positions of this document are similar but not equal to the code positions of GB/T 13000, used to express external characters by borrowing certain characters.",The code positions in this document are similar but not equal to the code positions of GB/T 13000.,"The code positions in this document are similar but not identical to the GB/T 13000 standard, used to represent non-standard characters by borrowing certain characters.","In terms of work portrayal, the code focuses in this report are comparable to those in GB/T 13000 and are utilized to communicate outside characters by appropriating a particular word"
45,全包围结构,Unibody structure.,Unibody/Monocoque structure.,Monocoque body structure,Completely encased structure
46,回右包围结构,Encircle and surround.,Enact a flanking maneuver.,Surround the enemy with a flanking maneuver.,Back right encasing structure
47,回右上包围结构,Surround the upper right structure.,Return and surround the structure in the upper right.,Encircle the structure in the upper right.,Return to the upper right walled in area
48,C.1 表的内容,The content of the table.,C.1 The content of the table.,C.1 Substance of the table,C.1 Substance of the table
49,D.1 调整过的 18 个GB/T 13000 代码位置,Adjusted 18 GB/T 13000 code positions.,D.1 Adjustments to 18 GB/T 13000 code positions.,The 18 GB/T 13000 code positions were adjusted.,18 GB/T 13000 code places were balanced in D.1
50,本文件及 GB 18030 一 2005 的GB 18030 一 2005 对应的本文件对应的GB/T 工 13000 码位,The corresponding GB/T 13000 code positions of this document and GB 18030-2005.,The corresponding GB/T 13000 code positions of this document and GB 18030-2005.,The GB/T 13000 and GB 18030-2005 code positions corresponding to this document.,The GB/T 13000 code point related to this record is this archive and GB 18030-2005
51,D.2 在双字闻区删除的 6 个汉字构件,六个汉字构件,Six Chinese character components were deleted in the double-byte area.,Six Chinese character components removed from the double-character region.,"D.2 Within the Shuangzi Wen locale, six Chinese character components have been expelled"
52,D.3 在双字下区删除的 9 个 CJK 兼容汉字,九个 CJK 兼容汉字,The 9 CJK compatible characters that were deleted from the double-byte area.,The 9 CJK Compatibility Ideographs that were deleted from the double-byte character set.,D.3 Lower Twofold Word Region Evacuated 9 CJK Compliant Chinese Characters
53,表 D.3 删除的 9 个 CJK 兼容汉字和它们的代码位置,Table D.3 Nine CJK Compatibility Ideographs Removed and Their Code Positions,Table D.3 Nine CJK Compatibility Ideographs that were Removed and Their Code Positions,Table D.3: Nine Removed CJK Compatibility Characters and Their Code Positions,Table D.3: Code Areas for the Expelled Nine CJK Compliant Chinese Characters
54,附录开 (资料性)《通用规范汉字表》 汉字的代码位置,"The code positions of the characters in the ""General Standard Chinese Character Set"" (informative).","The code positions of the characters in the ""General Standard Chinese Character Set"" (informative appendix).","The code positions of the characters in the ""General Standard Chinese Character Set"".","Open reference sections (instructive) Chinese characters' ""Common Standard Chinese Character List"" code positions"
55,"本文件收录了 2013 年中华人民共和国国务院批准发布的 4 通用规范汉字表》 中的全部 8105 个规范汉字,它们的代码位置和字形见表1。","This document contains the full 8,105 standard Chinese characters approved and published by the State Council of the People's Republic of China in 2013. Their code positions and character forms are shown in Table 1.","This document contains the full 8,105 standard common Chinese characters approved and published by the State Council of the People's Republic of China in 2013. Their code positions and character forms are shown in Table 1.","This document contains the full 8,105 standard Chinese characters approved and published by the State Council in 2013. Their code points and character forms are shown in Table 1.","This archive incorporates all 8,105 standardized Chinese characters from the 2013 discharge of the People's Republic of China's State Council's Fourth Common Standardized Chinese Character List, their code areas and glyphs are recorded in Table 1."
56,GB/ 工 36475 软件产品分类,Software Product Classification GB/T 36475.,GB/T 36475 Software Product Classification.,GB/T 36475 Software Product Classification,GB/Work 36475 Computer program Item Classification
57,"如果发现手册页和软件之间有所矛盾,请查对Info","If there is a conflict between the manual page and the software, please refer to the Info.","If there is a conflict between the manual page and the software, please refer to the information.","If there is a conflict between the manual page and the software, please check the Information.",Check the Data area in the event that you find a contrast between the man page and the program
58,源文件后级名指出语言种类以及后期的操作:,source file suffix indicates the language type and subsequent operations,The file name suffix indicates the language type and any subsequent processing.,The source file's extension indicates the language type and the subsequent operations to be performed.,The dialect sort and ensuing operations are shown by the post-level title of the source record:
59,".c C 源程序; 预处理, 编译,汇编",".c C source program; preprocessing, compiling, assembling","The .c file is a C source code file that undergoes preprocessing, compilation, and assembly.",".C source code that does preprocessing, compilation, and gathering",".C source code that does preprocessing, compilation, and gathering"
60,".m Objective-C 源程序; 预处理,编译,汇编",".m Objective-C source code; preprocessing, compiling, assembling","Objective-C source code: preprocessing, compiling, and assembling.","Objective-C source program, including preprocessing, compiling, and assembly.","Preprocessing, compilation, and gathering for the.m Objective-C source program"
61,".i 预处理后的 c 文件;编译,汇编","Preprocessed C file; compile, assemble.",The preprocessed C file is compiled and assembled.,Preprocessed C file: compile and assemble.,"Preprocessing, compilation, and gathering for the.m Objective-C source program"
62,.a 归档库文件(Archive file),Archive file,Archived library file,Archived File,.a File record (Document record)
63,"除非使用了 -cec，-s, 或 -E 选项(或者编译错误阻止了完整的过程),否则连接总是最后的步骤.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the full process), linking is always the final step.","Unless the -cec, -s, or -E options are used, or a compilation error prevents the full process, linking is always the final step.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process), linking is always the final step.","Within the nonattendance of the -cec, -s, or -E choices, connecting is continuously the final step (or compilation blunders avoid the total prepare)."
64,选项必须分立给出 : de ' 完全不同于 `-d -r '.,separate options,"The options must be presented separately, not as ""-d -r"".","The options must be presented separately: ""of"" is completely different from ""-d -r"".","Parameters must be indicated separately since ""de"" and ""-d -r"" are totally diverse."
65,这里只列举不是默认选项的格式.,Here are the listed formats that are not the default options.,Here are the non-default formats listed.,Here are the formats that are not the default ones.,"Here, as it were designs that are not among the standard choices are recorded."
66,总体选项 (Overall Option),Overall Option,The overall set of options,Total Option,In general Choice
67,明确指出后面输入文件的语言为 language (而不是从文件名后绥得到的默认选择).,Clearly specify that the language of the input file is language (rather than the default selection obtained from the file name).,Clearly specify that the language of the input file is language (rather than the default selection obtained from the file name afterward).,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).
68,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件 RE AS E ` -x' 选项).","Close any explicit language specification, so process the file based on the file name (use the `-x' option).","Close any explicit language specification, so process the file based on the file name (use the `-x' option).",Close any explicit language specification and process the file using the RELEASE option.,"To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination."
69,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用 ` -x' 选项 (或文件名后 Ah) 告诉 geo 从哪里开始,用 `~-c' ，`-s' ,或 `-E' 选项告诉 geo 到哪里结束.注意,某些选项组合 (例如 ，`-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用 ` .o' 蔡换源文件名后级 ` .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略 -ec 选项后面任何无法识别的输入文伯 -S F 何事情.","If you only operate on a part of the four stages (preprocessing, compilation, assembly, and linking), you can use the `-x` option (or `Ah` after the file name) to tell GCC where to start, and use the `-c`, `-S`, or `-E` options to tell GCC where to end. Note that some option combinations (such as `-x cpp-output -E`) do not make sense and will result in an error. By default, GCC uses the `.o` extension to replace the source file name with the object file name. You can use the `-o` option to specify a different name. GCC ignores any unrecognized input files after the `-x` option.","One can use the `-x` option (or `Ah` after the file name) to tell GCC where to start, and use the `-c`, `-S`, or `-E` options to tell GCC where to end, if operating on a part of the four stages (preprocessing, compilation, assembly, and linking). Note that some option combinations (such as `-x cpp-output -E`) do not make sense and will result in an error. By default, GCC uses the `.o` extension to replace the source file name with the object file name. One can use the `-o` option to specify a different name. GCC ignores any unrecognized input files after the `-x` option.","The GCC (GNU Compiler Collection) allows you to operate on a part of the four stages (preprocessing, compilation, assembly, and linking). You can use the `-x` option (or `Ah` after the file name) to tell GCC where to start, and use the `-c`, `-S`, or `-E` options to tell GCC where to end. Note that some option combinations (such as `-x cpp-output -E`) do not make sense and will result in an error. By default, GCC uses the `.o` extension to replace the source file name with the object file name. You can use the `-o` option to specify a different name. GCC ignores any unrecognized input files after the `-x` option.","You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything."
70,"编译后即停止, 不进行汇编件.","Compilation stops immediately, no assembly is performed.","Compilation stops immediately, and no assembly is performed.",Compilation completes immediately without proceeding to assembly.,Stops after compilation and does not perform get together.
71,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的 C ""方言 "": 支持符合 ANSI 标准的 C 程序.","During the different stages of the compilation process, use pipes instead of temporary files to work, because those system assemblers cannot read data from pipes, but the GNU assembler does not have this problem. The C ""dialect"" that the assembler can accept: supports C programs that conform to the ANSI standard.",The GNU assembler supports C programs that conform to the ANSI standard.,"During the different stages of the compilation process, use pipes instead of temporary files, as the system assemblers cannot read data from pipes, but the GNU assembler does not have this problem. The assembler can accept C dialects that conform to the ANSI standard.","Since the constructing agents on those frameworks cannot examined from channels, utilize channels instead of brief records to move between the different compilation stages, this issue does not exist within the GNU constructing agent, constructing agents can utilize C ""lingos"" that bolster ANSI-compliant standard C programs."
72,"正常情况下, 这样的函数 foo 在 C++ 中意味着参数为空.","Normally, a function like foo in C++ means the parameters are empty.","Normally, a function like ""foo"" in C++ means that the parameters are empty.","In C++, a function named 'foo' typically indicates that the parameters are empty.","In C++, a function like foo often indicates that the argument is empty."
73,"详见NU c 手册,我们已经把细节删除, 这样当内容过时后, 人们也不会 HERI.","See the NU c manual for details, we have removed the specifics so that when the content becomes outdated, people will not HERI.","See the NU c manual for details. We have removed the specifics so that when the content becomes outdated, people will not be confused.","The NU c handbook provides the details. We have removed the specifics so that when the content becomes outdated, people will not need to pay attention to it.",Subtle elements can be found within the NU c handbook; we evacuated them so that perusers wouldn't HERI when the data was not pertinent.
74,他和`-Ethis-is-variable' 选项的果一样.,He and the `-Ethis-is-variable' option are the same.,The result of the `-Ethis-is-variable' option is the same as his.,The outcome for him and the 'this is variable' option is the same.,"It has the same impact as the ""-Ethis-is-variable"" alternative."
75,#NAME?,The traditional-cpp attempts to support certain aspects of the traditional Cc preprocessor.,traditional-cpp attempts to support certain aspects of the traditional C preprocessor.,The traditional C++ preprocessor tool attempts to support certain features of the classic C preprocessor.,-traditional-cpp bolsters a number of highlights of the customary Cc preprocessor.
76,"相对应的, 如果编译时使用缺省选项 ` -fno-exteznal-templates', 所有模板实例明确的设为内置.","The corresponding, if the default option `-fno-external-templates` is used during compilation, all template instances are explicitly set to be inline.","If the default option `-fno-external-templates` is used during compilation, all template instances are explicitly set to be embedded.","If the default option `-fno-external-templates` is used during compilation, all template instances are set to be internal.","Hence, all format occasions are expressly indicated as built-ins when compiling with the default ""-fno-exteznal-templates"" choice."
77,"有些情况下, 编译器能够判断出可以直接调用某个虚函数; 这时就直接调用.","In some cases, the compiler can determine that a virtual function can be called directly; in such cases, it will call the function directly.","In some cases, the compiler can determine that a virtual function can be called directly, and it will do so.","In some cases, the compiler can determine that a virtual function can be called directly, and it will do so.","A virtual work may once in a while be able to be called specifically in case the compiler decides it can; in this case, it'll be."
78,这种表达式的值是 Void.-fthis-—is-variable 允许对 this 赋值 (仅对 c++).,The value of this expression is Void.-fthis-—is-variable allows assignment to this (C++ only).,This expression evaluates to void. The variable 'this' is only assignable in C++.,"This expression has a value of Void, and it allows assigning a value to 'this' variable (C++ only).",Such an expression incorporates a esteem of Void. Task to typically permitted (as it were in C++) utilizing the hail -fthis—is-variable.
79,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.","This option, and its opposite option, make the program work with the corresponding default values.",This option and its opposite option set the program to work with the corresponding default values.,This option and its opposite set the program to work with the corresponding default values.,This choice and its inverse constrain the identical default behavior for that program.
80,"如果没有明确声明 ` signed' 或 ""unsigned'修饰符, 这些选项用来定义有符号位域 (bitfield) 或无符号位域.","If no explicit `signed' or `unsigned' modifier is stated, these options are used to define signed bitfields or unsigned bitfields.","If no explicit `signed` or `unsigned` modifier is stated, these options are used to define signed bit-fields or unsigned bit-fields.","Lorsque le modificateur `signé` ou `non signé` n'est pas explicitement indiqué, ces options sont utilisées pour définir des champs de bits signés ou non signés par défaut.",These alternatives are utilized to characterize marked or unsigned bitfields in case no “signed” or “unsigned” modifiers are explicitly given.
81,"这是为了兼容一些老程序,他们算改字符串常量是一个非常糟糕的想法、`-traditional' 选项也有相同效果.","This is to be compatible with some old programs, they think that changing string constants is a very bad idea, the `-traditional' option also has the same effect.","This is to be compatible with some old programs, changing string constants is a very bad idea, and the `-traditional' option also has the same effect.","This is to ensure compatibility with some old programs, as they consider changing string constants a very bad idea. The traditional option also has the same effect.","Typically done to guarantee compatibility with more seasoned applications that do not think it's a great thought to alter string constants, the same result is accomplished utilizing the “-traditional” choice."
82,其影响可能类似于2008年的经济危机,The impact may be similar to the economic crisis of 2008.,The impact may be similar to that of the 2008 economic crisis.,The impact could be akin to the 2008 financial crisis.,The impacts can be comparable to the monetary emergency of 2008
