index,source,zero_shot,single_agent,maats,reference
10,留作未来本文件规定的区 域 。,Reserved for the area specified in this document for the future.,Reserved for future use in the area specified in this document.,Reserved for future use in the area specified in this document.,Area set aside for this document's future provisions.
11,4 字汇,"The translation of ""4 字汇"" from Chinese to English is ""4-character phrases"" or ""four-character idioms.""","4-character phrases or ""four-character idioms""",Four-character expressions,4 Vocabulary
12,4.3 双字节部分,4.3 Double Byte Section,4.3 Double Byte Part,4.3 Double-Byte Section.,4.3 Double-byte part
13,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","The double-byte section contains all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some additional graphic characters.","All of the graphic characters in GB/T 2312-1980, CJK unified Chinese characters, and portions of the graphic characters in GB/T 13000 are included in the double-byte component."
14,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","Among them, the graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","The graphics, code positions and functions of ideographic character descriptors must adhere to the guidelines in Appendix B.","Among these, the Appendix B requirements must be followed for the graphics, code places, and functions of ideographic descriptors."
15,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned individual code points; characters with the same abstract glyph but different origins are assigned a shared code point.,"Chinese characters with unique abstract glyphs are assigned individual code points, while characters with the same abstract glyph but different origins are assigned a shared code point.","Chinese characters with unique abstract glyphs are assigned individual code points, while characters with the same abstract glyph but different sources are assigned a shared code point.","Chinese characters with distinctive abstract glyphs are given their own code positions, while characters with the same abstract glyph but from various sources are given a similar code position."
16,4.4 四字节部分,4.4 Four-Byte Section,4.4 Four-Byte Part,4.4 Four-Character Part.,4.4 Four-byte part
17,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not included in the aforementioned double-byte characters (9FA6-9FEF, excluding 8 characters from 9FB4-9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","The text lists various Chinese characters in different standards, including GB/T 13000, .CJK unified character extensions A and C/D, and expansions."
18,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","In the appendix, all encoded representations are in hexadecimal; other numbers are represented in decimal.","The appendix's codes are all expressed in hexadecimal, while decimal is used for all other values."
19,6 字符的排列顺序,The order of arrangement for 6 characters.,The order of arrangement of 6 characters.,The arrangement order of 6 characters.,6 character character sort order
20,6.1 单字刷部分字符的排列顺序,6.1 Single-character brushing of the order of some characters,6.1 Arrangement order of individual characters in some parts,6.1 Single-character sorting of some characters' arrangement order,6.1 Character placement in single-character brushes: certain characters' order
21,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,The single characters are arranged in the order of the corresponding characters in GB/I 11383-1989.,The single characters are arranged in the order of the corresponding characters in GB/I 11383-1989.,Single-character records of some characters are arranged according to the sequence of corresponding characters in GB/T 11383-1989.,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.
22,7 码位分配,7-digit code allocation,7 code point allocation,7 code point allocation,7 Code point allocation
23,2.双字部分的码位分配,2. Code point allocation for the double-character section,2. Code point allocation for the double-byte section,2. Code point allocation for the two-character section.,Code distribution for double word section.
24,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code points.","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code points.","The code point arrangement for the double-byte section is divided into two parts: 0x8140–0xFE7E and 0x8180–0xFEFE, comprising a total of 23940 code points.",The double-byte part's code bit layout is split into two sections with a combined 23940 code bits each: 0x8140-0xFE7E and 0x8180-0xFEFE.
25,双字节 1 区 : 846 码位,Double-byte Area 1: 846 code points,Double-byte Area 1: 846 code points,Zone 1 of the Double Byte Character Set: 846 code points.,Dual-byte region 1: 846 code syllables
26,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,"First byte 0xA8~0xA9, double byte, zone 5: 192 code positions","First byte 0xA8~0xA9; double byte, section 5: 192 code positions","The first byte ranges from 0xA8 to 0xA9, with double-byte encoding in section 5, providing 192 code positions.",The first byte 0xA8~0xA9 double-byte area 5: 192 yards
27,3.双字蔬部分编码空间结构图,3. Double-Character Vegetable Partial Encoding Spatial Structure Diagram,3. Dual-Character Vegetable Partial Encoding Spatial Structure Diagram,3 Two-Character Veggie partial encoding spatial structure diagram,3. Double-word vegetable diagram of partial encoding space
28,表 3 中没有指明的四字节人码位分配见 6.3。,The allocation of four-byte character code points not specified in Table 3 can be found in section 6.3.,The allocation of four-byte character code points not specified in Table 3 can be found in section 6.3.,The allocation of four-byte human code points not specified in Table 3 can be found in section 6.3.,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.
29,表 3 四字闻部分的码位安排,Table 3: Code Point Arrangement for Four-Character Phrases in the Listening Section,Table 3: Code Point Arrangement for the Four-Character Listening Section,Table 3: Code Point Arrangement for Four-Character Idioms in the Listening Comprehension Section,Table 3 Course of action of code focuses within the four-character news portion
30,码位范围码位数字符数,"The translation of ""码位范围码位数字符数"" from Chinese to English is ""Code point range code point number of characters.""",Character count of code point range and code point number.,Number of characters in the code point range.,Code digit count and range
31,8 部分字符和代码的说明,Explanation of 8 parts of characters and codes,Explanation of characters and codes in 8 parts,Explanation of the eight parts of characters and codes.,Chars & Codes Explained
32,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Translate the following from Chinese to English:

Implement level 1 support for the single-byte encoding section, double-byte encoding section, and four-byte encoding section of this document for CJK Unified Ideographs (i.e., 0x82358F33 to 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 to 0x82358738).","Implement level 1 support for the single-byte encoding section, double-season encoding section, and four-byte encoding section of this document for CJK Unified Ideographs (i.e., 0x82358F33 to 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 to 0x82358738).","Implement level 1 support for the single-byte encoding part, double-byte encoding part, and four-byte encoding part of this document for CJK Unified Ideographs, that is, 0x82358F33 to 0x82359636, and CJK Unified Ideographs Extension A, that is, 0x8139EE39 to 0x82358738.","Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738)."
33,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, Level 2 also includes encoded Chinese characters from the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","In addition, Level 2 also contains encoded Chinese characters from the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","In addition, Implementation Level 2 also supports encoded Chinese characters from the ""Table of General Standard Chinese Characters,"" which are not part of Level 1.","The coded Chinese characters within the ""Common Detail Chinese Character Table,"" which are truant from the genuine level 1 execution, are moreover upheld."
34,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and support software should meet the requirements of Level 2.,System software and support software should meet the requirements of Level 2.,System software and support software should meet the requirements of implementation level 2.,Framework computer program and assistant program must follow to level 2 benchmarks.
35,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","Note: System software and application software include, but are not limited to, operating systems, database management systems, and middleware (for information on software product classification, see GB/T 36475).","Note: System software and supporting software include, but are not limited to, operating systems, database management systems, and middleware. (For information on software product classification, see GB/T 36475).","Note: System software and supporting software include but are not limited to operating systems, database management systems and middleware (for information on software product classification, see GB/T 36475).","Note: Working frameworks, database administration frameworks, and middleware are cases of framework program and supporting program. But they are not the as it were ones (see GB/Work 36475 for points of interest on computer program item classification)."
36,实现级别 3 包含实现级别 2。,Level 3 implementation includes Level 2 implementation.,Level 3 implementation includes Level 2 implementation.,The implementation of level 3 encompasses that of level 2.,Execution level 3 contains execution level 2.
37,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,Products used for government services and public services should meet the requirements of Level 3.,Products used for government services and public services should meet the requirements of Level 3 of implementation.,Products used for government services and public services should comply with Jihui level 3 requirements.,Things utilized for open and administrative administrations must follow to level 3 determinations.
38,附录 A (规范性 ),Appendix A (Normative),Appendix A Normative,Appendix A (normative),Reference section A (Regulating)
39,双字字符表,Double-character table,Double-byte character table,Double-Byte Character Table,twofold character table
40,A.2 表的说明,A.2 Table Description,A.2 Table Description,A.2 Description of the table,A.2 Clarification of the table
41,第一字节第二字节低位,"The first byte, the second byte, low-order bits.",The low-order bits of the first byte and the second byte.,The low byte of the first and second bytes.,The primary and moment bytes are moo
42,表意文字描述符,"The translation of ""表意文字描述符"" from Chinese to English is ""ideogram descriptor.""",Ideographic character descriptor,Ideographic Character Descriptor,Ideographic descriptor
43,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Table B.1 Ideographic Descriptor Symbols, Code Positions, and Functional Descriptions","Table B.1 Ideographic Descriptor Symbols, Code Positions, and Functional Descriptions","Table B.1 Graphical Representations of Ideographic Descriptors, Code Positions, and Functional Descriptions","Table B.1 gives utilitarian, realistic, and code-location definitions of ideographic descriptors"
44,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code points in this document are similar but not equal to the code point function descriptions in GB/T 13000, and are used to express foreign characters using certain characters.",The code points in this document are similar but not equal to the code point function descriptions in GB/T 13000 and are used to express foreign characters by borrowing certain characters.,The code points in this document are similar but not equal to the code point function descriptions in GB/T 13000 and are used to express foreign characters with certain characters.,"In terms of work portrayal, the code focuses in this report are comparable to those in GB/T 13000 and are utilized to communicate outside characters by appropriating a particular word"
45,全包围结构,"The translation of ""全包围结构"" to English is ""fully enclosed structure.""",All-encompassing structure.,All-encompassing structure,Completely encased structure
46,回右包围结构,"The phrase ""回右包围结构"" translates to ""right-enclosed structure"" in English.","The phrase ""回右包围结构"" translates to ""return right-enclosed structure"" in English.",,Back right encasing structure
47,回右上包围结构,The structure that encloses from the top right.,The structure with an enclosing design from the upper right.,A structure that encloses on three sides from the right and top.,Return to the upper right walled in area
48,C.1 表的内容,C.1 Table Contents,C.1 Contents of the Table,C.1 Table of Contents,C.1 Substance of the table
49,D.1 调整过的 18 个GB/T 13000 代码位置,D.1 Adjusted 18 GB/T 13000 code positions,D.1 Adjusted positions of 18 GB/T 13000 codes,D.1 Revised 18 GB/T 13000 code locations,18 GB/T 13000 code places were balanced in D.1
50,本文件及 GB 18030 一 2005 的GB 18030 一 2005 对应的本文件对应的GB/T 工 13000 码位,The document and GB 18030-2005 correspond to the GB/T 13000 code points in this document.,This document and GB 18030-2005 correspond to the GB/T 13000 code points specified in this document.,This document and GB 18030-2005 correspond to the code points of GB/T 13000 in this document.,The GB/T 13000 code point related to this record is this archive and GB 18030-2005
51,D.2 在双字闻区删除的 6 个汉字构件,D.2 Six Chinese character components removed in the double-character recognition area,D.2 Six components of Chinese characters were removed in the dual-character identification area.,D.2 Six Chinese character components removed in the Double-Character Area,"D.2 Within the Shuangzi Wen locale, six Chinese character components have been expelled"
52,D.3 在双字下区删除的 9 个 CJK 兼容汉字,D.3 The 9 CJK compatibility characters removed from the double-byte lower area,D.3 The 9 CJK compatibility characters removed from the subarea of double-byte characters,D.3 The nine CJK compatibility characters removed from the Lower Zone of Double-Byte Characters,D.3 Lower Twofold Word Region Evacuated 9 CJK Compliant Chinese Characters
53,表 D.3 删除的 9 个 CJK 兼容汉字和它们的代码位置,Table D.3 Deleted 9 CJK Compatibility Ideographs and Their Code Positions,Table D.3 9 Deleted CJK Compatibility Ideographs and Their Code Positions,Table D.3 Nine Deleted CJK Compatibility Han Characters and Their Code Positions.,Table D.3: Code Areas for the Expelled Nine CJK Compliant Chinese Characters
54,附录开 (资料性)《通用规范汉字表》 汉字的代码位置,"Appendix Open (Informational) ""Table of General Standard Chinese Characters"" Code Positions of Chinese Characters","Appendix (Informational) ""Table of General Standard Chinese Characters"" Positions of Chinese Character Codes","Informational Appendix: General Standard Chinese Characters Table, Chinese Characters' Code Positions","Open reference sections (instructive) Chinese characters' ""Common Standard Chinese Character List"" code positions"
55,"本文件收录了 2013 年中华人民共和国国务院批准发布的 4 通用规范汉字表》 中的全部 8105 个规范汉字,它们的代码位置和字形见表1。","This document includes all 8,105 standardized Chinese characters from the ""Table of General Standard Chinese Characters"" approved and published by the State Council of the People's Republic of China in 2013. Their code positions and glyphs are shown in Table 1.","This document includes all 8,105 standardized Chinese characters from the ""Table of General Standard Chinese Characters"" approved and published by the State Council of the People's Republic of China in 2013, with their code positions and glyphs shown in Table 1.","This document includes all 8105 standardized Chinese characters from the ""Table of General Standard Chinese Characters,"" which was approved and published by the State Council of the People's Republic of China in 2013. Table 1 shows their code positions and glyphs.","This archive incorporates all 8,105 standardized Chinese characters from the 2013 discharge of the People's Republic of China's State Council's Fourth Common Standardized Chinese Character List, their code areas and glyphs are recorded in Table 1."
56,GB/ 工 36475 软件产品分类,GB/T 36475 Software Product Classification,GB/ 36475 Software Product Classification,GB/工 36475 Software Product Classification,GB/Work 36475 Computer program Item Classification
57,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find any discrepancies between the manual page and the software, please refer to the Info documentation.","If you find any discrepancies between the manual page and the software, please check the Info documentation.","If you find any discrepancies between the manual page and the software, please check the Info documentation.",Check the Data area in the event that you find a contrast between the man page and the program
58,源文件后级名指出语言种类以及后期的操作:,The file extension of the source file indicates the type of language and subsequent operations.,The file extension of the source file indicates the language type and subsequent operations.,The source file's extension indicates the language type and later operations.,The dialect sort and ensuing operations are shown by the post-level title of the source record:
59,".c C 源程序; 预处理, 编译,汇编",".c C source program; preprocessing, compiling, assembling",".c C source program; preprocessing, compiling, and assembling",".c C source code; preprocessing, compilation, and assembly",".C source code that does preprocessing, compilation, and gathering"
60,".m Objective-C 源程序; 预处理,编译,汇编",".m Objective-C source code; preprocessing, compiling, assembling",".m Objective-C source program; preprocessing, compiling, assembling",".m Objective-C source program, preprocessing, compilation, and assembly","Preprocessing, compilation, and gathering for the.m Objective-C source program"
61,".i 预处理后的 c 文件;编译,汇编","Preprocessed .c files; compile, assemble","Preprocess the .c files, then compile and assemble them.","Preprocess .c files, then compile and assemble.","Preprocessing, compilation, and gathering for the.m Objective-C source program"
62,.a 归档库文件(Archive file),Archive file,.a Archive file,The .a archive file,.a File record (Document record)
63,"除非使用了 -cec，-s, 或 -E 选项(或者编译错误阻止了完整的过程),否则连接总是最后的步骤.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process), linking is always the final step.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process), connection is always the final step.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process) linking in the software compilation process always comes last.","Within the nonattendance of the -cec, -s, or -E choices, connecting is continuously the final step (or compilation blunders avoid the total prepare)."
64,选项必须分立给出 : de ' 完全不同于 `-d -r '.,The options must be given separately: completely different from `-d -r`.,The options must be given separately: distinct from `-d -r`.,Options must be provided separately: distinctly from '-d -r'.,"Parameters must be indicated separately since ""de"" and ""-d -r"" are totally diverse."
65,这里只列举不是默认选项的格式.,Only non-default formats are listed here.,Only non-default formats are listed here.,"Here, only the non-default options are listed.","Here, as it were designs that are not among the standard choices are recorded."
66,总体选项 (Overall Option),Overall Option,Overall Option,General options,In general Choice
67,明确指出后面输入文件的语言为 language (而不是从文件名后绥得到的默认选择).,"Explicitly specify that the language of the input file is ""language"" (rather than the default choice derived from the file extension).","Explicitly specify that the language of the input file is ""language"" (rather than the default choice derived from the file extension).","Explicitly specify that the language of the subsequent input file is ""language"" (rather than the default choice derived from the file extension).",Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).
68,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件 RE AS E ` -x' 选项).","Close any explicit language specifications, and then process the subsequent files based on the file name suffix (using the `-x' option).","Disable any explicit language specifications, and then process the subsequent files based on the file name suffix (using the ""-x"" option).","Close any explicit language specifications related to file processing, and then process the files based on the file name suffix.","To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination."
69,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用 ` -x' 选项 (或文件名后 Ah) 告诉 geo 从哪里开始,用 `~-c' ，`-s' ,或 `-E' 选项告诉 geo 到哪里结束.注意,某些选项组合 (例如 ，`-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用 ` .o' 蔡换源文件名后级 ` .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略 -ec 选项后面任何无法识别的输入文伯 -S F 何事情.","If you only want to perform a portion of the four stages (preprocessing, compiling, assembling, linking), you can use the `-x` option (or append Ah to the filename) to tell the compiler where to start, and use the `-c`, `-s`, or `-E` options to tell it where to stop. Note that certain combinations of options (such as `-x cpp-output -E`) will not compile or assemble the source file. By default, GCC replaces the source filename extension with `.o` for object files. You can use the `-o` option to choose a different name. GCC ignores any unrecognized input following the `-ec` option and does nothing.","If you only want to perform a portion of the four stages (preprocessing, compiling, assembling, linking), you can use the -x option (or append Ah to the filename) to specify where to start, and use the -c, -s, or -E options to specify where to stop. Note that certain combinations of options (such as -x cpp-output -E) will not compile or assemble the source file. By default, GCC replaces the source filename extension with .o for object files. You can use the -o option to choose a different name.","If you only want to perform a portion of the four stages (preprocessing, compiling, assembling, linking), you can use the `-x` option (or append `.a.h` to the filename) to tell GCC where to start and use the `-c`, `-s`, or `-E` options to tell it where to stop. Note that certain combinations of options (such as `-x cpp-output -E`) will not compile or assemble the source file. By default, GCC replaces the source filename extension with `.o` for object files. You can use the `-o` option to choose a different name. GCC ignores any unrecognized input following the `-x` option and does nothing.","You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything."
70,"编译后即停止, 不进行汇编件.","Stop after compilation, do not proceed to assembly.","Stop after compilation, do not proceed to the assembly stage.",Stop immediately after compilation. Do not proceed to the assembly stage.,Stops after compilation and does not perform get together.
71,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的 C ""方言 "": 支持符合 ANSI 标准的 C 程序.","Use pipelines instead of temporary files between different stages of the compilation process, as the assemblers on those systems cannot read data from pipelines. The GNU assembler does not have this issue. The assembler can accept C ""dialects"" that support ANSI standard-compliant C programs.","Use pipelines instead of temporary files between different stages of the compilation process, as the assemblers on those systems cannot read data from pipelines, but the GNU assembler does not have this problem. The assembler can accept C dialects that comply with ANSI standard C programs.","Use pipelines instead of temporary files between stages of the compilation process because assemblers on those systems cannot read data from pipelines. The GNU assembler does not have this issue. The assembler can accept a C ""dialect"" that is compliant with the ANSI standard.","Since the constructing agents on those frameworks cannot examined from channels, utilize channels instead of brief records to move between the different compilation stages, this issue does not exist within the GNU constructing agent, constructing agents can utilize C ""lingos"" that bolster ANSI-compliant standard C programs."
72,"正常情况下, 这样的函数 foo 在 C++ 中意味着参数为空.","Under normal circumstances, a function like `foo` in C++ implies that the parameter is null.","Under normal circumstances, a function like `foo` in C++ implies that the parameter is empty.","Under normal circumstances, a function like `foo` in C++ means that the parameter is empty.","In C++, a function like foo often indicates that the argument is empty."
73,"详见NU c 手册,我们已经把细节删除, 这样当内容过时后, 人们也不会 HERI.","See the NU c manual for details. We have removed the specifics so that when the content becomes outdated, people won't HERI.","See the NU c manual for details. We have removed the specifics so that when the content becomes outdated, people won't be confused.","See the NU c manual for details. We have removed the specifics so that when the content becomes outdated, people won't be affected.",Subtle elements can be found within the NU c handbook; we evacuated them so that perusers wouldn't HERI when the data was not pertinent.
74,他和`-Ethis-is-variable' 选项的果一样.,He is the same as the result of the `-Ethis-is-variable` option.,He is similar to the outcome of the `-Ethis-is-variable` option.,"He is similar to the outcome of the ""-Ethis-is-variable"" option.","It has the same impact as the ""-Ethis-is-variable"" alternative."
75,#NAME?,#NAME?,-traditional-cpp attempts to support certain aspects of the traditional C preprocessor.,-traditional-cpp attempts to support certain features of the traditional C preprocessor.,#NAME?
76,"相对应的, 如果编译时使用缺省选项 ` -fno-exteznal-templates', 所有模板实例明确的设为内置.","Correspondingly, if the default option `-fno-external-templates' is used during compilation, all template instances are explicitly set to be built-in.","Correspondingly, if the default setting `-fno-external-templates' is used during compilation, all template instances are explicitly set to be built-in.","Correspondingly, if the default option `-fno-external-templates' is used during compilation, all template instances are explicitly set as internal.","Hence, all format occasions are expressly indicated as built-ins when compiling with the default ""-fno-exteznal-templates"" choice."
77,"有些情况下, 编译器能够判断出可以直接调用某个虚函数; 这时就直接调用.","In some cases, the compiler can determine that a particular virtual function can be called directly; in such instances, it calls it directly.","In some cases, the compiler can determine that a particular virtual function can be called directly; in such instances, it calls it directly.","In some cases, the compiler can determine that a certain virtual function can be called directly, and in such cases, it is called directly.","A virtual work may once in a while be able to be called specifically in case the compiler decides it can; in this case, it'll be."
