index,source,zero_shot,single_agent,maats,reference
10,留作未来本文件规定的区 域 。,Reserved for the future area stipulated in this document.,Area reserved for future use as specified in this document.,Reserved for the area specified in this document for future use.,Area set aside for this document's future provisions.
11,4 字汇,Vocabulary,Vocabulary 4,Vocabulary 4,4 Vocabulary
12,4.3 双字节部分,Double-byte section,4.3 Double-byte section,4.3 Double-byte section,4.3 Double-byte part
13,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte portion includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","The double-byte section includes all graphic characters from GB/T 2312-1980, as well as the CJK unified ideographs and some graphic characters from GB/T 13000.","The double-byte section includes all graphic characters from GB/T 2312-1980, as well as the CJK unified ideographs and some graphic characters from GB/T 13000.","All of the graphic characters in GB/T 2312-1980, CJK unified Chinese characters, and portions of the graphic characters in GB/T 13000 are included in the double-byte component."
14,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","Among them, the graphics, code positions, and functions of ideographic description characters shall comply with the provisions of Annex B.","Wherein, the graphics, code positions, and functions of the ideographic character descriptors shall conform to the provisions of Appendix B.","The graphics, code positions, and functions of the ideographic character descriptors shall conform to the provisions of Appendix B.","Among these, the Appendix B requirements must be followed for the graphics, code places, and functions of ideographic descriptors."
15,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Characters with unique abstract glyph shapes are assigned individual code points; characters from different sources but with the same abstract glyph shape are assigned shared code points.,Chinese characters with unique abstract glyphs are assigned separate code points; Chinese characters from different sources but with identical abstract glyphs are assigned shared code points.,"Chinese characters with unique abstract glyphs are assigned separate code points, while those from different sources but with identical abstract glyphs share code points.","Chinese characters with distinctive abstract glyphs are given their own code positions, while characters with the same abstract glyph but from various sources are given a similar code position."
16,4.4 四字节部分,4.  4-byte portion,4.4 Four-byte section,4.4 Four-byte section,4.4 Four-byte part
17,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 outside the aforementioned double-byte characters (9FA6 to 9FEF, excluding the 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of ethnic minority scripts already encoded in GB/T 13000.","The four-byte section includes, in addition to the aforementioned double-byte characters, 66 CJK Unified Ideographs from GB/T 13000 (9FA6–9FEF, excluding the 8 characters from 9FB4–9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters for minority scripts already encoded in GB/T 13000.","The four-byte section includes, in addition to the aforementioned double-byte characters, 66 CJK Unified Ideographs from GB/T 13000 (9FA6–9FEF, excluding the 8 characters from 9FB4–9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters for minority scripts already encoded in GB/T 13000.","The text lists various Chinese characters in different standards, including GB/T 13000, .CJK unified character extensions A and C/D, and expansions."
18,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","All encoded representations in the appendix are in hexadecimal, while all other numbers are in decimal.","In the appendix, all encoded representations are in hexadecimal, and all other numbers are represented in decimal.","In the appendix, all encoded representations are in hexadecimal, and all other numbers are represented in decimal.","The appendix's codes are all expressed in hexadecimal, while decimal is used for all other values."
19,6 字符的排列顺序,Permutation of 6 characters,Order of 6 characters,Arrangement of 6 characters,6 character character sort order
20,6.1 单字刷部分字符的排列顺序,6.1 Order of character arrangement when brushing single characters.,6.1 Arrangement order of some characters in single-character display.,6.1 Arrangement order of some characters in single-character rendering.,6.1 Character placement in single-character brushes: certain characters' order
21,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Single-character memory sections are arranged according to the order of corresponding characters in GB/I 11383-1989.,Characters in the single-character section are arranged according to the order of the corresponding characters in GB/I 11383-1989.,Characters in the single-character section are arranged according to the order of the corresponding characters in GB/I 11383-1989.,Certain characters in single-character remarks are organized in the same sequence as their GB/I 11383-1989 counterparts.
22,7 码位分配,7-bit code assignment,7 Code point allocation,7 Code point allocation,7 Code point allocation
23,2.双字部分的码位分配,Double-character portion code point allocation,2. Code position assignment for the two-character part.,2. Code position assignment for two-character sequences.,Code distribution for double word section.
24,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, totaling 23940 code points.","The code points for the double-byte section are divided into two parts: 0x8140-0xFE7E and 0x8180-0xFEFE, for a total of 23,940 code points.","The code points of the double-byte section are divided into two parts: 0x8140-0xFE7E and 0x8180-0xFEFE, for a total of 23,940 code points.",The double-byte part's code bit layout is split into two sections with a combined 23940 code bits each: 0x8140-0xFE7E and 0x8180-0xFEFE.
25,双字节 1 区 : 846 码位,Double-byte Area 1: 846 code points,Double-byte Section 1: Code point 846,Double-byte Area 1: Code point 846,Dual-byte region 1: 846 code syllables
26,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,"First byte 0xA8~0xA9, double-byte 5th area: 192 code points.","First byte 0xA8-0xA9, double-byte Zone 5: 192 code points.","First byte 0xA8-0xA9, double-byte zone 5: 192 code points.",The first byte 0xA8~0xA9 double-byte area 5: 192 yards
27,3.双字蔬部分编码空间结构图,Double-Character Vegetable Part Encoding Space Structure Diagram,3. Structure diagram of the encoding space for the two-character vegetable part.,3. Structure diagram of the encoding space for the two-character Shu part.,3. Double-word vegetable diagram of partial encoding space
28,表 3 中没有指明的四字节人码位分配见 6.3。,Four-byte character assignments not specified in Table 3 are defined in 6.3.,The allocation of four-byte code points not specified in Table 3 is given in 6.3.,The allocation of four-byte code points not specified in Table 3 is given in 6.3.,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.
29,表 3 四字闻部分的码位安排,Table 3. Code point arrangement for the Four-Corner Method section.,Table 3: Code point arrangement for the four-character section.,Table 3: Code point arrangement for the four-character block.,Table 3 Course of action of code focuses within the four-character news portion
30,码位范围码位数字符数,Code point range code point number number of characters,"Code point range, number of code points, number of characters","Code point range, number of code points, and number of characters",Code digit count and range
31,8 部分字符和代码的说明,Explanations of 8 parts of characters and codes.,8 Explanation of some characters and code,8 Explanation of certain characters and code,Chars & Codes Explained
32,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Implement Level 1 support for the single-byte encoded section, double-byte encoded section, and four-byte encoded section of CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) as described in this document.","Implement Level 1 support for the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) within the single-byte, double-byte, and four-byte encoding parts of this document.","Implement Level 1 support for the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738) within the single-byte, double-byte, and four-byte encoding schemes described in this document.","Realize the single-byte coded parcel, double-season coded portion, and four-character subcoded parts of this record utilizing the CJK bound together Chinese characters (that is, 0x82358F33-0x82359636) and CJK bound together Chinese characters expanded A (that is, 0x8139EE39-0x82358738)."
33,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, Level 2 implementation should also support encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","In addition, Implementation Level 2 also supports the encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Implementation Level 1.","In addition, Implementation Level 2 also supports the encoded Chinese characters in the ""Table of General Standard Chinese Characters"" that are not included in Implementation Level 1.","The coded Chinese characters within the ""Common Detail Chinese Character Table,"" which are truant from the genuine level 1 execution, are moreover upheld."
34,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and support software shall meet the requirements of achieving Level 2.,System software and supporting software should meet the requirements for achieving Level 2.,System software and supporting software should meet the Level 2 requirements.,Framework computer program and assistant program must follow to level 2 benchmarks.
35,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","Note: System software and supporting software include, but are not limited to, operating systems, database management systems, and middleware (see GB/T 36475 for information on the classification of software products).","Note: System software and supporting software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).","Note: System software and supporting software include but are not limited to operating systems, database management systems, middleware (see GB/ 工 36475 for information on software product classification).","Note: Working frameworks, database administration frameworks, and middleware are cases of framework program and supporting program. But they are not the as it were ones (see GB/Work 36475 for points of interest on computer program item classification)."
36,实现级别 3 包含实现级别 2。,Achieving Level 3 includes achieving Level 2.,Implementation Level 3 includes Implementation Level 2.,Implementation Level 3 includes Implementation Level 2.,Execution level 3 contains execution level 2.
37,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,Products used for government services and public services should meet the requirements of implementation level 3.,Products for government services and public services should meet the requirements of Implementation Level hui 3.,Products for government services and public services should meet the requirements of Implementation Level 3.,Things utilized for open and administrative administrations must follow to level 3 determinations.
38,附录 A (规范性 ),Appendix A (Normative),Appendix A (normative),Appendix A (normative),Reference section A (Regulating)
39,双字字符表,Double-byte character set,Double Character Table,Double-Byte Character Table,twofold character table
40,A.2 表的说明,Table Description,A.2 Explanation of the table,A.2 Explanation of the table,A.2 Clarification of the table
41,第一字节第二字节低位,Lower bits of the second byte of the first byte,"First byte, low bit of the second byte",First byte and the low bit of the second byte,The primary and moment bytes are moo
42,表意文字描述符,Ideographic Description Sequence,Ideographic character descriptor,Ideographic character descriptor,Ideographic descriptor
43,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Table B.1: Glyphs, Code Positions, and Functional Descriptions of Ideographic Descriptors","Table B.1: Graphics, Code Positions, and Functional Descriptions of Ideographic Character Descriptors","Table B.1: Graphics, Code Positions, and Functional Descriptions of Ideographic Character Descriptors","Table B.1 gives utilitarian, realistic, and code-location definitions of ideographic descriptors"
44,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code positions in this document have similar but not identical functional descriptions to the code positions in GB/T 13000, and are used to express foreign characters by borrowing a character.","The functional description of the code points in this document is similar but not identical to that of the code points in GB/T 13000, used for representing external characters by borrowing certain characters.",The functional description of the code points in this document is similar but not identical to that of the code points in GB/T 13000 and is used for representing external characters by borrowing certain characters.,"In terms of work portrayal, the code focuses in this report are comparable to those in GB/T 13000 and are utilized to communicate outside characters by appropriating a particular word"
45,全包围结构,Fully enclosed structure.,Full enclosure structure,fully enclosed structure,Completely encased structure
46,回右包围结构,Right enveloping structure,Top-right enclosing structure,Top and right enclosure,Back right encasing structure
47,回右上包围结构,Right-upper enveloping structure.,Upper right enclosing structure,Hui upper-right enclosure,Return to the upper right walled in area
48,C.1 表的内容,C.1 Table Contents,Contents of Table C.1,Contents of Table C.1,C.1 Substance of the table
49,D.1 调整过的 18 个GB/T 13000 代码位置,D.1 Adjusted 18 GB/T 13000 code positions,D.1 18 adjusted GB/T 13000 code positions,D.1 Adjusted GB/T 13000 code positions (18),18 GB/T 13000 code places were balanced in D.1
50,本文件及 GB 18030 一 2005 的GB 18030 一 2005 对应的本文件对应的GB/T 工 13000 码位,This document and GB 18030-2005's GB/T 13000 code points corresponding to GB 18030-2005.,"The GB/T 13000 code points corresponding to this document, which correspond to GB 18030-2005.","The GB/T 13000 code points corresponding to this document, which correspond to GB 18030-2005.",The GB/T 13000 code point related to this record is this archive and GB 18030-2005
51,D.2 在双字闻区删除的 6 个汉字构件,Six Chinese character components deleted from the double-word area.,D.2 6 Chinese character components deleted in the two-character area.,D.2 6 Chinese character components deleted from the two-character spacing area.,"D.2 Within the Shuangzi Wen locale, six Chinese character components have been expelled"
52,D.3 在双字下区删除的 9 个 CJK 兼容汉字,D.3 Nine CJK Compatibility Ideographs deleted from the double-word subarea.,D.3 9 CJK Compatibility Ideographs deleted from the lower double-byte area.,D.3 9 CJK Compatibility Ideographs deleted from the lower range of the double-byte character space.,D.3 Lower Twofold Word Region Evacuated 9 CJK Compliant Chinese Characters
53,表 D.3 删除的 9 个 CJK 兼容汉字和它们的代码位置,Table D.3: The 9 CJK Compatibility Ideographs that were removed and their code points.,Table D.3: The 9 deleted CJK Compatibility Ideographs and their code points,Table D.3: The 9 deleted CJK Compatibility Ideographs and their code points,Table D.3: Code Areas for the Expelled Nine CJK Compliant Chinese Characters
54,附录开 (资料性)《通用规范汉字表》 汉字的代码位置,Appendix A (Informative) Code Positions of Characters in the *Table of General Standard Chinese Characters*,"Appendix K (Informative) Code Positions of the Chinese Characters in the ""Table of General Standard Chinese Characters""","Appendix K (Informative) Code Positions in the ""Table of General Standard Chinese Characters""","Open reference sections (instructive) Chinese characters' ""Common Standard Chinese Character List"" code positions"
55,"本文件收录了 2013 年中华人民共和国国务院批准发布的 4 通用规范汉字表》 中的全部 8105 个规范汉字,它们的代码位置和字形见表1。","This document contains all 8105 standardized Chinese characters from the ""Table of General Standard Chinese Characters,"" approved and released by the State Council of the People's Republic of China in 2013. Their code positions and glyphs are shown in Table 1.","This document includes all 8105 standardized Chinese characters from the 'Table of General Standard Chinese Characters', approved and published by the State Council of the People's Republic of China in 2013. Their code points and glyphs are shown in Table 1.","This document includes all 8105 standardized Chinese characters from the 'Table of General Standard Chinese Characters', which was approved and published by the State Council of the People's Republic of China in 2013. Their code points and glyphs are shown in Table 1.","This archive incorporates all 8,105 standardized Chinese characters from the 2013 discharge of the People's Republic of China's State Council's Fourth Common Standardized Chinese Character List, their code areas and glyphs are recorded in Table 1."
56,GB/ 工 36475 软件产品分类,GB/T 36475 Software product classification,GB/ 工 36475 Software Product Classification,GB/T 36475 Software Product Classification,GB/Work 36475 Computer program Item Classification
57,"如果发现手册页和软件之间有所矛盾,请查对Info","If you find contradictions between the man pages and the software, please check the Info documentation.","If you find a contradiction between the manual pages and the software, please consult Info.","If you find a contradiction between the manual pages and the software, please consult Info.",Check the Data area in the event that you find a contrast between the man page and the program
58,源文件后级名指出语言种类以及后期的操作:,The source file extension indicates the language type and subsequent operations.,The source file extension indicates the language type and subsequent operations.,The source file extension indicates the language type and subsequent operations:,The dialect sort and ensuing operations are shown by the post-level title of the source record:
59,".c C 源程序; 预处理, 编译,汇编",".c C source program; preprocessing, compilation, assembly",".c C source code; preprocessing, compilation, assembly",".c C source code; preprocessing, compilation, assembly",".C source code that does preprocessing, compilation, and gathering"
60,".m Objective-C 源程序; 预处理,编译,汇编",".m Objective-C source code; preprocessing, compilation, assembly",".m Objective-C source code; preprocessing, compilation, assembly.",".m Objective-C source code; preprocessing, compilation, assembly.","Preprocessing, compilation, and gathering for the.m Objective-C source program"
61,".i 预处理后的 c 文件;编译,汇编",".i Preprocessed C file; compile, assemble.",".i preprocessed C file; compilation, assembly",.i preprocessed C file; compilation and assembly,"Preprocessing, compilation, and gathering for the.m Objective-C source program"
62,.a 归档库文件(Archive file),.a archive library file,.a archive file (Archive file),.a archive file (Archive file),.a File record (Document record)
63,"除非使用了 -cec，-s, 或 -E 选项(或者编译错误阻止了完整的过程),否则连接总是最后的步骤.","Linking is always the last step unless the -cec, -s, or -E options are used (or compilation errors prevent the complete process).","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process), linking is always the final step.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the process from completing), linking is always the final step.","Within the nonattendance of the -cec, -s, or -E choices, connecting is continuously the final step (or compilation blunders avoid the total prepare)."
64,选项必须分立给出 : de ' 完全不同于 `-d -r '.,The option must be given separately: 'de' is completely different from `-d -r`.,Options must be specified separately: 'completely different from' `-d -r`.,Options must be specified separately: `de '` is completely different from `-d -r`.,"Parameters must be indicated separately since ""de"" and ""-d -r"" are totally diverse."
65,这里只列举不是默认选项的格式.,Only the non-default format options are listed here.,Only formats that are not default options are listed here.,Only non-default formats are listed here.,"Here, as it were designs that are not among the standard choices are recorded."
66,总体选项 (Overall Option),Overall Option,Overall Option,General Option,In general Choice
67,明确指出后面输入文件的语言为 language (而不是从文件名后绥得到的默认选择).,Explicitly specify that the language of the following input file is language (instead of the default selection derived from the file name suffix).,Explicitly specify the language of the following input file as language (rather than the default derived from the filename extension).,Explicitly specify the language of the following input file as language (rather than the default derived from the filename extension).,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).
68,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件 RE AS E ` -x' 选项).","Close any explicit language specification, and process subsequent files according to the filename extension (just like the `-x' option).","Disable any explicit specification of language; therefore, subsequent files are processed based on the filename suffix (the RE AS E `-x` option).","Disable any explicit specification of language; therefore, subsequent files are processed based on the filename suffix, using the `-x` option (RE AS E).","To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination."
69,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用 ` -x' 选项 (或文件名后 Ah) 告诉 geo 从哪里开始,用 `~-c' ，`-s' ,或 `-E' 选项告诉 geo 到哪里结束.注意,某些选项组合 (例如 ，`-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用 ` .o' 蔡换源文件名后级 ` .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略 -ec 选项后面任何无法识别的输入文伯 -S F 何事情.","If you only operate on a subset of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or `Ah` after the filename) to tell geo where to start, and the `~-c`, `-s`, or `-E` options to tell geo where to end. Note that some option combinations (e.g., `-x cpp-output -E`) {i gee MEF =c compile or assemble source files, ETER. ERA ATI. By default, GCC replaces the source filename suffix `.ec` with `.o` to name the object file. You can use the `-o` option to choose a different name. GCC ignores any unrecognized input files after the `-ec` option. -S F anything.","If you only want to perform some of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or the filename suffix) to tell gcc where to start, and use the `-c`, `-S`, or `-E` options to tell gcc where to stop. Note, some option combinations (for example, `-x cpp-output -E'). By default, GCC forms the output filename by replacing the source filename suffix (like `.c`) with `.o`. You can use the `-o` option to choose another name. GCC ignores any unrecognized input files following the argument to the `-o` option.","If you only want to perform some of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or the filename suffix) to tell gcc where to start, and use the `-c`, `-S`, or `-E` options to tell gcc where to stop. Note, some option combinations (for example, `-x cpp-output -E'`). By default, GCC forms the output filename by replacing the source filename suffix (like `.c`) with `.o`. You can use the `-o` option to choose another name. GCC ignores any unrecognized input files following the argument to the `-o` option.","You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything."
70,"编译后即停止, 不进行汇编件.","Compile then stop, do not generate assembly files.","Stop after compilation, do not assemble.","Stop after compilation, do not assemble.",Stops after compilation and does not perform get together.
71,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的 C ""方言 "": 支持符合 ANSI 标准的 C 程序.","Piping between different stages of the compilation process instead of using temporary files, because the assemblers of those systems cannot read data from pipes. The GNU assembler does not have this problem. The C ""dialect"" acceptable to the assembler: supports ANSI-compliant C programs.","Use pipes instead of temporary files between different stages of the compilation process, because the assemblers of those systems cannot read data from pipes; GNU's assembler does not have this problem. The C ""dialect"" that the assembler can accept: Supports ANSI-standard C programs.","Use pipes instead of temporary files between different stages of the compilation process, because the assemblers of those systems cannot read data from pipes; GNU's assembler does not have this problem. The assembler accepts a C ""dialect"" supporting ANSI-standard C programs.","Since the constructing agents on those frameworks cannot examined from channels, utilize channels instead of brief records to move between the different compilation stages, this issue does not exist within the GNU constructing agent, constructing agents can utilize C ""lingos"" that bolster ANSI-compliant standard C programs."
72,"正常情况下, 这样的函数 foo 在 C++ 中意味着参数为空.","Under normal circumstances, such a function foo in C++ means the parameter list is empty.","Normally, such a function `foo` in C++ means its parameter list is empty.","Normally, such a function `foo` in C++ means its parameter list is empty.","In C++, a function like foo often indicates that the argument is empty."
73,"详见NU c 手册,我们已经把细节删除, 这样当内容过时后, 人们也不会 HERI.",See the NU c manual for details. We have removed the details so that people will not HERI when the content becomes outdated.,Refer to the NU c manual for details. We have removed the details so that people will not HERI when the content becomes outdated.,Refer to the NU c manual for details. We have removed them so that people will not be misled when the content becomes outdated.,Subtle elements can be found within the NU c handbook; we evacuated them so that perusers wouldn't HERI when the data was not pertinent.
74,他和`-Ethis-is-variable' 选项的果一样.,He got the same result as with the `-Ethis-is-variable' option.,It has the same effect as the `-Ethis-is-variable' option.,It has the same effect as the `-Ethis-is-variable' option.,"It has the same impact as the ""-Ethis-is-variable"" alternative."
75,"相对应的, 如果编译时使用缺省选项 ` -fno-exteznal-templates', 所有模板实例明确的设为内置.","Correspondingly, if the default option `-fno-external-templates` is used during compilation, all template instances are explicitly set to be built-in.","Correspondingly, if the default option ` -fno-external-templates` is used at compile time, all template instantiations are explicitly treated as internal.","Correspondingly, if the default option ` -fno-external-templates` is used at compile time, all template instantiations are explicitly set as internal.","Hence, all format occasions are expressly indicated as built-ins when compiling with the default ""-fno-exteznal-templates"" choice."
76,"有些情况下, 编译器能够判断出可以直接调用某个虚函数; 这时就直接调用.","In some cases, the compiler can determine that a virtual function can be called directly; in this case, it will call it directly.","In some cases, the compiler can determine that a virtual function can be called directly; it then calls it directly.","In some cases, the compiler can determine that a virtual function can be called directly, in which case it does so.","A virtual work may once in a while be able to be called specifically in case the compiler decides it can; in this case, it'll be."
77,这种表达式的值是 Void.-fthis-—is-variable 允许对 this 赋值 (仅对 c++).,The value of this expression is Void. -fthis-is-variable allows assignment to `this` (C++ only).,The value of this kind of expression is Void. -fthis-is-variable allows assignment to `this` (only for C++).,The value of this type of expression is void. The `-fthis-—is-variable` option allows assignment to `this` (only for C++).,Such an expression incorporates a esteem of Void. Task to typically permitted (as it were in C++) utilizing the hail -fthis—is-variable.
78,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.","This option, and its antonym, make that program work on the corresponding default values.","This option, and its inverse option, make such programs work with their corresponding default values.","This option, and its opposite option, configure such programs to use their corresponding default values.",This choice and its inverse constrain the identical default behavior for that program.
