Index,source,zero_shot,maats,single_agent,reference
18,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","这是一种愤怒的行为,就像一个象征性的1月6日反民主狂欢节,充满谎言和不满,由美国媒体自毁性地主办。","这是一场令人愤怒的事件,就像是一次象征性的1月6日反民主集会,充满谎言和不满情绪,由美国媒体自我毁灭性地主办。","这是一场象征性的、充满谎言和不满的反民主狂欢,就像1月6日事件,由美国媒体自毁性地主办。",这真是骇人听闻，就像 1 月 6 日反民主节日，一个象征性的谎言和表达不满的节日，而这是由美国媒体近乎自我毁灭地把持。
19,Licht AGREED to an all Republican audience!,同意,李特同意在全共和党观众面前发表讲话。,光(Licht)同意在全共和党观众面前发表讲话。,利希特“赞同”所有共和党观众的观点！
20,The ratings--seeking delusional irresponsibility of it all.,收视率追求的妄想不负责任。,"对于这种追求收视率的妄想行为,实在是不负责任。",追求收视率的妄想和不负责任。,为追求收视率而进行的不负责任的妄想。
21,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","我有一个非常通风的地下室,这实际上意味着我可能会有很多啮齿动物来寻求庇护。","我的地下室通风很差,这意味着会有很多老鼠来躲藏。","我有一个非常通风的地下室,这实际上意味着我可能会有很多小型哺乳动物来寻求庇护。",我有一间通风非常好的地下室，这意味着可能会让许多老鼠在此避难。
22,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于厌烦了这个习惯,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗花生。",昨晚我终于放弃了这种套路，把所有花生酱都清理了，还用强力胶粘了一颗开心果在上面。
23,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的人道""捕捉器,但成功率很低。""","我几乎尝试了市面上所有的""人道捕捉器"",但成果甚微。","我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。",（顺便说一句，我几乎试过了市场上所有的“人道”陷阱，但收效甚微。
24,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党和政府将自己包装成亲商的品牌。,我厌倦了保守派政党和政府将自己包装成支持企业的形象。,我厌倦了保守党和政府自称亲商的做法。,我厌倦了保守派政党和政府打着亲商的旗号包装自己。
25,"They aren't, at least not in Alberta.","他们不是,至少在阿尔伯塔省不是。",他们在阿尔伯塔省并非如此。,他们在阿尔伯塔并非如此。,他们不是亲商派，至少在阿尔伯塔省不是。
26,Sure they cut business taxes.,他们确实降低了企业税率。,他们降低了企业税。,他们确实降低了企业税率。,对，他们削减了营业税。
27,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","在2023年,发现本地电视台网站是互联网上最糟糕的体验。","2023年,我亲身体验到本地电视台网站是互联网上最糟糕的体验。",我发现，在 2023 年，地方电视台网站带给我的绝对是互联网上最糟糕的体验。
28,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,弹窗、自动播放视频、动画、弹出框和广告轰炸。,弹窗、自动播放视频、动画、弹出窗口和广告。,弹出窗口、自动播放视频、动画、弹出窗口和一而再再而三的广告。
29,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","即使现在那个网站已经不存在了,但它和某些其他网站之间的竞争可能会很激烈,比如我曾试图在某个网站上观看朋友发给我的视频。","即使 goatse.cx 现在已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看 Wendy 发给我的视频。",我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
30,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",我只是把他送到格拉斯哥。,"我只是要把他送到格拉斯哥,我试图解释道。",我只是把他送到格拉斯哥去。,“我只是让他在格拉斯哥下车，”我试图解释，并向我的旅伴做了个手势。
31,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我深信我们需要准备好与特朗普主义抗争。,"昨晚让我深信我们需要做好准备,与特朗普主义思潮抗争。","我们必须做好准备,坚决抵制特朗普主义。",昨晚，我确信，我们有必要准备好反击特朗普主义。
32,Get some bumper stickers that are anti-Trump and plaster them all over.,贴一些反特朗普的汽车贴纸到处张贴。,获取一些反特朗普的汽车贴纸并贴遍各处。,大肆张贴一些反特朗普的醒目汽车贴纸。,找一些反特朗普的车尾贴，贴满。
33,Yell back at those who would try to talk over us.,对那些试图压制我们声音的人大声回应。,"对那些试图压制我们声音的人,大声反驳。","不要让那些想压制我们声音的人得逞,要大声反驳他们。",对那些试图凌驾于我们之上的人大声呼喊。
34,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,"所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","我急忙回到公寓想避开他,但他还是设法追上我聊了起来。","所以我急忙回到公寓想要避开他,但他还是设法追上我聊天。",所以我跑进我的公寓来避开他，但他仍然试图赶上我，与我聊天。
35,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我重复一遍。到处传播你的新冠病毒粘液风暴是不可接受的社会行为!!!,不要到处喷洒新冠病毒粘液!这种行为是不可接受的。,"我再说一遍,到处散播你的新冠病毒是完全不可接受的行为!!!",我重复一遍。到处传播你的带有新冠肺炎病毒的痰是社会所无法接受的！！！
36,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,"阿部把他的悲伤隐藏起来,很容易笑,而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣。","亚伯隐藏内心的悲伤,却很容易发笑,而汤姆不害怕流泪,但对粗俗的幽默不太感兴趣。","阿布隐藏自己的悲伤,很容易笑,而汤姆不怕哭泣,但对粗鲁的幽默不太感兴趣。",Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
37,Mio knows that sorrow is life's constant companion.,"缪知道,悲伤是生命永恒的伴侣。","缪知道,悲伤是生命永恒的陪伴。","米欧知道,悲伤是生命永恒的伴侣。",Mio 知道悲伤伴随着一个人的一生。
38,#CNN needs to just close down.,#CNN需要关闭。,中国有线电视新闻网应该关闭。,#CNN只需要关闭。,#CNN 需要做的就是关门大吉。
39,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的灾难性事件是一场令人发指的灾难。,昨天发生的#MangoMoron事件是一场彻底的失败。,昨天那场关于#MangoMoron的丑闻真是令人发指。,昨天 #MangoMoron 的惨败真的令人愤慨。
40,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车,并沉迷于将这辆经典汽车修复到昔日的辉煌。","书呆子阿尼·坎宁安迷恋上了一辆1958年的破旧普利茅斯·富瑞,并沉迷于修复这辆经典汽车。","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·怒火(Fury)旧车,并沉迷于将这辆经典汽车修复至昔日的辉煌状态。",极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
41,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","随着汽车的变化,阿尼也发生了变化,他新发现的自信在驾驶他那辆异域美车时变成了傲慢。","阿尼驾驶他那辆异域美车时,新发现的自信变成了傲慢。","随着汽车的变化,阿尼的性格也发生了转变,他原本的自信在驾驶那辆异域美车时变成了傲慢。",随着汽车的变化，Arnie 也在变化，在他异域佳人的车轮下，他新获得的自信转变成了傲慢。
42,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"我邻居反对我,这其中最疯狂的部分就是想到要付出多大的努力才能表现出敌意。","我邻居对我产生了敌意,这其中最疯狂的部分就是想到要付出多大的努力才能变得如此。","我邻居对我产生敌意,这其中最疯狂的部分就是想到要付出多大的努力才能表现出这种态度。",我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
43,It hurts but you gotta do you.,痛苦但你必须做你自己。,"即使痛苦,也要坚持做自己。","做你自己,虽然会痛苦。",会很痛苦，但必须这样做。
44,But at this point the open hostility and violence is getting worse.,"但在这一点上,公开的敌意和暴力正在变得更加严重。",公开的敌对态度和暴力行为正在恶化。,但此时公开的敌意和暴力正在变得更加严重。,而此时公开的敌意和暴力正在加速恶化。
45,That takes effort.,那需要努力。,这需要付出努力。,这需要付出努力。,那样做需要花力气。
46,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们已经拥有我公寓的钥匙超过6年了。,他们拥有我公寓的钥匙长达6年多。,他们 6 年多之前就有我公寓的钥匙了。
47,I am aware of your hatred of Organa.,我知道你对奥加纳的仇恨。,我知道你对奥加纳的仇恨。,我知道你对奥加纳有仇恨。,我了解你对 Organa 的仇恨。
48,The Last of Us is an easy and canonical example of dad-ification.,最后的我们是父亲化的简单和典范例子。,《最后生还者》是父性化的典型和简单例子。,"《最后生还者》是一个典型的""父亲形象化""的游戏例子。",《最后生还者》是一个关于父亲化的经典示例。
49,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","父亲化通常认为,当一个父母角色必须照顾或保护一个孩子或孩子替代品的情况下,解决方案是压倒性的力量,并利用这种力量来强制一个非常特定形状的权力动态。","父亲化通常认为,当一个家长必须照顾或保护孩子时,解决方案是采取压倒性的力量,并利用这种力量来强制实施特定形式的权力动态。","父母化通常认为,当父母必须照顾或保护孩子或其他被照顾者时,解决方案是利用强大的力量来强加特定的权力关系。",父亲化一般意味着，在父母必须照顾或保护孩子或弱势人员时，这种方法就屡试不爽，他们使用这种方法强制将自己的这种特定权力凌驾于他人之上。
50,- We provide links to where you can book the fare.,我们提供预订车票的链接。,我们为您提供预订车票的链接。,我们提供预订车票或其他费用的链接。,
51,- More details are in the full blog post.,更多详情请见完整博客文章。,完整博客文章有更多详情。,更多详情请见完整的博客文章。,
52,Over time dart became my go-to for quick UI.,"随着时间的推移,Dart 成为了我快速开发 UI 的首选。","随着时间的推移,Dart 逐渐成为了我快速开发 UI 的首选。","随着时间的推移,Dart 成了我的首选快速 UI 开发工具。",dart 逐渐成为我快速与用户对接的首选。
53,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter 是一种很棒的工作体验,他们有 #mobx 来轻松管理数据仓库。","#Flutter 是一种很棒的工作体验,他们提供了 #MobX 来轻松管理数据仓库。","#flutter 是一个很棒的工作体验,他们有 #mobx 可以轻松管理数据。",#flutter 是一个绝佳合作伙伴，他们拥有可以简化商店管理的 #mobx。
54,Echidna with amethyst and magenta spikes.,紫晶和品红色刺的针鼹,紫色和品红色刺的针鼹,带有紫罗兰和品红色刺的刺猬,长有紫水晶色和洋红色尖刺的针鼹。
55,"Their hair is raspberry, short and curly.","他们的头发是树莓色的,短而卷曲。","他们的头发是红色的,短而卷曲。","他们的头发是深红色的,短而卷曲。",它们的毛发是红莓色的，短小而卷曲。
56,Their most interesting feature is their good deeds.,他们最有趣的特点是他们的善行。,他们最引人注目的特点是他们的善举。,他们最有趣的特点是他们的善举。,它们最吸引人的是它们友好的行为。
57,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让他们看起来很糟糕,每个人都...","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让吸血鬼形象看起来很糟糕,但每个人都...","尽管布拉姆·斯托克、马克斯·施耐德和斯蒂芬妮·梅耶尔竭尽全力让他们看起来很糟糕,但所有人都...",尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
58,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","我需要翻译成中文普通话和/或福建话,我完全不懂这两种语言。","我需要翻译成普通话和/或福建话,因为我完全不会这两种语言。","我需要翻译成中文普通话和/或福建话,但我完全不会这两种语言。",我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
59,Been toying with this thought for a little while:,我一直在思考这个想法一段时间了。,我一直在玩味这个想法有一段时间了。,我一直在玩味这个想法一段时间了。,考虑这个想法已经有一段时间了：
60,Because it happens in the mind and seems less tangible than physical health.,心理健康,"因为心理健康难以捉摸,比起身体健康更不那么有形。","因为心理健康发生在内心,比起身体健康来说,它似乎更加难以捉摸和感知。",因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
61,"My sex is non-binary, my gender is female.","我的性别是非二元性别,我的性别认同是女性。","我的生理性别是非二元的,但我的性别认同是女性。","我的性别认同是非二元性别,我的性别是女性。",我的性是非二元的，我的性别是女。
62,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"像泡菜心情和其他世俗流行音乐,以及电台工作室等各种。",像其他世俗流行音乐和广播工作室等各种音乐。,"像朋克情绪和其他世俗流行音乐,以及电台工作室等各种类型。",比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
63,Playing around a bit with Flutter.,玩玩 Flutter。,探索 Flutter 的功能。,玩玩一下 Flutter。,试玩了下 Flutter。
64,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.","我不想以谷歌的技术为基础来经营我的业务,说实话。另一方面,谷歌是为数不多的大公司之一,它有真正的动力去创造一个引人入胜的跨平台体验,这一点很明显。","我不想依赖谷歌的技术来经营我的业务,但另一方面,谷歌是为数不多的大公司之一,它确实有动力去创造出优秀的跨平台体验。","我虽然不太想依赖谷歌的技术来经营我的业务,但谷歌确实是为数不多的大公司之一,它有真正的动力去创造一个引人入胜的跨平台体验,这一点很明显。",说实话，我不喜欢把我的业务建立在谷歌的技术上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大玩家之一，这一点也很明显。
65,A few very small difficulties have come to light.,一些非常小的困难浮现出来。,出现了几个微小的困难。,一些微小的困难浮现出来。,一些细微困难已经表现出来。
66,Nothing to set alarm bells ringing but nevertheless they are being addressed.,"没有引起警报的必要,但仍在解决这些问题。","没有引起警铃的必要,但这些问题正在得到解决。","虽然没有什么值得警铃大作的问题,但这些问题仍在得到解决。",没有什么能敲响警钟，无论如何，正在解决这些问题。
67,A small update will be produced next week to correct them.,下周将生产一个小更新来纠正它们。,下周将推出一个小更新来修正这些问题。,下周将生产一个小更新来纠正这些错误。,下周会发布一次小更新来纠正这些错误。
68,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,"我不确切知道为什么我的大脑无法解决这个问题;可能是因为工具太广泛和模糊,以至于我的大脑因""选择太多""而陷入僵局。","我不知道为什么我的大脑就是无法解决这个问题;可能是因为这些工具太广泛和模糊,以至于我的大脑因'选择太多'而陷入僵局。","我不太清楚为什么我无法理解这个问题;可能是因为这些工具太广泛和模糊,以至于我的思维陷入困境,无法做出选择。",我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
69,"There's... no way that would work, probably!","那根本行不通,可能!","那肯定行不通的,可能!",那可能行不通吧。,那...那可能行不通！
70,I was a voracious reader in my youth.,我年轻时是个贪婪的读者。,我年轻时是个狂热的读者。,我年轻时是个狂热的读书人。,我年轻时是个如饥似渴的读者。
71,"But if Spotify has a good quarter, they will.","但如果 Spotify 有一个好的季度,他们就会。","如果 Spotify 有一个好的季度,他们也将表现出色。","但如果 Spotify 有一个好的季度,他们就会取得成功。",但是如果 Spotify 某个季度卖的很好，他们就会这么做。
72,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们修复遍布全国的空心化和衰败的城市。,让他们重建遍布全国的破败城市。,让他们再次修复遍布全国的空心化和衰败的城市。,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
73,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常只提及一家大公司的一位CEO。,这些标题和文章通常只提及一家大公司的一位总裁。,这些标题和文章通常只提及一家大公司的一位CEO。,这些头条和文章通常会提及一家大公司的首席执行官。
74,It's all clickbait but it does worry me about the executives and managers who read these articles.,"这些都是点击诱饵,但这确实让我担心那些阅读这些文章的高管和经理。",这些标题党内容确实让我担心那些阅读这些文章的管理层。,"这些文章虽然只是为了吸引点击,但我确实为那些阅读这些文章的高管和经理感到担忧。",这些都是引诱别人点击的诱饵，但我确实担心阅读这些文章的高管和经理们。
75,It enables people to avoid lengthy commutes that take time away from their day and their families.,"它使人们能够避免耗费时间的长途通勤,从而有更多时间与家人在一起。","它使人们能够避免耗费大量时间的通勤,从而有更多时间陪伴家人。","它使人们能够避免耗费时间的长途通勤,从而有更多时间与家人相处。",它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
76,"""This is a war between the pro-humans and anti-humans,"" he said.","这是人类支持者和反人类之间的战争,他说。","这是支持人类和反人类之间的战争,他说。","这是人类支持者和反对人类之间的战争,他说。",“这是亲人类和反人类之间的一场战争，”他说。
77,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还认为，新民主党和进步派想要为了环境的缘故而减少人口。,他们还认为，新民主党和进步人士想要为了环境的缘故而减少社会人口。,他还认为，新民主党和进步派想要为了环境目的而减少人口。,他还认为，NDP 和进步人士希望以保护环境为目的减少社会人口。
78,Whenever May would pop up I dreaded trying to celebrate my bday.,"每当五月来临,我就害怕庆祝我的生日。","每年五月到来时,我都不愿意庆祝自己的生日。","每逢五月到来,我就害怕庆祝生日。",每当遇到五月，我为庆祝生日感到恐惧。
79,Winter is 30 days away in this little part of the Great Southern World.,冬季距离这个大南方世界的这个小部分还有30天。,冬季还有30天就到来了。,这个大南方世界的这个小部分还有 30 天就是冬季。,离冬天还有 30 天，在大南方的一个小地方。
80,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!","雨正在下落,虽然它没有冻结,你也不会在雨中跳舞!","下雨了,虽然雨水没有结冰,你也不会在雨中跳舞!","雨还在下,虽然还没有冻结,你也不会在雨中跳舞!",雨还在下，当它还没结冰时，你不能在雨里跳舞！
81,Does you know of a performant way for a web component to respond to being added/removed from a document?,您知道网页组件在被添加/移除文档时响应的高性能方法吗?,你知道有什么高性能的方法可以让网页组件在被添加或移除文档时做出响应吗?,你知道网页组件在被添加/移除文档时响应的高性能方法吗?,你知道 web 组件响应从文档中添加/删除的有效方式吗？
82,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个分离的临时父级，在那里安装 MO，并观察它变得分离(因此附着在其他地方)。,我们创建一个临时的独立父级，在那里安装 Mo，并观察它从那里分离到其他地方。,我们创建一个分离的临时父级，在那里安装 MO，并观察它从而分离(附着在其他地方)。,我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
83,He's just absolutely ripped from tearing around my office twice a day.,"他每天在我办公室里来回跑两次,身材绝对健壮。","他每天在我办公室里来回跑两次,身材非常健壮。","他每天在我办公室里来回跑两次,身材异常健壮。",他一天在我的办公室里乱翻两次，简直是疯了。
84,"I don't have a scale to weigh him, but he feels like he's well over a pound.","我没有秤来称他的重量,但我感觉他的重量远远超过一磅。","虽然我没有秤来称他的重量,但我感觉他的重量远远超过450克。","我没有秤来称他的重量,但我感觉他很重,应该超过一磅。",我没有体重秤给他称体重，但他感觉自己胖了一磅多。
85,It makes me so happy to see him thriving.,"看到他蒸蒸日上,我感到非常高兴。","看到他表现出色,我感到由衷的高兴。","看到他蒸蒸日上,我感到非常欣喜。",看到他茁壮成长，我很开心。
86,1) Slight modifications to the Hel's Fighters map layout.,轻微修改赫尔战士地图布局。,对赫尔的战士地图布局进行了轻微修改。,"对""Hel's Fighters""地图布局进行了轻微调整。",1）轻微修改了 Hel 的战斗机地图布局。
87,"All collards, kale, chard is transplanted.",所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都是移植的。,所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都需要移植。,所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都是移植的。,所有的羽衣甘蓝、甜菜都已完成移植。
88,Spring peas at Gilpin are showing up so trellise needs to be set.,"春季豌豆在吉尔平出现,需要设置支架。","春季在吉尔平的豌豆地里已经长出来了,需要立起支架了。","吉尔平的春季豌豆已经长出,需要立即搭建支架。",吉尔平的春豌豆正在出芽，所以需要设置棚架。
89,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.","蘋果地圖預設隨 iOS 而來,但人們還是會特意下載並安裝谷歌地圖到他們的 iPhone 上。","蘋果地圖預設隨 iOS 而來,但人們仍會特意下載並安裝 Google Maps 到他們的 iPhone 上。","蘋果地圖雖然是 iOS 的預設地圖應用程式,但人們仍會特意下載並安裝谷歌地圖到他們的 iPhone 上。",苹果地图是苹果系统的默认地图软件，然而人们会专门下载谷歌地图并安装到苹果手机上。
90,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","好奇心驱使我保持开放的心态,比较谷歌地图和苹果地图在我的测试 iPhone 设备上的表现。(我的日常使用设备是 Android 设备,所以很少使用 iPhone。)","出于好奇,我在测试 iPhone 设备上比较了谷歌地图和苹果地图的表现,尽管我平时使用的是 Android 设备。","我在测试 iPhone 设备上比较了谷歌地图和苹果地图,尽管我日常使用的是 Android 设备。",出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
91,No idea.,没有主意。,不知道。,我没有任何主意。,不太明白。
