index,source,zero_shot,maats,single_agent,reference
21,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间的竞争可能会非常激烈，我曾尝试在khou.com上观看Wendy发给我的视频。,即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如说khou.com之间可能会有一场激烈的竞争，我曾尝试在khou.com上观看Wendy发给我的视频。,即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间可能会有一场谁更糟糕的竞争，我曾尝试在khou.com上观看Wendy发给我的视频。,我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
22,Yell back at those who would try to talk over us.,对那些试图打断我们的人大声回应。,对那些试图压过我们说话的人大声反击。,对那些试图盖过我们说话的人大声回应。,对那些试图凌驾于我们之上的人大声呼喊。
23,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太感兴趣。,阿贝把他的悲伤藏起来，笑得很轻松，而汤姆不怕哭泣，但对粗鲁的幽默不太喜欢。,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太好笑。,Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
24,Mio knows that sorrow is life's constant companion.,美绪知道悲伤是生活的常伴。,Mio知道悲伤总是伴随着生活。,Mio知道悲伤是生活的常伴。,Mio 知道悲伤伴随着一个人的一生。
25,#CNN needs to just close down.,CNN需要关闭。,CNN应该立即关闭。,CNN需要彻底关闭。,#CNN 需要做的就是关门大吉。
26,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了一辆1958年普利茅斯Fury，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,书呆子学生阿尼·坎宁安迷上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
27,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,关于我的邻居反对我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,关于我的邻居反对我这件事，最不可思议的部分之一就是想到他们需要付出多少努力才能表现出敌意。,关于我的邻居背叛我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
28,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们持有我公寓的钥匙长达6年多。,他们有我公寓的钥匙已有6年以上。,他们 6 年多之前就有我公寓的钥匙了。
29,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是父亲化的一个简单且经典的例子。,《最后生还者》是一个典型的“父亲角色化”例子。,《最后生还者》是一个关于“父亲角色化”的简单且经典的例子。,《最后生还者》是一个关于父亲化的经典示例。
30,- We provide links to where you can book the fare.,我们提供可以预订票价的链接。,我们提供可以预订机票的链接。,我们提供链接，您可以通过这些链接预订票价。,
31,- More details are in the full blog post.,更多详情请参见完整的博客文章。,更多详情请查看完整的博客文章。,更多详情在完整的博客文章中。,
32,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕——每个人……,尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶竭尽全力让他们显得不堪——每个人……,尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕，但每个人……,尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
33,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",需要将其翻译成普通话和/或福建话，我对这两种语言都一无所知。,需要将其翻译成普通话和/或闽南语，我对这两种语言完全不了解。,需要将其翻译成普通话和/或福建话，而我对这两种语言都一无所知。,我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
34,Been toying with this thought for a little while:,一直在琢磨这个想法。,我一直在玩味这个想法：,一直在琢磨这个想法有一段时间了。,考虑这个想法已经有一段时间了：
35,Because it happens in the mind and seems less tangible than physical health.,因为它发生在大脑中，看起来比身体健康更不具体。,因为它发生在心灵中，显得不如身体健康那样具体。,因为它发生在心灵中，看起来比身体健康更不具体。,因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
36,"My sex is non-binary, my gender is female.",我的性别是非二元的，我的性别认同是女性。,我的性别是非二元性别；我的性别是女性。,我的性别是非二元的，我的性别是女性。,我的性是非二元的，我的性别是女。
37,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,喜欢酸菜心情和其他世俗流行音乐、无线电工作室和各种各样的东西。,喜欢克劳特摇滚风格的音乐、超凡的流行音乐、实验音乐工作室和各种各样的东西。,喜欢德国风情和其他世俗流行音乐、无线电工作室以及各种各样的东西。,比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
38,A few very small difficulties have come to light.,出现了一些很小的困难。,有一些非常小的困难浮现出来了。,出现了一些非常小的困难。,一些细微困难已经表现出来。
39,Nothing to set alarm bells ringing but nevertheless they are being addressed.,没有什么需要敲响警钟，但它们仍在被解决。,没有什么值得担忧，不过这些问题仍然在被处理。,没有什么需要敲响警钟，但它们仍在得到解决。,没有什么能敲响警钟，无论如何，正在解决这些问题。
40,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而死机。,我不知道为什么我的大脑无法弄清楚，可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而陷入僵局。,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而卡住。,我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
41,"But if Spotify has a good quarter, they will.",但如果 Spotify 季度表现良好，他们会。,但如果 Spotify 季度表现良好，他们会取得成功。,但如果 Spotify 季度表现良好，他们会成功。,但是如果 Spotify 某个季度卖的很好，他们就会这么做。
42,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空和衰败的城市。,让他们再次复兴全国那些被掏空和衰败的城市。,让他们再次重建全国那些被掏空和衰败的城市。,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
43,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常提到一家大型公司的某位首席执行官。,这些标题和文章通常提到某家大型公司的首席执行官。,这些标题和文章通常提到一家大型公司的某一位首席执行官。,这些头条和文章通常会提及一家大公司的首席执行官。
44,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间，让他们有更多时间陪伴家人。,它使人们能够避免耗时的通勤，这些通勤占用了他们的时间和家庭生活。,它使人们能够避免耗时的通勤，从而避免占用他们的时间，让他们有更多时间陪伴家人。,它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
45,"""This is a war between the pro-humans and anti-humans,"" he said.",“这是人类支持者和反人类者之间的战争，”他说。,“这是人类派和反人类派之间的战争，”他说。,“这是亲人类者和反人类者之间的战争，”他说。,“这是亲人类和反人类之间的一场战争，”他说。
46,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",雨正在下，虽然它没有结冰，但你不会在雨中跳舞！,雨正在下，尽管它没有结冰，但你不能在这样的雨中跳舞！,雨正在下，虽然它没有结冰，但你绝对不会在雨中跳舞！,雨还在下，当它还没结冰时，你不能在雨里跳舞！
47,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高效的方法可以让一个网页组件对被添加或移除文档做出响应吗？,你知道有什么高效的方法可以让一个 Web 组件对被添加到或从文档中移除做出响应吗？,你知道有什么高效的方法可以让一个网页组件对被添加到或从文档中移除做出响应吗？,你知道 web 组件响应从文档中添加/删除的有效方式吗？
48,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个独立的临时父级，在那里安装MO，并观察它变得独立（因此附加到其他地方）。,我们创建一个分离的临时父级，在那里安装MO，并观察它变得分离，随后附加到其他地方。,我们创建一个分离的临时父级，在那里安装MO，并观察它被分离（因此附加到其他地方）。,我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
49,He's just absolutely ripped from tearing around my office twice a day.,他每天在我的办公室里跑两次，身材变得非常健美。,他每天在我的办公室里跑两次，结果身材变得非常肌肉发达。,他每天在我的办公室里跑两次，结果身材变得非常结实。,他一天在我的办公室里乱翻两次，简直是疯了。
50,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他的重量，但感觉他已经超过一磅了。,我没有秤来称他的重量，但他给人的感觉已经远远超过一磅了。,我没有秤来称他的重量，但感觉他已经远远超过一磅了。,我没有体重秤给他称体重，但他感觉自己胖了一磅多。
51,It makes me so happy to see him thriving.,看到他兴旺发达让我很高兴。,看到他过得很好让我很高兴。,看到他茁壮成长让我很高兴。,看到他茁壮成长，我很开心。
52,1) Slight modifications to the Hel's Fighters map layout.,对地狱战士地图布局进行轻微修改。,对Hel's Fighters的地图布局稍作调整。,对“Hel's Fighters”地图布局进行轻微修改。,1）轻微修改了 Hel 的战斗机地图布局。
53,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、羽衣甘蓝、瑞士甜菜都已移植。,所有羽衣甘蓝、甘蓝和瑞士甜菜已经完成移植。,所有羽衣甘蓝、甘蓝、瑞士甜菜都已移植。,所有的羽衣甘蓝、甜菜都已完成移植。
54,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经开始长出来了，所以需要搭建支架。,吉尔平的春豌豆已经长出来了，所以需要搭建篱架。,吉尔平的春豌豆已经开始出现了，所以需要搭建支架。,吉尔平的春豌豆正在出芽，所以需要设置棚架。
55,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).",出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的日常设备是Android设备，所以我很少使用iPhone）。,出于好奇，我在我的测试iPhone设备上比较Google地图和Apple地图的表现。我的日常设备是Android设备，所以我很少使用iPhone。,出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的主力设备是Android设备，所以我很少使用iPhone）。,出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
56,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.",我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出的Apple Maps时彻底搞砸了。,我不愿意向最终用户发布劣质产品。苹果在2012年推出的苹果地图时严重失误。,我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出Apple Maps时彻底搞砸了。,我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
57,They're not stupid enough to sell the sell forever.,他们还不至于愚蠢到永远出售。,他们还不至于愚蠢到会一直推销下去。,他们还不至于愚蠢到永远重复出售。,他们不会蠢到卖掉它的永久所有权。
58,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,当你观看澳大利亚和美国的媒体频道时，土地有一天可能会被收回，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想按照他们的方式思考。,当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
59,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,我常常对人类能如此自我贬低感到惊讶，同时又被大量关于真正残酷的证据所淹没。,我常常思考人类为何能如此自我贬低，尽管有那么多关于真正残酷的证据摆在面前。,我常常对人类能如此严厉地自我批评感到惊讶，同时又被大量关于真正残酷的证据所淹没。,我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
60,We're all such messy critters.,我们都是如此混乱的小动物。,我们都是一群乱糟糟的小家伙。,我们都是如此邋遢的小动物。,我们都很邋遢。
61,"or ""Modal editors are useless today"" :morty:",或者“模式编辑器今天没用” :morty:,或者《模式编辑器今天毫无用处》 :morty:,或者“模态编辑器今天没用” :morty:,或者“模态编辑器现在没有用武之地了”:morty:
62,How would you share personal libraries?,你会如何分享个人图书馆？,你会怎样分享你的个人藏书？,你会如何分享个人书籍收藏？,你是怎么共享个人库的？
63,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",还有一天，我一定要尝试空中高空高潮，也许不需要一个str。,有一天我一定要尝试在飞机上达到高潮，也许不需要一个特定的人。,有一天，我一定要尝试高空高潮，也许不需要一个伴侣。,总有一天我会达到一英里高的高潮，也许不是靠力气
64,"I wish there was a ""who to follow"" recommendation somehow.",我希望能有一个“推荐关注”的功能。,我希望能有一个推荐关注的功能。,我希望能有一个“关注谁”的推荐功能。,不知何故，关于“关注谁”，我想听一些建议。
65,Explanation: account for both sides of mutual influence,解释：考虑到相互影响的双方。,解释：考虑到互相影响的双方因素。,解释：说明相互影响的双方。,解释：将双方之间的相互影响纳入考量
66,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.",即使他在市政厅上没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,即使他在市政厅会议上没有机会说出来，从现在到2024年11月之间，美国的每个人无论如何都会反复听到这些话。,即使他在市政厅活动期间没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
67,Throwing everything you've got over the fence in response to GPT is not it.,把你所有的东西都扔过围栏来回应GPT并不是解决办法。,倾尽全力去应对GPT并不是解决办法。,倾尽全力来回应GPT并不是解决办法。,把你所有的一切都扔掉去回复 GPT 似乎适得其反。
68,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",如果我尝试计算我的一重复最大重量，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害/杀死我。,如果我尝试估算我的一重复最大重量（1RM），我可能没有足够的重量来达到这个最大值，或者相反，这可能会导致严重受伤甚至死亡。,如果我尝试计算我的一重复最大重量是多少，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害或杀死我。,如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
69,I swear burrata didn't exist five years ago,我发誓五年前根本没有布拉塔奶酪。,我发誓五年前没有布拉塔。,我发誓五年前根本没有burrata。,我敢肯定五年前布拉塔芝士不存在
70,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,我从未见过谁的妈妈做过，也没有在聚会上被塞给过，也没有在任何人的调味或烘焙日中出现过。,我从未见过谁的妈妈做过这种东西，也没有在聚会上被硬塞给过，也没有在任何人的酱料制作或烘焙活动中见过。,我从未见过谁的妈妈做过，也没有在聚会上被硬塞给我，也没有在任何人的调味或烘焙日中出现过。,我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
71,It just appeared one day and suddenly it was available everywhere.,有一天它突然出现，然后到处都能买到。,有一天它突然出现，随后便随处可见。,有一天它突然出现，然后到处都能看到。,有一天它出现了，突然它变得随处可见。
72,"""A good game is only late until it ships.",好游戏只会迟到，直到它发货。,好游戏只会迟到，直到它发布为止。,好游戏可能会延期，但一旦发布，延迟就被遗忘了。,“一款好游戏只有在上市后才会被发掘。
73,"""Or, as an industry catch phrase goes: A late game is only late until it ships.",或者，正如行业流行语所说：一款跳票的游戏只会在发售前跳票。,或者，正如行业流行语所说：一款延期的游戏只会延期到发售为止。,或者，正如行业流行语所说：一款跳票的游戏在发售后就不再算跳票了。,“或者，正如一句行业流行语所说：一款迟到的游戏只有在它发售时才算迟到。
74,Have now done a full round trip on the new ICNG train.,现在已经乘坐新的ICNG列车完成了一次往返旅程。,现在已经搭乘新的ICNG列车完成了一次完整的往返旅程。,现在已经乘坐新的ICNG列车完成了一次完整的往返旅程。,我现在已经在新 ICNG 列车上完成了一次完整的往返旅行。
75,There's areas that could use some polish.,有些地方需要润色。,有些地方还可以进一步完善。,有些领域需要润色。,有些地方有待提高。
76,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",即缺乏足够的垃圾桶，也缺乏解释灯光颜色意义的标志。,即缺乏足够的垃圾箱，也缺乏用于解释灯光颜色重要性的标识牌。,即缺乏足够的垃圾桶；也缺乏解释灯光颜色意义的标志。,比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
77,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,每位顾客限购一块，以确保每位排队的人都能买到一块。,每位顾客限购一块板，我们努力确保每位排队的人都能买到。,每位顾客限购一块，以确保每位排队的人都能拿到一块。,人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
78,"You can buy ONE of the boards listed above, not one of each.",您可以购买上面列出的其中一块板，而不是每种都买一块。,您可以购买上面列出的其中一个板，而不是每种都买一个。,您可以购买上面列出的其中一块板，而不是每种都买。,你可以买上面列出的一种板，而不是每种各买一个。
79,We visited for a couple hours on my porch.,我们在我的门廊上待了几个小时。,我们在我家聊了几个小时。,我们在我的门廊上待了两个小时。,在我的走廊，我们一同度过了几个小时。
80,"But I feel somehow I started this instance on the wrong foot, so to speak.",但我觉得不知怎么地，我在这个情况下有点不太顺利，可以这么说。,但我觉得不知为何，我在这个情况下有些不顺。,但我觉得不知怎么地，我在这个情况下有点开局不利，可以这么说。,但我觉得不知何故，我一开始就走错了路，可以这么说。
81,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,Repnid在地表下挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,Repnid在地表下挖掘隧道。你掉入了下面洞穴中汹涌翻腾的数百个Repnid身体之中。,Repnid在地表下持续挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
82,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",结局迅速，几对毒牙注入致命的毒液，迪斯克拉的空气污染了你的肺部。,结局迅速，几对毒牙注入致命毒液，Dyskra的空气污染了你的肺部。,结局迅速，几对毒牙注入了致命的毒液，迪斯克拉特有的空气污染了你的肺部。,很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
83,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.",你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于混乱状态。,你决定再次建立联系会很危险，于是返回飞行器。这次经历让你的头脑清醒了，自从你跳入未来以来，你的头脑一直处于混乱状态。,你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于困惑状态。,你想到，再次建立沟通会很危险，然后你回到你的飞行器上，但是这一经历已经清除了你的头脑，自从你跳入未来以来，你的头脑一直是混乱的。
84,I am using a H hook with a similar double crochet pattern as I have done before.,我正在使用H钩和以前相似的长针图案。,我正在使用H号钩针和以前用过的相似的长针钩编图案。,我正在使用H钩和以前一样的长长针图案。,我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
