index,original,single_agent_translation,single_agent_improved_translation
102,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, the implementation of Level 2 includes the encoding of Chinese characters that are not included in Level 1 of the ""General Standard Chinese Character Set"".","The implementation of Level 2 includes the Chinese characters that are not contained within Level 1 of the ""General Standard Chinese Character Set""."
104,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and supporting software shall meet the requirements of implementation level 2.,The system software and supporting software shall meet the requirements of implementation level 2.
105,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","System software and document software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).","System software and document software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification)."
107,实现级别 3 包含实现级别 2。,Maturity level 3 includes maturity level 2.,Maturity level 3 includes the implementation of maturity level 2.
109,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,The products used for government services and public services should meet the requirements of achieving Level 3 accessibility.,The products used for government and public services should meet the Level 3 requirements.
111,附录 A (规范性 ),Appendix A (Normative).,Appendix A (Normative).
112,双字字符表,Character set.,Double character table
115,A.2 表的说明,Table description,Description of the table
117,第一字节第二字节低位,the first byte the second byte low bit,the first byte and the second byte's low bit
121,表意文字描述符,Ideographic description characters.,Ideographic description characters.
124,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Graphic, Code Position, and Functional Description of Ideographic Description Characters","Table B.1: Graphic, Code Position, and Functional Description of Ideographic Description Characters"
125,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code positions of this document are similar but not equal to the code positions of GB/T 13000, used to express external characters by borrowing certain characters.",The code positions in this document are similar but not equal to the code positions of GB/T 13000.
130,全包围结构,Unibody structure.,Unibody/Monocoque structure.
133,回右包围结构,Encircle and surround.,Enact a flanking maneuver.
136,回右上包围结构,Surround the upper right structure.,Return and surround the structure in the upper right.
140,C.1 表的内容,The content of the table.,C.1 The content of the table.
145,D.1 调整过的 18 个GB/T 13000 代码位置,Adjusted 18 GB/T 13000 code positions.,D.1 Adjustments to 18 GB/T 13000 code positions.
148,本文件及 GB 18030 一 2005 的GB 18030 一 2005 对应的本文件对应的GB/T 工 13000 码位,The corresponding GB/T 13000 code positions of this document and GB 18030-2005.,The corresponding GB/T 13000 code positions of this document and GB 18030-2005.
149,D.2 在双字闻区删除的 6 个汉字构件,六个汉字构件,Six Chinese character components were deleted in the double-byte area.
151,D.3 在双字下区删除的 9 个 CJK 兼容汉字,九个 CJK 兼容汉字,The 9 CJK compatible characters that were deleted from the double-byte area.
153,表 D.3 删除的 9 个 CJK 兼容汉字和它们的代码位置,Table D.3 Nine CJK Compatibility Ideographs Removed and Their Code Positions,Table D.3 Nine CJK Compatibility Ideographs that were Removed and Their Code Positions
154,附录开 (资料性)《通用规范汉字表》 汉字的代码位置,"The code positions of the characters in the ""General Standard Chinese Character Set"" (informative).","The code positions of the characters in the ""General Standard Chinese Character Set"" (informative appendix)."
155,"本文件收录了 2013 年中华人民共和国国务院批准发布的 4 通用规范汉字表》 中的全部 8105 个规范汉字,它们的代码位置和字形见表1。","This document contains the full 8,105 standard Chinese characters approved and published by the State Council of the People's Republic of China in 2013. Their code positions and character forms are shown in Table 1.","This document contains the full 8,105 standard common Chinese characters approved and published by the State Council of the People's Republic of China in 2013. Their code positions and character forms are shown in Table 1."
159,GB/ 工 36475 软件产品分类,Software Product Classification GB/T 36475.,GB/T 36475 Software Product Classification.
163,"如果发现手册页和软件之间有所矛盾,请查对Info","If there is a conflict between the manual page and the software, please refer to the Info.","If there is a conflict between the manual page and the software, please refer to the information."
170,源文件后级名指出语言种类以及后期的操作:,source file suffix indicates the language type and subsequent operations,The file name suffix indicates the language type and any subsequent processing.
171,".c C 源程序; 预处理, 编译,汇编",".c C source program; preprocessing, compiling, assembling","The .c file is a C source code file that undergoes preprocessing, compilation, and assembly."
175,".m Objective-C 源程序; 预处理,编译,汇编",".m Objective-C source code; preprocessing, compiling, assembling","Objective-C source code: preprocessing, compiling, and assembling."
176,".i 预处理后的 c 文件;编译,汇编","Preprocessed C file; compile, assemble.",The preprocessed C file is compiled and assembled.
182,.a 归档库文件(Archive file),Archive file,Archived library file
183,"除非使用了 -cec，-s, 或 -E 选项(或者编译错误阻止了完整的过程),否则连接总是最后的步骤.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the full process), linking is always the final step.","Unless the -cec, -s, or -E options are used, or a compilation error prevents the full process, linking is always the final step."
185,选项必须分立给出 : de ' 完全不同于 `-d -r '.,separate options,"The options must be presented separately, not as ""-d -r""."
187,这里只列举不是默认选项的格式.,Here are the listed formats that are not the default options.,Here are the non-default formats listed.
190,总体选项 (Overall Option),Overall Option,The overall set of options
191,明确指出后面输入文件的语言为 language (而不是从文件名后绥得到的默认选择).,Clearly specify that the language of the input file is language (rather than the default selection obtained from the file name).,Clearly specify that the language of the input file is language (rather than the default selection obtained from the file name afterward).
193,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件 RE AS E ` -x' 选项).","Close any explicit language specification, so process the file based on the file name (use the `-x' option).","Close any explicit language specification, so process the file based on the file name (use the `-x' option)."
194,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用 ` -x' 选项 (或文件名后 Ah) 告诉 geo 从哪里开始,用 `~-c' ，`-s' ,或 `-E' 选项告诉 geo 到哪里结束.注意,某些选项组合 (例如 ，`-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用 ` .o' 蔡换源文件名后级 ` .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略 -ec 选项后面任何无法识别的输入文伯 -S F 何事情.","If you only operate on a part of the four stages (preprocessing, compilation, assembly, and linking), you can use the `-x` option (or `Ah` after the file name) to tell GCC where to start, and use the `-c`, `-S`, or `-E` options to tell GCC where to end. Note that some option combinations (such as `-x cpp-output -E`) do not make sense and will result in an error. By default, GCC uses the `.o` extension to replace the source file name with the object file name. You can use the `-o` option to specify a different name. GCC ignores any unrecognized input files after the `-x` option.","One can use the `-x` option (or `Ah` after the file name) to tell GCC where to start, and use the `-c`, `-S`, or `-E` options to tell GCC where to end, if operating on a part of the four stages (preprocessing, compilation, assembly, and linking). Note that some option combinations (such as `-x cpp-output -E`) do not make sense and will result in an error. By default, GCC uses the `.o` extension to replace the source file name with the object file name. One can use the `-o` option to specify a different name. GCC ignores any unrecognized input files after the `-x` option."
196,"编译后即停止, 不进行汇编件.","Compilation stops immediately, no assembly is performed.","Compilation stops immediately, and no assembly is performed."
197,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的 C ""方言 "": 支持符合 ANSI 标准的 C 程序.","During the different stages of the compilation process, use pipes instead of temporary files to work, because those system assemblers cannot read data from pipes, but the GNU assembler does not have this problem. The C ""dialect"" that the assembler can accept: supports C programs that conform to the ANSI standard.",The GNU assembler supports C programs that conform to the ANSI standard.
200,"正常情况下, 这样的函数 foo 在 C++ 中意味着参数为空.","Normally, a function like foo in C++ means the parameters are empty.","Normally, a function like ""foo"" in C++ means that the parameters are empty."
202,"详见NU c 手册,我们已经把细节删除, 这样当内容过时后, 人们也不会 HERI.","See the NU c manual for details, we have removed the specifics so that when the content becomes outdated, people will not HERI.","See the NU c manual for details. We have removed the specifics so that when the content becomes outdated, people will not be confused."
204,他和`-Ethis-is-variable' 选项的果一样.,He and the `-Ethis-is-variable' option are the same.,The result of the `-Ethis-is-variable' option is the same as his.
205,-traditional-cpp 试图支持传统 Cc 预处理器的某些方面.,The traditional-cpp attempts to support certain aspects of the traditional Cc preprocessor.,traditional-cpp attempts to support certain aspects of the traditional C preprocessor.
216,"相对应的, 如果编译时使用缺省选项 ` -fno-exteznal-templates', 所有模板实例明确的设为内置.","The corresponding, if the default option `-fno-external-templates` is used during compilation, all template instances are explicitly set to be inline.","If the default option `-fno-external-templates` is used during compilation, all template instances are explicitly set to be embedded."
219,"有些情况下, 编译器能够判断出可以直接调用某个虚函数; 这时就直接调用.","In some cases, the compiler can determine that a virtual function can be called directly; in such cases, it will call the function directly.","In some cases, the compiler can determine that a virtual function can be called directly, and it will do so."
221,这种表达式的值是 Void.-fthis-—is-variable 允许对 this 赋值 (仅对 c++).,The value of this expression is Void.-fthis-—is-variable allows assignment to this (C++ only).,This expression evaluates to void. The variable 'this' is only assignable in C++.
229,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.","This option, and its opposite option, make the program work with the corresponding default values.",This option and its opposite option set the program to work with the corresponding default values.
231,"如果没有明确声明 ` signed' 或 ""unsigned'修饰符, 这些选项用来定义有符号位域 (bitfield) 或无符号位域.","If no explicit `signed' or `unsigned' modifier is stated, these options are used to define signed bitfields or unsigned bitfields.","If no explicit `signed` or `unsigned` modifier is stated, these options are used to define signed bit-fields or unsigned bit-fields."
234,"这是为了兼容一些老程序,他们算改字符串常量是一个非常糟糕的想法、`-traditional' 选项也有相同效果.","This is to be compatible with some old programs, they think that changing string constants is a very bad idea, the `-traditional' option also has the same effect.","This is to be compatible with some old programs, changing string constants is a very bad idea, and the `-traditional' option also has the same effect."
237,其影响可能类似于2008年的经济危机,The impact may be similar to the economic crisis of 2008.,The impact may be similar to that of the 2008 economic crisis.
239,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"In many countries, this disease has overwhelmed medical service institutions, bringing them close to collapse, and the restrictive measures implemented by governments have caused serious disruption in the global economy.","In many countries, this disease has already overwhelmed medical service institutions, bringing them close to collapse, and the restrictive measures implemented by governments have caused serious disruption in the global economy."
241,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,"Some producers may be forced to seek new methods to manufacture drugs, as restrictions on mobility also limit access to precursors and basic chemicals.","Some producers may be forced to seek new methods to manufacture drugs, as restrictions on the flow of mobility also limit access to precursors and basic chemicals."
249,一些国家有大量毒品通过商业航班走私，预计这些国家的贩毒活动受到的直接影响最大。,"Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug trafficking activities in these countries will be most directly affected.","Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug smuggling activities in these countries will be most directly affected."
259,世界各地的吸毒现象一直在增多，无论是从总体数字还是从吸毒者在世界人口中所占比例来看都是如此。,"The phenomenon of drug abuse is constantly increasing worldwide, whether in terms of the overall numbers or the proportion of drug users in the world population.","The phenomenon of drug use is constantly increasing worldwide, whether in terms of the overall numbers or the proportion of drug users in the global population."
262,"这在一定程度上反映了这一期间总体人口增长的差异、发达国家为7%,发展中国家为28%但也反映了发展中国家年 轻人口增长较快。","This to a certain extent reflects the difference in overall population growth during this period, with developed countries at 7% and developing countries at 28%, but it also reflects the faster growth of the young population in developing countries.","This to a certain degree reflects the difference in overall population growth during this period, with developed countries at 7% and developing countries at 28%, but it also reflects the faster growth of the young population in developing countries."
263,青少年和年轻成年人在吸毒者中所占比例最大。,The proportion of adolescents and young adults is the highest among drug users.,Adolescents and young adults make up the largest proportion of drug users.
266,无论是发达国家还是发展中国家，城市地区的吸毒情况都多于农村地区。,"Regardless of whether it is a developed country or a developing country, the drug abuse situation in urban areas is more serious than in rural areas.","The drug abuse situation is more prevalent in urban areas than in rural areas, regardless of whether it is a developed or developing country."
267,吸毒情况总体增多的部分原因是人口从农村向城镇的大规模流动一目前全世界人口有一半以上生活在城市地区，而1960年这一比例为34%。,"The overall increase in drug abuse is partly due to the large-scale migration of the population from rural to urban areas - currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","The overall increase in drug abuse is partly due to the large-scale migration of the population from rural to urban areas, with more than half of the world's population now living in urban areas, compared to 34% in 1960."
268,城市化可能是毒品市场未来动态的一个关键因素，特别是在城市化趋势更为突出的发展中国家。,"City-ization may be a key factor in the future dynamics of the drug market, especially in developing countries where urbanization trends are more pronounced.","Urbanization may be a key factor in the future dynamics of the drug market, especially in developing countries where urbanization trends are more pronounced."
273,来自少数几个国家的数据表明，有害的吸毒模式与病症同低收入之间存在联系。,The data from a few countries indicates that harmful drug use patterns are associated with low-income conditions.,The data from a few countries indicates that harmful drug use patterns are associated with low-income conditions and illnesses.
274,这些模式在较富裕的社会阶层似乎不太常见。,These patterns seem to be less common among the more affluent social strata.,These patterns seem to be less common among the more affluent social strata.
277,新冠肺炎或将导致毒品市场进一步扩张新冠肺炎的大流行可能会导致更多农民增加或从事非法作物种植，或是因为国家主管机关的控制能力降低，或是因为在经济危机之下可能有更多人不得不铤而走险，从事非法活动。,"The COVID-19 pandemic may lead to further expansion of the drug market. The COVID-19 pandemic may cause more farmers to increase or engage in the cultivation of illegal crops, either due to a decrease in the control capabilities of the competent national authorities, or because more people may be forced to take risks and engage in illegal activities under the economic crisis.","The COVID-19 pandemic may lead to further expansion of the drug market, as more farmers engage in illegal crop cultivation or more people turn to illegal activities due to the economic crisis."
283,会员国的国内市场每年约有500种新型活性物质。,The domestic market of member countries has about 500 new active substances every year.,The domestic markets of member countries have about 500 new active substances each year.
286,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","In the total number of new psychoactive substances identified in 2014, opioid-type new psychoactive substances accounted for only 2%, but by 2018 this figure had risen to 9%.","In the total number of new psychoactive substances identified in 2014, opioid-like new psychoactive substances accounted for only 2%, but by 2018 this figure had risen to 9%."
287,类阿片新型精神活性物质中有许多是芬太尼的类似物，其药效和危害已得到证明，在北美导致了过量死亡事件，其他区域也有，但程度较轻。,"Many of the novel psychoactive substances in the opioid-like class are fentanyl analogues, whose pharmacological effects and harms have been demonstrated. They have led to overdose deaths in North America, and have also occurred in other regions, though to a lesser extent.","Many of the novel psychoactive substances that are similar to opioids are analogues of fentanyl, whose pharmacological effects and harms have been demonstrated. They have led to overdose deaths in North America, and have also occurred in other regions, though to a lesser extent."
288,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,"In North America, fentanyl is used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and is also used to manufacture counterfeit pharmaceutical opioids.","In North America, fentanyl is used to adulterate heroin and other drugs (including cocaine and methamphetamine), and is also used to manufacture counterfeit pharmaceutical opioids."
290,2新型精神活性物质的使用可能会逐渐牢固存在于弱势群体中,The use of new psychoactive substances may gradually become entrenched among vulnerable populations.,The use of new psychoactive substances may gradually become firmly established among vulnerable populations.
295,贩毒者和制毒者一直在寻找替代品一不仅有管制较松的物质，还有专门为规避管制而设计的化学品，即所谓的“特制前体”。,"Drug traffickers and drug manufacturers have been looking for substitutes, not only substances with less stringent controls, but also chemicals specifically designed to circumvent controls, the so-called ""specially designed precursors"".","Drug traffickers and drug manufacturers have been looking for substitutes, not only substances with less stringent controls, but also chemicals designed to circumvent controls, known as ""precursors""."
296,旨在阻止新冠肺炎传播的限制性措施很可能使依赖前体化学品的制毒者受到进一步挤压。,The restrictive measures aimed at preventing the spread of COVID-19 are likely to further squeeze drug manufacturers who rely on precursor chemicals.,The restrictive measures aimed at preventing the spread of COVID-19 are likely to further squeeze illegal drug producers who rely on precursor chemicals.
297,来自墨西哥的证据表明，这已经成为 现实：据报告，2020年3月，从东亚进口的甲基苯丙胺前体短缺促使墨西哥和美国的甲基苯丙胺价格上涨。,"The evidence from Mexico indicates that this has become a reality: According to reports, in March 2020, a shortage of methamphetamine precursors imported from East Asia led to a rise in the price of methamphetamine in Mexico and the United States.","The evidence from Mexico indicates that this has become a reality: According to reports, in March 2020, a shortage of amphetamine precursors imported from East Asia led to a rise in the price of amphetamine in Mexico and the United States."
305,阿富汗和伊拉克甲基苯丙胺市场增长,The Afghan and Iraqi methamphetamine markets are growing.,The methamphetamine markets in Afghanistan and Iraq are growing.
309,最近，伊拉克当局发现了多个甲基苯丙胺加工点，麻管局已对伪麻黄碱制剂的大批进口表示关切一甲基苯丙胺加工点将这些制剂用作前体。,"Recently, the Iraqi authorities have discovered multiple methamphetamine production sites, and the drug control agency has expressed concern over the large-scale importation of pseudoephedrine preparations, as these sites are using these preparations as precursors for the production of methamphetamine.","The Iraqi authorities have recently discovered multiple amphetamine production sites, and the narcotics control agency has expressed concern over the large-scale importation of pseudoephedrine preparations, as these sites are using these preparations as raw materials for the production of amphetamine."
311,自那时起，甲基苯丙胺的缉获量一直在稳步上升。,"Since then, the seizure of methamphetamine has been steadily increasing.",The amount of methamphetamine seized has been steadily increasing since then.
312,但2019年上半年的缉获量一^657公斤——与上一年相比大幅骤增。,But the amount seized in the first half of 2019 was 657 kilograms - a sharp increase compared to the previous year.,But the amount seized in the first half of 2019 was 657 kilograms - a sharp sudden increase compared to the previous year.
318,在美国最早通过立法的两个州科罗拉多州和华盛顿州，成年人非医疗使用大麻的情况增加，特别是过去一个月以及每天或几乎每天使用的情况增多，自2012年起便已超过了全国平均水平。,"Colorado and Washington were the first two states in the United States to pass legislation allowing for the non-medical use of cannabis by adults. The prevalence of past-month and daily or near-daily cannabis use has increased in these states, exceeding the national average since 2012.","The prevalence of past-month and daily or near-daily cannabis use by adults has increased in Colorado and Washington, exceeding the national average since 2012."
323,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,The reason behind the drastic drop in the global seizure of cannabis herbs is the legalization of cannabis?,The drop in global cannabis seizures is likely due to the legalization of cannabis.
326,对新型精神活性物质的监管似乎有遏制作用在国内对新型精神活性物质的监管效果仍然很难评估。,"The regulation of new psychoactive substances seems to have a suppressive effect, but the effectiveness of domestic regulation of new psychoactive substances is still difficult to assess.","The regulation of new psychoactive substances appears to have had a restraining effect, but the effectiveness of domestic regulation of these substances remains difficult to assess."
327,一些对新型精神活性物质采用不同监管制度的国家显示出不同的新型精神活性物质使用流行率。,Some countries with different regulatory systems for new psychoactive substances show different prevalence rates of new psychoactive substance use.,Countries with different regulatory systems for new psychoactive substances show varying prevalence rates of new psychoactive substance use.
328,在另一些国家，通过国内立法后，新型精神活性物质使用情况有所减少。,"In some other countries, the use of new psychoactive substances has decreased after domestic legislation.","In some other countries, the use of new psychoactive substances has been reduced after domestic legislation."
333,"据估计，低收入和中等收入国家的人口占全球人口的88%,但消费的药用类阿片却不到10%。","According to estimates, the population of low-income and middle-income countries accounts for 88% of the global population, but they consume less than 10% of the medical opioids.","According to estimates, the population of low-income and middle-income countries accounts for 88% of the global population, but they consume less than 10% of the medical opioid types."
334,获取药用类阿片的障碍与许多因素有关，包括立法、文化、卫生系统和处方做法。,"The barriers to accessing medicinal opioids are related to many factors, including legislation, culture, healthcare systems, and prescription practices.","The barriers to accessing medicinal opioids are related to various factors, including legislation, cultural norms, healthcare systems, and prescription practices."
343,全球范围的有限数据表明，迷醉可能是杀人的一个重要因素。,The limited data available globally suggests that intoxication may be an important factor in homicide.,The limited global data suggests that intoxication may be an important factor in homicide.
351,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,"According to estimates, in 2018 there were 192 million people using cannabis, making it the most widely used illicit drug globally.","According to estimates, in 2018 there were 1.92 billion people using cannabis, making it the most widely used illicit drug globally."
354,"在2017年与吸毒病症有关的估计167,000例死亡中，有66%是这类物质造成的，在据信为吸毒导致的残疾或过早死亡而损失的2,100万年寿命中，有50%是这类物质造成的。","In 2017, an estimated 167,000 deaths were related to drug use disorders, of which 66% were caused by these substances. Of the estimated 21 million years of life lost due to disability or premature mortality attributed to drug use, 50% were caused by these substances.","In 2017, an estimated 167,000 deaths were related to drug use disorders, of which 66% were caused by these types of substances. Of the estimated 21 million years of life lost due to disability or premature mortality attributed to drug use, 50% were caused by these types of substances."
368,兴奋剂领域以可卡因和甲基苯丙胺为主，这两种物质在其主要市场的使用量都在上升。,"Stimulants are mainly represented by cocaine and methamphetamine, and the usage of these two substances is increasing in their major markets.","Stimulant drugs, particularly cocaine and methamphetamine, are seeing increased usage in their major markets."
372,在一些市场上，可卡因和甲基苯丙胺可以共存，有时是相互替代，这样一种药物的使用量上升时另一种药物的使用量就下降，有时是同时增加和减少以满足同一市场的需求。,"In some markets, cocaine and methamphetamine can coexist, sometimes as substitutes, where an increase in the use of one drug is accompanied by a decrease in the use of the other, and at times they increase and decrease simultaneously to meet the demand of the same market.","In some markets, cocaine and methamphetamine can exist together, sometimes replacing each other, where an increase in the use of one drug is accompanied by a decrease in the use of the other, and at times they increase and decrease simultaneously to meet the demand of the same market."
