index,original,translated,design_and_markup_annotation
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
33,It takes the state's governor.,Это зависит от губернатора штата.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source text does not contain any markup tags, HTML characters, or emojis that could lead to design and markup errors in the target text."
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

There are no design and markup errors in the provided translation segment. The translation does not contain any markup tags, malformed HTML characters, or changes in emoji formats that would require annotation."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне очень понравилось пообщаться с Пенни и Николасом из Ashanti Development на выходных и обсудить их успехи.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

There are no design and markup errors in the provided translation. The text does not contain any markup tags, HTML characters, or emojis that could be malformed or incorrectly formatted."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев вместе с Николасом в 2011 году, поддерживая ряд проектов.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николас работает с фермерами над сокращением использования пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как гусеница совки, которая может уничтожать посевы кукурузы.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source and target texts do not contain any markup tags, malformed HTML characters, or emoji discrepancies that would require annotation."
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне писать этикетку или писать на коробке.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,"Они не позволят мне сообщить им адрес, куда это отправляется, и кто отправляет.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда берут с меня $2.25 за это ""удобство"".","```
MQM annotations:
design and markup errors:
Minor: markup tag - The quotation marks around ""convenience"" in the source text are straight quotes, while in the target text, they are curly quotes. This is a minor design inconsistency.
```"
64,The ratings--seeking delusional irresponsibility of it all.,Рейтинго-ищущая бредовая безответственность всего этого.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
65,It can't be repeated.,Это нельзя повторить.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозистый подвал, что, по сути, означает, что там может укрываться много грызунов.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","За последний месяц или около того появилось много признаков увеличения числа грызунов, что было особенно удивительно, так как сейчас весна, и я бы подумал, что с изменением погоды они отправятся на улицу.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","Кстати, я пробовал почти все ""гуманные"" ловушки на рынке, но с очень небольшим успехом.","```
MQM annotations:
design and markup errors:
Minor: markup tag - The quotation marks around ""humane"" in the source text are straight quotes, while in the target text, they are curly quotes. This is a minor design inconsistency.
```"
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно рад их убивать, но не собираюсь обсуждать этику убийства мышей.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые стимулируют более активную предпринимательскую деятельность.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx больше не существует, хотя это была бы гонка на дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","```
MQM annotations:
design and markup errors:
Critical: MARKUP TAG - None
Major: MARKUP TAG - None
Minor: MARKUP TAG - None
``` 

In this case, there are no design and markup errors in the translation. The text does not contain any markup tags, malformed HTML characters, or emoji discrepancies between the source and target text."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","Сегодня в первом поезде контролер посмотрел на наши билеты и сказал: ""долгое путешествие!"".","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто высаживаю его в Глазго,"" попытался объяснить я, указывая на моего попутчика.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"То, в чем я убедился прошлой ночью, это то, что мы должны быть готовы бороться против трампизма.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

In this case, there are no design and markup errors in the translation provided. The translation maintains the integrity of the original text without any issues related to markup tags, HTML characters, or emoji formats."
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, который на самом деле никто не хочет, кроме фанатиков, которые в нем состоят.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
90,And they are truly nuts.,И они действительно сумасшедшие.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,Купите наклейки на бампер с антиреспубликанскими лозунгами и наклейте их повсюду.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
95,Yell back at those who would try to talk over us.,"Кричите в ответ на тех, кто пытается нас перебить.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Недопустимо выходить на улицу или подбегать к людям, когда у вас сильный кашель с мокротой.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down.,"Ян причинит тебе боль, прежде чем позволит увидеть, что она сама ранена, и больше всего смеется, когда все вверх дном.","```
MQM annotations:
design and markup errors:
[Critical]: [design_and_markup/markup_tag] - None
[Major]: [design_and_markup/markup_tag] - None
[Minor]: [design_and_markup/markup_tag] - None
```

In this case, there are no design and markup errors in the translation. The translation does not contain any malformed markup tags, incorrect emoji formats, or malformed escaped HTML characters."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","После 4000 лет страданий Йл оказывается в месте, полном любви, и испытывает сильные чувства, с которыми не знает, что делать, поэтому их много с обеих сторон.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
108,#CNN needs to just close down.,CNN нужно просто закрыться.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

In this case, there are no design and markup errors in the translation. The translation correctly reflects the source text without any issues related to markup tags or emoji formats."
110,"Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience?","Кто на этой жалкой, умирающей сети был ответственен за проверку так называемых ""независимых избирателей"" в аудитории?","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

The translation provided does not contain any design or markup errors. The text does not include any malformed HTML characters or incorrect emoji formats, and there are no deviations from the source text in terms of design and markup."
113,A cold front should arrive by the middle of next week.,Холодный фронт должен прийти к середине следующей недели.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The translation is free from issues related to incorrect markup tags, malformed HTML characters, or changes in emoji formats."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",Сегодня рано утром спутниковые ИК-наблюдения и наблюдения с поверхности указали на расширяющуюся область низкой слоистой облачности и местами <URL>.,"```
MQM annotations:
design and markup errors:
Critical: markup_tag - The placeholder ""<URL>"" is not a valid or meaningful URL or markup tag in both the source and target text. It should be replaced with a proper URL or markup tag if applicable.
```"
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","Задрот Арни Каннингем влюбляется в Кристину, ржавый Plymouth Fury 1958 года, и становится одержим восстановлением классического автомобиля до его прежнего величия.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","По мере того как меняется автомобиль, меняется и Арни, чья новая уверенность за рулем его экзотической красавицы превращается в высокомерие.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

The provided translation does not contain any design or markup errors. The text does not include any markup tags, malformed HTML characters, or emoji format changes that differ from the source text."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"Одна из самых безумных вещей в том, что мои соседи настроились против меня, это осознание того, сколько усилий требуется, чтобы быть враждебным.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
126,It hurts but you gotta do you.,"Больно, но ты должен быть собой.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
127,But at this point the open hostility and violence is getting worse.,Но на данный момент открытая враждебность и насилие становятся хуже.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation task, there are no design and markup errors present. The translation does not contain any malformed HTML characters, incorrect emoji formats, or other markup issues."
131,And I still have NO IDEA what I could have possibly done to deserve this.,"И я до сих пор НЕ ИМЕЮ ПОНЯТИЯ, что я мог сделать, чтобы заслужить это.","```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
133,That vessel is off-limits.,Это судно запрещено.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
135,She is irrelevant to me.,Она не имеет для меня значения.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
139,I gripe about dad-ification a lot.,Я много жалуюсь на превращение в отца.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"Вот краткий курс о том, что я имею в виду под ""отцовщиной"":","```
MQM annotations:
design and markup errors:
Minor: markup tag - The quotation marks around ""отцовщиной"" in the target text do not match the style of the parentheses in the source text, which could be considered a minor design inconsistency.
```"
141,"It isn't my term, it is a term used to describe when a narrative or gameplay mechanic is built around a central protagonist (usually older, usually male) stewarding or guarding another person (often younger).","Это не мой термин, это термин, используемый для описания ситуации, когда повествование или игровой механизм строится вокруг центрального протагониста (обычно старшего, обычно мужского пола), опекающего или охраняющего другого человека (часто младшего).","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","Отец-фикация обычно предполагает, что решение ситуации, в которой родительская фигура должна заботиться о ребенке или его замене, заключается в подавляющей силе и использовании этой силы для создания очень специфической формы динамики власти.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

In this case, there are no design and markup errors in the translation provided. The text does not contain any markup tags, malformed HTML characters, or changes in emoji formats that would need annotation."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.","Отец-фикация размывает возможность для коллективных решений и часто полностью игнорирует или подрывает любую самостоятельность, которую имеет ребенок.","```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
151,- More details are in the full blog post.,- Более подробная информация в полном блоге.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
159,Over time dart became my go-to for quick UI.,Со временем Dart стал моим выбором для быстрого создания пользовательского интерфейса.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source and target texts do not contain any markup tags or emojis that could lead to such errors."
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter - это удовольствие работать с ним, и у них есть #mobx для легкого управления хранилищем.","```
MQM annotations:
design and markup errors:
Minor: Markup Tag - The hashtag format in the target text does not match the source text. In the source, hashtags are used (#flutter, #mobx), but in the target, the format is altered by adding spaces around the dash (#flutter - это).
```"
161,"The dependency story is less insane than nodejs, too.","История зависимостей менее безумна, чем у nodejs.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
163,But it allows to move fast and that's why it's ideal for small hacks.,"Но это позволяет двигаться быстро, и поэтому идеально подходит для небольших взломов.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
166,Their tail is extremely thick.,Их хвост чрезвычайно толстый.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
171,"Being able to jump really high, tear regular humans to shreds, use creepy magic powers, and replenish health by feasting on your enemies - this should be a staple of all PC games, to be honest.","Умение прыгать очень высоко, разрывать обычных людей на куски, использовать жуткие магические силы и восстанавливать здоровье, пируя на своих врагах - честно говоря, это должно быть основой всех игр для ПК.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation, there are no design and markup errors present. The translation maintains the integrity of the original text without any malformed markup tags, incorrect HTML characters, or changes in emoji formats."
176,It maybe has too many language subtleties.,"Возможно, в нём слишком много языковых тонкостей.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","Нужно перевести это на мандарин и/или хоккиен, ни один из которых я совсем не знаю.","```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```

Explanation: The provided translation does not contain any design or markup errors. There are no malformed HTML characters, incorrect markup tags, or changes in emoji formats that would affect the design or understanding of the content."
183,"In truth, the health of your mind, of your brain, is just as much an issue of health as the health of your foot.","На самом деле, здоровье вашего разума, вашего мозга, является такой же проблемой здоровья, как и здоровье вашей ноги.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
``` 

In this translation, there are no design and markup errors related to incorrect markup tags, malformed HTML characters, or changes in emoji formats. The translation maintains the design and markup integrity of the original text."
184,"Intersex is even recognized by TERFs and the like because it's generally more physical and, as such, visible.","Интерсекс признается даже ТЕРФами и подобными, потому что это, как правило, более физическое и, следовательно, заметное.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","Точно так же, как психическое здоровье многими воспринимается как менее ""реальное"", чем физическое здоровье, я как бы чувствую, что быть трансгендером — это просто интерсекс мозга.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
186,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate.","Чем больше я читаю исследований о сексе, гендере, психологии, тем больше утверждение ""Мой пол мужской, мой гендер женский"" кажется мне упрощённым и неточным.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
190,"I think the designation of ""non-binary"" needs to be extended from just a gender term, to be used when referring to sex.","Я думаю, что обозначение ""небинарный"" нужно расширить от гендерного термина, чтобы использовать его при упоминании пола.","```
MQM annotations:
design and markup errors:
Minor: markup tag - The quotation marks around ""non-binary"" in the source text are straight quotes, while in the target text, they are curly quotes. This is a minor design inconsistency.
```"
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"Как краутовые настроения и другая мировая поп-музыка, радиофоническая мастерская и всякое такое.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source and target texts do not contain any markup tags, malformed HTML characters, or emoji format changes that would require annotation."
210,I want to make dashboards.,Я хочу создавать панели управления.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""","Итак, с приближением нового уровня рейда в #FFXIV, я долго думал: ""Черт, я бы хотел попробовать настоящий рейд, но Party Finder звучит как беспорядок, и я никогда не найду статик, который меня возьмет.""","```
MQM annotations:
design and markup errors:
Minor: markup tag - The emoji format in the target text does not match the source text.
```"
215,I'll make my own static!,Я сделаю свой собственный статик!,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!","Полно людей, слишком обеспокоенных, чтобы попробовать присоединиться к рейдовому статик-группе, без каких-либо ожиданий быть хорошими в этом!","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
219,I was a voracious reader in my youth.,В юности я был ненасытным читателем.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
221,"But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023.",Но после ~десятилетий~ почти полного отсутствия чтения (за исключением функциональной рабочей научно-популярной литературы и случайной книги по саморазвитию) я поставил цель прочитать 23 книги в 2023 году.,"```
MQM annotations:
design and markup errors:
major: markup tag - The tilde characters (~) used for emphasis in the source text are not preserved in the target text.
```"
226,I wanna see these companies that intermediate transactions explain to their customers how they set their percentages.,"Я хочу, чтобы эти компании, которые выступают посредниками в транзакциях, объяснили своим клиентам, как они устанавливают свои проценты.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
228,"But if Spotify has a good quarter, they will.","Но если у Spotify будет хороший квартал, они это сделают.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
229,Is it a danger to let migrants in at the southern border? I dunno.,Представляет ли опасность впускать мигрантов на южной границе? Не знаю.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
