index,source,target,annotation
11,代码生成选项(Code Generation Option),The code generation option,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Linguistic Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Conventions Errors
[Critical]: None
[Major]: None
[Minor]: None

Audience Appropriateness Errors
[Critical]: None
[Major]: None
[Minor]: None

Design and Markup Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
12,总体选项(Overall Option),Overall option,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Linguistic Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Conventions Errors
[Critical]: None
[Major]: None
[Minor]: None

Audience Appropriateness Errors
[Critical]: None
[Major]: None
[Minor]: None

Design and Markup Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,"MQM annotations:
Accuracy Errors
[Minor]: [over-translation] - ""Make clear"" is slightly stronger than what's implied in the original Chinese. A more accurate translation might be ""Specify"" or ""Explicitly state"".

Terminology Errors
[No Error]:

Linguistic Convention Errors
[No Error]:

Style Errors
[Minor]: [awkward expressions] - ""the file input"" is a slightly unnatural phrasing. Better would be ""the input file"".

Locale Conventions Errors
[No Error]:

Audience Appropriateness Errors
[No Error]:

Design and Markup Errors
[No Error]:

No-error"
14,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - ""available in .language"" is an awkward and inaccurate way to translate ""选项.language 的可选"". It should be something like ""followed by a '-x' option, specifying a language."" or ""until the next '-x language' option.""

Terminology Errors
[No Error]: None

Linguistic Convention Errors
[Minor]: [grammar] - Missing article before ""language"". Should be ""a language"".

Style Errors
[Major]: [Unnatural flow] - The sentence structure is awkward and doesn't flow naturally. The phrase ""available in"" is misused.

Locale Conventions Errors
[No Error]: None

Audience Appropriateness Errors
[No Error]: None

Design and Markup Errors
[No Error]: None"
15,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件RE AS E ' -x' 选项).",Turn off any explicit language pronouncements that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option).,"MQM annotations:
Accuracy Errors
[Critical]: [Mistranslation] - The entire sentence is a nonsensical and inaccurate rendering of the Chinese source. ""RE AS E ' -x' option"" doesn't make sense in context, and the overall meaning is lost. The sentence structure is flawed and does not reflect the original meaning.
[Major]: [Mistranslation] - The sentence is very difficult to understand, hinting that the provided string might be related to turning off language declarations in filename suffix processing, but fails to convey the original instruction.

Terminology Errors
[Critical]: [Incorrect term choice] - ""explicit language pronouncements"" is an inappropriate translation. It doesn't have a clear equivalent meaning in English in this context.
[Major]: [Incorrect term choice] - ""filename suffix processing"" is understandable in the context but reads awkward as a direct translation and could be worded in a more natural English phrasing.

Linguistic Convention Errors
[Major]: [Grammar mistakes] - ""that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option"" is grammatically incorrect and difficult to parse. The sentence structure is awkward and unnatural.

Style Errors
[Critical]: [Unnatural flow] - The sentence is stilted, awkward, and difficult to understand. It does not read naturally in English.
[Major]: [Overly literal phrasing] - The translation follows the source text structure too closely, resulting in an unnatural and difficult-to-understand sentence.

Locale Conventions Errors
[Critical]: [error/subcategory] - None

Audience Appropriateness Errors
[Critical]: [error/subcategory] - None

Design and Markup Errors
[Critical]: [error/subcategory] - None"
16,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.","MQM annotations:
Accuracy Errors
[Critical]: [Mistranslation] - ""编译, 编译"" should only appear once. The translation repeats ""Compile"". Also, ""连接"" should be translated as ""Linking"", not ""Connect"".
[Major]: [Mistranslation] - ""Ah after the filename"" is a nonsensical translation of 文件名后级. It appears to be trying to translate 后级 as ""after"". The source text says ""...or specify the start stage using the file name extension"".
[Critical]: [Mistranslation] - ""∀ -x' option...∀~-c', '-s', or '-E' option"" The characters before the options are garbage. These should just be '-x', '-c', '-s', and '-E'.
[Critical]: [Mistranslation] - ""{i gee MEF =c compile or compile a source file, ETER."" is a garbled, meaningless translation.  It's likely part of a code snippet or placeholder text that was not properly handled by the translation system.
[Critical]: [Mistranslation] - ""In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label."" This is completely nonsensical. The original text says that GCC replaces the `.c` file extension with `.o` by default if no output file is specified. ""ERA ATI"", ""▽.o'"", and ""∀.ec file name label"" are all errors.
[Major]: [Omission] - ""GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情."" is not translated. The translation ends abruptly.

Style Errors
[Major]: [Unnatural flow] - The entire translation reads awkwardly and has unnatural phrasing. This is due to overly literal translation and a lack of fluency.

No-error"
17,了的目标文件.,This is what happened to the target file.,"MQM annotations:
Accuracy Errors
[Major]: [mistranslation] - The translation implies something happened *to* the target file. A more accurate translation would convey that the text is *about* the target file.

Terminology Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Linguistic Convention Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Style Errors
[Minor]: [Overly literal phrasing] - ""This is what happened to"" is not the most natural phrasing in English in this context.

Locale Conventions Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Audience Appropriateness Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Design and Markup Errors
[Critical]: [error/error_subcategory] - [brief explanation]

```"
18,"编译后即停止, 不进行汇编件.","After compilation it stops, and no compilation is done.","MQM annotations:
Accuracy Errors
[Critical]: Mistranslation - The translation incorrectly states ""no compilation is done."" The source text indicates that assembly is not performed, but compilation does occur.
[Major]: Omission - The translation omits ""assembly file"".

Terminology Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]  

Linguistic  Convention Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]  

Style Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]  

Locale Conventions Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]  

Audience Appropriateness Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]  

Design and Markup Errors
[Critical]: [error/error_subcategory] - [brief explanation]  
[Major]: [error/error_subcategory] - [brief explanation]  
[Minor]: [error/error_subcategory] - [brief explanation]"
19,"在编译过程的不同阶段间使用管道而非临时文件进行工作, 因为那些系统的汇编器不能从管道读取数据，GNU 的汇编器没有这个问题，汇编器能够接受的C ""方言"": 支持符合ANSI 标准的C 程序.","Because the compiler for those systems cannot read data from the pipeline, the compiler of GNU does not have this problem; the compiler can accept C ""dialects"" to work between different stages of the compilation process: it supports ANSI-compliant C programs.","MQM annotations:
Accuracy Errors
[Major]: [Mistranslation] - The phrase ""在编译过程的不同阶段间使用管道而非临时文件进行工作"" translates to ""using pipes instead of temporary files to work between different stages of the compilation process."" The current translation alters the meaning and order, leading to some inaccuracies regarding the context of ""using pipes instead of temporary files.""
[Minor]: [Omission] - The translation omits the initial part of the sentence that introduces the context of using pipes instead of temporary files in the compilation process. This is necessary to understand the reason behind the GNU compiler's advantage.

Terminology Errors
[Minor]: [Incorrect term choice] - While acceptable, using ""compiler"" for ""assembler"" could be more precise as the original text discusses assemblers (汇编器). This might confuse someone familiar with compilation pipelines.

Linguistic Convention Errors
[Minor]: [Grammar mistakes] - The sentence structure is a little awkward. The phrase ""the compiler can accept C ""dialects"" to work between different stages of the compilation process"" is not the most natural way to express the idea.

Style Errors
[Major]: [Unnatural flow] - The sentence structure and word choice create an unnatural flow. The connection between the assembler not being able to read from the pipeline, GNU assembler, and the supported C dialects feels disjointed.

Locale Conventions Errors
[No Error]

Audience Appropriateness Errors
[No Error]

Design and Markup Errors
[No Error]"
20,"这样就会关闭GNU Cc 中某些不兼容ANSI Cc 的特性关键字, 以及诸如unix 和vax 这些表明当迎和极少使用的ANSI trigraph 特性,以及禁上尽管使用了(译注:宿主环境(hosted environment) 下所有的标准库可用，main 函数返回一个int 值, 典型例子是除了内核以外几乎所有的程序.对应的独立环境(f£reestanding environment) 不存在标准库, 程序入口也不一定是main, 最明显的例子就是操作系统内核.详情参考gcc 网站最近的资料)","This turns off certain keywords in GNU Cc that do not support ANSI Cc, as well as certain ANSI trigraph features that indicate proper and rarely used ANSI trigraph attributes such as unix and vax, and turns it off despite its usage in all standard libraries in a hosted environment. The main function returns an int value; typical examples are almost all programs except for the kernel. The corresponding free-standing environment does not have a standard library, nor is the program port necessarily main, the most obvious example being the kernel within the operating system.","MQM annotations:
Accuracy Errors
[Critical]: Mistranslation - ""表明当迎和极少使用的ANSI trigraph 特性,以及禁上尽管使用了"" is mistranslated as ""certain ANSI trigraph features that indicate proper and rarely used ANSI trigraph attributes such as unix and vax, and turns it off despite its usage in all standard libraries in a hosted environment."" The original sentence discusses turning off certain features *despite* the use of standard libraries. The ""unix and vax"" example seems to relate to ANSI trigraphs which is also not accurately conveyed, making the sentence confusing. It should mention something like ""indicating compliance (or catering) to rarely used ANSI trigraph features"" and ""disabling despite usage"".
[Major]: Omission - The translation misses a crucial piece of information concerning the hosted and freestanding environments, the note ""(译注:宿主环境(hosted environment) 下所有的标准库可用，main 函数返回一个int 值, 典型例子是除了内核以外几乎所有的程序.对应的独立环境(f£reestanding environment) 不存在标准库, 程序入口也不一定是main, 最明显的例子就是操作系统内核.详情参考gcc 网站最近的资料)"", which gives more context to the hosted vs freestanding descriptions.

Terminology Errors
[Minor]: Incorrect term choice - ""Cc"" should probably be ""C"" in this context as it appears to refer to the C programming language.

Linguistic Convention Errors
[Minor]: Grammar mistakes - ""The program port necessarily main"" should be ""The program entry point is not necessarily main"".

Style Errors
[Major]: Unnatural flow - ""This turns off certain keywords in GNU Cc that do not support ANSI Cc, as well as certain ANSI trigraph features that indicate proper and rarely used ANSI trigraph attributes such as unix and vax, and turns it off despite its usage in all standard libraries in a hosted environment"" is a long and convoluted sentence, making it difficult to read. The wording could be improved.

Locale Conventions Errors
[Critical]: Other - Encoding issue in ""(f£reestanding environment)""

Audience Appropriateness Errors
[Minor]: Overly technical terms for general audiences - The text deals with very specific C programming language features and environments. It might be difficult to understand for a general audience without further explanation or context.

Design and Markup Errors
[No Error]

No-error"
21,本文件按照GB/T 1.1 一202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of GB/T 1.1-202 Working Guide Part I: Structure and drafting rules for standardization documents.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Linguistic Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Conventions Errors
[Critical]: None
[Major]: None
[Minor]: None

Audience Appropriateness Errors
[Critical]: None
[Major]: None
[Minor]: None

Design and Markup Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
22,"本文件代替GB 18030 一2005 信息技术”中文编码字符集与GB 18030 一2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:","This document replaces GB 18030 I 2005 Information Technology Chinese characters as compared to GB 18030 I 2005 The main changes to the extension are, apart from structural adjustments and editorial changes, the following:","MQM annotations:
Accuracy Errors
[Major]: [mistranslation] - ""GB 18030 一2005 信息技术”中文编码字符集与GB 18030 一2005"" is mistranslated as ""GB 18030 I 2005 Information Technology Chinese characters as compared to GB 18030 I 2005"". ""与...相比"" means ""compared to"". The phrase should be something like ""This document replaces GB 18030-2005 Information Technology Chinese coded character set and, compared to GB 18030-2005..."" The original translation makes it sound like GB 18030 is the name of the characters.

Terminology Errors
[Minor]: [incorrect term choice] - ""扩术变化"" should be something like ""technical extensions"" or ""technical changes"" instead of ""changes to the extension"".

Linguistic Convention Errors
[Minor]: [punctuation errors] - Missing comma after ""GB 18030-2005"".

Style Errors
[Major]: [unnatural flow] - The overall phrasing is a bit awkward. It could be improved for better readability. A more natural phrasing might be: ""This document replaces GB 18030-2005 Information Technology - Chinese coded character set. Compared to GB 18030-2005, the main technical changes are as follows, in addition to structural and editorial adjustments:""

Locale Conventions Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Audience Appropriateness Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Design and Markup Errors
[Critical]: [error/error_subcategory] - [brief explanation]

No-error"
23,增加了本文件适用对象(见第1 章)，,"Added subject of this document (see Chapter 1),","MQM annotations:
Accuracy Errors
[Minor]: [over-translation] - ""Subject"" is too specific. The Chinese text implies ""scope"" or ""range of application"" would be more accurate. It could be applicable to objects, people, organizations etc.

Terminology Errors
[Critical]: [Incorrect term choice] - The document is being called a 'file' in this translation. A document and file have different contexts and usages.

Linguistic Convention Errors
[Critical]: [Grammar mistakes] - the comma at the end feels very strange. Also the sentence could be improved in passive voice for better flow. ""The application scope of this document has been added (see Chapter 1).""

Style Errors
[Minor]: [Awkward expressions] - The phrasing ""Added subject of this document"" is a little unnatural. It could be phrased more smoothly.

Locale Conventions Errors
[Critical]: [Incorrect format] - The lack of capitalization in 'chapter 1' feels strange and inaccurate.

Audience Appropriateness Errors
[Critical]: [Offensive wording] -

Design and Markup Errors
[Critical]: [Missing markup] -

No-error"
24,"在双字节编码区更改了10 个竖排标点和8 个汉字构件所对应的GB/I 13000 代码位置,并其除了6 个重复编码的汉字构件和9 个重复编码的汉字( 见附录D,2005 年版的附录A)，","The code position of the GB/I 13000 code corresponding to 10 bulleted points and 8 characters components in the two-byte coding area is changed to the position of 6 double-coded characters components and 9 double-coded characters ((See Appendix D, Appendix A of the 2005 edition),","MQM annotations:
Accuracy Errors
[Major]: [mistranslation/omission] - ""bulleted points"" is an incorrect translation of ""竖排标点"". It should be ""vertical punctuation marks"".
[Major]: [mistranslation/addition] - The phrase ""to the position of"" is added to the English translation, which does not exist in the source.
[Major]: [mistranslation/inaccurate] - The translation ""double-coded characters components and 9 double-coded characters"" isn't precise; it should describe that they have duplicate codes. It would be better to say ""6 character components with duplicate codes and 9 characters with duplicate codes.""

Terminology Errors
[Minor]: [incorrect term choice] - Using the term ""characters components"" may not be the most common way to refer to ""汉字构件"". A more common term might be ""character radicals"" or ""character components.""

Linguistic Convention Errors
[Minor]: [grammar/punctuation] - The phrase ""and its"" should be ""and that"". This correction improves clarity and grammatical correctness.

Style Errors
[Major]: [unnatural flow] - The English sentence structure is a bit awkward and could be improved for better readability. For example: ""The GB/I 13000 code positions for 10 vertical punctuation marks and 8 character components in the two-byte coding area were changed, excluding 6 character components and 9 characters with duplicate codes (see Appendix D, Appendix A of the 2005 edition).""

Locale Conventions Errors
[No Error]

Audience Appropriateness Errors
[No Error]

Design and Markup Errors
[No Error]

```"
25,"在四字节编码区更改了18 个GB/T 13000 代码位置(见附录D,2005 年版的附录D);","18 GB/T 13000 code positions were changed in the four-byte coding region (see Appendix D, Appendix D of the 2005 edition);","MQM annotations:
Accuracy Errors
[Minor]: [omission] - The translation omits the phrase ""在四字节编码区"" which means ""in the four-byte coding region."" While the core meaning is retained, this is still a loss of information.

Terminology Errors
[No Error]

Linguistic Convention Errors
[No Error]

Style Errors
[Minor]: [awkward expressions] - ""Appendix D, Appendix D of the 2005 edition"" is slightly redundant and could be phrased more elegantly.

Locale Conventions Errors
[No Error]

Audience Appropriateness Errors
[No Error]

Design and Markup Errors
[No Error]"
26,删除了附录”追加的汉字及部首/部件“ 见2005 年版的附录〇，,Added characters and part/parts of the appendix have been removed; see appendix 0 of the 2005 edition.,"MQM annotations:
Accuracy Errors
[Major]: [Mistranslation] - ""Added characters and part/parts of the appendix have been removed"" is a mistranslation of the source text. The source states that the appendix containing ""added characters and radicals/components"" has been removed. The translation implies that the characters themselves were removed, rather than the appendix. Also, ""part/parts"" should be ""radicals/components"".

Terminology Errors
[Major]: [Incorrect term choice] - The term ""part/parts"" is a vague and inaccurate translation of ""部首/部件"" which refers to radicals and components of Chinese characters.

Linguistic Convention Errors
[Minor]: [Grammar mistakes] - ""Added characters and part/parts of the appendix have been removed"" is grammatically awkward and can be improved. ""The appendix of added characters..."" would be better.

Style Errors
[Major]: [Unnatural flow] - The phrasing ""Added characters and part/parts of the appendix have been removed"" sounds unnatural.
[Minor]: [Awkward expressions] - ""part/parts""

Locale Conventions Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Audience Appropriateness Errors
[Critical]: [error/error_subcategory] - [brief explanation]

Design and Markup Errors
[Critical]: [error/error_subcategory] - [brief explanation]

No-error"
27,"增加了实现的级别"" (见第9草);","increase the level of implementation "" (see Figure 9);","MQM annotations:
Accuracy Errors
[Critical]: Mistranslation - ""第9草"" is mistranslated as ""Figure 9"". It should be ""Draft 9"" or ""Version 9"". This significantly alters the meaning.
Terminology Errors
[Minor]: Incorrect term choice - ""Implementation"" is not the best term here. ""Level of detail"", ""degree of implementation"" or similar may be better depending on the context. However, the meaning is understandable.

Linguistic Convention Errors
[Minor]: Linguistic Convention - Missing article ""the"". ""increase the level of implementation"" is acceptable but ""increase *the* level of implementation"" sounds more natural.

Style Errors
[Major]: Awkward expressions - ""Increase the level of implementation"" sounds unnatural. Rewording is needed. A more natural phrasing depends on the precise meaning but could be something like ""increase the detail of the implementation"", or ""enhance the implementation"".
No-error"
