index,rater,source,target,category,severity
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Accuracy/Mistranslation,Major
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Accuracy/Mistranslation,Major
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Accuracy/Mistranslation,Major
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Fluency/Grammar,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Fluency/Grammar,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Source issue,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Style/Unnatural or awkward,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Style/Unnatural or awkward,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Style/Unnatural or awkward,Minor
4,57056787,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",Style/Unnatural or awkward,Minor
5,57056787,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",Accuracy/Mistranslation,Minor
5,57056787,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",Accuracy/Omission,Minor
5,57056787,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",Source issue,Minor
5,57056787,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",Source issue,Minor
5,57056787,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",Style/Unnatural or awkward,Minor
6,57056787,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",Accuracy/Omission,Major
6,57056787,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",Accuracy/Omission,Major
6,57056787,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",Source issue,Minor
6,57056787,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",Source issue,Minor
7,57056787,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",Source issue,Major
7,57056787,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",Fluency/Grammar,Minor
7,57056787,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",Source issue,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Accuracy/Addition,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Source issue,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Source issue,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Source issue,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Style/Unnatural or awkward,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Style/Unnatural or awkward,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Style/Unnatural or awkward,Minor
8,57056787,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Source issue,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Source issue,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Source issue,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Source issue,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
9,57056787,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,Style/Unnatural or awkward,Minor
10,57056787,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,No-error,No-error
11,56197218,代码生成选项(Code Generation Option),The code generation option,Fluency/Spelling,Minor
12,56197218,总体选项(Overall Option),Overall option,Fluency/Spelling,Minor
13,56197218,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,Source issue,Major
14,56197218,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,Source issue,Major
14,56197218,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,Accuracy/Omission,Minor
14,56197218,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,Fluency/Punctuation,Minor
14,56197218,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,Fluency/Punctuation,Minor
14,56197218,"这个选项应用于后面所有的输入文件, 直到遇着下一个'-x' 选项.language 的可选",This option applies to all subsequent input files until the next '-x' option is available in.language,Style/Unnatural or awkward,Minor
15,56197218,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件RE AS E ' -x' 选项).",Turn off any explicit language pronouncements that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option).,Source issue,Major
15,56197218,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件RE AS E ' -x' 选项).",Turn off any explicit language pronouncements that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option).,Fluency/Punctuation,Minor
15,56197218,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件RE AS E ' -x' 选项).",Turn off any explicit language pronouncements that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option).,Style/Unnatural or awkward,Minor
15,56197218,"关闭任何对语种的明确说明, 因此依据文件名后级处理后面的文件RE AS E ' -x' 选项).",Turn off any explicit language pronouncements that are consequent to the filename suffix processing the file behind the RE AS E ' -x' option).,Style/Unnatural or awkward,Minor
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Accuracy/Mistranslation,Major
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Accuracy/Omission,Major
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Source issue,Major
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Source issue,Major
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Fluency/Character encoding,Minor
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Fluency/Character encoding,Minor
16,56197218,"如果只操作四个阶段( 预处理, 编译, 汇编, 连接)中的一部分, 可以使用' -x' 选项(或文件名后Ah) 告诉geo 从哪里开始,用'~-c' ，'-s' ,或'-E' 选项告诉geo 到哪里结束.注意,某些选项组合(例如，'-x cpp-output -E') {i gee MEF =c 编译或汇编源文件, ETER. ERA ATI 缺省情况下， GCC 通过用' .o' 蔡换源文件名后级' .ec 标文件名. 可以使用-o 选项选择其他名字.GCC忽略-ec 选项后面任何无法识别的输入文伯-S F 何事情.","If only part of the four steps (Preprocess, Compile, Compile, Connect) is operated, the ∀ -x' option (or Ah after the filename) can be used to tell geo where to begin, and the ∀~-c', '-s', or '-E' option to tell geo where to end. Note that certain combinations of options (e.g., ∀-x cpp-output-E') {i gee MEF =c compile or compile a source file, ETER. In the absence of the ERA ATI, GCC uses a ▽.o' by replacing the source file name after the file name in the ∀.ec file name label. Other options can be used to choose a name.",Fluency/Character encoding,Minor
