index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
19,"The 77-year-old Sissi Engl is the heart and soul of the dance studio at the East station. She is an actress, dancer and choreographer. ""We are one big family; we welcome big and small, old and young.""","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, with us, big and small, old and young are welcome.""","The 77-year-old Sissi Engl is the heart and soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family; with us, everyone is welcome, both big and small, old and young.""","The 77-year-old Sissi Engl is the good soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family, where everyone, both big and small, young and old, is welcome.""",0.5762,0.6509,0.496,0.7234,0.8209,0.6743,0.6944,0.7543,0.7103,0.8334,0.8783,0.859
22,"As digitalization advances, some people are rediscovering their desire for analog","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""With advancing digitalization, some people are once again developing a desire for analog.""","As digitalization progresses, some people are once again developing a desire for analog.","With advancing digitalization, some are rediscovering a desire for analog.",0.096,0.2652,0.1281,0.3781,0.6004,0.4092,0.6686,0.7832,0.7682,0.6592,0.8793,0.8896
23,"The speed at which our everyday life is becoming digital does not allow us time to create rules for how to deal with it and adapt the way that we communicate and work, opines DNN columnist Claudia Muntschick.","The speed with which our daily lives became digital left us little time to establish rules for dealing with it and to adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","The rapid pace at which our daily lives became digital left us little time to establish rules for dealing with it and to adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","The rapid and intense pace with which our daily lives became digital gave us little time to set up rules for handling it and to adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.",0.1681,0.178,0.1465,0.5565,0.5668,0.4552,0.7907,0.7892,0.7657,0.8782,0.8817,0.875
24,"Dresden. In 1985, there were three options if you wanted to hold a telephone conversation in Bautzen. Either you belonged to the six percent of lucky people who had a private line. Otherwise, you knew someone from this exclusive group in your neighborhood and could phone relatives from their house in exchange for a bottle of Radeberger. Alternatively, you had to look for a telephone booth. The smell of the plastic receiver and the clicks as the change fell into the coin machine were unforgettable. It was my greatest dream to be able to see the face of the other person when calling - a visual telephone, how great would that be, I thought!","The text you provided is in German, not Hebrew. Here is the translation from German to English:

Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three options. Either you were among the six percent of the lucky ones who had a private connection. Or you belonged to those who had someone from this exclusive group in the neighborhood and could call relatives there for a bottle of Radeberger. Or you looked for a phone booth. The unforgettable smell of the plastic receiver and the clicking of small coins in the machine. My biggest dream was to be able to see the other person's face when calling - video telephony, I thought, what a great thing that would be!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three options: either you were among the six percent of the lucky ones who had a private connection, or you belonged to those who had someone from this exclusive group in the neighborhood and could call relatives there for a bottle of Radeberger, or you looked for a phone booth. The unforgettable smell of the plastic receiver and the clicking of small coins in the machine. My biggest dream was to be able to see the other person's face when calling—video telephony, I thought, what a great thing that would be!","Dresden. In the year 1985, if you wanted to make a phone call in Bautzen, you had three options: You could be one of the six percent of lucky people with a private line, or you might know someone in this exclusive group in your neighborhood and call relatives there in exchange for a bottle of local beer. Alternatively, you could find a phone booth. The unforgettable smell of the East German plastic receiver and the sound of coins clicking in the machine were memorable. My biggest dream was to see the other person's face when calling—video telephony, I thought, what a great thing that would be!",0.3026,0.3073,0.2764,0.6495,0.6209,0.5242,0.6144,0.6675,0.6663,0.7973,0.8217,0.8332
28,"After just one and a half years in office, Prime Minister Natalia Gavralita surprisingly resigned. The head of the pro-European government was under extreme pressure, which was the explanation she gave publicly for her resignation - she was apparently treated with hostility by pro-Russian forces.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned. The pro-European head of government was under massive pressure, as she herself stated as the reason for her resignation - apparently, she was opposed by pro-Russian forces.""","After only a year and a half in office, Prime Minister Natalia Gavrilita surprisingly resigned. The pro-European head of government was under massive pressure, as she herself explained as the reason for her resignation—apparently, she was opposed by pro-Russian forces.","After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned. The pro-European head of government was under massive pressure, as she herself stated as the reason for her resignation—apparently, she faced hostility from pro-Russian forces.",0.2107,0.2778,0.218,0.5738,0.597,0.531,0.6458,0.7247,0.7851,0.7886,0.8557,0.8586
33,That was what the stars were wearing,"The text you provided is actually in German, not Hebrew. The translation to English is: ""Those were the costumes of the celebrities.""",Those were the costumes of the celebrities.,These were the celebrities' costumes.,0.008,0.033,0.0393,0.1176,0.1429,0.1471,0.5319,0.6462,0.6457,0.5988,0.7969,0.8125
35,"Father figure of the state Markus Söder may appear to have dressed as Moses, which his costume suggests. But he considers himself to be the Bavarians' tribal elder. Wife Karin Baumüller-Söder is at his side.","Markus Söder, the state leader, did not go as Moses, as his costume might suggest. He sees himself more as the tribal elder of the Bavarians. At his side is his wife, Karin Baumüller-Söder.","Markus Söder, the governor, did not go as Moses, although his costume might suggest otherwise; he sees himself more as the tribal elder of the Bavarians, with his wife, Karin Baumüller-Söder, by his side.","Markus Söder, the Bavarian leader, did not dress as Moses, as his costume might suggest. He sees himself more as a respected leader of the Bavarians. His wife, Karin Baumüller-Söder, is by his side.",0.0555,0.0621,0.0605,0.2436,0.2551,0.2551,0.6161,0.5966,0.6304,0.8125,0.8182,0.7706
36,"The Bavarian Minister of Environmental and Consumer Protection, Thorsten Glauber, chose to dress as the children's hero Chase from PAW Patrol.","Bavaria's Minister of the Environment and Consumer Protection, Thorsten Glauber, chose the children's hero Chase from Paw Patrol for his costume.","Bavaria's Minister of the Environment and Consumer Protection, Thorsten Glauber, chose the children's hero Chase from Paw Patrol for his costume.","Bavaria's Minister of the Environment and Consumer Protection, Thorsten Glauber, chose to dress up as Chase, the children's hero from Paw Patrol, for his costume.",0.4779,0.4779,0.3988,0.7075,0.7075,0.7769,0.7291,0.7291,0.688,0.88,0.88,0.8564
38,"His head is in the clouds: The Minister of Science and Art, Markus Blume, is on his way to outer space.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Completely detached: Minister for Science and Art, Markus Blume, is drawn to space.""","Completely detached: The Minister for Science and the Arts, Markus Blume, is drawn to space.","""Out of this world: Minister for Science and Art, Markus Blume, is drawn to space.""",0.2191,0.2284,0.3233,0.4958,0.4061,0.4218,0.4008,0.5036,0.5824,0.5827,0.5995,0.6607
41,"Bob the Builder, also known as Minister of Construction Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","The text is a mix of Hebrew and German. The German part translates to:

""Bob the Builder, also known as Construction Minister Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.""

Note: There is no Hebrew text to translate in your request. If you intended to include Hebrew, please provide it.","Bob the Builder, also known as Construction Minister Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","Christian Bernreiter, the Construction Minister, is also known as Bob the Builder, accompanied by his wife, Ann-Kathrin Jandt-Bernreiter, who is dressed as Wendy.",0.2548,0.7844,0.2069,0.7397,0.9435,0.6478,0.6528,0.9215,0.7265,0.5717,0.9179,0.8169
47,The SPD faction leader loves hiking: Florian von Brunn with the SPD state chairperson Ronja Endres.,"The translation from Hebrew to English is:

""Hiking is the SPD parliamentary group's leader's delight: Florian von Brunn with SPD state chairperson Ronja Endres.""","""Hiking is the passion of the SPD parliamentary group leader: Florian von Brunn with SPD state chairperson Ronja Endres.""","""Hiking is the passion of the SPD parliamentary group's leader: Florian von Brunn with SPD state chairperson Ronja Endres.""",0.2888,0.3897,0.3723,0.624,0.6902,0.6902,0.6008,0.6966,0.7002,0.69,0.824,0.8281
49,"He would otherwise have a lot to say. Manfred Weber, faction chairperson in the EU Parliament, was out and about as a mime in Veitshöchheim. Wife Andrea at his side.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Otherwise, he certainly speaks more. In Veitshöchheim, the chairman of the parliamentary group in the EU Parliament, Manfred Weber, was performing as a mime. At his side was Mrs. Andrea.""","Otherwise, he certainly speaks more. In Veitshöchheim, the chairman of the parliamentary group in the EU Parliament, Manfred Weber, was performing as a mime, accompanied by Mrs. Andrea.","He usually speaks more. In Veitshöchheim, the leader of the political group in the EU Parliament, Manfred Weber, performed as a mime. At his side was Mrs. Andrea.",0.1178,0.184,0.1947,0.4044,0.343,0.3854,0.5236,0.5703,0.5494,0.6218,0.7077,0.7364
52,"Back to the 1920s: the legal director of the Bavarian Broadcasting Service, Eva Majuntke, Bavarian Broadcasting Service artistic director Katja Wildermuth, and Bavarian Broadcasting Service cultural program director Björn Wilhelm.","Back to the 1920s: the legal director of BR, Eva Majuntke, BR director-general Katja Wildermuth, and BR cultural program director Björn Wilhelm.","Back to the 1920s: the legal director of BR, Eva Majuntke, BR director-general Katja Wildermuth, and BR cultural program director Björn Wilhelm.","Revisiting the 1920s: the legal director of BR, Eva Majuntke, BR director Katja Wildermuth, and BR cultural program director Björn Wilhelm.",0.4783,0.4783,0.4435,0.5636,0.5636,0.5638,0.7739,0.7739,0.7466,0.6996,0.6996,0.6788
53,"A small potshot was taken at environmental activists by Franconian crime scene detective Sebastian Fleischer, played by Alexander Leopold Schadt.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""A little dig at the climate activists from the Franconian Tatort commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.""","A little dig at the climate activists by the Franconian Tatort commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.","A slight jab at the climate activists from the Franconian crime series commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.",0.2008,0.4177,0.4167,0.4002,0.5812,0.5783,0.4407,0.4929,0.5693,0.5424,0.6479,0.682
56,"Bö continued his impressive run despite challenging conditions and also won the sixth sprint race of the season. The five-time Olympic champion has now won 14 World Cup titles and is closing in on his compatriot Ole Einar Björndalen. The biathlon icon, who is attending the event as a TV expert, is the uncontested recordholder with 20 World Cup gold medals. Even the fog, which was sometimes dense, did not prevent Bö from continuing his winning streak and earning his second gold medal on the racetrack. The mixed Norwegian team had already successfully defended its title on Wednesday.","The text you provided is actually in German, not Hebrew. Here is the translation into English:

""Bö continued his impressive series despite difficult conditions and also won the sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and continues to close in on his compatriot Ole Einar Björndalen. The biathlon icon, who is on site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even partially thick fog did not prevent the perennial winner Bö from collecting his second gold at Rennsteig. On Wednesday, Norway's mixed relay team had already successfully defended their title.""","Bö continued his impressive series despite difficult conditions and also won the sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and continues to catch up with his compatriot Ole Einar Björndalen. The biathlon icon, who is on site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even partially thick fog did not prevent the perennial winner Bö from collecting his second gold at Rennsteig. On Wednesday, Norway's mixed relay team had already successfully defended their title.","Bö continued his impressive streak despite difficult conditions and also won the sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and continues to close in on his compatriot Ole Einar Björndalen. The biathlon icon, who is on site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even strong fog did not prevent Bö, the consistent winner, from winning his second gold at Rennsteig, a well-known location in Germany. On Wednesday, Norway's mixed relay team had already successfully defended their title.",0.4062,0.4342,0.4609,0.6429,0.6058,0.6077,0.6328,0.6801,0.6917,0.8054,0.8321,0.8358
57,"Hardly anyone doubts that number three will follow during the cross-country skiing. Bö is once again the obvious favorite in the race. His skiing form is exceptional, meaning that he is surprisingly easily capable of compensating for shooting errors to a certain extent.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Hardly anyone doubts that number three will follow in the hunting race. In the pursuit, Bö is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with alarming ease.""","Hardly anyone doubts that number three will follow in the hunting race. In the pursuit, Bö is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with alarming ease.","Hardly anyone doubts that number three will follow in the biathlon race. In the pursuit, Bö is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with remarkable ease.",0.276,0.3945,0.3945,0.5448,0.5768,0.5768,0.5793,0.6378,0.6906,0.6999,0.7729,0.7862
59,"Six years ago, he surprisingly beat Bö by a narrow margin of 0.7 seconds in Hochfilzen. It was one of three career victories for Doll, who has only been on the podium once so far this winter. The eighth place finisher in the Beijing Olympics disappeared without a word after his poor performance and initially gave no interviews. Roman Rees made it to 19th place, and the second World Cup debutant David Zobel took 35th place.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""In Hochfilzen, he surprisingly won six years ago with a narrow lead of 0.7 seconds ahead of Bö. It was one of only three career victories for Doll, who has been on the podium once this winter. The Olympic eighth-place finisher from Beijing left without a word after his weak performance and initially gave no interviews. Roman Rees finished in 19th place, and the second World Championship debutant, David Zobel, took 35th place.""","In Hochfilzen, he surprisingly won six years ago with a narrow lead of 0.7 seconds ahead of Bö. It was one of only three career victories for Doll, who has been on the podium once this winter. The Olympic eighth-place finisher from Beijing left without a word after his weak performance and initially gave no interviews. Roman Rees finished in 19th place, and the second World Championship debutant, David Zobel, took 35th place.","""In Hochfilzen, he surprisingly won six years ago by a narrow margin of 0.7 seconds over Bö. It was one of only three career victories for Doll, who has been on the podium once so far this winter. The Olympic eighth-place finisher in Beijing left without a word after his weak performance and initially gave no interviews. Roman Rees finished in 19th place, and the second World Championship debutant, David Zobel, took 35th place.""",0.3882,0.4782,0.5646,0.7165,0.7249,0.7746,0.6448,0.7011,0.7271,0.782,0.8158,0.8209
61,"The main focus of a meeting between U.S. President Joe Biden and his counterpart from Brazil, Luiz Inácio Lula da Silva, was the value of democracy. Both of them reflected on their predecessors.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""During a meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, the main focus is on the value of democracy. Both look back at their predecessors.""","During a meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, the main focus is on the value of democracy, and both reflect on their predecessors.","During a meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, the discussion primarily focuses on the value of democracy, and both leaders reflect on their predecessors.",0.2963,0.4247,0.4103,0.6467,0.7031,0.6354,0.6779,0.77,0.7737,0.7963,0.9008,0.896
68,"In a country with a culture of denunciation, which was already present before the coronavirus, this was how an atmosphere targeting the most dangerous opponents of the Federal Republic of Germany was created; you can call it civil democracy, you can call it late-stage capitalistic society. (Putting aside the truly dangerous in pinstripe suits and ties for the moment.)","It seems there is a mix-up in the languages. The text you provided is in German, not Hebrew. Here is the translation from German to English:

""In a country with a culture of denunciation, which existed even before Corona, public sentiment was stirred up against the most dangerous opponents of the FRG; let's say against the bourgeois democracy, let's say against the late-capitalist society. (Nothing here about the truly dangerous ones in pinstripe suits and ties.)""","In a country with a culture of denunciation, which existed even before Corona, public sentiment was stirred up against what could be considered the most dangerous opponents of the FRG—let's say bourgeois democracy, let's say late-capitalist society. (This says nothing about the truly dangerous ones in pinstripe suits and ties.)","In a country with a culture of denunciation, which existed even before Corona, public sentiment was stirred up against those perceived as the most dangerous opponents of the Federal Republic of Germany—let's say, the bourgeois democracy, or the late-capitalist society. (Not to mention the truly dangerous ones in pinstripe suits and ties.)",0.2295,0.3068,0.3612,0.4315,0.4126,0.5072,0.5313,0.5945,0.6333,0.6807,0.7418,0.7411
69,"Now the Stuttgarter Zeitung, which would otherwise be chasing stories about rowdy individuals on the regional trains or people masturbating in the park, has published a new edition featuring friends of the ""war criminal"" Putin. Since they are so good-looking, there is picture gallery. Obviously, the Stuttgarter Zeitung is poorly informed, since there may be more ""Russian friends"" around the world in Asia, Africa, and Latin America than the Stuttgarter Zeitung has room for pictures.","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""Now the Stuttgarter Zeitung, which otherwise tends to go after rowdies on the S-Bahn or masturbators in the park, is releasing a new edition featuring the 'war criminal' Putin's friends. Because they are so beautiful, there is a photo gallery. Of course, the StZ is poorly informed, as there may be more 'friends of Russia' in this world, which includes Asia, Africa, and Latin America, than the StZ has space for pictures.""","Now the Stuttgarter Zeitung, which otherwise tends to target rowdies on the S-Bahn or masturbators in the park, is releasing a new edition featuring the so-called ""war criminal"" Putin's friends. Because they are supposedly so beautiful, there is a photo gallery. Naturally, the StZ is poorly informed, as there may be more ""friends of Russia"" in this world, which includes Asia, Africa, and Latin America, than the StZ has space for pictures.","Now the Stuttgarter Zeitung, which usually focuses on issues like unruly behavior on public transport or inappropriate conduct in parks, is releasing a new edition about the 'war criminal' Putin's friends. Because they are so striking, there is a photo gallery. Of course, the StZ is poorly informed, as there may be more 'friends of Russia' in this world, which includes Asia, Africa, and Latin America, than the StZ has space for pictures.",0.2412,0.3387,0.2495,0.4941,0.5389,0.4613,0.6422,0.7001,0.6943,0.7572,0.7681,0.7785
72,"And by now at the very latest, stated kindly, Mrs. Wagenknecht should be the most popular politician among any people who are not yet completely daft, i.e., those who are peace-loving, pacifist, and anti-military. (And now there is no further need to differentiate.)","The text you provided is actually in German, not Hebrew. Here is the translation to English:

""And by now, at the latest, in a good dialectical manner, Ms. Wagenknecht should be the most popular politician among all those who are not completely stupid, i.e., peace-loving, pacifist, and anti-militaristic people. (And no further differentiation is needed here.)""","""And by now, at the latest, in a well dialectical manner, Ms. Wagenknecht should be the most popular politician among all those who are not entirely misguided, i.e., peace-loving, pacifist, and anti-militaristic people, (and no further differentiation is needed here.)""","""And by now, at the latest, in a thoughtful manner, Ms. Wagenknecht should be the most popular politician among all those who are still sensible, i.e., peace-loving, pacifist, and anti-militaristic people. (And no further distinctions are necessary here.)""",0.2469,0.316,0.3219,0.567,0.5531,0.5294,0.6299,0.6712,0.6667,0.7409,0.7811,0.7924
76,SS massacres in Oradour-sur-Glane: The last survivor has died,SS Massacre in Oradour-sur-Glane: Last Survivor Dead,SS Massacre in Oradour-sur-Glane: Last Survivor Dead,SS Massacre in Oradour-sur-Glane: Last Survivor Passes Away,0.115,0.115,0.1141,0.6692,0.6692,0.7556,0.7708,0.7708,0.7861,0.8645,0.8645,0.8219
80,"Deutsche Bank CEO Christian Sewing believes that additional interest-rate hikes are ""absolutely"" necessary to combat high inflation. ""The inflationary risks remain high. Energy prices can easily increase again, and China opening up may temporarily push up prices,"" Sewing told ""Welt am Sonntag.""","Deutsche Bank CEO Christian Sewing considers further interest rate hikes in the fight against high inflation to be ""absolutely"" necessary. ""The inflationary risks remain significant. Energy costs can easily rise again, and the reopening of China can also temporarily boost prices,"" Sewing told ""Welt am Sonntag.""","Deutsche Bank CEO Christian Sewing considers further interest rate hikes in the fight against high inflation to be ""absolutely"" necessary. ""The inflationary risks remain significant. Energy costs can easily rise again, and the reopening of China can also temporarily boost prices,"" Sewing told ""Welt am Sonntag.""","Deutsche Bank CEO Christian Sewing considers further interest rate hikes in the fight against the high inflation rate to be ""absolutely"" necessary. ""The inflationary risks remain significant. Energy costs could easily increase again, and the reopening of China can also temporarily boost prices,"" Sewing told ""Welt am Sonntag.""",0.4146,0.4146,0.4308,0.6191,0.6191,0.6501,0.7972,0.7972,0.7935,0.8894,0.8894,0.8877
