index,original,single_agent_translation,single_agent_improved_translation
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно счастлив убивать их, но я не буду принимать комментарии об этике убийства мышей.","Я не особенно рад этому, но я не буду принимать комментарии об этике умерщвления грызунов."
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые поощряют более активную деловую активность.","Но они также сократили гранты и налоговые льготы, которые поощряют более активную предпринимательскую деятельность."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx исчез, хотя это была бы близкая гонка на дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","Это верно даже сейчас, когда goatse.cx больше не существует, хотя было бы трудно определить, что хуже - goatse или, например, khou.com, где я пытался посмотреть видео, которое мне прислала Венди."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","На первом поезде сегодня контролер посмотрел на наши билеты и сказал ""долгое путешествие!"".","На первом сегодняшнем поезде контролер посмотрел на наши билеты и сказал ""Это долгая поездка!""."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто отвожу его в Глазго,"" - попытался я объяснить, указывая на своего спутника.","""Я просто отвожу его в Глазго на короткое время,"" - попытался я объяснить, указывая на своего спутника."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"Вещь, которая убедила меня прошлой ночью, заключается в том, что мы должны быть готовы дать отпор трампизму.","То, что убедило меня прошлой ночью, заключается в том, что мы должны быть готовы противостоять политике Трампа."
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, которого никто на самом деле не хочет, кроме фанатиков, которые в нем состоят.","Это культ, который на самом деле никому не нужен, кроме фанатиков, которые в нем состоят."
90,And they are truly nuts.,И они действительно орехи.,Они действительно сумасшедшие.
94,Get some bumper stickers that are anti-Trump and plaster them all over.,"Получите наклейки на бампер, которые являются анти-Трамп, и расклейте их повсюду.",Расклейте анти-трамповские наклейки на бампера по всему городу.
95,Yell back at those who would try to talk over us.,"Кричите в ответ тем, кто пытается перекричать нас.","Дайте отпор тем, кто пытается заглушить наши голоса."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Не является социально приемлемым выходить в общественные места или подбегать к людям, когда у вас сильный кашель с мокротой.","Не является социально приемлемым выходить в общественные места или подбегать к людям, когда у вас сильный кашель с выделением мокроты."
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down.,"Ян причинит тебе боль, прежде чем позволит тебе увидеть, что она ранена, и больше всего смеется, когда все вверх дном.","Янна причинит тебе боль, прежде чем позволит тебе увидеть, что она ранена, и больше всего смеется, когда все вверх дном."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","После 4000 страданий Yl оказывается в месте любви и испытывает огромные чувства, с которыми она не знает, что делать, поэтому здесь много и того, и другого.","После 4000 мучений Yl оказывается в месте любви и испытывает огромные чувства, с которыми она не знает, что делать, поэтому здесь присутствует и то, и другое."
108,#CNN needs to just close down.,#CNN нужно просто закрыться.,#CNN следует просто прекратить свою работу.
110,"Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience?","Кто в этой жалкой, умирающей сети отвечал за проверку так называемых ""независимых избирателей"" в аудитории?","Кто в этой жалкой сети отвечал за проверку так называемых ""независимых зрителей"" в аудитории?"
113,A cold front should arrive by the middle of next week.,Холодный фронт должен прибыть к середине следующей недели.,"Ожидается, что холодный фронт придет к середине следующей недели."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",Сегодня рано утром спутниковые и наземные наблюдения IR показали расширяющуюся область низкой слоистой облачности и пятнистого тумана.,"Сегодня рано утром спутниковые и наземные наблюдения показали, что область низкой слоистой облачности и пятнистого тумана расширяется."
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","Застенчивый студент-ботаник Арни Каннингем влюбляется в Кристину, ржавую Plymouth Fury 1958 года, и становится одержим восстановлением этого классического автомобиля до его прежнего великолепия.","Застенчивый студент-ботаник Арни Каннингем влюбляется в Кристин, ржавую Plymouth Fury 1958 года, и становится одержим восстановлением этого классического автомобиля до его прежнего великолепия."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","Поскольку машина меняется, так же меняется и Арни, чья обретенная уверенность превращается в высокомерие за рулем его экзотической красавицы.","Поскольку машина меняется, меняется и Арни, чья уверенность превращается в высокомерие за рулем его экзотической красавицы."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"Одна из самых безумных частей в том, что мои соседи обратились против меня, - это думать о том, сколько усилий требуется, чтобы быть враждебным.","Одно из самых безумных моментов в том, что мои соседи активно выступили против меня, - это осознание, сколько усилий требуется, чтобы быть враждебным."
126,It hurts but you gotta do you.,"Больно, но ты должен быть собой.","Это больно, но ты должен быть самим собой."
127,But at this point the open hostility and violence is getting worse.,Но в этот момент открытая враждебность и насилие становятся хуже.,Но в этот момент открытая враждебность и насилие продолжают усиливаться.
131,And I still have NO IDEA what I could have possibly done to deserve this.,"И у меня до сих пор НЕТ ПОНЯТИЯ, что я мог сделать, чтобы заслужить это.","И я до сих пор НЕ ИМЕЮ ПОНЯТИЯ, что я мог сделать, чтобы заслужить это."
133,That vessel is off-limits.,Это судно запрещено.,Это судно недоступно.
135,She is irrelevant to me.,Она для меня неважна.,Она для меня не имеет значения.
139,I gripe about dad-ification a lot.,Я часто жалуюсь на отцовство.,"Я часто жалуюсь на ""отцовский"" стереотип."
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"Вот краткий курс по тому, что я имею в виду под ""отцификацией"":","Вот краткое введение в то, что я называю ""отцовским подходом"":"
141,"It isn't my term, it is a term used to describe when a narrative or gameplay mechanic is built around a central protagonist (usually older, usually male) stewarding or guarding another person (often younger).","Это не мой термин, это термин, используемый для описания ситуации, когда повествование или игровая механика построены вокруг центрального протагониста (обычно более старшего, обычно мужского пола), который опекает или охраняет другого человека (часто более молодого).","Это не мой термин, а термин, используемый для описания ситуации, когда повествование или игровая механика построены вокруг центрального протагониста (обычно более старшего, обычно мужского пола), который опекает или охраняет другое лицо (часто более молодое)."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","Отцовское воспитание обычно предполагает, что решением ситуации, когда родительская фигура должна заботиться о ребенке или его заменителе, является подавляющая сила, и использование этой силы для навязывания очень конкретно сформированной динамики власти.","Отцовское доминирование обычно предполагает, что решением ситуации, когда отцовская фигура должна заботиться о ребенке или его заменителе, является подавляющая сила, и использование этой силы для навязывания очень конкретно сформированной динамики власти."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.",Отцовское влияние подрывает возможность для общинных решений и часто полностью игнорирует или подрывает любую деятельность ребенка.,Процесс отцовского доминирования подрывает возможность для общинных решений и часто полностью игнорирует или ограничивает способность ребенка к самостоятельным действиям.
151,- More details are in the full blog post.,Более подробная информация содержится в полном блог-посте.,Более подробная информация приведена в полной версии блог-поста.
159,Over time dart became my go-to for quick UI.,За время дарт стал моим основным средством для быстрого пользовательского интерфейса.,Со временем Dart стал моим основным инструментом для быстрой разработки пользовательского интерфейса.
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter - это удовольствие работать, и у них есть #mobx для простого управления хранилищем.","#flutter - это приятно работать, и у них есть #mobx для простого управления хранилищем."
161,"The dependency story is less insane than nodejs, too.","Зависимость от истории менее безумна, чем nodejs.","Зависимости в этом случае менее сложны, чем в Node.js."
163,But it allows to move fast and that's why it's ideal for small hacks.,"Но это позволяет быстро перемещаться, и поэтому оно идеально подходит для небольших взломов.","Но это позволяет быстро работать, и поэтому оно идеально подходит для небольших экспериментов."
166,Their tail is extremely thick.,Их хвост чрезвычайно толстый.,Их хвосты чрезвычайно толстые.
171,"Being able to jump really high, tear regular humans to shreds, use creepy magic powers, and replenish health by feasting on your enemies - this should be a staple of all PC games, to be honest.","Способность прыгать очень высоко, разрывать обычных людей на части, использовать жуткие магические силы и восполнять здоровье, пируя над врагами - это должно быть неотъемлемой частью всех игр для ПК, честно говоря.","Способность прыгать очень высоко, безжалостно расправляться с обычными людьми, использовать жуткие магические силы и восполнять здоровье, пируя над врагами - это должно быть неотъемлемой частью всех ПК-игр, честно говоря."
176,It maybe has too many language subtleties.,"Возможно, это слишком много языковых тонкостей.","Возможно, в нем слишком много языковых тонкостей."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","需要翻譯成中文和/或福建話,我都不會。","我需要將其翻譯成中文和/或福建話,但我都不會這些語言。"
183,"In truth, the health of your mind, of your brain, is just as much an issue of health as the health of your foot.","В действительности здоровье вашего разума, вашего мозга, является таким же вопросом здоровья, как и здоровье вашей ноги.","Здоровье вашего разума и мозга столь же важно для вашего здоровья, как и здоровье вашей ноги."
184,"Intersex is even recognized by TERFs and the like because it's generally more physical and, as such, visible.","Интерсекс признается даже TERF и им подобными, потому что он, как правило, более физический и, следовательно, видимый.","Интерсексуальность признается даже теми, кто исключает трансгендерных людей, поскольку она, как правило, более физическая и, следовательно, заметная."
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","В той же мере, в которой психическое здоровье воспринимается многими как менее ""реальное"", чем физическое здоровье, я как бы чувствую, что быть трансгендером - это всего лишь интерсекс разума.","Так же, как многие воспринимают психическое здоровье как менее ""реальное"", чем физическое, я чувствую, что быть трансгендерным - это своего рода особенность ума, подобная интерсексуальности."
186,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate.","Чем больше я читаю исследований о поле, гендере, психологии, тем более упрощенным и неточным кажется утверждение ""Мой пол - мужской, мой гендер - женский"".","Чем больше я читаю исследований о поле, гендере и психологии, тем более упрощенным и неточным кажется утверждение ""Мой биологический пол - мужской, мой гендер - женский""."
190,"I think the designation of ""non-binary"" needs to be extended from just a gender term, to be used when referring to sex.","Я считаю, что обозначение ""небинарный"" должно быть расширено с просто гендерного термина, чтобы использоваться при упоминании пола.","Я считаю, что термин ""небинарный"" следует использовать не только для обозначения гендерной идентичности, но и при упоминании биологического пола."
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"Как кислые настроения и другая мирская поп-музыка, и радиофонические мастерские, и всякое такое.","Как немецкие музыкальные настроения и другая мирская поп-музыка, радиофонические мастерские и тому подобное."
210,I want to make dashboards.,Я хочу создавать дашборды.,Я хочу создавать панели управления.
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""","Итак, с приближением нового рейдового уровня #FFXIV я давно думал: ""Эх, хотелось бы попробовать настоящий рейд, но поиск группы кажется беспорядочным, и я никогда не найду статичную группу, которая меня возьмет"".","Итак, с приближением нового рейдового уровня #FFXIV я уже давно думаю: ""Я бы хотел попробовать настоящий рейд, но поиск группы кажется беспорядочным, и я никогда не найду статичную группу, которая меня возьмет""."
215,I'll make my own static!,Я сделаю свой собственный статический!,Я сам создам свой контент!
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!","Полный людей, слишком тревожных, чтобы попробовать присоединиться к статическому рейду, без каких-либо ожиданий быть хорошим во всем!","Полный людей, слишком нетерпеливых, чтобы попробовать присоединиться к статичной группе для рейда, и не ожидающих быть в этом хорошими!"
219,I was a voracious reader in my youth.,Я был ненасытным читателем в молодости.,Я был страстным читателем в молодости.
221,"But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023.","Но после ~десятилетий~ чтения практически ничего (за исключением функциональной нефикционной литературы, связанной с работой, и редких книг по саморазвитию) я поставил себе цель прочитать 23 книги в 2023 году.","Но после ~лет~ чтения практически ничего (за исключением функциональной нефикционной литературы, связанной с работой, и редких книг по саморазвитию) я поставил себе цель прочитать 23 книги в 2023 году."
226,I wanna see these companies that intermediate transactions explain to their customers how they set their percentages.,"Я хочу, чтобы эти компании, которые посредничают в транзакциях, объяснили своим клиентам, как они устанавливают свои проценты.","Я хочу, чтобы эти компании, которые посредничают в транзакциях, объяснили своим клиентам, как они устанавливают свои комиссионные."
228,"But if Spotify has a good quarter, they will.","Но если у Spotify будет хороший квартал, они.","Но если у Spotify будет хороший квартал, они будут преуспевать."
229,Is it a danger to let migrants in at the southern border? I dunno.,Является ли опасностью впускать мигрантов на южную границу? Не знаю.,Это опасно - впускать мигрантов на южную границу? Не знаю.
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,Пусть они восстановят опустошенные и разрушающиеся города по всей стране.,Пусть они восстановят обветшалые и разрушающиеся города по всей стране.
238,There are still going to be jobs that can be accomplished remotely for the foreseeable future.,"Будут по-прежнему существовать рабочие места, которые можно выполнять удаленно в обозримом будущем.","В обозримом будущем по-прежнему будут существовать рабочие места, которые можно выполнять удаленно."
239,Remote work is enabling.,Удаленная работа позволяет.,Работа на удаленке расширяет возможности.
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.","Это позволяет людям работать в комфортных пространствах, а не в душных, шумных офисах.","Это позволяет людям работать в комфортных пространствах, а не в душных и шумных офисах."
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,"Это позволяет людям избегать длительных поездок, которые отнимают время у них и их семей.","Это позволяет людям избегать длительных поездок, которые отннимают время у них и их семей."
250,"""You are the carbon they are trying to reduce.""","Вы - углерод, который они пытаются сократить.","Вы - те, кого они пытаются сократить, как углерод."
251,"So like from the beginning for all my birthdays in the past, I always had rough ones.",С самого начала на все мои дни рождения в прошлом у меня всегда были трудные.,Так что с самого начала все мои дни рождения в прошлом были для меня тяжелыми.
257,And today is already becoming a great day!,И сегодня уже становится прекрасным днём!,И сегодня уже становится замечательным днём!
258,Winter is 30 days away in this little part of the Great Southern World.,Зима наступит через 30 дней в этой маленькой части Великого Южного Мира.,Зима наступит через 30 дней в этой маленькой части Великого Южного Мира.
264,I will zip the lining into my cycle jacket - just in case I need it inside.,"Я застегну подкладку в мою велосипедную куртку - на всякий случай, если мне понадобится внутри.","Я застегну подкладку в свою велосипедную куртку, на случай, если мне понадобится внутри."
273,I finally got a good dangle photo so I can be sure he's not fat.,"Я наконец-то получил хорошее фото его гениталий, чтобы быть уверенным, что он не толстый.","Я наконец-то сделал хорошее фото, чтобы убедиться, что он не толстый."
275,He's not.,Он не.,Он не является.
282,2) The currency reward system has been connected.,Валютная система вознаграждения была подключена.,Система вознаграждения в валюте была подключена.
286,"All collards, kale, chard is transplanted.","Все листовые овощи, такие как кале, мангольд, пересаживаются.","Все виды листовой капусты, такие как кольраби, кале и свекольная ботва, пересаживаются."
287,Plans to set in salad at Penn on 6row pattern and see how that compares to broadcast seeded beds.,"Планы установить в салате в Пенне на 6-рядном узоре и посмотреть, как это сравнивается с засеянными кроватями.","Планы установить посадку в 6-рядном порядке на участке в Пенне и посмотреть, как это сравнивается с широкорядным посевом."
288,Spring peas at Gilpin are showing up so trellise needs to be set.,"Весенний горошек в Гилпине появляется, поэтому необходимо установить шпалеру.","Весенний горошек в Гилпине уже появляется, поэтому необходимо установить шпалеру для его поддержки."
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items","Также необходимо посеять ряд салата там, чтобы интегрировать нарезанную зелень, в обоих есть обученный персонал по ирригации, подготовке грядок и пересадке, что составляет 90% навыков, не связанных с уборкой урожая.","Также необходимо посеять ряд салата, чтобы интегрировать различные виды зелени, поскольку у нас есть обученный персонал по ирригации, подготовке грядок и пересадке, что составляет 90% навыков, не связанных с уборкой урожая."
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","Любопытный, я сохранял открытый ум, чтобы сравнить, как Google Maps и Apple Maps сравниваются на моем тестовом iPhone-устройстве (мой ежедневный водитель - это устройство Android, поэтому я редко использую iPhone).","Будучи любопытным, я сохранял открытый ум, чтобы сравнить, как работают Google Maps и Apple Maps на моем тестовом iPhone-устройстве (мой основной телефон - это Android, поэтому я редко пользуюсь iPhone)."
299,Was it the 2012 Apple Maps disaster?,Это была катастрофа Apple Maps 2012 года?,Это была проблема с Apple Maps в 2012 году?
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","Я предвзято отношусь к тому, чтобы не выпускать мусор для конечных пользователей, и Apple королевски облажалась со своими картами Apple, когда они вышли в 2012 году.","Я предпочитаю не выпускать некачественные продукты для пользователей, и Apple серьезно ошиблась, когда выпустила свои карты Apple в 2012 году."
308,Not the case.,Не так.,Это не так.
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,"Кажется невообразимым, что землю могут отнять у вас однажды, когда вы смотрите австралийские и американские СМИ, но это потому, что богатые люди весь день обеспечивают, чтобы ваш разум думал определенным образом.","Кажется невероятным, что землю могут отнять, когда вы смотрите австралийские и американские СМИ, но это потому, что обеспеченные люди весь день обеспечивают, чтобы ваше мышление было направлено определенным образом."
314,The land is very easily and quickly taken away by the government one day if they want to do that.,"Земля очень легко и быстро может быть отобрана правительством в любой день, если они этого захотят.","Земля может быть очень легко и быстро отобрана правительством в любое время, если они этого захотят."
316,It never made sense how ppl can keep land at the expense of others.,"Это никогда не имело смысла, как люди могут удерживать землю за счет других.","Это никогда не имело смысла, как люди могут владеть собственностью за счет других."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Я часто удивляюсь человеческой способности быть *так* недовольным собой, в то время как вокруг так много свидетельств того, что на самом деле представляет собой жестокость.","Я часто удивляюсь человеческой способности быть столь суровым к себе, несмотря на столь много свидетельств того, что на самом деле представляет собой жестокость."
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.,Но смягчение отчаяния из-за нашей неряшливости имеет решающее значение - потому что это дает нам больше пространства для борьбы с руинами вокруг.,Но принятие нашей неряшливости имеет решающее значение - потому что это дает нам больше возможностей для борьбы с окружающими руинами.
331,"Some programmers: ""Typing speed does not matter!""","""Скорость печати не имеет значения!""","""Некоторые программисты: 'Скорость печати не имеет значения, ведь так?'"""
334,"Not sure if this is the best approach for sharing, but I like it for now: <URL>","Не уверен, что это лучший подход для распространения, но мне это нравится пока: <URL>","Не уверен, что это лучший способ для обмена, но мне это нравится сейчас: <URL>"
338,I have been toying with this little piece on my head for a few days now.,Я уже несколько дней играюсь с этим маленьким предметом на своей голове.,Я уже несколько дней играю с этим маленьким предметом на своей голове.
339,It is definitely more romance than filth.,"Это определенно больше романтики, чем грязи.","Это определенно больше романтики, чем непристойности."
343,"Common, it's really not that hard.","Да, это не так уж и сложно.",Это на самом деле не так уж и сложно.
345,"I wish there was a ""who to follow"" recommendation somehow.","Я бы хотел, чтобы была рекомендация ""кого следовать"".","Мне бы хотелось получать рекомендации, кого стоит отслеживать."
347,If you stick to the default web interface it doesn't look and feel good (imho).,"Если вы придерживаетесь стандартного веб-интерфейса, это не выглядит и не ощущается хорошо (по моему мнению).","Если вы используете стандартный веб-интерфейс, он не выглядит и не ощущается хорошим (на мой взгляд)."
349,"I don't know if prevention is possible, but it's worth trying.","Я не знаю, возможно ли предотвращение, но стоит попытаться.","Я не знаю, можно ли предотвратить это, но стоит попытаться."
350,"The four steps I outline are up for debate, with some progress in each:","Четыре шага, которые я обрисовываю, подлежат обсуждению, с некоторым прогрессом в каждом:","Четыре шага, которые я представляю, подлежат обсуждению, с некоторым прогрессом в каждом:"
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.","Даже если он не смог сказать их во время собрания в городе, все в Америке все равно услышат их многократно между сейчас и ноябрем 2024 года.","Даже если он не успел сказать это на городском собрании, все в Америке все равно услышат это снова и снова до ноября 2024 года."
363,"The ""MusicLM Demo"" is mildly interesting.",Музыкальная демонстрация LM умеренно интересна.,Музыкальная демо-версия LM немного интересна.
369,I work out alone in my bedroom without a spotter or even a weight rack.,Я занимаюсь один в своей спальне без страхующего или даже стойки для штанги.,Я занимаюсь один в своей спальне без помощника или даже стойки для штанг.
371,I bench press on my bed.,Я жму штангу на кровати.,"Я занимаюсь жимом штанги, лежа на кровати."
378,I'd never seen it at the fancy grocer or any of the Italian delis.,Я никогда не видел этого в дорогом продуктовом магазине или в любой из итальянских деликатесных лавок.,Я никогда не видел этого в престижном продуктовом магазине или в любой из итальянских деликатесных лавок.
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*.","Будучи радикализованными здесь, мы неохотно покупаем новую машину FAANG.","Мы неохотно покупаем новое устройство от одной из крупных технологических компаний, так как были радикализованы здесь."
