index,original,translated,audience_appropriateness_annotation
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"Вещь, которая убедила меня прошлой ночью, заключается в том, что мы должны быть готовы дать отпор трампизму.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""трампизм"" (Trumpism) may not be widely understood or have the same cultural connotations in the Russian context as it does in the English-speaking world."
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, которого никто на самом деле не хочет, кроме фанатиков, которые в нем состоят.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""кроме фанатиков, которые в нем состоят"" may not be as culturally appropriate for the target audience, as the concept of ""cult"" and ""fanatics"" may have different connotations in the Russian context."
90,And they are truly nuts.,И они действительно орехи.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The translation ""И они действительно орехи"" does not convey the intended meaning of the English idiom ""they are truly nuts"", which refers to someone being crazy or eccentric. The literal translation of ""nuts"" as ""орехи"" does not carry the same cultural connotation in Russian and may confuse the target audience."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,"Получите наклейки на бампер, которые являются анти-Трамп, и расклейте их повсюду.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The use of ""anti-Trump"" bumper stickers may not be appropriate or understandable for a Russian audience, as the political and cultural context is different.
[Minor]: WRONG LANGUAGE VARIETY - The translation uses the Russian word ""наклейки"" (stickers) which is a more formal term, whereas a more colloquial expression may be more appropriate in this context."
95,Yell back at those who would try to talk over us.,"Кричите в ответ тем, кто пытается перекричать нас.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""Кричите в ответ"" may be perceived as overly aggressive or confrontational in the target culture, which may not align with the intended tone of the message."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Не является социально приемлемым выходить в общественные места или подбегать к людям, когда у вас сильный кашель с мокротой.","MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The term ""mucus storm"" may not be a common or culturally appropriate expression in the Russian context."
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down.,"Ян причинит тебе боль, прежде чем позволит тебе увидеть, что она ранена, и больше всего смеется, когда все вверх дном.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""things are upside-down"" may not be a common or easily understandable idiom in the target Russian culture, potentially causing confusion for the reader."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","После 4000 страданий Yl оказывается в месте любви и испытывает огромные чувства, с которыми она не знает, что делать, поэтому здесь много и того, и другого.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""huge feels"" may not be culturally appropriate or understandable for the Russian target audience.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""4000 страданий"" (4000 sufferings) may not be the most natural way to express the concept of ""4,000 of distress"" in the Russian language."
108,#CNN needs to just close down.,#CNN нужно просто закрыться.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""#CNN needs to just close down"" may be interpreted as a strong political statement that could be seen as inappropriate or controversial in the Russian cultural context."
110,"Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience?","Кто в этой жалкой, умирающей сети отвечал за проверку так называемых ""независимых избирателей"" в аудитории?","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""independent voters"" may not be a familiar concept or have the same connotations in the Russian cultural context."
113,A cold front should arrive by the middle of next week.,Холодный фронт должен прибыть к середине следующей недели.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""cold front"" may not be a familiar concept for some Russian audiences, who may not have the same level of familiarity with weather terminology."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",Сегодня рано утром спутниковые и наземные наблюдения IR показали расширяющуюся область низкой слоистой облачности и пятнистого тумана.,"MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""IR satellite"" may not be familiar to the Russian audience and could be replaced with a more general term like ""satellite"" or ""remote sensing""."
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","Застенчивый студент-ботаник Арни Каннингем влюбляется в Кристину, ржавую Plymouth Fury 1958 года, и становится одержим восстановлением этого классического автомобиля до его прежнего великолепия.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""ботаник"" (botanic) may not be a common or appropriate way to describe a ""geeky"" student in the Russian cultural context.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""ржавую"" (rusty) to describe the car may not be the most natural or common way to express this in the Russian translation, as it could be seen as a more colloquial or informal expression."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","Поскольку машина меняется, так же меняется и Арни, чья обретенная уверенность превращается в высокомерие за рулем его экзотической красавицы.","MQM annotations:
audience appropriateness error:
[major]: CULTURE-SPECIFIC REFERENCE - The term ""экзотическая красавица"" (exotic beauty) may not be a common or appropriate way to refer to a car in the Russian cultural context."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"Одна из самых безумных частей в том, что мои соседи обратились против меня, - это думать о том, сколько усилий требуется, чтобы быть враждебным.","MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""обратились против меня"" (turned against me) may have a stronger connotation in Russian than the English equivalent, potentially sounding more dramatic or hostile to the target audience."
126,It hurts but you gotta do you.,"Больно, но ты должен быть собой.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""you gotta do you"" may not be a common or natural expression in the Russian language and cultural context."
127,But at this point the open hostility and violence is getting worse.,Но в этот момент открытая враждебность и насилие становятся хуже.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""open hostility and violence"" may be perceived as too strong or confrontational for some target audiences, and a more neutral or diplomatic phrasing may be more appropriate."
131,And I still have NO IDEA what I could have possibly done to deserve this.,"И у меня до сих пор НЕТ ПОНЯТИЯ, что я мог сделать, чтобы заслужить это.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""NO IDEA"" may not have the same cultural connotation in Russian as it does in English, potentially sounding more abrupt or harsh."
133,That vessel is off-limits.,Это судно запрещено.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""off-limits"" may not be readily understood by the Russian audience, as it is a more common expression in English."
135,She is irrelevant to me.,Она для меня неважна.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""для меня неважна"" may not convey the same level of dismissiveness or irrelevance as the English phrase ""irrelevant to me"". The Russian translation is more polite and less direct."
139,I gripe about dad-ification a lot.,Я часто жалуюсь на отцовство.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""dad-ification"" may not be easily understood by the Russian audience, as it refers to a cultural concept that may not be familiar in the target context."
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"Вот краткий курс по тому, что я имею в виду под ""отцификацией"":","MQM annotations:
audience appropriateness error:
[major]: CULTURE-SPECIFIC REFERENCE - The term ""dad-ification"" may not be easily understood by the Russian audience, as it refers to a cultural concept specific to English-speaking contexts."
141,"It isn't my term, it is a term used to describe when a narrative or gameplay mechanic is built around a central protagonist (usually older, usually male) stewarding or guarding another person (often younger).","Это не мой термин, это термин, используемый для описания ситуации, когда повествование или игровая механика построены вокруг центрального протагониста (обычно более старшего, обычно мужского пола), который опекает или охраняет другого человека (часто более молодого).","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""stewarding or guarding"" may not be a common or natural way to describe the relationship between the central protagonist and the other person in the Russian cultural context."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","Отцовское воспитание обычно предполагает, что решением ситуации, когда родительская фигура должна заботиться о ребенке или его заменителе, является подавляющая сила, и использование этой силы для навязывания очень конкретно сформированной динамики власти.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""Dad-ification"" may not be easily understood by the Russian audience, as it is a culture-specific term that refers to a parenting style more common in Western cultures.
[Minor]: WRONG LANGUAGE VARIETY - The translation uses the term ""отцовское воспитание"" which may sound more formal or academic than the more colloquial ""Dad-ification"" in the source text."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.",Отцовское влияние подрывает возможность для общинных решений и часто полностью игнорирует или подрывает любую деятельность ребенка.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""Dad-ification"" may not be a familiar concept for the Russian audience, and the meaning may be lost in translation.
[Minor]: WRONG LANGUAGE VARIETY - The term ""деятельность"" (activity) may not be the most natural choice in this context, and a more common Russian expression could be more appropriate."
151,- More details are in the full blog post.,Более подробная информация содержится в полном блог-посте.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""blog post"" may not be a common or familiar concept for some Russian readers, who may be more accustomed to traditional media formats."
159,Over time dart became my go-to for quick UI.,За время дарт стал моим основным средством для быстрого пользовательского интерфейса.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""дарт"" (Dart) may not be familiar or commonly used by the target Russian audience, as it is a programming language and technology term that may not have a direct cultural equivalent."
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter - это удовольствие работать, и у них есть #mobx для простого управления хранилищем.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""#mobx"" may not be familiar to the Russian audience, as it is a specific programming term."
161,"The dependency story is less insane than nodejs, too.","Зависимость от истории менее безумна, чем nodejs.","MQM annotations:
audience appropriateness errors:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""nodejs"" may not be familiar or meaningful to the Russian audience, as it is a specific reference to a JavaScript runtime environment that may not be widely known in the target culture."
163,But it allows to move fast and that's why it's ideal for small hacks.,"Но это позволяет быстро перемещаться, и поэтому оно идеально подходит для небольших взломов.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""взлом"" (hacking) may have negative connotations and be inappropriate for the general audience, as it is often associated with illegal or unethical activities. A more neutral term like ""small modifications"" or ""customizations"" would be more appropriate."
166,Their tail is extremely thick.,Их хвост чрезвычайно толстый.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""extremely thick"" may not be a common or natural way to describe a tail in the target Russian culture."
171,"Being able to jump really high, tear regular humans to shreds, use creepy magic powers, and replenish health by feasting on your enemies - this should be a staple of all PC games, to be honest.","Способность прыгать очень высоко, разрывать обычных людей на части, использовать жуткие магические силы и восполнять здоровье, пируя над врагами - это должно быть неотъемлемой частью всех игр для ПК, честно говоря.","MQM annotations:
audience appropriateness errors:

[Major]: CULTURE-SPECIFIC REFERENCE - The description of abilities like ""tear regular humans to shreds"" and ""feast on your enemies"" may be considered too graphic or violent for some audiences, especially in the context of a PC game.

[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""to be honest"" at the end of the sentence is a culture-specific expression that may not translate well or have the same nuance in the target Russian culture."
176,It maybe has too many language subtleties.,"Возможно, это слишком много языковых тонкостей.","MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""too many language subtleties"" may not be easily understood by the Russian audience, as it refers to a more nuanced, culture-specific concept that may not have a direct equivalent in the target language."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","需要翻譯成中文和/或福建話,我都不會。","MQM annotations:
audience appropriateness errors:

[Major]: WRONG LANGUAGE VARIETY - The translation is in Russian, which is not one of the target languages specified (Mandarin Chinese and/or Hokkien). The intended audience is likely not familiar with the Russian language.

[Critical]: CULTURE-SPECIFIC REFERENCE - The Russian translation contains culture-specific references that may not be understood by the intended audience who is expecting a translation to Mandarin Chinese and/or Hokkien."
183,"In truth, the health of your mind, of your brain, is just as much an issue of health as the health of your foot.","В действительности здоровье вашего разума, вашего мозга, является таким же вопросом здоровья, как и здоровье вашей ноги.","MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""your foot"" may not be a common cultural reference in the Russian context and could be perceived as unusual."
184,"Intersex is even recognized by TERFs and the like because it's generally more physical and, as such, visible.","Интерсекс признается даже TERF и им подобными, потому что он, как правило, более физический и, следовательно, видимый.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""TERF"" (Trans-Exclusionary Radical Feminist) may not be widely understood by the Russian audience, as it is a specific term used in the context of LGBTQ+ discussions."
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","В той же мере, в которой психическое здоровье воспринимается многими как менее ""реальное"", чем физическое здоровье, я как бы чувствую, что быть трансгендером - это всего лишь интерсекс разума.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""intersex of the mind"" may not be widely understood or appropriate for the target Russian audience, as the concept of intersexuality may not be as familiar or accepted in the cultural context.
[Minor]: CULTURE-SPECIFIC REFERENCE - The comparison of mental health being ""less 'real' than physical health"" may not resonate equally with the Russian audience, as perceptions of mental health can vary across cultures."
186,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate.","Чем больше я читаю исследований о поле, гендере, психологии, тем более упрощенным и неточным кажется утверждение ""Мой пол - мужской, мой гендер - женский"".","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The statement ""My sex is male, my gender is female"" may not be a commonly used or understood expression in the Russian cultural context, as the concepts of sex and gender identity can be more nuanced and complex."
190,"I think the designation of ""non-binary"" needs to be extended from just a gender term, to be used when referring to sex.","Я считаю, что обозначение ""небинарный"" должно быть расширено с просто гендерного термина, чтобы использоваться при упоминании пола.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""non-binary"" may not be widely understood or accepted in the Russian cultural context, as the concept of gender identity outside the male-female binary is still relatively new and not yet fully integrated."
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"Как кислые настроения и другая мирская поп-музыка, и радиофонические мастерские, и всякое такое.","MQM annotations:
Audience Appropriateness Errors
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""krauty moods"" may not be easily understood by the Russian audience, as it refers to a specific cultural context that may not be familiar to them.
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The reference to ""radiophonic workshop"" may not be widely known in the Russian cultural context, requiring additional explanation or context."
210,I want to make dashboards.,Я хочу создавать дашборды.,"MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The term ""дашборды"" (dashboards) may not be a commonly used or familiar term for the target Russian audience, and a more colloquial or descriptive term may be more appropriate."
