index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
37,現実世界のコミュニケーションは、状況非依存の意味があるシグナルを送るだけに単純化できない、という重大な証拠がある。,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,現実のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠がある。,現実世界のコミュニケーションは、文脈独立な意味を持つ信号の送受信に単純化できないという重要な証拠がある。,0.4779,0.4252,0.5372,0.6751,0.6395,0.7006,0.5236,0.5263,0.7108,0.837,0.8551,0.9046
43,我々が示唆するのは、状況依存的コミュニケーションが、状況に応じた多面性を持つ現象であり、状況の配分といった環境特性に極めて大きな影響を受けることである。,文脈依存的なコミュニケーションは、文脈の分布といった環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,文脈依存性コミュニケーションは、文脈の分布のような環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,文脈依存的なコミュニケーションは、状況に依存した多層的な現象であり、文脈の分布などの環境特性によって大きく影響されると考えられます。,0.3315,0.2772,0.3102,0.556,0.5191,0.5391,0.6222,0.6463,0.6974,0.8965,0.8827,0.9104
48,幸運にも私は2011年、ニコラスと共にさまざまなプロジェクトをサポートして、思い出に残る半年を過ごした。,2011年にニコラスと一緒に、様々なプロジェクトを支援する貴重な半年間を過ごすことができました。,2011年、幸運にもニコラスと共に様々なプロジェクトを支援する貴重な半年を過ごせた。,2011年、私は幸運にもニコラスと共に、さまざまなプロジェクトを支援する貴重な半年間を過ごすことができました。,0.3309,0.4385,0.4964,0.5667,0.6224,0.7234,0.7359,0.7668,0.7904,0.9242,0.9392,0.9531
49,週末に会って話した時、進捗状況が聞けてとても嬉しかったし、特に植林と農業のサポートについては満足だった。,週末に会った時、進捗状況、特に植林と農家支援について聞けて嬉しかったよ。,週末に会った時、進捗状況、特に植林と農家へのサポートについて聞けて嬉しかったよ。,週末に会った時、進捗状況、特に植樹と農家支援について聞けて嬉しかったよ。,0.3959,0.5107,0.3454,0.6136,0.7126,0.5868,0.7566,0.7718,0.7306,0.93,0.9296,0.9266
61,リヒトは共和党だらけの観客に同調した！,リヒトは共和党支持者のみの聴衆に同意しました！,リヒトは共和党の聴衆に同意しました。,リヒトは共和党支持者「だけ」の聴衆に同意しました！,0.339,0.3804,0.3214,0.6603,0.6232,0.7408,0.6937,0.8178,0.6167,0.8045,0.8514,0.7723
65,繰り返してはいけない。,繰り返せません。,繰り返すことはできません。,繰り返せません。,0.1518,0.1307,0.1518,0.3505,0.3982,0.3505,0.7788,0.8901,0.7788,0.9109,0.9305,0.9109
69,この定期的な作業についにうんざりしたので昨晩、全ての罠からピーナッツ・バターを取り除き、ピスタチオを強力瞬間接着剤で罠にくっ付けた。,昨夜、ついにこの繰り返しにうんざりして、ねり消しについてたピーナッツバターを全部取り除いて、罠にピスタチオを瞬間接着剤でくっつけた。,昨夜、ついにこの繰り返しにうんざりして、罠についていたピーナッツバターを全部取り除き、罠にピスタチオを瞬間接着剤でくっつけた。,昨夜、ついにこの単調な日々にうんざりして、罠についていたピーナッツバターをすべて綺麗にし、ピスタチオを瞬間接着剤で罠に貼り付けた。,0.3868,0.4218,0.4253,0.6873,0.7328,0.6734,0.6382,0.7359,0.5737,0.8628,0.9074,0.8949
71,（お役に立つか分からないけど、市販されている「人道的」な罠のほとんどを全て試してきたのに、ほぼ効果はなかったよ。,ちなみに、市販のほぼ全ての「人道的な」罠を試しましたが、ほとんど効果がありませんでした。,いろいろ試しましたが、市販のほとんど全ての「動物に優しい」罠は、ほとんど効果がありませんでした。,ちなみに、市販されているほぼ全ての「人道的」な罠を試しましたが、ほとんど効果がありませんでした。,0.148,0.1253,0.3239,0.4502,0.3667,0.5318,0.7808,0.6386,0.7891,0.9161,0.886,0.9167
74,そんなことなんてないのにさ、少なくともアルバータ州では。,少なくとも、アルバータ州ではね。,少なくとも、アルバータ州ではそうではありません。,少なくとも、アルバータ州ではそうではありません。,0.3299,0.3924,0.3924,0.5544,0.5944,0.5944,0.7289,0.7595,0.7595,0.8585,0.9115,0.9115
75,確かに事業税はカットされたわ。,確かに彼らは法人税を減税した。,確かに彼らは法人税を削減した。,確かに彼らは法人税を削減した。,0.1209,0.1209,0.1209,0.3816,0.3816,0.3816,0.7069,0.7894,0.7894,0.9292,0.9386,0.9386
84,「グラスゴーで彼を降ろすだけなんで」と、私は連れを身振りで示しながら説明を試みた。,「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,「グラスゴーまで彼を送るだけなんです」と私は説明した、旅の連れを指さしながら。,「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,0.3156,0.3559,0.3156,0.6854,0.7076,0.6854,0.5556,0.586,0.5556,0.826,0.8369,0.826
85,「『グラスゴーで彼を降ろすだけなんで』とは、あまり耳にすることがありませんね」と、その検札員は言った。,「グラスゴーにちょっと彼を降ろしてくるだけなんです、なんてあんまり聞かないセリフだな」と切符売り場の人は言った。,「グラスゴーで降ろすだけだなんて言う人は、あまりいませんね」と切符売り場の人は言った。,「グラスゴーでちょっと降ろしてくるだけ、なんてあまり聞かないセリフだな」と切符売り場の人は言った。,0.2646,0.3939,0.2302,0.5582,0.5976,0.478,0.553,0.5365,0.4798,0.8551,0.8549,0.8453
90,そして、あいつらは本物のキチガイだ。,彼らは本当に頭がおかしい。,彼らは本当にどうかしている。,彼らは本当に狂っている。,0.0931,0.1087,0.0909,0.2921,0.3606,0.2937,0.5462,0.4044,0.4339,0.8368,0.8058,0.8386
95,議論をふっかけて来るやつには大声で怒鳴り返そう。,私たちを言い負かそうとする人たちには、言い返してやりなさい。,私たちの言葉を遮ろうとする人たちには、言い返してやりなさい。,言い負かそうとする人たちには、言い返してやりなさい。,0.0462,0.0371,0.0526,0.3467,0.2583,0.3301,0.4886,0.4258,0.4465,0.8234,0.8419,0.8166
98,隣人と私は同時に帰宅したのだが、彼が咳をしてコロナ粘液の雨あらしを吐きまくっているのが通りの反対側から聞こえた。,私の隣人と私が同時に帰宅したんだけど、向かい側から彼の咳と、コロナの痰が嵐のように吹き上がる音が聞こえてきた。,隣人と私が同時に帰宅したところ、向かい側からコロナのせいでひどく咳き込む音が聞こえてきた。,私の隣人と私が同時に帰宅したところ、向かい側から彼が新型コロナによるひどい咳と痰に苦しんでいるのが聞こえた。,0.2408,0.226,0.3064,0.5333,0.4997,0.5256,0.4946,0.533,0.3625,0.8551,0.8167,0.8162
99,それで僕は、彼を避けようと大急ぎで自分のアパートに入ろうしたが、彼はそれでもなんとか私に追いついてきて立ち話をしたのだった。,彼を避けるために急いでアパートに入ったのに、結局追いつかれて話しかけられちゃった。,彼を避けるために急いで自分のアパートに駆け込んだが、結局追いつかれて話しかけられてしまった。,彼を避けるために急いでアパートに駆け込んだのに、結局追いつかれて話しかけられてしまった。,0.1617,0.2288,0.145,0.4118,0.4311,0.389,0.6082,0.6603,0.5988,0.8292,0.8504,0.8473
107,"4,000回もの苦悩を経て、Ylは自分が愛に包まれた場所にいることに気付き、どうしたらいいか分からないものすごい愛を感じたので、YIには苦悩と愛の両方ともがたくさんある。",4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある。,4000もの苦難を経て、Ylは愛に溢れた場所に辿り着き、どうすればいいか分からないほどの感情に圧倒されている。その両方が彼女の中で渦巻いているのだ。,4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方の感情がたくさんある。,0.2736,0.2837,0.2751,0.4949,0.413,0.4842,0.4894,0.6208,0.5115,0.8386,0.8585,0.841
109,昨日の#MangoMoronの失態はとんでもないものだった。,昨日の#MangoMoronの大失敗は、とんでもない大失敗だった。,昨日の#MangoMoron騒動は、本当にとんでもない失態だった。,昨日の#MangoMoronの騒動は、まったくひどい騒動だった。,0.6548,0.6357,0.5329,0.8685,0.8746,0.6825,0.7256,0.7839,0.7131,0.8922,0.9464,0.8841
113,来週の半ばには、寒冷前線がやってくるでしょう。,来週の半ばまでに寒冷前線が到来するでしょう。,来週の半ばには寒冷前線が来るでしょう。,来週の半ばまでに寒冷前線が到来するでしょう。,0.5206,0.6062,0.5206,0.7329,0.7921,0.7329,0.8571,0.8777,0.8571,0.9515,0.9678,0.9515
114,今朝未明の赤外線探知衛星と地上観測によりますと、低層雲が広がり雲がまばらなエリアがあるでしょう<URL>,今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が確認されました。,今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が広がっているのが確認されました。,今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が確認されました。,0.3183,0.3121,0.3183,0.5363,0.5713,0.5363,0.5803,0.6234,0.5803,0.76,0.762,0.76
121,信頼のおけるセールスフォースのパートナーを見つけ、その専門知識を活用し、御社のCRM投資の価値を最大限に生かしましょう。,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大限に高めましょう。,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大限に高めましょう。,0.5553,0.5735,0.5735,0.6865,0.6988,0.6988,0.8238,0.8309,0.8309,0.9459,0.9471,0.9471
122,セールスフォースのパートナーが導入、カスタマイズ、調整のお手伝いと継続的なサポートを提供し、セールスフォースのエコシステムで御社のビジネス繁栄を実現させます。,Salesforceパートナーがどのように実装、カスタマイズ、インテグレーション、継続的なサポートで貴社を支援し、Salesforceエコシステムでビジネスを成功に導くかをご紹介します。,Salesforceパートナーが実装、カスタマイズ、インテグレーションズ、継続的なサポートを通じて貴社のSalesforceエコシステムでのビジネスの成功を支援する方法をご紹介します。,Salesforceパートナーが、実装、カスタマイズ、インテグレーション、継続的なサポートを通じて貴社のビジネスをどのように支援し、Salesforceエコシステムでの成功を可能にするかをご紹介します。,0.3045,0.3319,0.3084,0.4993,0.5149,0.4798,0.7621,0.7342,0.7412,0.9249,0.9204,0.9288
137,でも、あの船には他の人もよく飛んで来ている。,しかし、その船にはもう一人の人物がよく搭乗している。,しかし、その船にはもう一人がよく乗っている。,しかし、その船には別の人物がよく搭乗している。,0.2235,0.2538,0.2501,0.6004,0.5448,0.5715,0.5302,0.5713,0.5791,0.7676,0.7531,0.7965
142,ザ・ラスト・オブ・アスは、ダディフィケーションの分かりやすく標準的な一例である。,The Last of Usは、ダッド化の分かりやすく典型的な例だ。,『The Last of Us』は、典型的な「ダディ化」の代表例と言えるでしょう。,The Last of Usは、ダッド化の分かりやすく典型的な例だ。,0.1882,0.0576,0.1882,0.3472,0.2361,0.3472,0.5824,0.6209,0.5824,0.7794,0.8322,0.7794
144,ダディフィケーションでは大抵、親代わりの人物が、子供もしくは子供の代役の世話をするか守らなくてはいけない状況を解決する策として、力を圧倒することが仮定され、非常に特殊な形の力関係を強いるためにその力が使われている。,父性化とは、親のような立場の者が子供や子供の代わりとなる者を世話したり保護したりしなければならない状況に対する解決策が、圧倒的な力であり、その力を使って非常に特異な形の力関係を強制することであると通常仮定する。,父親化とは、親が子供やそれに準ずる者を世話または保護しなければならない状況に対し、圧倒的な力を行使し、特定の力関係を強制することが解決策であるとみなす考え方を指すことが多い。,父性化とは通常、親のような立場の者が子供やそれに準ずる者を世話したり保護したりしなければならない状況に対し、圧倒的な力こそが解決策であり、その力を用いて非常に特異な力関係を強制することだと仮定するものである。,0.2319,0.1458,0.16,0.5103,0.3909,0.4621,0.5589,0.5307,0.5587,0.854,0.8507,0.8624
147,当社のウェブサイトの利用方法について簡単にご説明します。,当ウェブサイトのご利用方法の簡単な概要です。,当サイトのご利用方法について簡単に説明します。,当ウェブサイトのご利用方法の簡単な概要をご紹介します。,0.3393,0.6192,0.4118,0.6281,0.8321,0.6939,0.8297,0.8385,0.8362,0.9399,0.9639,0.9492
148,− 航空券が発売されましたら通知を送信いたします。,航空券がセールになった際にお知らせを送信します。,航空券が割引になったら、お知らせを送信します。,航空券がセールになった際にお知らせを送信します。,0.2574,0.2657,0.2574,0.5401,0.5423,0.5401,0.7653,0.7101,0.7653,0.9115,0.9278,0.9115
153,ウクライナの子どもたちには、平和で安定した環境で育つ権利がある。,ウクライナの子供たちは、平和で安全な環境で成長する権利を有します。,ウクライナの子どもたちは、平和で安全な環境で成長する権利があります。,ウクライナの子どもたちには、平和で安全な環境で成長する権利があります。,0.396,0.5473,0.6157,0.695,0.7957,0.8286,0.8316,0.8252,0.8335,0.977,0.9814,0.982
159,時と共にDartは、私の手っ取り早くて頼りになるユーザインタフェースとなった。,時間の経過とともに、dartは手軽なUIに最適な選択肢になった。,時間が経つにつれて、手軽にUIを開発するならDartが一番になった。,時間の経過とともに、Dartは手軽なUIを構築する際の頼りになる存在となった。,0.1464,0.1454,0.2881,0.4163,0.3649,0.5173,0.5008,0.5578,0.6155,0.7887,0.7794,0.8631
164,アメジスト色とマゼンタ色の針をもつハリモグラ。,アメジストとマゼンタのトゲを持つハリモグラ,アメジストとマゼンタのトゲで飾られたハリモグラ。,アメジストとマゼンタ色のトゲを持つハリモグラ。,0.5283,0.4963,0.6652,0.7749,0.7266,0.8628,0.5691,0.6088,0.6271,0.7025,0.7751,0.8254
166,尾はとても太いです。,彼らの尻尾は非常に太いです。,彼らの尾は非常に太いです。,彼らの尾は非常に太いです。,0.3058,0.3326,0.3326,0.6652,0.6717,0.6717,0.6791,0.7837,0.7837,0.9353,0.9468,0.9468
168,目は梨型で、真っ赤なキャットアイ型の眼鏡をかけています。,彼らの目はナシのようで、真っ赤なキャッツアイの眼鏡をかけている。,彼らの目は真珠色で、真っ赤なキャッツアイの眼鏡をかけている。,彼らの目はナシ形で、真っ赤なキャッツアイの眼鏡をかけている。,0.4989,0.534,0.534,0.7701,0.7756,0.7756,0.5995,0.6581,0.6454,0.6512,0.8704,0.7326
172,ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーは、バンパイアを悪者に見せようと一生懸命努力をしてるけどね、みんな…,ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが彼らを悪く見せようと最大限の努力をしたにもかかわらず、皆…,ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが悪者にしようと躍起になるにもかかわらず、皆は…。,ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが悪者に見せようと努力したにもかかわらず、皆…,0.5835,0.5321,0.586,0.6933,0.6596,0.6829,0.6755,0.4548,0.6468,0.8969,0.8708,0.8463
174,現実の世界では、うちのお母さんは昔僕が作ったパズルゲームをとても気に入り、ほとんどの秘密を自力で見つけたので、お母さんがそのゲームを気に入ったと言ったのは、母親として言っただけではなかったのだ。,現実では、母が何年も前に私が作ったパズルゲームを気に入って、ほとんどの隠し要素を自力で見つけたので、褒め言葉がお母さん目線だけのものではなかったんです。,実を言うと、母は何年も前に私が作ったパズルゲームを気に入り、ほとんどの隠し要素を自力で解いたので、親バカで褒めていたわけではないんです。,現実では、母は私が何年も前に作ったパズルゲームを気に入り、ほとんどの隠し要素を自力で見つけました。お母さんだから褒めているだけではなかったんです。,0.3971,0.2925,0.3761,0.5076,0.3849,0.4841,0.5948,0.598,0.6469,0.8901,0.8708,0.9025
177,標準中国語と福建語の両方か、そのどっちかに訳さないといけないけれど、僕はどっちも全然できないんだ。,"Here's the Japanese translation:

**北京語（標準中国語）もしくは福建語に翻訳する必要があり、どちらも全く分からないので、翻訳のみを提供してください。**",北京語（標準中国語）もしくは福建語に翻訳する必要があり、どちらも全く分からないので、翻訳のみで結構です。,我需要把它翻译成普通话和/或福建话，但我两种语言都不会。,0.0737,0.124,0.014,0.4021,0.4147,0.0545,0.4991,0.585,0.3381,0.6852,0.8045,0.6552
179,少し前からあれこれ考えていることがある:,この考えをしばらくの間、弄んでいる。,この考えをしばらくの間、あれこれ考えている。,この考えをしばらくの間、あれこれ考えている。,0.0625,0.3893,0.3893,0.2422,0.5061,0.5061,0.3418,0.5076,0.5076,0.6835,0.8655,0.8655
180,メンタル・ヘルスは「通常の」健康とは別のものとして捉えられがちだ。,メンタルヘルスは、しばしば「普通の」健康とは別のものとして見なされる。,メンタルヘルスは、しばしば「通常の」健康とは別のものとして見なされる。,メンタルヘルスは、「普通の」健康とは切り離されたものと見なされることが多い。,0.5039,0.5852,0.2919,0.7447,0.7803,0.589,0.8001,0.8161,0.8159,0.9486,0.95,0.9388
182,心の中で起こることなので、身体的健康よりも目に見えにくいと思われるからだ。,心の中で起こり、身体的な健康よりも実体がなさそうに見えるから。,それは心の中で起こることであり、身体的な健康に比べて目に見えにくいからである。,心の中で起こり、身体的な健康に比べて実体が捉えにくいように思われるため。,0.349,0.4592,0.3455,0.5442,0.7453,0.5288,0.5715,0.8364,0.7279,0.8583,0.9658,0.9194
194,聴いてみる価値は大あり。,ぜひ挑戦する価値あり。,ぜひ試してみる価値はあります。,ぜひ挑戦してみる価値はある。,0.2142,0.375,0.376,0.4949,0.7182,0.5757,0.6616,0.7736,0.7201,0.8686,0.8899,0.8702
196,Flutterをちょこっと試してる。,Flutterを少し触ってみています。,Flutterを少し試しています。,Flutterを少し試しています。,0.4057,0.4782,0.4782,0.639,0.6652,0.6652,0.7368,0.8177,0.8177,0.8509,0.9169,0.9169
197,正直なところ僕は、Googleのテクノロジーを自分のビジネスの基盤にするのは嫌なんだけど、その一方でGoogleは、感動的なクロスプラットフォームエクスペリエンスを生み出す実質的なインセンティブを備えた、数少ない大手の1つであることは一目瞭然だ。,正直に言うと、グーグルの技術に事業の基盤を置きたくはない。一方で、グーグルは魅力的なクロスプラットフォーム体験を生み出す本当のインセンティブを持っている数少ない大企業の一つであり、それは明らかだ。,正直なところ、グーグルの技術に事業の基盤を置くのは気が進まない。しかし、グーグルは魅力的なクロスプラットフォームエクスペリエンスを生み出す真の動機を持つ数少ない大企業のひとつであり、それは明らかだ。,正直なところ、グーグルの技術に事業の基盤を置くのは気が進まない。しかし、グーグルは、魅力的なクロスプラットフォーム体験を生み出す強い動機を持つ数少ない大企業のひとつであり、それは明らかだ。,0.262,0.3164,0.2305,0.4792,0.4942,0.4085,0.7155,0.6597,0.6515,0.9088,0.9015,0.8916
199,それから、iOSとmacOS上のGoogleやFlutterのアプリは最悪だと僕に言うのはやめて頂きたい。,また、GoogleやFlutter製のアプリがiOSやmacOSでは使い物にならないといった話はしないで、翻訳だけを提供してください。,また、グーグルやフラッター製のアプリがiOSやmacOSで使い物にならないといった話はせずに、翻訳のみを提供してください。,また、GoogleやFlutter製のアプリがiOSやmacOSでは使い物にならないという話はしないでください。,0.3308,0.1377,0.3976,0.6211,0.3627,0.6339,0.4831,0.4787,0.6833,0.8035,0.7913,0.8827
200,上手にやろうとすると、クロスプラットフォームは難しい。,クロスプラットフォームをきちんとやるのは難しい。,クロスプラットフォームをうまくやるのは難しい。,クロスプラットフォームをきちんと行うのは難しい。,0.5249,0.5232,0.5179,0.7051,0.7078,0.6705,0.6494,0.6256,0.6332,0.9008,0.9218,0.8784
201,それは分かっているから。,知ってるよ。,知っています。,知ってるよ。,0.071,0.1286,0.071,0.2769,0.3261,0.2769,0.6459,0.7028,0.6459,0.7774,0.7547,0.7774
202,Leaseyの最新アップデートをダウンロードして頂いたお客様方に感謝申し上げます。,Leaseyの最新アップデートをダウンロードしてくださった皆様、ありがとうございます。,Leaseyの最新アップデートをダウンロードしてくださった皆様に、ありがとうございます。,Leaseyの最新アップデートをダウンロードしてくださった皆様、ありがとうございます。,0.5914,0.5822,0.5914,0.7235,0.7442,0.7235,0.87,0.8748,0.87,0.9562,0.9572,0.9562
209,なぜ自分の頭で理解できないのかよく分からない、てゆうか、ツールが色々あり過ぎて漠然としているし'選択肢が多すぎる'から頭がフリーズしてしまうからかもしれない。,なぜ私の脳が理解できないのか正確にはわからない。ツールが広範かつ曖昧すぎて、「選択肢が多すぎる」せいで脳がフリーズしてしまうのかもしれない。,なぜ自分の頭でうまく理解できないのか دقیقにはわからないが、ツールが広範かつ曖昧なため、「選択肢が多すぎる」ことで思考停止してしまうのかもしれない。,なぜ私の脳がそれを理解できないのか正確にはわからない。ツールが広範かつ曖昧すぎて、「選択肢が多すぎる」せいで脳がフリーズしてしまうのかもしれない。,0.4279,0.4336,0.4294,0.6197,0.544,0.6173,0.7545,0.594,0.7676,0.8995,0.8946,0.9023
211,Grafanaは良さそうだね。,Grafanaは見栄えが良いですね。,Grafanaは見栄えがいい。,Grafanaは見栄えが良いですね。,0.4354,0.4901,0.4354,0.7117,0.5967,0.7117,0.8145,0.6849,0.8145,0.8162,0.7505,0.8162
