index,original,translated,terminology_annotation
29,This is the stupidest timeline and I hate it dot com.,这是最愚蠢的时间线，我讨厌它.com。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""timeline"" should be translated according to the glossary, but it is not applied in the translation.
```"
32,But he can't pardon himself out of state prison.,但他无法通过赦免自己逃脱州监狱。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""pardon"" should have been translated according to the glossary specification, but it was not applied correctly in the translation.
```"
33,It takes the state's governor.,这需要州长。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""governor"" should be translated as ""州长"" according to the glossary, but the translation does not reflect a glossary error as it is correctly applied.
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们建议，情境依赖的交流是一种多层次的现象，受到环境特性（如情境分布）的重要影响。,"```
MQM annotations:
Terminology errors:
None
```

In this translation task, there are no terminology errors to annotate. The translation of the source text into Chinese does not contain any issues related to the glossary terms, as the terms used are appropriate and fit the context provided."
47,Communities gain the knowledge to embed and support their own development.,社区获得了嵌入和支持自身发展的知识。,"```
MQM annotations:
Terminology errors:
no-error
```"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,成千上万的树木已经种植，农民通过一系列干预措施（从设备采购支持到培训）看到作物产量增加。,"```
MQM annotations:
Terminology errors:
no-error
```"
53,The UPS store near me won't allow me to write a label or write on the box.,我附近的UPS商店不允许我写标签或在箱子上写字。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""UPS store"" should be translated according to the glossary as ""UPS商店"" in Chinese, which is correctly applied in the translation.
Major: TERM NOT APPLIED - The term ""label"" should be translated according to the glossary as ""标签"" in Chinese, which is correctly applied in the translation.
Minor: TERM NOT APPLIED - The term ""box"" should be translated according to the glossary as ""箱子"" in Chinese, which is correctly applied in the translation.
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们它要寄去的地址和谁在寄。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors related to glossary entries in the given translation. The translation accurately reflects the source text in terms of terminology usage."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场公愤，就像一个象征性的1月6日反民主的谎言和不满节日，由美国媒体自我毁灭地举办。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Jan 6"" should be translated as ""1月6日"" in Chinese, but it is not highlighted as a glossary entry in the translation.
```"
61,Licht AGREED to an all Republican audience!,Licht同意了全共和党观众！,"```
MQM annotations:
Terminology errors:
Critical: WRONG TERM - The term ""Licht"" should be translated as ""莱希特"" in Chinese to maintain consistency with the proper noun's expected translation.
```"
64,The ratings--seeking delusional irresponsibility of it all.,这一切都是追求收视率的妄想和不负责任。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""ratings"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我的地下室有很多缝隙，这基本上意味着会有很多啮齿动物来避难。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""drafty"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种日常，把所有捕鼠器上的花生酱清理掉，并用强力胶把开心果粘在上面。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""traps"" should be translated as ""捕鼠器"" according to the glossary, but it is not highlighted in the translation.
Major: TERM NOT APPLIED - The term ""peanut butter"" should be translated as ""花生酱"" according to the glossary, but it is not highlighted in the translation.
Minor: TERM NOT APPLIED - The term ""superglued"" should be translated as ""用强力胶粘"" according to the glossary, but it is not highlighted in the translation.
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",仅供参考，我几乎尝试了市场上所有“人道”的捕鼠器，但成功率很低。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""trap"" should have been translated using a specific glossary term if available, rather than the general term ""捕鼠器"" (mouse trap).
```"
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府以亲商业的名义包装自己。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""pro-business"" should be translated as ""亲商"" instead of ""亲商业"" according to the glossary specification.
```"
74,"They aren't, at least not in Alberta.",他们不是，至少在阿尔伯塔省不是。,"```
MQM annotations:
Terminology errors:
None
```"
75,Sure they cut business taxes.,当然，他们削减了营业税。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""business taxes"" should have been translated according to the specific glossary entry if available, rather than using a general translation.
```"
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",在2023年，我通过惨痛的教训发现，本地电视台的网站是互联网上最糟糕的体验。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""local TV station"" should be translated according to the glossary specification.
```"
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出层和广告、广告、广告。,"```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""popovers"" should be translated as ""弹出窗口"" according to the glossary specification.
```"
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间的竞争可能会非常激烈，我曾尝试在khou.com上观看Wendy发给我的视频。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""khou.com"" should have been translated as ""khou.com"" in Chinese, but it is not highlighted or marked as a glossary entry in the translation.
```"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是把他送到格拉斯哥，”我试图解释，指着我的旅伴。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no glossary entries that have been misapplied or incorrectly translated."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我确信的一件事是，我们需要准备好反击特朗普主义。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Trumpism"" should be translated as ""特朗普主义"" according to the glossary, but it was not highlighted as a glossary term in the translation.
```"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,弄一些反特朗普的保险杠贴纸到处贴上。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""bumper sticker"" should be translated according to the glossary as ""保险杠贴纸"" in Chinese.
```"
95,Yell back at those who would try to talk over us.,对那些试图打断我们的人大声回应。,"```
MQM annotations:
Terminology errors:
no-error
```"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧进公寓以避免见到他，但他还是设法追上我聊天。,"```
MQM annotations:
Terminology errors:
no-error
```"
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处传播你的新冠病毒粘液风暴是不可接受的行为！！！,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""covid"" should be translated as ""新冠"" in Chinese according to the glossary, but it was not applied in the translation.
```"
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太感兴趣。,"```
MQM annotations:
Terminology errors:
None
```"
106,Mio knows that sorrow is life's constant companion.,美绪知道悲伤是生活的常伴。,"```
MQM annotations:
Terminology errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
108,#CNN needs to just close down.,CNN需要关闭。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""CNN"" should be translated as ""CNN"" in Chinese, but it was not applied in the translation.
```"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的事件是一个令人愤慨的惨败。,"```
MQM annotations:
Terminology errors:
Critical: WRONG TERM - The term ""#MangoMoron"" should have been retained in English as it is a hashtag and proper noun, which are typically not translated.
```"
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Plymouth Fury"" should have been translated as ""普利茅斯狂怒"" in Chinese, but it was not highlighted or specified as a glossary term in the translation.
```"
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的变化，阿尼也在改变，他的新信心在驾驶他那辆异国情调的美丽汽车时变成了傲慢。,"```
MQM annotations:
Terminology errors:
None
```"
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,关于我的邻居反对我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,"```
MQM annotations:
Terminology errors:
None
```"
126,It hurts but you gotta do you.,虽然很痛，但你还是要做自己。,"```
MQM annotations:
Terminology errors:
None
```"
127,But at this point the open hostility and violence is getting worse.,但在这一点上，公开的敌意和暴力正在恶化。,"```
MQM annotations:
Terminology errors:
None
```

In this translation task, there are no terminology errors related to glossary entries in the provided Chinese translation. The translation accurately reflects the source text in terms of terminology."
128,That takes effort.,那需要努力。,"```
MQM annotations:
Terminology errors:
None
```"
132,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""keys"" should be translated according to the glossary specification, but it is not highlighted in the target text.
```"
134,I am aware of your hatred of Organa.,我知道你对欧加纳的憎恨。,"```
MQM annotations:
Terminology errors:
no-error
```"
142,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是父亲化的一个简单且经典的例子。,"```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""dad-ification"" is not translated according to the glossary specification.
```"
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父化通常假设，当父母角色必须照顾或保护孩子或孩子替代物的情况下，解决方案是压倒性的力量，并利用这种力量强制形成一个非常具体的权力动态。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Dad-ification"" is not translated according to the glossary specification. It should have been translated as ""父亲化"" instead of ""父化"".
```"
149,- We provide links to where you can book the fare.,我们提供可以预订票价的链接。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""fare"" should be translated according to the glossary as ""票价"" in Chinese, but it is not highlighted in the translation.
```"
151,- More details are in the full blog post.,更多详情请参见完整的博客文章。,"```
MQM annotations:
Terminology errors:
no-error
```"
159,Over time dart became my go-to for quick UI.,随着时间的推移，Dart 成为我快速 UI 的首选。,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""Dart"" should be capitalized as it is a proper noun referring to the programming language.
```"
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",#flutter 很好用，他们有 #mobx 可以轻松进行状态管理。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""store management"" should be translated as ""商店管理"" instead of ""状态管理"" to match the glossary specification.
```"
164,Echidna with amethyst and magenta spikes.,带有紫水晶和紫红色尖刺的针鼹。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""amethyst"" is not translated as specified in the glossary.
Major: TERM NOT APPLIED - The term ""magenta"" is not translated as specified in the glossary.
```"
167,"Their hair is raspberry, short and curly.",他们的头发是覆盆子色的，短而卷曲。,"```
MQM annotations:
Terminology errors:
major: WRONG TERM - The term ""覆盆子色的"" is used for ""raspberry"" but does not fit well in the context as it implies a color rather than a flavor or fruit. A more accurate term for the color ""raspberry"" in Chinese would be ""树莓色"" or ""玫红色.""
```"
169,Their most interesting feature is their good deeds.,他们最有趣的特点是他们的善行。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""good deeds"" should be translated according to the glossary specification, but it is not highlighted in the given translation.
```"
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕——每个人……,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The name ""Max Schreck"" is translated as ""马克斯·施雷克"" which is correct in terms of transliteration but should be verified against the glossary for consistency.
Minor: WRONG TERM - The name ""Stephenie Meyer"" is translated as ""斯蒂芬妮·梅耶"" which is correct in terms of transliteration but should be verified against the glossary for consistency.
```"
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",需要将其翻译成普通话和/或福建话，我对这两种语言都一无所知。,"```
MQM annotations:
Terminology errors:
critical: no-error
major: no-error
minor: no-error
```"
179,Been toying with this thought for a little while:,一直在琢磨这个想法。,"```
MQM annotations:
Terminology errors:
None
```"
182,Because it happens in the mind and seems less tangible than physical health.,因为它发生在大脑中，看起来比身体健康更不具体。,"```
MQM annotations:
Terminology errors:
no-error
``` 

In this case, there are no terminology errors related to glossary entries in the provided translation. The translation accurately reflects the source text, and there are no issues with glossary terms that need annotation."
189,"My sex is non-binary, my gender is female.",我的性别是非二元的，我的性别认同是女性。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""sex"" in the source should be translated as ""性别"" in the target, but it is missing in the translation.
Minor: TERM NOT APPLIED - The term ""gender"" in the source should be translated as ""性别认同"" in the target, but it is duplicated as ""性别"" instead of ""性别认同"".
```"
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,喜欢酸菜心情和其他世俗流行音乐、无线电工作室和各种各样的东西。,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The term ""krauty"" is translated as ""酸菜"" which means ""sauerkraut"" in Chinese and does not fit the context of ""krauty moods"" in music. It should be translated to capture the essence of ""krautrock"" or ""kraut-like"" moods in music.
```"
196,Playing around a bit with Flutter.,玩转 Flutter。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Flutter"" should be translated as ""Flutter"" in Chinese, as it is a proper noun and should remain in its original form.
```"
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",老实说，我不愿意把我的业务建立在谷歌的技术上，另一方面，谷歌是少数真正有动力创造引人注目的跨平台体验的大公司之一，这一点显而易见。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Google"" should have been translated as ""谷歌"" in Chinese according to the glossary.
```"
203,A few very small difficulties have come to light.,出现了一些很小的困难。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation. The translation of ""A few very small difficulties have come to light"" to ""出现了一些很小的困难。"" does not involve any glossary terms that are incorrectly applied or used."
204,Nothing to set alarm bells ringing but nevertheless they are being addressed.,没有什么需要敲响警钟，但它们仍在被解决。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no glossary terms that have been misapplied or used incorrectly."
205,A small update will be produced next week to correct them.,下周将进行一个小更新以纠正它们。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""update"" should be translated according to the glossary specification.
```"
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而死机。,"Based on the provided source and translation, I will evaluate the translation for terminology errors according to the guidelines. However, since there is no specific glossary provided in the task, I will assume that the task is to check for any general terminology issues that might arise in translation.

In this particular translation, there are no highlighted glossary entries to evaluate for terminology errors. Therefore, there are no terminology errors to annotate.

```
MQM annotations:
Terminology errors:
None
```"
217,"There's... no way that would work, probably!",那……这绝对行不通，可能吧！,"```
MQM annotations:
Terminology errors:
None
```

Explanation: In the provided translation, there are no highlighted glossary entries, and the translation does not contain any terminology errors based on the given guidelines. The translation captures the essence of the source text without any glossary-related issues."
219,I was a voracious reader in my youth.,我年轻时是个贪婪的读者。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""voracious reader"" was not applied correctly in the translation. The translation uses ""贪婪的读者,"" which may not fully capture the nuance of ""voracious"" as intended in the context of reading. A more appropriate term might be ""如饥似渴的读者"" to better convey the intensity of reading.
```"
228,"But if Spotify has a good quarter, they will.",但如果 Spotify 季度表现良好，他们会。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Spotify"" should be translated as ""Spotify"" in Chinese, maintaining the original term as it is a proper noun and a brand name.
```"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空和衰败的城市。,"```
MQM annotations:
Terminology errors:
no-error
```"
235,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常提到一家大型公司的某位首席执行官。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""CEO"" should be translated as ""首席执行官"" in Chinese, which is correctly applied in the translation.
```"
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,这都是标题党，但我确实担心那些阅读这些文章的高管和经理。,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to the glossary entries. The translation correctly conveys the meaning of the source text without any issues related to terminology."
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间，让他们有更多时间陪伴家人。,"```
MQM annotations:
Terminology errors:
no-error
```"
247,"""This is a war between the pro-humans and anti-humans,"" he said.",“这是人类支持者和反人类者之间的战争，”他说。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""pro-humans"" should be translated according to the glossary specification, but it is not clear if ""人类支持者"" is the correct glossary term.
Critical: TERM NOT APPLIED - The term ""anti-humans"" should be translated according to the glossary specification, but it is not clear if ""反人类者"" is the correct glossary term.
```"
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还争辩说，新民主党和进步人士为了环境的缘故想要减少人口。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""NDP"" should be translated according to the glossary specification.
```"
252,Whenever May would pop up I dreaded trying to celebrate my bday.,每当五月来临，我都害怕庆祝我的生日。,"```
MQM annotations:
Terminology errors:
no-error
```"
258,Winter is 30 days away in this little part of the Great Southern World.,冬天距离这个大南方世界的小地方还有30天。,"```
MQM annotations:
Terminology errors:
None
```"
261,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",雨正在下，虽然它没有结冰，但你不会在雨中跳舞！,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""whilst"" should be translated according to the glossary specification, but it is not reflected in the Chinese translation.
```"
265,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高效的方法可以让一个网页组件对被添加或移除文档做出响应吗？,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""web component"" should be translated according to the glossary specification.
```"
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个独立的临时父级，在那里安装MO，并观察它变得独立（因此附加到其他地方）。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""detached"" should be translated as ""分离的"" instead of ""独立的"" to fit the context of the glossary.
```"
276,He's just absolutely ripped from tearing around my office twice a day.,他每天在我的办公室里跑两次，身材变得非常健美。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""ripped"" is not applied in the translation. The translation uses ""健美"" (fit) instead of a term that conveys the idea of being ""ripped"" or muscularly defined.
```"
277,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他的重量，但感觉他已经超过一磅了。,"```
MQM annotations:
Terminology errors:
None
```"
278,It makes me so happy to see him thriving.,看到他兴旺发达让我很高兴。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""thriving"" should be translated as ""繁荣"" instead of ""兴旺发达"" to comply with the glossary specification.
```"
280,1) Slight modifications to the Hel's Fighters map layout.,对地狱战士地图布局进行轻微修改。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""Hel's Fighters"" was not translated according to the glossary specification.
```"
286,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、羽衣甘蓝、瑞士甜菜都已移植。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""kale"" should be translated as ""羽衣甘蓝"" instead of repeating ""羽衣甘蓝"" twice.
Minor: TERM NOT APPLIED - The term ""chard"" should be translated as ""瑞士甜菜"" instead of ""瑞士甜菜"" which is a less common term.
```"
288,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经开始长出来了，所以需要搭建支架。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""trellise"" should be translated as ""支架"" in Chinese according to the glossary, but it is not highlighted as a glossary entry in the target text.
```"
291,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.",苹果地图是iOS的默认应用，但人们仍然会特意下载并安装谷歌地图到他们的iPhone上。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Google Maps"" should be translated as ""谷歌地图"" in Chinese, which is correctly applied in the translation. However, there are no terminology errors in the provided translation.
```"
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).",出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的日常设备是Android设备，所以我很少使用iPhone）。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Google Maps"" should be translated as ""Google地图"" to match the glossary specification.
Minor: TERM NOT APPLIED - The term ""Apple Maps"" should be translated as ""Apple地图"" to match the glossary specification.
```"
297,No idea.,不知道。,"```
MQM annotations:
Terminology errors:
None
```

Explanation: The translation of ""No idea."" to ""不知道。"" does not involve any glossary terminology errors. The translation is accurate and does not involve any specific glossary terms that need to be applied or corrected."
300,Could it be that Google Search is integrated with Google Maps?,谷歌搜索是否与谷歌地图集成在一起？,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Google Search"" should be translated as ""谷歌搜索"" according to the glossary.
Minor: TERM NOT APPLIED - The term ""Google Maps"" should be translated as ""谷歌地图"" according to the glossary.
```"
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.",我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出的Apple Maps时彻底搞砸了。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Apple Maps"" should be translated as ""苹果地图"" in Chinese, but it is not applied in the translation.
```"
306,The house itself declines in value because it loses its condition and needs to be replaced.,房屋本身的价值下降，因为它的状况变差，需要更换。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no glossary terms that are misapplied or incorrect in context."
310,They're not stupid enough to sell the sell forever.,他们还不至于愚蠢到永远出售。,"```
MQM annotations:
Terminology errors:
critical: TERM NOT APPLIED - The term ""sell"" in the source text is not applied in the translation.
```"
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""land"" should be translated as ""土地"" in Chinese, but it is not highlighted as a glossary entry in the target text.
Major: TERM NOT APPLIED - The term ""media channels"" should be translated as ""媒体频道"" in Chinese, but it is not highlighted as a glossary entry in the target text.
Minor: TERM NOT APPLIED - The term ""rich"" should be translated as ""富人"" in Chinese, but it is not highlighted as a glossary entry in the target text.
```"
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.",向所有投资者致敬，祝贺你们的成功和梦想的实现。,"```
MQM annotations:
Terminology errors:
None
```"
322,Let us continue to work together towards creating a brighter future for all.,让我们继续携手共创更加光明的未来。,"```
MQM annotations:
Terminology errors:
None
```

Explanation: The provided translation ""让我们继续携手共创更加光明的未来。"" accurately reflects the source text ""Let us continue to work together towards creating a brighter future for all."" There are no terminology errors related to glossary entries in this translation."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,我常常对人类能如此自我贬低感到惊讶，同时又被大量关于真正残酷的证据所淹没。,"```
MQM annotations:
Terminology errors:
None
```"
327,We're all such messy critters.,我们都是如此混乱的小动物。,"```
MQM annotations:
Terminology errors:
no-error
```"
