index,original,zero_shot_translation,improved_translation
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,הלכנו אני והשותפה הביתית הערב לחנות המשקאות לקנות כמה בירות ובקבוק יין מבעבע.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם בקופה, הקופאית הייתה אישה טרנסית די ברורה.","כשהלכנו לשלם, הקופאית הייתה טרנסית די ברורה."
27,And I said her nails looked cool.,.ואמרתי לה שהציפורניים שלה נראות מגניבות,ואמרתי שהציפורניים שלה נראות מעולות.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של הקלה על פניה היה הרגשה נהדרת אבל העובדה שהיא פחדה קודם זה מחורבן לגמרי ואני שונא את זה.,"החיוך המרוצה על פניה היה תחושה נפלאה, אבל העובדה שהיא פחדה קודם זה מעצבן רצח ואני שונא את זה."
33,It takes the state's governor.,לוקח את המושל של המדינה.,המושל של המדינה אחראי על כך.
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","במחקר זה, המבוסס על וריאנט של מודל האיתות הקלאסי של לואיס (1969), אנו חוקרים את התנאים להופעת תקשורת תלוית הקשר בתרחיש ממוקם.","במחקר זה, המבוסס על גרסה של המודל האיתותי הקלאסי של לואיס (1969), אנו בוחנים את התנאים להתפתחות של תקשורת תלוית-הקשר בתרחיש ממוקם."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","בו זמנית, אנו חוקרים את התנאים הסביבתיים ואת היכולות הקוגניטיביות המאפשרים פענוח הקשרי של משמעויות סמלים.","בו זמנית, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים פענוח הקשרי של משמעויות סמלים."
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הנמען של המקבל יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, ללא יכולות פענוח מצד המקבל.","אנו מראים כי אילוצים סביבתיים על בחירת הנמען יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, מבלי שלנמען יהיו יכולות הבחנה."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי דבלופמנט עובדת עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, מתקשרת עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, שירותי בריאות, נטיעת עצים וחקלאות.","אשנטי דבלופמנט פועלת במשך קרוב ל-20 שנים עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה, מעורבת עם הקהילות ומספקת תמיכה במים וסניטציה, חינוך, שירותי בריאות, נטיעת עצים וחקלאות."
47,Communities gain the knowledge to embed and support their own development.,הקהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,הקהילות רוכשות את הידע הדרוש לשילוב ותמיכה בפיתוח עצמי שלהן.
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,תמונות מביקורי בגאנה בשנת 2011.
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,הם לא יאפשרו לי לספר להם את הכתובת אליה זה נשלח ומי שולח אותו.
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,בוקר למחרת ואני לא מצליח להתגבר על ההתחזות המחפירה של כריס ליכט לעיתונות שירות הציבור ב-CNN אמש.,"בבוקר למחרת, אני לא מצליח להתעלם מהתנהגות הבזויה של כריס ליכט, שהציג עצמו כעיתונאי ציבורי אמיתי בטלוויזיית CNN אמש."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל סמלי נגד דמוקרטיה של שקרים ותלונות ב-6 בינואר, שאורגן באופן הרסני על ידי התקשורת האמריקאית.","התקשורת האמריקאית ארגנה בצורה הרסנית את מה שהיה למעשה חגיגה סמלית של שקרים וטענות, דומה למה שקרה ב-6 בינואר, מעין חגיגת אנטי-דמוקרטיה."
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,הקהל שהתבייש.
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,ליכט הסכים להופיע בפני קהל רפובליקני מלא!
63,There's a story to be reported there.,יש סיפור שצריך לדווח עליו שם.,יש סיפור ראוי לדווח עליו שם.
64,The ratings--seeking delusional irresponsibility of it all.,"הבלתי-אחריות המדומיינת וחסרת-האחריות של כל זה, המחפשת דירוגים.","המונעת על ידי חיפוש דירוגים, האחריות הבלתי אחראית והמדומה של הכל."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד מאווורר, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","מרתף שלי מאוד מאווורר, מה שמושך הרבה מכרסמים לחפש בו מקלט."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","לבסוף נמאס לי מהשגרה הזאת אמש, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי להן פיסטוק בדבק סופר.","לבסוף נמאס לי מהשגרה הזאת אתמול, ניקיתי את כל המלכודות מחמאת בוטנים והדבקתי בהן אגוז פיסטוק."
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים וזיכויי מס שמעודדים פעילות עסקית רבה יותר.,המשלה קיצצה מענקים וזיכויי מס שמעודדים פעילות עסקית רבה יותר.
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעלים של עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","עסקי מצליח למרות הממשלה המחוזית, ולא בזכותה."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","זה נכון גם עכשיו כש-goatse.cx נעלם, למרות שזה יהיה מרוץ צמוד לתחתית בין goatse ל, נגיד, khou.com, שם ניסיתי לצפות בסרטון ש-Wendy שלחה לי.","הדבר נכון גם עכשיו, למרות שאתר goatse.cx כבר אינו קיים. אני ניסיתי לצפות בסרטון ששלחה לי וונדי באתר khou.com."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,השג כמה מדבקות פגוש שהן נגד טראמפ והדבק אותן בכל מקום.,קבל מדבקות פגוש נגד טראמפ והדבק אותן בכל מקום.
95,Yell back at those who would try to talk over us.,צעק בחזרה לאלה שינסו לדבר מעלינו.,התייצב כנגד אלה המנסים להשתיק אותנו.
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,זה לא מקובל חברתית לצאת החוצה או להתנפל על אנשים כשאתה משתעל סערת ליחה.,זה לא מקובל חברתית לצאת החוצה או להיכנס לשטח האישי של אנשים כשאתה משתעל בחוזקה.
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,אני חוזר. זה לא מקובל חברתית להפיץ את סערת הנזלת של הקוביד שלך לכל מקום!!!,אני חוזר. זה לא מקובל להפיץ את הנזלת של הקוביד שלך בכל מקום!!!
106,Mio knows that sorrow is life's constant companion.,"העצב הוא בן לוויה קבוע של החיים, מיו יודעת זאת.",מיו יודעת שהצער הוא לווייה קבועה של החיים.
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","לאחר 4,000 של מצוקה, ייל מוצאת את עצמה במקום של אהבה ויש לה הרגשות עצומות שהיא לא יודעת מה לעשות איתן אז יש הרבה משניהם.","אחרי תקופה ארוכה של מצוקה, יל מוצאת את עצמה במקום של אהבה, עם הרגשות העצומים שאינה יודעת כיצד להתמודד איתם."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,פיאסקו האתמול עם #מנגומורון היה פיאסקו מזעזע.,התפרצות מזעזעת אתמול עם #מנגומורון הייתה פיאסקו מחריד.
111,"Which cable news ""executive"" made the call to give the fat, lying criminal this much air-time?","איזה ""מנהל"" של ערוץ חדשות כבלים קיבל את ההחלטה לתת לפושע השמן והשקרן הזה כל כך הרבה זמן שידור?",מי מהמנהלים בערוץ החדשות הכבלים החליט לתת לפושע הפלילי הזה כל כך הרבה זמן שידור?
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","ככל שהמכונית משתנה, כך גם ארני, שהביטחון העצמי החדש שלו הופך לשחצנות מאחורי ההגה של היפהפייה האקזוטית שלו.","ככל שהמכונית משתנה, כך גם ארני, שהביטחון העצמי החדש שלו הופך לשחצנות מאחורי ההגה של מכוניתו המיוחדת."
118,Codleo is one of the best Salesforce Partner offering best Salesforce services tailored to your company needs.,קודליאו היא אחת משותפות ה-Salesforce המובילות המציעה את שירותי ה-Salesforce הטובים ביותר המותאמים לצרכי החברה שלך.,"Codleo, one of the leading Salesforce Partners, offers the best Salesforce services tailored to your company's needs."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,אחד הדברים המטורפים ביותר בנוגע לשכנים שלי שפונים נגדי הוא לחשוב כמה מאמץ צריך להשקיע כדי להיות עוין.,אחד הדברים המטורפים ביותר הוא לחשוב על כמה מאמץ נדרש מהשכנים שלי כדי להתנהג בצורה עוינת כלפי.
124,"Forget me, fine.","שכח ממני, בסדר.","שכחי אותי, בסדר."
125,"Ignore me, fine.","התעלם ממני, בסדר., פשוט תספק את התרגום ללא טקסט נוסף.","התעלם ממני, בסדר."
129,Slamming a door in my face takes effort.,טריקת דלת בפרצופי דורשת מאמץ.,טריקת דלת בפרני דורשת מאמץ.
133,That vessel is off-limits.,.כלי השיט הזה אסור בשימוש,אסור להשתמש בכלי השיט הזה.
137,But another individual often flies aboard that ship.,אבל לעתים קרובות עוד אדם טס על אותה ספינה.,אבל לעתים אדם אחר טס גם הוא על אותה אוניה.
138,If he were to die... the consequences would be... significant.,אם הוא ימות... התוצאות יהיו... משמעותיות.,"אם הוא ימות, ההשלכות יהיו משמעותיות."
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"Here is the Hebrew translation:

הנה קורס מזורז (מעט ארוך יותר מ) אורך ציוץ במה שאני מתכוון באבא-יפיקציה:","הנה קורס מזורז בנושא מה שאני מכנה ""אבהות-ציה"":"
142,The Last of Us is an easy and canonical example of dad-ification.,"המשחק ""The Last of Us"" הוא דוגמה קלה וקנונית לאבהות.","המשחק ""The Last of Us"" הוא דוגמה מובהקת ומקובלת של תיאור יחסי אב-בן בתקשורת."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.","דאדיפיקציה שוחקת את האפשרות לפתרונות קהילתיים, ולעתים קרובות מתעלמת לחלוטין, או חותרת תחת כל סוכנות שיש לילד.","האבהות מונעת אפשרויות לפתרונות קהילתיים, ולעתים מתעלמת לחלוטין או מחלישה את היכולת של הילד להשפיע."
146,"In this way, Dad-ification is a stand in for a lot of neoliberal ideals; especially ideas like bootstrapping and self-sufficiency as being an ultimate goal/indicator for success.","בדרך זו, ""אבאיזציה"" מייצגת הרבה אידיאלים נאו-ליברליים; במיוחד רעיונות כמו ""משיכה בשרוכי הנעליים"" ועצמאות כמטרה/אינדיקטור עליון להצלחה.","בדרך זו, ""אבהות"" משמשת כייצוג לרבים מהאידיאלים הנאו-ליברליים; במיוחד רעיונות כמו עצמאות ויוזמה אישית כמטרה/אינדיקטור עליון להצלחה."
148,- We send out notifications when airfare goes on sale.,אנו שולחים התראות כאשר מחירי הטיסות יורדים.,"מחירי הטיסות יורדים, ואנו שולחים התראות בנושא."
150,"- We don't sell tickets, or charge a subscription.",אנחנו לא מוכרים כרטיסים או גובים דמי מנוי.,אנחנו לא מוכרים כרטיסים ולא גובים דמי מנוי.
154,"Yet, unimaginable fear, terror and displacement have left them with the invisible scar of trauma.","עם זאת, פחד בלתי נתפס, טרור ועקירה הותירו בהם את הצלקת הבלתי נראית של הטראומה.","הפחד והטרור הבלתי נתפסים, לצד העקירה, הותירו בהם צלקת נסתרת של טראומה."
159,Over time dart became my go-to for quick UI.,"עם הזמן, דארט הפך לבחירה שלי ליצירת ממשקים במהירות.","לאורך הזמן, אפליקציית דארט הפכה להיות הבחירה המועדפת שלי לפיתוח ממשקי משתמש מהירים."
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter הוא תענוג לעבוד איתו, ויש להם #mobx לניהול חנות קל.","#flutter הוא תענוג לעבוד איתו, וכן יש להם את #mobx לניהול מאגר בקלות."
161,"The dependency story is less insane than nodejs, too.","סיפור התלות פחות מטורף מ-nodejs, גם.",התלות פחות מטורפת מ-Node.js.
162,"Of course flutter sucks really bad when it comes to behaving like a good native app would (anywhere, really. Even flutter web target sucks).","כמובן שפלאטר גרוע ממש כשמדובר בהתנהגות כמו אפליקציה טובה (בכל מקום, באמת. אפילו פלאטר עם מטרת אינטרנט גרוע).","פלאטר מתנהג בצורה גרועה מאוד כאשר מדובר בהתנהגות כמו אפליקציה טובה (בכל מקום, באמת. אפילו פלאטר עם מטרת אינטרנט גרוע)."
182,Because it happens in the mind and seems less tangible than physical health.,מכיוון שזה קורה בנפש ונראה פחות מוחשי מאשר בריאות פיזית.,מכיוון שזה קשור לבריאות הנפשית ונראה פחות מוחשי מאשר בריאות פיזית.
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","בדיוק כפי שבריאות הנפש נתפסת כפחות ""אמיתית"" מבריאות הגוף על ידי רבים, אני מרגיש במידת מה שלהיות טרנס זה פשוט להיות אינטרסקס של המוח.",להיות טרנס הוא כמו להיות אינטרסקס של המוח.
188,"I feel that to be trans is to be ""biologically non-binary"".","אני מרגיש שלהיות טרנס זה להיות ""ביולוגית לא בינארי"".","אני מרגיש שלהיות טרנס זה להיות ""ביולוגית שאינו בינארי""."
198,"(And also: The Web is now largely a Google thing, unfortunately)","וגם: הרשת כיום היא בעיקר עניין של גוגל, למרבה הצער","הרשת כיום נשלטת בעיקר על-ידי גוגל, לצערנו."
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,"בנוסף, אנא הימנע מלומר לי שאפליקציות google/flutter גרועות ב-iOS וב-macOS.",אנא הימנע מלומר לי שאפליקציות גוגל/פלאטר גרועות ב-iOS ו-macOS.
200,Cross platform is hard if you want to do it well.,תצוגה בין פלטפורמות זה קשה אם אתה רוצה לעשות את זה טוב.,פיתוח בין פלטפורמות הוא מאתגר אם רוצים לעשות זאת טוב.
202,Thank you to those people who have downloaded the latest update to Leasey.,.תודה לאותם אנשים שהורידו את העדכון האחרון של Leasey,תודה לאנשים שהורידו את העדכון האחרון של לייסי.
203,A few very small difficulties have come to light.,כמה קשיים קטנים מאוד צצו.,מספר קשיים קטנים מאוד התגלו.
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,"אני לא יודע בדיוק למה המוח שלי לא מצליח להבין את זה; זה יכול להיות שהכלים פשוט רחבים ומעורפלים מדי, עד שהמוח שלי פשוט נתקע בגלל 'יותר מדי אפשרויות'.","אני לא יודע בדיוק מדוע המוח שלי לא מצליח להבין את זה; ייתכן שהכלים פשוט רחבים ומעורפלים מדי, עד שהמוח שלי פשוט נתקע בשל 'יותר מדי אפשרויות'."
211,Grafana looks pretty.,גרפנה נראית די יפה.,גרפנה נראית יפה.
218,...And that's how I found myself having to sort out a raid group roster.,...וככה מצאתי את עצמי צריך לסדר את הרשימה של קבוצת הפשיטה.,רשימת קבוצת הפשיטה הייתה הדבר שנאלצתי לסדר.
220,"Then, life crushed my soul and I lost all my passion for fiction and great storytelling.","אז, החיים רמסו את נשמתי ואיבדתי את כל התשוקה שלי לבדיון ולסיפור סיפורים נהדר.","אז, החיים דיכאו את נשמתי וגרמו לי לאבד את כל התשוקה שלי לבדיון ולסיפור סיפורים מרתק."
222,I'm now on book # 31 and it's only May.,אני כבר בספר מספר 31 וזה רק מאי.,אני כבר בספר 31 והחודש רק מאי.
224,I haven't really achieved anything.,לא ממש השגתי שום דבר.,לא הצלחתי להשיג דבר.
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,תנו להם לשקם את הערים החלולות והרעועות ברחבי המדינה.,"שקמו את הערים החלולות והרעועות ברחבי המדינה, שוב."
233,Deport the white supremacists.,גרשו את תומכי העליונות הלבנה.,גרשו את הלאומנים הלבנים.
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""","אני כל כך עייף מהכותרות הטוענות ש""העבודה מרחוק מתה"" או ש""העבודה מרחוק הייתה ניסוי כושל"".","אני כל כך עייף מהכותרות הטוענות כי ""העבודה מרחוק מתה"" או ש""העבודה מרחוק הייתה ניסוי כושל""."
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,"כולם רק מחפשים כותרות מושכות, אבל זה מדאיג אותי לגבי המנהלים הבכירים והמנהלים שקוראים את המאמרים האלה.","המחפשים אחר כותרות מושכות מדאיגים אותי, במיוחד המנהלים הבכירים שקוראים את המאמרים האלה."
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,הוא מאפשר לאנשים להימנע מנסיעות ארוכות הגוזלות זמן מהיום שלהם ומהמשפחות שלהם.,אפשרות זו מאפשרת לאנשים להימנע מנסיעות ארוכות המקצרות את זמנם היומי ופוגעות בבילוי עם משפחותיהם.
243,To just ignore these facts is wrong.,להתעלם מעובדות אלה פשוט זה לא נכון.,אי התעלמות מעובדות אלה היא פשוט לא נכונה.
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.","פרקר התייחס להפלות, ולדחף של נשים עירוניות מודרניות לדחות את הולדת ילדיהן למען הקריירה שלהן.",פרקר התייחס להפלות ולהטייה של נשים עירוניות מודרניות לדחות הולדת ילדים למען קידום הקריירה שלהן.
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,הוא גם טוען שמפלגת ה-NDP והפרוגרסיבים רוצים לצמצם את אוכלוסיית החברה למען איכות הסביבה.,הוא גם טוען שמפלגת העבודה החדשה והפרוגרסיבים רוצים לדלל את האוכלוסייה למען איכות הסביבה.
252,Whenever May would pop up I dreaded trying to celebrate my bday.,"בכל פעם שמאי היה מגיע, פחדתי לנסות לחגוג את יום ההולדת שלי.","בכל פעם שחודש מאי היה מגיע, הייתי חושש לנסות לחגוג את יום הולדתי."
254,I fought over the years to get out of that mindset and to have better bdays.,נלחמתי במשך השנים לצאת מהמיינדסט הזה וכדי שיהיו לי ימי הולדת טובים יותר.,נלחמתי במשך השנים כדי לצאת ממיינדסט זה ולחוג ימי הולדת טובים יותר.
265,Does you know of a performant way for a web component to respond to being added/removed from a document?,האם אתה מכיר דרך יעילה עבור רכיב אינטרנט להגיב להוספה/הסרה ממסמך?,האם אתה מכיר דרך יעילה ומהירה עבור רכיב אינטרנט להגיב להוספה או הסרה ממסמך?
268,We currently use a MutationObserver hack.,אנחנו משתמשים כרגע בפתרון עוקף של MutationObserver.,אנחנו משתמשים כרגע בעוקב שינויים.
285,Last week got a ton done and feeling much better about field items.,בשבוע שעבר הספקתי המון ומרגיש הרבה יותר טוב לגבי פריטי השטח.,"בשבוע שעבר הצלחתי לעשות הרבה, ועכשיו אני מרגיש הרבה יותר טוב לגבי הפריטים בשטח."
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items","גם צריך לזרוע שורת סלט שם כדי לשלב ירקות חתוכים בשניהם יש צוות מיומן בהשקיה, הכנת ערוגות ושתילה שהם 90% מפריטי המיומנות שאינם קציר","שורת סלט צריך לזרוע כדי לשלב ירקות עלים חתוכים. יש לנו צוות מיומן בהשקיה, הכנת ערוגות ושתילה, שהם 90% מהמיומנויות שאינן קציר."
290,It's 2023 and I still see people with iPhones actively avoid using Apple Maps.,עדיין 2023 ואני עדיין רואה אנשים עם אייפונים נמנעים באופן אקטיבי משימוש ב-Apple Maps.,אנשים עם אייפונים עדיין נמנעים משימוש בתמונות אפל בשנת 2023.
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","סקרן, שמרתי על ראש פתוח כדי להשוות כיצד Google Maps ו-Apple Maps משתווים, במכשיר ה-iPhone הניסיוני שלי (מכשיר הנהיגה היומי שלי הוא מכשיר Android, אז זה נדיר שאני משתמש ב-iPhone).","המשתמש היומי שלי הוא מכשיר אנדרואיד, אז זה נדיר שאני משתמש ב-iPhone. בכל זאת, בדקתי והשוויתי את Google Maps ו-Apple Maps על מכשיר ה-iPhone שלי."
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,החוויה של מעקב אחר הוראות הנסיעה הייתה עדיפה בהרבה ב-Apple Maps בהשוואה ל-Google Maps.,החוויה של השימוש ב-Apple Maps לקבלת הוראות נסיעה הייתה הרבה יותר טובה בהשוואה ל-Google Maps.
298,Could it be that Google Maps got to market first?,ייתכן שגוגל מפות הגיעו לשוק ראשונות?,גוגל מפות הגיעו ראשונים לשוק?
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","אני משוחד לטובת לא לשחרר זבל למשתמשים הסופיים, ואפל פישלה בענק עם מפות Apple שלהם כשזה יצא ב-2012.","אני מטה לכך שלא לשחרר תוכן לקוי למשתמשים, וחברת אפל נכשלה בצורה חמורה עם מפות Apple שלהם כשאלה יצאו לשוק ב-2012."
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,אבל זו הקרקע שהופכת אותה לאמצעי טוב לאחסון עושר כל עוד אתה חושב שהממשלה לא הולכת לשנות את המערכת שבה אנו חיים.,"הקרקע היא זו שהופכת אותה למקום טוב לאחסון עושר, כל עוד אתה חושב שהממשלה לא תשנה את המערכת שבה אנו חיים."
307,A lot of ppl think that they literally own the earth when they buy a piece.,הרבה אנשים חושבים שהם ממש הבעלים של כדור הארץ כשהם קונים חלקה.,הרבה אנשים חושבים שהם שולטים בכדור הארץ כשהם רוכשים חלק ממנו.
312,The land is temporary.,האדמה זמנית.,הקרקע היא זמנית.
314,The land is very easily and quickly taken away by the government one day if they want to do that.,הקרקע יכולה להילקח בקלות ובמהירות על ידי הממשלה יום אחד אם הם ירצו לעשות זאת.,הממשלה יכולה לקחת את הקרקע בקלות ובמהירות בכל עת אם הם ירצו לעשות זאת.
317,It has to be taken away one day.,.זה חייב להילקח יום אחד,זה יילקח יום אחד.
318,That's why the Chinese only allow leases.,לכן הסינים מאפשרים רק חכירות.,חוזי שכירות הם הדרך היחידה שבה הסינים מאפשרים לאנשים להתגורר במקרקעין.
319,They already ran out of land.,הם כבר נגמרו מהקרקע.,הם כבר אזלו את הקרקע הזמינה.
320,"To success, the realization of dreams, friendship, to the simple but true!!","לְהַצלָחָה, לְהַגשָמַת הַחֲלוֹמוֹת, לִידִידוּת, לַפָּשוּט אֲבָל הָאֲמִיתִי!!","להצלחה, להגשמת החלומות, לידידות, לפשוט אך אמיתי!"
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.","לכל המשקיעים שנמצאים שם בחוץ, אני מרים כוסית לכבוד ההצלחה שלכם ולהגשמת החלומות שלכם.","לכל המשקיעים, אני מברך על הצלחתכם ועל הגשמת חלומותיכם."
323,"And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment.","ולכל חבריי, חדשים וותיקים, הבה נוקיר את הדברים הפשוטים אך האמיתיים בחיים המביאים לנו שמחה וסיפוק.","ולחברי, חדשים וותיקים, נעריך את הדברים הפשוטים אך האמיתיים בחיים שמביאים לנו שמחה וסיפוק."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,אני תוהה לעתים קרובות על היכולת האנושית להיות *כל כך* קשה כלפי עצמך בזמן שמוצף בכל כך הרבה ראיות למראה של אכזריות אמיתית.,"אני לעתים תוהה על היכולת האנושית להיות *כל כך* קשה כלפי עצמנו, בעודנו מוצפים בכל כך הרבה ראיות למה שאכזריות אמיתית נראית."
