index,original,translated,design_and_markup_annotation
65,It can't be repeated.,それを繰り返すことはできません。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&gt;`, making it malformed."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました。,"Source (English):
I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.

Translation (Japanese):
昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました。

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - No design or markup errors detected in the Japanese translation."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",私はこれまでほとんどすべての「人道的」な罠を試してきましたが、あまり成功していません。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
74,"They aren't, at least not in Alberta.",それらはそうではありません、少なくともアルバータでは。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

それらはそうではありません、少なくともアルバータ[で は]MARKUP TAG。"
75,Sure they cut business taxes.,はい、彼らは企業税を削減しました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

はい、彼らは企業税を削減しました。"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",グラスゴーに彼を降ろすだけです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `>` in the target text, causing it to be malformed."
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.","""グラスゴーに彼を降ろすだけです""と、チケット販売員は言った。","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` in the translation, causing it to be malformed."
90,And they are truly nuts.,そして、彼らは本当にナッツです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&#12288;`, making it malformed.

The annotated translation is as follows:

そして、彼らは本当に[ナッツ]&#12288;MARKUP TAGです。"
95,Yell back at those who would try to talk over us.,怒鳴り返せ、私たちを押し黙らせようとする者たちに。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` in the target text, causing it to be malformed."
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私は同時に家に着き、私は通りを隔てた向こうから彼がCOVID-19の痰を激しく咳き上げているのが聞こえました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `COVID-19` and `COVID` cause them to be malformed."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000の苦しみの後、Ylは愛の場所に自分を見出し、どうしていいかわからない大きな感情に満ちています。","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&#91;` and `&gt;` cause them to be malformed."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンとの騒動は、はなはだしい大失態でした。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `#` for the hashtag `#MangoMoron`."
113,A cold front should arrive by the middle of next week.,来週の中旬までに寒冷前線が到着するはずです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains a whitespace inserted within the escaped HTML character ""&#gt;"", making it malformed."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",早朝、赤外線衛星と地上観測により、低層ストラタスと散在する<URL>の範囲が拡大していることが示されました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `<URL>` in the target text."
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけ、その専門知識を活用してCRMへの投資の価値を最大化する。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーが実装、カスタマイズ、統合、継続的なサポートを通じてあなたの事業がSalesforceのエコシステムで繁栄できるよう支援することを発見してください。,"Source (English):
Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.

Translation (Japanese):
Salesforceパートナーが実装、カスタマイズ、統合、継続的なサポートを通じてあなたの事業がSalesforceのエコシステムで繁栄できるよう支援することを発見してください。

MQM annotations:
design and markup errors:
[minor]: markup_tag - The Japanese translation uses the HTML entity `[& gt ;]` instead of the correct `>` character for the greater-than symbol."
137,But another individual often flies aboard that ship.,その船に別の個人がしばしば乗っている。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `>`, making it malformed."
142,The Last of Us is an easy and canonical example of dad-ification.,最後のわれわれは、父親化の簡単で典型的な例です。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains whitespaces inserted within the escaped HTML character `&gt;`, making the markup tag malformed.

The corrected translation should be:
最後のわれわれは、父親化の簡単で典型的な例です。"
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父親化は通常、親の立場の人物が子供や子供の代替物を世話したり保護しなければならない状況の解決策として、圧倒的な力と、その力を使って非常に特定の形の力動学を強要することを主張する。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
147,Here's a quick overview of how to make use of our website.,ウェブサイトの使い方の概要はこちらです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
148,- We send out notifications when airfare goes on sale.,航空券が値下がりした際に通知を送信します。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

航空券が値下がりした際に通知を送信します。"
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,ウクライナの子供たちは平和で安全な環境で育つ権利がある。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
159,Over time dart became my go-to for quick UI.,ダートは時間とともに私のクイックUIの定番になりました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

ダートは時間とともに私のクイックUIの定番になりました。"
166,Their tail is extremely thick.,しっぽはとてもふさふさです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses the word ""しっぽはとてもふさふさです。"" which contains the word ""しっぽ"" to represent ""tail"", but the formatting of the emoji or special character representing the ""tail"" is different from the source text."
168,Their eyes are pear and they wear scarlet cateye glasses.,彼らの目は梨色で、緋色のキャットアイグラスを着用しています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text uses the Japanese character ""緋色"" (scarlet) instead of the English word ""scarlet"" used in the source text. This change in the format of the color term may be considered a markup error."
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",愛吸血鬼,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",現実生活では、私が何年も前に作った謎解きゲームを、私の母は好きだと言っていました。そして、ほとんどの秘密を自分で見つけ出したので、単に母親としての立場から言っているのではありませんでした。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",我需要把这个从英语翻译成中文和福建话。,"抱歉,我无法翻译英语到中文或福建话,因为我没有这些语言的能力。但是,我可以根据您提供的指南,对机器翻译中的设计和标记错误进行注释。

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - 在目标文本中,表情符号的格式与源文本不匹配。"
179,Been toying with this thought for a little while:,少し前からこの考えを遊んでいます。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""少し前からこの考えを[遊]MARKUP TAG んでいます。""."
180,"Mental health is often seen as something separate from ""regular"" health.",精神的健康は、「通常の」健康とは別のものと見なされることが多い。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
182,Because it happens in the mind and seems less tangible than physical health.,心の中で起こるため、身体的な健康よりも目に見えにくいです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
194,Very much worth having a go at.,とても挑戦する価値があります。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `とても挑戦する価値[& nbsp ;]があります。` cause them to be malformed."
196,Playing around a bit with Flutter.,フラッターで少し遊んでいます。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",私は正直に言って、Googleのテクノロジーをベースにしてビジネスを行うのは嫌です。一方で、Googleは魅力的なクロスプラットフォーム体験を作り出すための真の動機を持つ数少ない大手企業の1つであり、それが明らかになっています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,私はそのようなコメントを控えさせていただきます。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
200,Cross platform is hard if you want to do it well.,クロスプラットフォームは、うまくやりたい場合は難しい。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `クロスプラットフォームは、うまくやりたい場合は難しい。`."
202,Thank you to those people who have downloaded the latest update to Leasey.,ありがとうございます。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation does not contain any markup tags or formatting, while the English source text mentions ""the latest update to Leasey"". The lack of this information in the translation may impact the overall design and presentation of the content."
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,私の脳がそれを解き明かすことができないのはなぜかよくわかりません。ツールが非常に広範囲で曖昧であるため、選択肢が多すぎて脳がハードロックしてしまうのかもしれません。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
211,Grafana looks pretty.,グラファナはきれいです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""",そして新しい#FFXIV レイド層が近づいてきたので、「本格的なレイドに挑戦したいけど、パーティファインダーは大混乱そうだし、自分を受け入れてくれるスタティックは見つからないだろう」と長い間考えていました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!",人々で溢れており、レイド固定に参加することに不安を感じているが、全く上手くできるとは期待していない。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed."
219,I was a voracious reader in my youth.,私は若い頃、貪欲な読書家でした。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses a full-width square bracket `[ ]` to enclose the emoji, which differs from the source text format."
227,They're not gonna talk about this on Bloomberg!,彼らはこれについてBloombergで話すつもりはありません。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&gt;`, making it malformed."
228,"But if Spotify has a good quarter, they will.",しかし、Spotifyが良い四半期を過ごせば、彼らは。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The target text is missing the closing bracket for the Japanese sentence, making it incomplete and affecting the overall understanding.

The annotated translation would be:

しかし、Spotifyが良い四半期を過ごせば、彼らは[。]MARKUP TAG"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,彼らにその国中の空洞化し、朽ち果てた都市を再生させるよう任せなさい。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
231,These people want to improve their lives.,これらの人々は自分の生活を改善したいと考えています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&gt;`, making it malformed."
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""",「リモートワークは死んだ」や「リモートワークは失敗した実験だった」と主張するヘッドラインに疲れてしまいました。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
243,To just ignore these facts is wrong.,事実を無視するのは間違っています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

事実を無視するのは間違っています。"
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.",パーカーは中絶と、キャリアのために子供を遅らせる現代の都市女性の衝動について言及した。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
255,It took years of changing my life and working hard but finally...,人生を変え、懸命に働いた年月の末に、ついに...,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
264,I will zip the lining into my cycle jacket - just in case I need it inside.,私のサイクルジャケットの裏地にファスナーをつけます - 必要になった場合に備えて。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `[& gt ;]` cause them to be malformed."
266,This is for Wikipedia's component library (OOUI).,これはウィキペディアのコンポーネントライブラリ(OOUI)のためのものです。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed.
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",一時的な親要素を作成し、そこにMOをインストールし、それが分離されていくのを観察する。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `>` and `<` in the target text, causing them to be malformed."
276,He's just absolutely ripped from tearing around my office twice a day.,彼は1日2回私の事務所を走り回ることで完全に引き締まっている。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

彼は1日2回私の事務所を走り回ることで完全に引き締まっている。"
278,It makes me so happy to see him thriving.,それを見て私はとても幸せです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses square brackets `[]` to enclose the emoji, which is different from the source text format."
285,Last week got a ton done and feeling much better about field items.,先週は大量の仕事を完了し、フィールド項目についてもずっと良い気分になっています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
286,"All collards, kale, chard is transplanted.",全てのコラード、ケール、チャードは移植されます。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation is as follows:

全てのコラード、ケール、チャードは移植されます。"
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items",そこにサラダの列を播種する必要もあり、両方に切り込んだグリーンを統合する。灌漑、ベッド準備、移植の訓練を受けた乗組員がいる。収穫以外のスキル項目の90%がこれらです。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML characters in the target text contain extra whitespaces, making them malformed.

The source text is:
""Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items""

The translation in Japanese is:
""そこにサラダの列を播種する必要もあり、両方に切り込んだグリーンを統合する。灌漑、ベッド準備、移植の訓練を受けた乗組員がいる。収穫以外のスキル項目の90%がこれらです。""

The design and markup errors are:
[Major]: MARKUP TAG - The escaped HTML characters ""& gt ;"" (greater than symbol) contain extra whitespaces, making them malformed."
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,アップルマップスではグーグルマップスに比べて、指示に従う必要があった経験がはるかに優れていた。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
295,Apple Maps wins.,アップルマップスが勝った。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&#12288;` for the Japanese space character, which makes the markup malformed.

The annotated translation would be:

アップルマップス[&#12288;]MARKUP TAGが勝った。"
302,"That said, I'm biased.",それでも、私は偏っています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` cause it to be malformed."
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,それは、政府が私たちが生活しているシステムを変更しないと考えている限り、富を長期的に保管する良い場所であるということです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `""政府が私たちが生活しているシステムを変更しない[と]MARKUP TAG 考えている限り""` cause them to be malformed."
309,In China you can only lease land.,中国では土地を借りることしかできません。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains a malformed HTML entity with extra whitespace, e.g., ""[ & gt ;]"" instead of ""&gt;""."
312,The land is temporary.,土地は一時的です。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses the HTML entity `&gt;` instead of the correct Japanese character `>` for the ""greater than"" symbol."
318,That's why the Chinese only allow leases.,それが中国人が賃貸のみを許可する理由です。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&gt;`, making it malformed."
322,Let us continue to work together towards creating a brighter future for all.,私たちは全ての人のためのより良い未来を創造するために、これからも協力し続けましょう。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `>` cause them to be malformed."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,自分に対してあまりにも厳しくなりながら、実際の残酷さがどのようなものかを示す多くの証拠に溢れていることに、私はしばしば驚嘆する。,"Source (English):
I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.

Translation (Japanese):
自分に対してあまりにも厳しくなりながら、実際の残酷さがどのようなものかを示す多くの証拠に溢れていることに、私はしばしば驚嘆する。

MQM annotations:
design and markup errors:
No design or markup errors found."
326,"To agonize over personal failure & guilt in a world where ""success"" is so often bestowed on people responsible for the most reprehensible acts...",個人の失敗や罪悪感に苦しむことは、最も非難されるべき行為の責任者に「成功」が与えられることの多い世界においては...,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `""&gt;""` cause them to be malformed."
332,"or ""Modal editors are useless today"" :morty:",モーダルエディターは今日無用です,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The emoji format in the target text does not match the source text."
333,"Me extracting functionality of my #Axum projects into shared libraries: ""Hold my keyboard"" :partyparrot: :helix: :ferrisdance:","私のAxumプロジェクトの機能を共有ライブラリに抽出する: ""キーボードを持ってて"" :partyparrot: :helix: :ferrisdance:","MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The emoji format in the target text does not match the source text.
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
337,The prompt this week on Revelations is Stay up all night.,今週のRevelationsのプロンプトは「一晩中起きていろ」です。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `""一晩中""` causes it to be malformed."
339,It is definitely more romance than filth.,それは間違いなくより多くのロマンスであり、汚れではありません。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` cause it to be malformed."
