index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
104,Framework computer program and assistant program must follow to level 2 benchmarks.,System software and support software shall meet the requirements of achieving Level 2.,System software and supporting software should meet the Level 2 requirements.,System software and supporting software should meet the requirements for achieving Level 2.,0.0188,0.0206,0.0188,0.0826,0.2148,0.0826,0.6362,0.6226,0.6739,0.8206,0.822,0.8216
105,"Note: Working frameworks, database administration frameworks, and middleware are cases of framework program and supporting program. But they are not the as it were ones (see GB/Work 36475 for points of interest on computer program item classification).","Note: System software and supporting software include, but are not limited to, operating systems, database management systems, and middleware (see GB/T 36475 for information on the classification of software products).","Note: System software and supporting software include but are not limited to operating systems, database management systems, middleware (see GB/ 工 36475 for information on software product classification).","Note: System software and supporting software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).",0.0488,0.0447,0.057,0.2787,0.2782,0.2657,0.5335,0.482,0.532,0.7656,0.7465,0.7663
107,Execution level 3 contains execution level 2.,Achieving Level 3 includes achieving Level 2.,Implementation Level 3 includes Implementation Level 2.,Implementation Level 3 includes Implementation Level 2.,0.065,0.065,0.065,0.5357,0.5357,0.5357,0.7438,0.7592,0.7592,0.691,0.7774,0.7774
109,Things utilized for open and administrative administrations must follow to level 3 determinations.,Products used for government services and public services should meet the requirements of implementation level 3.,Products for government services and public services should meet the requirements of Implementation Level 3.,Products for government services and public services should meet the requirements of Implementation Level hui 3.,0.0306,0.0174,0.0163,0.1128,0.1136,0.1128,0.6505,0.6091,0.5773,0.7597,0.7375,0.6919
111,Reference section A (Regulating),Appendix A (Normative),Appendix A (normative),Appendix A (normative),0.1029,0.1029,0.1029,0.1282,0.1282,0.1282,0.5966,0.5216,0.5216,0.7018,0.7038,0.7038
112,twofold character table,Double-byte character set,Double-Byte Character Table,Double Character Table,0.1136,0.0,0.0,0.1667,0.625,0.625,0.5646,0.5979,0.5601,0.6866,0.6583,0.7803
115,A.2 Clarification of the table,Table Description,A.2 Explanation of the table,A.2 Explanation of the table,0.0,0.2857,0.2857,0.1064,0.75,0.75,0.3376,0.7529,0.7529,0.6348,0.9175,0.9175
117,The primary and moment bytes are moo,Lower bits of the second byte of the first byte,First byte and the low bit of the second byte,"First byte, low bit of the second byte",0.0,0.0211,0.0,0.2055,0.5096,0.4445,0.2727,0.3684,0.306,0.5541,0.6162,0.6128
121,Ideographic descriptor,Ideographic Description Sequence,Ideographic character descriptor,Ideographic character descriptor,0.1136,0.1351,0.1351,0.2381,0.4762,0.4762,0.6088,0.7262,0.7262,0.6138,0.9192,0.9192
124,"Table B.1 gives utilitarian, realistic, and code-location definitions of ideographic descriptors","Table B.1: Glyphs, Code Positions, and Functional Descriptions of Ideographic Descriptors","Table B.1: Graphics, Code Positions, and Functional Descriptions of Ideographic Character Descriptors","Table B.1: Graphics, Code Positions, and Functional Descriptions of Ideographic Character Descriptors",0.0473,0.0437,0.0437,0.4055,0.3351,0.3351,0.5445,0.5548,0.5548,0.7082,0.7002,0.7002
125,"In terms of work portrayal, the code focuses in this report are comparable to those in GB/T 13000 and are utilized to communicate outside characters by appropriating a particular word","The code positions in this document have similar but not identical functional descriptions to the code positions in GB/T 13000, and are used to express foreign characters by borrowing a character.",The functional description of the code points in this document is similar but not identical to that of the code points in GB/T 13000 and is used for representing external characters by borrowing certain characters.,"The functional description of the code points in this document is similar but not identical to that of the code points in GB/T 13000, used for representing external characters by borrowing certain characters.",0.055,0.1005,0.0467,0.4033,0.393,0.3163,0.5119,0.5218,0.5048,0.6752,0.7143,0.7139
130,Completely encased structure,Fully enclosed structure.,fully enclosed structure,Full enclosure structure,0.0803,0.1136,0.1136,0.0,0.1667,0.1667,0.7482,0.6676,0.7557,0.7568,0.7869,0.7063
133,Back right encasing structure,Right enveloping structure,Top and right enclosure,Top-right enclosing structure,0.0814,0.0803,0.0814,0.2564,0.125,0.1282,0.5388,0.3885,0.5338,0.6429,0.6171,0.6777
136,Return to the upper right walled in area,Right-upper enveloping structure.,Hui upper-right enclosure,Upper right enclosing structure,0.0,0.0,0.0296,0.0,0.0,0.2467,0.4433,0.434,0.4808,0.5019,0.4998,0.5979
140,C.1 Substance of the table,C.1 Table Contents,Contents of Table C.1,Contents of Table C.1,0.0583,0.0744,0.0744,0.2083,0.3061,0.3061,0.7155,0.7022,0.7022,0.8114,0.8185,0.8185
145,18 GB/T 13000 code places were balanced in D.1,D.1 Adjusted 18 GB/T 13000 code positions,D.1 Adjusted GB/T 13000 code positions (18),D.1 18 adjusted GB/T 13000 code positions,0.3267,0.1349,0.1396,0.55,0.4261,0.5068,0.6122,0.6124,0.5949,0.7569,0.7225,0.7356
148,The GB/T 13000 code point related to this record is this archive and GB 18030-2005,This document and GB 18030-2005's GB/T 13000 code points corresponding to GB 18030-2005.,"The GB/T 13000 code points corresponding to this document, which correspond to GB 18030-2005.","The GB/T 13000 code points corresponding to this document, which correspond to GB 18030-2005.",0.1143,0.2069,0.2069,0.4746,0.5034,0.5034,0.6243,0.7122,0.7122,0.7077,0.7612,0.7612
149,"D.2 Within the Shuangzi Wen locale, six Chinese character components have been expelled",Six Chinese character components deleted from the double-word area.,D.2 6 Chinese character components deleted from the two-character spacing area.,D.2 6 Chinese character components deleted in the two-character area.,0.0752,0.0811,0.0807,0.3841,0.4395,0.4429,0.3712,0.4517,0.4222,0.5528,0.5077,0.5678
151,D.3 Lower Twofold Word Region Evacuated 9 CJK Compliant Chinese Characters,D.3 Nine CJK Compatibility Ideographs deleted from the double-word subarea.,D.3 9 CJK Compatibility Ideographs deleted from the lower range of the double-byte character space.,D.3 9 CJK Compatibility Ideographs deleted from the lower double-byte area.,0.0224,0.0288,0.0399,0.2345,0.3263,0.2869,0.492,0.4798,0.5064,0.6363,0.6397,0.6402
153,Table D.3: Code Areas for the Expelled Nine CJK Compliant Chinese Characters,Table D.3: The 9 CJK Compatibility Ideographs that were removed and their code points.,Table D.3: The 9 deleted CJK Compatibility Ideographs and their code points,Table D.3: The 9 deleted CJK Compatibility Ideographs and their code points,0.0654,0.0826,0.0826,0.4189,0.3553,0.3553,0.5473,0.5517,0.5517,0.7032,0.6975,0.6975
154,"Open reference sections (instructive) Chinese characters' ""Common Standard Chinese Character List"" code positions",Appendix A (Informative) Code Positions of Characters in the *Table of General Standard Chinese Characters*,"Appendix K (Informative) Code Positions in the ""Table of General Standard Chinese Characters""","Appendix K (Informative) Code Positions of the Chinese Characters in the ""Table of General Standard Chinese Characters""",0.0256,0.0302,0.0264,0.3379,0.2885,0.3814,0.5701,0.5211,0.5696,0.7477,0.7394,0.7336
155,"This archive incorporates all 8,105 standardized Chinese characters from the 2013 discharge of the People's Republic of China's State Council's Fourth Common Standardized Chinese Character List, their code areas and glyphs are recorded in Table 1.","This document contains all 8105 standardized Chinese characters from the ""Table of General Standard Chinese Characters,"" approved and released by the State Council of the People's Republic of China in 2013. Their code positions and glyphs are shown in Table 1.","This document includes all 8105 standardized Chinese characters from the 'Table of General Standard Chinese Characters', which was approved and published by the State Council of the People's Republic of China in 2013. Their code points and glyphs are shown in Table 1.","This document includes all 8105 standardized Chinese characters from the 'Table of General Standard Chinese Characters', approved and published by the State Council of the People's Republic of China in 2013. Their code points and glyphs are shown in Table 1.",0.2969,0.2905,0.3036,0.6259,0.6225,0.6259,0.7215,0.7122,0.7177,0.83,0.8307,0.8307
159,GB/Work 36475 Computer program Item Classification,GB/T 36475 Software product classification,GB/T 36475 Software Product Classification,GB/ 工 36475 Software Product Classification,0.044,0.0523,0.0485,0.1695,0.1695,0.1667,0.6578,0.6225,0.5413,0.8118,0.8187,0.7902
163,Check the Data area in the event that you find a contrast between the man page and the program,"If you find contradictions between the man pages and the software, please check the Info documentation.","If you find a contradiction between the manual pages and the software, please consult Info.","If you find a contradiction between the manual pages and the software, please consult Info.",0.0769,0.0744,0.0744,0.443,0.4188,0.4188,0.5994,0.5385,0.5385,0.7396,0.7589,0.7589
170,The dialect sort and ensuing operations are shown by the post-level title of the source record:,The source file extension indicates the language type and subsequent operations.,The source file extension indicates the language type and subsequent operations:,The source file extension indicates the language type and subsequent operations.,0.0168,0.0176,0.0168,0.129,0.129,0.129,0.4955,0.505,0.4955,0.7323,0.7523,0.7323
171,".C source code that does preprocessing, compilation, and gathering",".c C source program; preprocessing, compilation, assembly",".c C source code; preprocessing, compilation, assembly",".c C source code; preprocessing, compilation, assembly",0.2513,0.2827,0.2827,0.3587,0.3587,0.3587,0.6199,0.6458,0.6458,0.8617,0.8749,0.8749
175,"Preprocessing, compilation, and gathering for the.m Objective-C source program",".m Objective-C source code; preprocessing, compilation, assembly",".m Objective-C source code; preprocessing, compilation, assembly.",".m Objective-C source code; preprocessing, compilation, assembly.",0.1188,0.1173,0.1173,0.4261,0.4261,0.4261,0.6238,0.6502,0.6502,0.8358,0.8217,0.8217
176,"Preprocessing, compilation, and gathering for the.m Objective-C source program",".i Preprocessed C file; compile, assemble.",.i preprocessed C file; compilation and assembly,".i preprocessed C file; compilation, assembly",0.0192,0.0227,0.0404,0.0,0.0568,0.0575,0.4619,0.4485,0.4153,0.6237,0.6667,0.6694
182,.a File record (Document record),.a archive library file,.a archive file (Archive file),.a archive file (Archive file),0.038,0.0435,0.0435,0.2041,0.2,0.2,0.5443,0.5918,0.5918,0.7013,0.807,0.807
183,"Within the nonattendance of the -cec, -s, or -E choices, connecting is continuously the final step (or compilation blunders avoid the total prepare).","Linking is always the last step unless the -cec, -s, or -E options are used (or compilation errors prevent the complete process).","Unless the -cec, -s, or -E options are used (or a compilation error prevents the process from completing), linking is always the final step.","Unless the -cec, -s, or -E options are used (or a compilation error prevents the complete process), linking is always the final step.",0.2795,0.2773,0.2874,0.5234,0.4679,0.47,0.639,0.6403,0.6548,0.7331,0.7392,0.7329
185,"Parameters must be indicated separately since ""de"" and ""-d -r"" are totally diverse.",The option must be given separately: 'de' is completely different from `-d -r`.,Options must be specified separately: `de '` is completely different from `-d -r`.,Options must be specified separately: 'completely different from' `-d -r`.,0.0358,0.035,0.0358,0.1442,0.1442,0.1476,0.6451,0.6808,0.5358,0.7723,0.7481,0.6478
187,"Here, as it were designs that are not among the standard choices are recorded.",Only the non-default format options are listed here.,Only non-default formats are listed here.,Only formats that are not default options are listed here.,0.0145,0.0109,0.0673,0.0746,0.0379,0.2757,0.5163,0.5008,0.5739,0.6188,0.5895,0.6483
190,In general Choice,Overall Option,General Option,Overall Option,0.0,0.0,0.0,0.0,0.1724,0.0,0.5427,0.653,0.5427,0.671,0.7906,0.671
191,Demonstrate clearly that dialect is the dialect of any extra input records (rather than the default choice from the conclusion of the filename).,Explicitly specify that the language of the following input file is language (instead of the default selection derived from the file name suffix).,Explicitly specify the language of the following input file as language (rather than the default derived from the filename extension).,Explicitly specify the language of the following input file as language (rather than the default derived from the filename extension).,0.0353,0.2081,0.2081,0.2391,0.28,0.28,0.5371,0.5555,0.5555,0.8116,0.8338,0.8338
193,"To guarantee that taking after records are handled in agreement with the record title RE AS E ""-x"" choice, cripple any express dialect determination.","Close any explicit language specification, and process subsequent files according to the filename extension (just like the `-x' option).","Disable any explicit specification of language; therefore, subsequent files are processed based on the filename suffix, using the `-x` option (RE AS E).","Disable any explicit specification of language; therefore, subsequent files are processed based on the filename suffix (the RE AS E `-x` option).",0.01,0.0393,0.0422,0.0851,0.0837,0.2148,0.4092,0.4958,0.5144,0.5805,0.6264,0.653
194,"You'll be able utilize the ""-x"" choice (or Ok taking after the record title) to tell Geo where to begin in the event that you fair work a parcel of the four phases (preprocessing, compilation, get together, and connecting). You'll utilize the “-c,” “-s,” or the “-E” alternative to tell Geo where to end, be mindful that a few choices, such “-x cpp-output -E,” cause MEF to break even with 0, ETER, compile or put together source records. ATI Period GCC substitutes the source record title by default with "".o"" and "".ec."" The -o alternative permits the choice of extra names, after the -ec alternative, GCC overlooks any unrecognized input content. -S F anything.","If you only operate on a subset of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or `Ah` after the filename) to tell geo where to start, and the `~-c`, `-s`, or `-E` options to tell geo where to end. Note that some option combinations (e.g., `-x cpp-output -E`) {i gee MEF =c compile or assemble source files, ETER. ERA ATI. By default, GCC replaces the source filename suffix `.ec` with `.o` to name the object file. You can use the `-o` option to choose a different name. GCC ignores any unrecognized input files after the `-ec` option. -S F anything.","If you only want to perform some of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or the filename suffix) to tell gcc where to start, and use the `-c`, `-S`, or `-E` options to tell gcc where to stop. Note, some option combinations (for example, `-x cpp-output -E'`). By default, GCC forms the output filename by replacing the source filename suffix (like `.c`) with `.o`. You can use the `-o` option to choose another name. GCC ignores any unrecognized input files following the argument to the `-o` option.","If you only want to perform some of the four stages (preprocessing, compilation, assembly, linking), you can use the `-x` option (or the filename suffix) to tell gcc where to start, and use the `-c`, `-S`, or `-E` options to tell gcc where to stop. Note, some option combinations (for example, `-x cpp-output -E'). By default, GCC forms the output filename by replacing the source filename suffix (like `.c`) with `.o`. You can use the `-o` option to choose another name. GCC ignores any unrecognized input files following the argument to the `-o` option.",0.1188,0.0789,0.0788,0.354,0.2132,0.2132,0.3525,0.3661,0.3647,0.7198,0.7058,0.7054
