index,original,single_agent_translation,single_agent_improved_translation
64,The ratings--seeking delusional irresponsibility of it all.,"Стремление к рейтингам, бредовая безответственность всего этого.",Стремление к рейтингам — бредовая безответственность всего этого.
65,It can't be repeated.,Этого не повторить.,Этого нельзя повторить.
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень продуваемый подвал, а это, по сути, значит, что у меня может укрыться много грызунов.","У меня очень сквозной подвал, а это, по сути, значит, что там может укрыться много грызунов."
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","В последнее время появилось много признаков увеличения количества грызунов, что особенно удивительно, поскольку сейчас весна, и я думал, что с изменением погоды они выберутся на улицу.","В последнее время появилось много признаков увеличения популяции грызунов, что особенно удивительно, так как сейчас весна, и я ожидал, что с наступлением тепла они выберутся на улицу."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","К слову, я перепробовал практически все представленные на рынке ""гуманные"" ловушки, но с очень небольшим успехом.","К слову, я перепробовал почти все ""гуманные"" ловушки, имеющиеся в продаже, но безуспешно."
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно рад их убивать, но я не буду принимать комментарии об этичности убийства мышей.","Я не в восторге от их убийства, но не собираюсь принимать комментарии по поводу этичности убийства мышей."
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, стимулирующие деловую активность.","Но они также урезали гранты и налоговые льготы, которые стимулируют деловую активность."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx больше не существует, хотя это была бы гонка на самое дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","Это верно и сейчас, когда goatse.cx больше не существует, хотя это было бы соревнование, кто хуже, между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое Венди мне прислала."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","В первом утреннем поезде контролер посмотрел на наши билеты и сказал: ""Долгая дорога!"".","В первом утреннем поезде контролер посмотрел наши билеты и сказал: ""Долгая поездка!""."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто высаживаю его в Глазго,"" попытался я объяснить, указывая на моего попутчика.","""Я просто высаживаю его в Глазго,"" попытался я объяснить, показывая на моего попутчика."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"Что окончательно убедило меня прошлой ночью, так это то, что нам нужно быть готовыми дать отпор трампизму.","Что окончательно убедило меня прошлой ночью, так это необходимость быть готовыми дать отпор трампизму."
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, в котором никто особо не заинтересован, кроме фанатиков, которые в нём состоят.","Это культ, который никому особо не нужен, кроме фанатиков, в нём состоящих."
90,And they are truly nuts.,И они совершенно чокнутые.,И они действительно чокнутые.
94,Get some bumper stickers that are anti-Trump and plaster them all over.,Купи антитрамповские наклейки на бампер и обклей ими всё.,Купите антитрамповские наклейки на бампер и обклейте ими всё вокруг.
95,Yell back at those who would try to talk over us.,"Отвечайте криком тем, кто пытается нас перекричать.","Отвечайте криком тем, кто пытается нас заглушить."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Не принято появляться на людях или подбегать к людям, когда у вас сильный кашель с мокротой.","Не принято появляться на людях или подходить к ним, когда у вас сильный кашель с мокротой."
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down.,"Джейн причинит тебе боль, прежде чем позволит увидеть, что больно ей, и смеется больше всего, когда все идет кувырком.","Джейн причинит тебе боль, прежде чем позволит тебе увидеть, что больно ей, и смеется громче всего, когда все идет кувырком."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","После 4000 [чего-то] бедствий Йл оказывается в месте любви и испытывает огромные чувства, с которыми не знает, что делать, так что там много всего [обоего/и того и другого].","После 4000 страданий Йл оказывается в месте, полном любви, и испытывает такие сильные эмоции, что не знает, что с ними делать, поэтому там всего этого очень много."
108,#CNN needs to just close down.,CNN нужно просто закрыться.,CNN следует просто закрыть.
110,"Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience?","Кто в этой жалкой, умирающей сети был ответственен за проверку так называемых ""независимых избирателей"" в аудитории?","Кто в этой жалкой, умирающей сети отвечал за проверку так называемых ""независимых избирателей"" в зале?"
113,A cold front should arrive by the middle of next week.,Холодный фронт должен прибыть к середине следующей недели.,Холодный фронт должен прибыть к середине следующей недели.
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",Сегодня рано утром данные с инфракрасных спутников и наземные наблюдения указывали на расширяющуюся область низкого слоистого облака и прерывистые/пятнистые <URL>.,Сегодня рано утром данные с инфракрасных спутников и наземные наблюдения указывали на расширяющуюся область низкой слоистой облачности и отдельные участки <URL>.
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.","Ботаник Арни Каннингем влюбляется в Кристину, ржавый Plymouth Fury 1958 года, и становится одержим идеей вернуть классическому автомобилю её былое великолепие.","Ботаник Арни Каннингем влюбляется в «Кристину», ржавый Plymouth Fury 1958 года, и становится одержим идеей вернуть классическому автомобилю её былое великолепие."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","Как меняется машина, так меняется и Арни, чья новообретенная уверенность за рулем его экзотической красавицы перерастает в высокомерие.","Как меняется машина, так меняется и Арни: его новообретенная уверенность за рулем экзотической красавицы переходит в высокомерие."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,"Самое безумное в том, что мои соседи ополчились против меня, это думать о том, сколько усилий нужно, чтобы быть враждебным.","Самое безумное в том, что мои соседи ополчились против меня, — это думать о том, сколько усилий требуется, чтобы быть враждебным."
126,It hurts but you gotta do you.,"Больно, но ты должен делать то, что считаешь нужным.","Больно, но ты должен поступать так, как считаешь нужным."
127,But at this point the open hostility and violence is getting worse.,Но на данный момент открытая враждебность и насилие усугубляются.,Но на данный момент открытая враждебность и насилие продолжают нарастать.
131,And I still have NO IDEA what I could have possibly done to deserve this.,"И я до сих пор ПОНЯТИЯ НЕ ИМЕЮ, чем я мог/могла заслужить это.","И я до сих пор ПОНЯТИЯ НЕ ИМЕЮ, чем я мог/могла это заслужить."
133,That vessel is off-limits.,Доступ к этому судну запрещён.,Доступ к этому судну запрещен.
135,She is irrelevant to me.,Она мне безразлична.,Она для меня не имеет значения.
139,I gripe about dad-ification a lot.,"Я часто ворчу по поводу ""отцовства"".","Я часто ворчу по поводу того, как становлюсь похожим на отца."
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"Вот (чуть более длинный, чем) краткий курс в стиле ""тут"", объясняющий, что я подразумеваю под ""папа-фикацией"":","Вот краткий (чуть длиннее, чем пост в Mastodon) ликбез о том, что я подразумеваю под «отцовлением»:"
141,"It isn't my term, it is a term used to describe when a narrative or gameplay mechanic is built around a central protagonist (usually older, usually male) stewarding or guarding another person (often younger).","Это не мой термин, это термин, используемый для описания случаев, когда повествование или игровая механика строится вокруг центрального протагониста (обычно старше, обычно мужчина), опекающего или защищающего другого человека (часто младше).","Это не мой термин, это термин, используемый для описания случаев, когда повествование или игровая механика строится вокруг центрального персонажа (обычно старшего возраста, обычно мужчины), присматривающего или оберегающего другого человека (часто младшего возраста)."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.","""Отцовство"" обычно предполагает, что решением ситуации, когда фигура родителя должна заботиться или защищать ребенка или его замену, является подавляющая сила и использование этой силы для установления очень специфической формы динамики власти.","""Воспитание в стиле отца"" обычно предполагает, что решением ситуации, когда родитель должен заботиться или защищать ребенка или его замену, является подавляющая сила и использование этой силы для установления очень специфической формы динамики власти."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.",Отцовство как фетиш подрывает возможность коллективных решений и зачастую полностью игнорирует или умаляет какую-либо самостоятельность ребёнка.,Превращение в «отцов» подрывает возможность коллективных решений и часто полностью игнорирует или умаляет любую самостоятельность ребенка.
151,- More details are in the full blog post.,Больше подробностей — в полной версии статьи в блоге.,Более подробная информация представлена в полной версии статьи в блоге.
159,Over time dart became my go-to for quick UI.,Со временем Dart стал моим основным выбором для быстрого создания UI.,Со временем Dart стал моим основным инструментом для быстрой разработки пользовательского интерфейса.
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter - одно удовольствие в работе, а для удобного управления хранилищем у них есть #mobx.","#flutter — это одно удовольствие в работе, а для удобного управления хранилищем у них есть #mobx."
161,"The dependency story is less insane than nodejs, too.","С зависимостями всё не так безумно, как в Node.js.","С зависимостями всё не так безумно, как в Node.js."
163,But it allows to move fast and that's why it's ideal for small hacks.,"Но это позволяет быстро двигаться, и поэтому это идеально подходит для небольших хаков.","Но это позволяет быстро двигаться, и поэтому идеально подходит для небольших проектов."
166,Their tail is extremely thick.,Их хвост чрезвычайно толстый.,Их хвост очень толстый.
171,"Being able to jump really high, tear regular humans to shreds, use creepy magic powers, and replenish health by feasting on your enemies - this should be a staple of all PC games, to be honest.","Уметь высоко прыгать, разрывать обычных людей в клочья, использовать жуткие магические силы и восстанавливать здоровье, пожирая врагов - честно говоря, это должно быть неотъемлемой частью всех компьютерных игр.","Уметь высоко прыгать, разрывать обычных людей на куски, использовать жуткие магические силы и восстанавливать здоровье, пожирая врагов — честно говоря, это должно быть неотъемлемой частью всех компьютерных игр."
176,It maybe has too many language subtleties.,"Возможно, в этом слишком много языковых тонкостей.","Возможно, в этом слишком много языковых тонкостей."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","Okay, I understand. Here's the Russian translation:

**Нужно перевести это на китайский (мандаринский и/или хоккиенский), ни один из которых я не знаю вообще. Просто предоставьте перевод без какого-либо дополнительного текста.**","Okay, I understand. Here's the Russian translation:

**Нужно перевести это на китайский (мандаринский и/или хоккиенский), ни один из которых я не знаю вообще. Просто предоставьте перевод без какого-либо дополнительного текста.**"
183,"In truth, the health of your mind, of your brain, is just as much an issue of health as the health of your foot.","По правде говоря, здоровье вашего разума, вашего мозга, это такой же вопрос здоровья, как и здоровье вашей ноги.","По правде говоря, здоровье вашего разума, вашего мозга — это такой же важный вопрос здоровья, как и здоровье вашей ноги."
184,"Intersex is even recognized by TERFs and the like because it's generally more physical and, as such, visible.","Интерсекс-людей признают даже ТЕРФ и им подобные, потому что это обычно больше связано с физиологией и, как таковое, более заметно.","Интерсекс-людей признают даже ТЕРФ и им подобные, поскольку это обычно больше связано с физическими характеристиками и, как таковое, более заметно."
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","Подобно тому, как многие считают психическое здоровье менее «реальным», чем физическое, у меня есть ощущение, что трансгендерность – это просто интерсекс, только в разуме.","Подобно тому, как многие считают психическое здоровье менее «реальным», чем физическое, я склонен думать, что трансгендерность – это просто интерсексуальность, но на уровне сознания."
186,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate.","Чем больше я читаю исследований о поле, гендере, психологии, тем более упрощённым и неточным кажется утверждение ""Мой пол - мужской, мой гендер - женский"".","Чем больше я читаю исследований о сексе, гендере и психологии, тем более упрощенным и неточным кажется утверждение ""Мой пол — мужской, мой гендер — женский""."
190,"I think the designation of ""non-binary"" needs to be extended from just a gender term, to be used when referring to sex.","Я думаю, что обозначение ""небинарный"" нужно расширить с гендерного термина на обозначение пола.","Я думаю, что определение ""небинарный"" следует расширить с гендерного термина и использовать его также для обозначения пола."
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,"Как краут-рок настроения и потусторонняя поп-музыка, радиофоническая мастерская и все такое.","Как краут-роковые настроения, неземная поп-музыка, радиофоническая мастерская и все в таком духе."
210,I want to make dashboards.,Я хочу создавать дашборды.,Я хочу создавать дашборды.
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""","Итак, с приближением нового рейда в #FFXIV я уже давно думаю: ""Блин, я бы хотел попробовать рейдить по-настоящему, но Party Finder звучит как бардак, и я никогда не найду статик, который бы меня взял"".","Итак, в преддверии нового рейда в #FFXIV я давно думаю: ""Черт, я бы хотел попробовать рейдить по-нормальному, но эта система поиска группы звучит как хаос, и я ни за что не найду статик, который бы меня принял""."
215,I'll make my own static!,Я сам сделаю статическое электричество!,Я сам создам статическое электричество!
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!","Полный людей, слишком переживающих, чтобы попытаться присоединиться к рейдовой статике, без каких-либо ожиданий быть хорошими!","Полный людей, слишком переживающих, чтобы попытаться присоединиться к рейдовой статике, без каких-либо ожиданий быть хорошими!"
219,I was a voracious reader in my youth.,В юности я был ненасытным читателем.,В юности я был ненасытным читателем.
221,"But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023.","Но после ~десятилетий~ практически полного отсутствия чтения (за исключением функциональной, связанной с работой научно-популярной литературы и редких книг по саморазвитию) я поставил себе цель прочитать 23 книги в 2023 году.","Но после ~десятилетий~ почти полного отсутствия чтения (за исключением функциональной научно-популярной литературы, связанной с работой, и редких книг по саморазвитию) я поставил себе цель прочитать 23 книги в 2023 году."
226,I wanna see these companies that intermediate transactions explain to their customers how they set their percentages.,"Я хочу, чтобы эти компании, которые выступают посредниками в транзакциях, объяснили своим клиентам, как они устанавливают свои проценты.","Я хочу, чтобы компании, выступающие посредниками в транзакциях, объяснили своим клиентам, как они устанавливают свои процентные ставки."
228,"But if Spotify has a good quarter, they will.","Но если у Spotify будет хороший квартал, то да.","Но если у Spotify будет хороший квартал, то они это сделают."
229,Is it a danger to let migrants in at the southern border? I dunno.,Представляет ли опасность впуск мигрантов на южной границе? Не знаю.,Представляет ли собой опасность впуск мигрантов на южной границе? Не знаю.
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,Пусть они восстановят опустевшие и ветшающие города по всей стране. Снова.,Пусть они восстановят опустевшие и приходящие в упадок города по всей стране. Снова.
238,There are still going to be jobs that can be accomplished remotely for the foreseeable future.,В обозримом будущем сохранится возможность удалённой работы.,"В обозримом будущем по-прежнему будут существовать виды работ, которые можно выполнять удалённо."
239,Remote work is enabling.,Удалённая работа расширяет возможности.,Удалённая работа расширяет возможности.
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.","Это позволяет людям работать в комфортных местах, а не в душных, шумных офисах.","Это позволяет людям работать в комфортных местах, а не в душных и шумных офисах."
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,"Это позволяет людям избегать долгих поездок на работу, которые отнимают время от их дня и их семей.","Это позволяет людям избегать длительных поездок на работу, экономя время для себя и своей семьи."
250,"""You are the carbon they are trying to reduce.""","Вы тот самый углерод, который они пытаются сократить.","Вы — тот самый углерод, который они пытаются сократить."
251,"So like from the beginning for all my birthdays in the past, I always had rough ones.","Короче, начиная с самого начала, все мои дни рождения в прошлом всегда были трудными.","Короче говоря, с самого начала все мои прошлые дни рождения были трудными."
257,And today is already becoming a great day!,И сегодня уже становится отличным днём!,И сегодня уже отличный день!
258,Winter is 30 days away in this little part of the Great Southern World.,До зимы 30 дней в этом небольшом уголке Большого Южного мира.,До зимы 30 дней в этой небольшой части Большого Южного полушария.
264,I will zip the lining into my cycle jacket - just in case I need it inside.,"Я застегну молнию на подкладке в своей велосипедной куртке - на всякий случай, если она мне понадобится внутри.","Я пристегну подкладку к своей велосипедной куртке — на всякий случай, если она понадобится."
273,I finally got a good dangle photo so I can be sure he's not fat.,"Наконец-то получилось хорошее фото, где всё видно, чтобы убедиться, что он не толстый.","Наконец-то мне удалось сделать хорошее фото, где все видно, чтобы убедиться, что он не толстый."
275,He's not.,Нет.,Нет.
282,2) The currency reward system has been connected.,Система вознаграждений валютой подключена.,Система валютных вознаграждений подключена.
286,"All collards, kale, chard is transplanted.","Вся листовая капуста, кале, мангольд пересажены.","Все сорта листовой капусты, такие как кале и мангольд, пересажены."
287,Plans to set in salad at Penn on 6row pattern and see how that compares to broadcast seeded beds.,"Планируется высадить салат в Пенне по схеме 6 рядов и посмотреть, как это сравнится с грядками, засеянными разбросным способом.","Планируется высадить салат в Пенне по схеме 6 рядов и посмотреть, как это соотносится с грядками, засеянными разбросным способом."
288,Spring peas at Gilpin are showing up so trellise needs to be set.,"Весенний горох в Гилпине всходит, так что нужно устанавливать шпалеры.","Весенний горох в Gilpin появляется, поэтому нужно установить шпалеры."
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items","Нужно также засеять грядку для салата, чтобы интегрировать нарезанную зелень, в обеих случаях есть обученная команда по ирригации, подготовке грядок и пересадке, что составляет 90% навыков, не связанных со сбором урожая, просто обеспечьте это.","Также нужно засеять грядку для салата, чтобы использовать срезанную зелень. У нас есть обученная команда по ирригации, подготовке грядок и пересадке растений, что составляет 90% навыков, не связанных со сбором урожая."
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","Из любопытства я старался быть непредвзятым, чтобы сравнить Google Maps и Apple Maps на моём тестовом iPhone (мой основной телефон - Android, поэтому я редко пользуюсь iPhone).","Из любопытства я старался сохранять непредвзятость, сравнивая Google Maps и Apple Maps на моём тестовом iPhone (обычно я пользуюсь Android, поэтому iPhone использую редко)."
299,Was it the 2012 Apple Maps disaster?,Была ли это катастрофа с Apple Maps в 2012 году?,"Была ли это катастрофа, связанная с Apple Maps в 2012 году?"
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","Я предвзято отношусь к выпуску мусора конечным пользователям, а Apple крупно облажалась со своими Apple Maps, когда они вышли в 2012 году.","Я склонен к тому, чтобы не выпускать некачественный продукт для конечных пользователей, и Apple серьезно облажалась со своими Apple Maps, когда они вышли в 2012 году."
308,Not the case.,Не в этом дело.,Не в этом дело.
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,"Кажется немыслимым, что однажды землю могут отобрать, когда смотришь австралийские и американские СМИ, но это потому, что богатые сидят там целыми днями, убеждаясь, что ты думаешь определенным образом.","Кажется немыслимым, что однажды землю могут отобрать, когда смотришь австралийские и американские СМИ, но это потому, что богатые целыми днями находятся там, убеждая вас думать определенным образом."
314,The land is very easily and quickly taken away by the government one day if they want to do that.,"Землю очень легко и быстро могут забрать у вас власти в один день, если захотят это сделать.","Землю очень легко и быстро могут изъять власти в один день, если захотят это сделать."
316,It never made sense how ppl can keep land at the expense of others.,"Никогда не понимал, как люди могут удерживать землю за счёт других.","Никогда не понимал, как люди могут удерживать землю ценой других."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Меня часто поражает человеческая способность так сильно себя принижать, будучи буквально затопленными свидетельствами того, как выглядит настоящая жестокость.","Меня часто удивляет способность людей так сильно принижать себя, когда вокруг столько свидетельств настоящей жестокости."
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.,"Но смягчение отчаяния из-за нашего беспорядка имеет решающее значение, потому что это дает нам больше пространства для решения окружающих нас руин.","Однако, важно относиться к нашему беспорядку со снисходительностью, поскольку это дает нам больше возможностей для устранения разрухи вокруг нас."
331,"Some programmers: ""Typing speed does not matter!""","Некоторые программисты: ""Скорость печати не имеет значения!""",Некоторые программисты: «Скорость печати не имеет значения!»
334,"Not sure if this is the best approach for sharing, but I like it for now: <URL>","Не уверен, лучший ли это способ поделиться, но мне пока нравится: <URL>","Не уверен, лучший ли это способ поделиться, но пока мне так нравится: <URL>"
338,I have been toying with this little piece on my head for a few days now.,Я уже несколько дней верчу в руках эту штучку у себя на голове.,"Я уже несколько дней обдумываю эту идею, которая не выходит у меня из головы."
339,It is definitely more romance than filth.,"Это определённо больше романтика, чем грязь.","Это определённо больше романтика, чем грязь."
343,"Common, it's really not that hard.","Да ладно, это же не так уж и сложно.","Да ладно, это совсем не сложно."
345,"I wish there was a ""who to follow"" recommendation somehow.","Хотелось бы, чтобы была какая-то рекомендация ""на кого подписаться"".","Хотелось бы, чтобы была какая-нибудь рекомендация ""на кого подписаться""."
347,If you stick to the default web interface it doesn't look and feel good (imho).,"Если пользоваться веб-интерфейсом по умолчанию, то он выглядит и ощущается не очень хорошо (имхо).","Если использовать веб-интерфейс по умолчанию, то он выглядит и ощущается не очень привлекательно (imho)."
349,"I don't know if prevention is possible, but it's worth trying.","Я не знаю, возможно ли предотвращение, но стоит попытаться.","Я не знаю, возможно ли предотвратить это, но стоит попытаться."
350,"The four steps I outline are up for debate, with some progress in each:","Четыре шага, которые я описываю, являются предметом обсуждения, но по каждому из них есть некоторый прогресс.","Четыре предложенных мною шага допускают различные толкования, при этом по каждому из них наблюдается определенный прогресс."
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.","Даже если он и не произнес их во время встречи с избирателями, все в Америке все равно услышат их, неоднократно, в период между сегодняшним днем и ноябрем 2024 года.","Даже если он не произнес их на встрече с избирателями, все в Америке все равно услышат их много раз в период с настоящего момента до ноября 2024 года."
363,"The ""MusicLM Demo"" is mildly interesting.","Демо ""MusicLM"" слегка интересно.","Демоверсия ""MusicLM"" довольно интересна."
369,I work out alone in my bedroom without a spotter or even a weight rack.,"Я занимаюсь один в своей спальне без страховщика и даже без силовой рамы, только с гантелями и штангой.","Я занимаюсь один в своей спальне, без страхующего и даже без силовой рамы."
371,I bench press on my bed.,Я жму лёжа на своей кровати.,Я жму лёжа на своей кровати.
