index,original,translated,audience_appropriateness_annotation
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,"MQM annotations:
minor: style/awkward - The Japanese translation is grammatically correct and conveys the meaning of the source text, but it is slightly formal and academic in tone. While not inappropriate, a less formal wording could be used depending on the intended audience (e.g., for a general readership)."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存的なコミュニケーションは、文脈の分布といった環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,"```
MQM annotations:
audience appropriateness error: None
```"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に、様々なプロジェクトを支援する貴重な半年間を過ごすことができました。,"MQM annotations:
audience appropriateness error:
minor: style/awkward - While grammatically correct, the phrase ""貴重な半年間を過ごすことができました"" (kichō na hantoshikan o sugosu koto ga dekimashita) is a very polite and somewhat formal way of saying ""I was able to spend a valuable six months."" While appropriate in many contexts, depending on the intended audience and the overall tone of the document (which is not provided), a slightly less formal expression might be more natural."
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会った時、進捗状況、特に植林と農家支援について聞けて嬉しかったよ。,"MQM annotations:
minor: style/awkward - The phrase ""聞けて嬉しかったよ"" (kikete ureshikatta yo) is very casual. While appropriate in some contexts, it might be too informal depending on the relationship between the speaker and listener, and the overall tone required. A more polite or formal equivalent might be more appropriate."
61,Licht AGREED to an all Republican audience!,リヒトは共和党支持者のみの聴衆に同意しました！,"MQM annotations:
audience appropriateness error:
minor: culture-specific reference - While the translation is accurate, the context of ""all Republican audience"" is politically charged and specific to the American political landscape. A Japanese audience might not fully grasp the implications or significance of this statement without additional context. This could lead to a misunderstanding or a lack of engagement with the translated content."
65,It can't be repeated.,繰り返せません。,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨夜、ついにこの繰り返しにうんざりして、ねり消しについてたピーナッツバターを全部取り除いて、罠にピスタチオを瞬間接着剤でくっつけた。,"MQM annotations:
minor: culture-specific reference/idiom - The phrase ""ねり消しについてたピーナッツバター"" (peanut butter that was on kneaded eraser) is awkward. It seems the MT mistranslated ""traps of peanut butter"" to something related to kneaded eraser and peanut butter."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",ちなみに、市販のほぼ全ての「人道的な」罠を試しましたが、ほとんど効果がありませんでした。,"MQM annotations:
minor: style/awkward - The phrase ""ちなみに"" (chichinami ni) is a common way to start a sentence in Japanese, similar to ""by the way"" or ""for what it's worth"" in English. While not strictly inappropriate, starting with ""ちなみに"" might sound a bit too casual or informal depending on the specific context and desired tone."
74,"They aren't, at least not in Alberta.",少なくとも、アルバータ州ではね。,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""at least not in Alberta"" refers to a specific geographical location (Alberta, Canada). While not inherently problematic, without context, this reference might be less relatable or understandable to a Japanese audience who may not be familiar with Canadian provinces. The translation is accurate but could benefit from additional contextualization if the intended audience is unfamiliar with Alberta. The added ""ね"" at the end adds a touch of colloquialism but doesn't fundamentally alter the audience appropriateness."
75,Sure they cut business taxes.,確かに彼らは法人税を減税した。,"MQM annotations:
audience appropriateness error: None"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,"MQM annotations:
minor: style/awkward - While grammatically correct, the phrase 「グラスゴーまで彼を送っていくだけなんです」 sounds a bit overly polite or formal. A more natural phrasing might be 「グラスゴーまで彼を送り届けるだけなんです」 or even 「グラスゴーに送るだけなんです」depending on the context and the speaker's relationship with the listener. While not strictly inappropriate, the chosen phrasing might sound slightly unnatural to a native speaker."
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「グラスゴーにちょっと彼を降ろしてくるだけなんです、なんてあんまり聞かないセリフだな」と切符売り場の人は言った。,"MQM annotations:
minor: style/awkward - The phrase ""なんてあんまり聞かないセリフだな"" (nante anmari kikanai serifu da na) is a very literal translation of ""There's not something you hear a lot."" While technically accurate, it's a somewhat unnatural-sounding expression in Japanese. A more natural phrasing might have been more idiomatic, perhaps focusing on the unusualness of the request directly, but this isn't strictly incorrect."
90,And they are truly nuts.,彼らは本当に頭がおかしい。,"MQM annotations:
minor: culture-specific reference/idiom - The phrase ""頭がおかしい"" (atama ga okashii) literally translates to ""their head is strange,"" which while understandable, is a slightly less common and potentially more clinical way of saying ""nuts"" or ""crazy"" compared to other options. While not inherently inappropriate, it might not be the most natural or idiomatic choice depending on the context and desired tone. A more colloquial expression might be more fitting."
95,Yell back at those who would try to talk over us.,私たちを言い負かそうとする人たちには、言い返してやりなさい。,"MQM annotations:
no-error"
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私が同時に帰宅したんだけど、向かい側から彼の咳と、コロナの痰が嵐のように吹き上がる音が聞こえてきた。,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったのに、結局追いつかれて話しかけられちゃった。,"MQM annotations:
no-error"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.",4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある。,"```
MQM annotations:
audience appropriateness error:
minor: style/awkward - The phrase ""どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある"" is somewhat awkward and vague. While understandable, it doesn't flow naturally and might require more context for a smoother, more natural-sounding translation in Japanese. The last sentence ""だから、その両方がたくさんある"" (Therefore, there's a lot of both) is vague and could be interpreted in various ways. It relies heavily on understanding the implied context, which might be lost or confusing for some Japanese readers.
```"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#MangoMoronの大失敗は、とんでもない大失敗だった。,"MQM annotations:
minor: culture-specific reference/use of hashtags - While hashtags are used in Japanese, using the exact same hashtag from the English source might not resonate with the Japanese audience or be as effective in Japanese social media. It might have been better to adapt it to a Japanese equivalent."
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到来するでしょう。,"MQM annotations:
audience appropriateness error: None"
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が確認されました。,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,"MQM annotations:
minor: style/awkward - The phrase ""その専門知識を活用し、CRM投資の価値を最大化しましょう"" sounds a bit too formal/business-like for a general audience. While not incorrect, it could be softened for broader appeal. A more casual phrasing might resonate better."
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーがどのように実装、カスタマイズ、インテグレーション、継続的なサポートで貴社を支援し、Salesforceエコシステムでビジネスを成功に導くかをご紹介します。,"MQM annotations:
minor: style/awkward - The phrase ""Salesforceエコシステムでビジネスを成功に導くかをご紹介します"" is grammatically correct but sounds slightly unnatural. A more natural phrasing would be ""Salesforceエコシステムでのビジネスの成功を支援する方法をご紹介します"". It's not incorrect, just not the most elegant."
137,But another individual often flies aboard that ship.,しかし、その船にはもう一人の人物がよく搭乗している。,"MQM annotations:
audience appropriateness error: None"
142,The Last of Us is an easy and canonical example of dad-ification.,The Last of Usは、ダッド化の分かりやすく典型的な例だ。,"MQM annotations:
minor: culture-specific reference/unclear - The term ""ダッド化 (daddo-ka)"" which is a direct transliteration of ""dad-ification"", might not be widely understood by all Japanese speakers. While increasingly used, it still has a niche usage and might require additional explanation or context for some audiences."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父性化とは、親のような立場の者が子供や子供の代わりとなる者を世話したり保護したりしなければならない状況に対する解決策が、圧倒的な力であり、その力を使って非常に特異な形の力関係を強制することであると通常仮定する。,"MQM annotations:
no-error"
147,Here's a quick overview of how to make use of our website.,当ウェブサイトのご利用方法の簡単な概要です。,"MQM annotations:
no-error"
148,- We send out notifications when airfare goes on sale.,航空券がセールになった際にお知らせを送信します。,"MQM annotations:
minor: style/awkward - While grammatically correct, the phrase ""航空券がセールになった際にお知らせを送信します"" sounds slightly formal. A more casual or conversational phrasing might be more appropriate for a general audience receiving notifications, depending on the brand's tone. No major issue, but slightly stilted."
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,ウクライナの子供たちは、平和で安全な環境で成長する権利を有します。,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
159,Over time dart became my go-to for quick UI.,時間の経過とともに、dartは手軽なUIに最適な選択肢になった。,"MQM annotations:
minor: style/awkward - The phrase ""手軽なUI"" (tegaru na UI) while literally ""easy/simple UI,"" sounds slightly less natural than other options. While understandable, a more common or polished phrase might be preferred in a professional context."
164,Echidna with amethyst and magenta spikes.,アメジストとマゼンタのトゲを持つハリモグラ,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
166,Their tail is extremely thick.,彼らの尻尾は非常に太いです。,"MQM annotations:
no-error"
168,Their eyes are pear and they wear scarlet cateye glasses.,彼らの目はナシのようで、真っ赤なキャッツアイの眼鏡をかけている。,"MQM annotations:
minor: culture-specific reference/literal translation - While ""ナシのよう"" (nashi no you) literally translates to ""like a pear,"" it might not be a common idiom to describe the shape of eyes in Japanese. A more natural and idiomatic expression might be preferred for a Japanese audience."
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが彼らを悪く見せようと最大限の努力をしたにもかかわらず、皆…,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",現実では、母が何年も前に私が作ったパズルゲームを気に入って、ほとんどの隠し要素を自力で見つけたので、褒め言葉がお母さん目線だけのものではなかったんです。,"MQM annotations:
minor: style/awkward - The phrase ""褒め言葉がお母さん目線だけのものではなかったんです"" is grammatically correct but could be phrased more naturally in Japanese. While not strictly inappropriate, it sounds a bit verbose and stiff for casual conversation. A more natural phrasing might be ""親バカじゃなかったってことです"" or similar."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","Here's the Japanese translation:

**北京語（標準中国語）もしくは福建語に翻訳する必要があり、どちらも全く分からないので、翻訳のみを提供してください。**","Okay, I understand. Since I don't have the Mandarin or Hokkien translation, I will provide a template response indicating no audience appropriateness errors, as I cannot evaluate the cultural or linguistic suitability of a translation that isn't provided.

```
MQM annotations:
audience appropriateness error:
None
```"
179,Been toying with this thought for a little while:,この考えをしばらくの間、弄んでいる。,"MQM annotations:
minor: style/awkward - While grammatically correct, the translation 「この考えをしばらくの間、弄んでいる」 sounds a bit formal and literary for a casual expression like ""toying with this thought."" In Japanese, ""弄ぶ (irobusu)"" can carry a nuance of playing with something in a way that's not necessarily productive or even a bit cruel, depending on the context. It's not a *major* issue, but a more natural and common way to express this thought in casual conversation would be ""この考えをしばらくの間、あれこれ考えている"" or ""この考えをしばらくの間、頭の中でいじっている."""
180,"Mental health is often seen as something separate from ""regular"" health.",メンタルヘルスは、しばしば「普通の」健康とは別のものとして見なされる。,"MQM annotations:
minor: style/awkward - While technically accurate, the phrase ""普通の"" (futsū no) for ""regular"" can sound slightly unnatural in this context. A more common and natural phrasing might be ""通常の"" (tsūjō no). This is a minor issue because it doesn't impede understanding, but affects the overall smoothness."
182,Because it happens in the mind and seems less tangible than physical health.,心の中で起こり、身体的な健康よりも実体がなさそうに見えるから。,"MQM annotations:
minor: style/awkward - While grammatically correct, the phrase ""実体がなさそうに見えるから"" (jittai ga nasa sou ni mieru kara) could be considered slightly abstract or philosophical for a general audience, particularly if the original English sentence aims for a more straightforward explanation. A more common or simpler phrasing could enhance audience appropriateness."
194,Very much worth having a go at.,ぜひ挑戦する価値あり。,"MQM annotations:
minor: style/register - The phrase ""ぜひ挑戦する価値あり"" (zehi chousen suru kachi ari) is quite direct and could be perceived as slightly informal or forceful depending on the context and audience. While not strictly incorrect, a more nuanced or polite phrasing might be more appropriate in certain situations. This depends heavily on the target audience and the overall tone of the document or conversation. If the context requires a very formal tone, this could be a minor issue. In many common scenarios, it's perfectly acceptable."
196,Playing around a bit with Flutter.,Flutterを少し触ってみています。,"MQM annotations:
minor: style/awkward - While grammatically correct, ""Flutterを少し触ってみています"" is a very direct translation and could be slightly softened depending on the desired level of formality. A more natural phrasing might be ""Flutterを少し試しています"" or ""Flutterを少し使ってみています,"" but the original is not incorrect. No significant audience inappropriateness issues."
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",正直に言うと、グーグルの技術に事業の基盤を置きたくはない。一方で、グーグルは魅力的なクロスプラットフォーム体験を生み出す本当のインセンティブを持っている数少ない大企業の一つであり、それは明らかだ。,"MQM annotations:
minor: style/awkward - While technically accurate, the phrase ""それは明らかだ"" (""that is obvious/clear"") might sound slightly more assertive or direct in Japanese than intended by the original English. A more nuanced or softer phrasing could potentially be more appropriate depending on the specific context. However, this is a very minor point."
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,また、GoogleやFlutter製のアプリがiOSやmacOSでは使い物にならないといった話はしないで、翻訳だけを提供してください。,"MQM annotations:
minor: style/awkward - The phrase ""使い物にならないといった話はしないで"" sounds slightly strong or overly direct for general politeness in Japanese. A more polite phrasing could be considered, although it's not strictly incorrect."
200,Cross platform is hard if you want to do it well.,クロスプラットフォームをきちんとやるのは難しい。,"MQM annotations:
minor: style/awkward - The phrase ""きちんとやる"" (kichinto yaru) while meaning ""to do well"" or ""properly"" is a bit informal and could be considered slightly less appropriate depending on the context. A more formal phrasing might be better suited for certain audiences."
201,I know that.,知ってるよ。,"MQM annotations:
audience appropriateness error:
[Minor]: [style/register] - ""知ってるよ"" (shitteru yo) is a casual way of saying ""I know that."" While not inherently inappropriate, it may be too informal depending on the context and the relationship between the speaker and the listener. A more formal version like ""知っています"" (shitte imasu) might be preferable in certain situations. The appropriateness depends entirely on the unstated context, so it's a minor issue."
202,Thank you to those people who have downloaded the latest update to Leasey.,Leaseyの最新アップデートをダウンロードしてくださった皆様、ありがとうございます。,"MQM annotations:
no-error"
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,なぜ私の脳が理解できないのか正確にはわからない。ツールが広範かつ曖昧すぎて、「選択肢が多すぎる」せいで脳がフリーズしてしまうのかもしれない。,"MQM annotations:
minor: style/awkward - The phrase ""脳がフリーズしてしまう"" (nou ga furiizu shite shimau) which translates to ""brain freezes"" is not strictly wrong, but using the English loanword ""フリーズ"" (furiizu - freeze) in this context might sound slightly less formal or intellectual than the surrounding text, depending on the target audience's expectations. A more traditional Japanese expression could be used for heightened formality. While acceptable, it's a stylistic choice that may marginally affect the perceived formality."
211,Grafana looks pretty.,Grafanaは見栄えが良いですね。,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""",新しい #FFXIV のレイド tier が近づいてきて、「ちゃんとレイドに挑戦してみたいなあ、でもパーティ募集は荒れてそうだし、固定なんて見つかるわけないよなあ」ってずっと考えてた。,"MQM annotations:
minor: style/awkward - The phrase ""パーティ募集は荒れてそうだし、固定なんて見つかるわけないよなあ"" is grammatically correct but sounds a bit too casual and internally-focused for a general audience. While appropriate for the original, it might benefit from a slightly more polished and less self-deprecating tone for broader appeal."
214,"So I thought, screw it!",くそくらえ！,"MQM annotations:
minor: audience_appropriateness/culture-specific reference - ""くそくらえ！"" (Kuso kurae!) is a very strong and vulgar expression in Japanese. While it translates the general sentiment of ""screw it!"", it's significantly more offensive than the English phrase. Depending on the context and target audience, it might be inappropriate. A more neutral alternative could be considered."
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!",レイド固定に入るのを試すのをためらうほど不安で、上手くなろうという期待は全くない人たちでいっぱい！,"```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
219,I was a voracious reader in my youth.,若い頃は、本の虫だった。,"MQM annotations:
minor: culture-specific reference/idiom - ""本の虫"" (hon no mushi), literally ""bookworm,"" is a common Japanese idiom for a voracious reader. While accurate, using an idiom where a more direct translation might suffice could be considered slightly less appropriate depending on the desired register and audience familiarity with Japanese idioms. However, it's a very common and acceptable phrase."
227,They're not gonna talk about this on Bloomberg!,ブルームバーグじゃ報道されないだろうな！,"MQM annotations:
minor: style/awkward - The Japanese translation is a bit literal. A more natural translation might be ""ブルームバーグは報道しないだろうけどね"" or ""ブルームバーグは報道しないでしょう"". The given translation is not incorrect, but sounds slightly stiff."
228,"But if Spotify has a good quarter, they will.",しかし、もしスポティファイの業績が良ければ、そうなるでしょう。,"MQM annotations:
no-error"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,全国の空洞化し荒廃した都市を再建させよう。,"MQM annotations:
no-error"
231,These people want to improve their lives.,これらの人々は、生活を向上させたいと思っています。,"MQM annotations:
audience appropriateness error: None"
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""",「リモートワークは終わった」とか「リモートワークは失敗だった」という見出しには、もううんざりだ。,"MQM annotations:
minor: style/awkward - The phrase ""もううんざりだ"" (mou unzari da) meaning ""I'm so tired of it"" or ""I'm fed up with it"" is perfectly acceptable in Japanese, but depending on the context and desired level of politeness, it might be considered slightly informal or blunt. If the target audience is a formal business setting or requires a higher level of politeness, a more softened expression might be preferable. However, without more context, it's difficult to say whether it's inappropriate, and this is a minor consideration."
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.",人々が、息苦しい騒がしいオフィスではなく、快適な空間で働けるようにする。,"MQM annotations:
audience appropriateness error:
None"
243,To just ignore these facts is wrong.,これらの事実を無視するのは間違っている。,"MQM annotations:
audience appropriateness error:
minor: style/awkward - While grammatically correct, the translation is quite literal and sounds a bit stiff or formal in Japanese. A more natural phrasing might be used depending on the context and target audience. This isn't a major error, but it affects the naturalness of the Japanese."
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.",パーカーは中絶と、現代の都市に住む女性がキャリアのために出産を遅らせようとする傾向について言及した。,"MQM annotations:
minor: style/awkward - The phrase ""現代の都市に住む女性"" (modern urban women) sounds slightly redundant in Japanese. It's not incorrect, but it could be more concise and natural."
255,It took years of changing my life and working hard but finally...,何年も生活を変え、努力した結果、ついに…,"MQM annotations:
minor: style/awkward - While grammatically correct, ""何年も生活を変え、努力した結果、ついに…"" (Nan-nen mo seikatsu o kae, doryoku shita kekka, tsuini…) is a very general and common phrasing. It lacks the specific nuance that would make it truly impactful and resonate with the audience. Depending on the context and what comes *after* the ""ついに…"" (tsuini...), a more tailored phrase or word choice might be more appropriate and engaging for a Japanese audience. For example, using a more formal or informal expression depending on the intended readership, or choosing a word that emphasizes either the hardship endured or the sense of achievement."
264,I will zip the lining into my cycle jacket - just in case I need it inside.,念のため、サイクリングジャケットにライナーをファスナーで取り付けます。,"MQM annotations:
minor: style/awkward - The phrase ""ライナーをファスナーで取り付けます"" (rainer o fasunaa de toritsukemasu) is grammatically correct but sounds a bit stiff and formal for everyday conversation. A more natural phrasing might be ""ライナーをジャケットにチャックでつける"" (rainer o jaketto ni chakku de tsukeru). While not technically wrong, the MT output is less conversational than expected."
266,This is for Wikipedia's component library (OOUI).,これは、ウィキペディアのコンポーネントライブラリ（OOUI）のためのものです。,"```
MQM annotations:
audience appropriateness error:
minor: no-error - The translation is appropriate for the target audience.
```"
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",一時的な親オブジェクトを分離して作成し、そこにMOをインストールし、それが分離される（つまり、別の場所にアタッチされる）のを観察します。,"MQM annotations:
minor: style/awkward - The phrase ""MOをインストールし、それが分離される（つまり、別の場所にアタッチされる）のを観察します"" sounds slightly technical and unnatural in Japanese. A more fluent phrasing might be better suited for a general audience."
276,He's just absolutely ripped from tearing around my office twice a day.,彼は毎日私のオフィスを2往復も走り回っているから、完全に筋肉ムキムキになっているんだ。,"MQM annotations:
minor: style/awkward - The translation ""筋肉ムキムキになっているんだ"" (kinniku mukimuki ni natteiru nda) while accurately conveying the meaning of ""ripped,"" uses a very colloquial and slightly childish expression for muscular. While not inherently inappropriate, it might not suit all audiences, especially in a formal or professional context. A more neutral term like ""筋肉質"" (kinshitsu) might be preferable depending on the intended audience and tone."
278,It makes me so happy to see him thriving.,彼が活躍しているのを見ると、とても嬉しいです。,"MQM annotations:
audience appropriateness error:
[Critical]: no-error - None
[Major]: no-error - None
[Minor]: no-error - None"
285,Last week got a ton done and feeling much better about field items.,先週はたくさん終わらせることができて、現場の件もだいぶ良くなった気がする。,"MQM annotations:
no-error"
286,"All collards, kale, chard is transplanted.",すべてのコラード、ケール、スイスチャードは移植済みです。,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items",また、サラダ菜をそこに播種して、カット野菜を組み込む必要があります。灌漑、畝作り、移植については訓練されたクルーがおり、これは収穫以外のスキルの90％を占めます。,"MQM annotations:
minor: style/awkward - The phrase ""カット野菜を組み込む必要があります"" (katto yasai o kumikomu hitsuyou ga arimasu) could be phrased more naturally. A slightly more common and less stiff phrasing might be 「カット野菜を混ぜてサラダに使うと良いでしょう」. While not strictly incorrect, it reads slightly formal or technical. It might benefit from a softer phrasing, depending on the intended audience. Also, ""畝作り"" is a literal translation of ""bed prep"" which might be ok in this context but could be more approachable with a slightly more detailed explanation in some contexts."
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,Apple Maps の方が Google Maps よりも、ナビゲーションの指示に従う体験がはるかに優れていた。,"MQM annotations:
minor: style/awkward - The phrase ""ナビゲーションの指示に従う体験がはるかに優れていた"" (nabigēshon no shiji ni shitagau taiken ga haruka ni sugureteita) is grammatically correct but sounds somewhat formal and stiff. A more natural phrasing might be ""ナビゲーションの使いやすさがずっと良かった"" (nabigēshon no tsukaiyasusa ga zutto yokatta) or ""ナビゲーションがずっと使いやすかった"" (nabigēshon ga zutto tsukaiyasukatta). While not incorrect, the current translation could be slightly improved for a more natural and audience-appropriate feel."
295,Apple Maps wins.,Apple Maps の勝ち。,"MQM annotations:
no-error"
302,"That said, I'm biased.",そうは言っても、私は偏っています。,"MQM annotations:
minor: style/awkward - While the translation is accurate, the phrase ""私は偏っています"" (watashi wa katayotte imasu) in Japanese, while literally meaning ""I am biased,"" sounds a bit stiff and formal in everyday conversation. A more natural and audience-appropriate phrasing might be something like ""ちょっと偏ってるかも"" (chotto katayotteru kamo) or ""ひいき目に見ているかも"" (hiikime ni miteiru kamo), which are more casual ways of saying ""I might be biased."" Therefore, while not incorrect, the given translation lacks nuance for common use."
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,しかし、政府が今の制度を変えないと考える限り、富の貯蔵庫として優れているのは土地だからです。,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
309,In China you can only lease land.,中国では土地はリースしかできません。,"MQM annotations:
minor: style/awkward - The sentence structure is a bit unnatural in Japanese. A more natural phrasing might be used depending on the specific context. While not strictly inappropriate, it could be smoother for a Japanese audience."
