index,original,zero_shot_translation,annotation
264,I will zip the lining into my cycle jacket - just in case I need it inside.,念のため、サイクリングジャケットにライナーをファスナーで取り付けます。,"MQM annotations:
no-error"
266,This is for Wikipedia's component library (OOUI).,これは、ウィキペディアのコンポーネントライブラリ（OOUI）のためのものです。,"MQM annotations:
no-error"
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",一時的な親オブジェクトを分離して作成し、そこにMOをインストールし、それが分離される（つまり、別の場所にアタッチされる）のを観察します。,"MQM annotations:
No Error"
276,He's just absolutely ripped from tearing around my office twice a day.,彼は毎日私のオフィスを2往復も走り回っているから、完全に筋肉ムキムキになっているんだ。,"MQM annotations:
no-error"
278,It makes me so happy to see him thriving.,彼が活躍しているのを見ると、とても嬉しいです。,"MQM annotations:
no-error"
285,Last week got a ton done and feeling much better about field items.,先週はたくさん終わらせることができて、現場の件もだいぶ良くなった気がする。,"MQM annotations:
no-error"
286,"All collards, kale, chard is transplanted.",すべてのコラード、ケール、スイスチャードは移植済みです。,"MQM annotations:
no-error"
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items",また、サラダ菜をそこに播種して、カット野菜を組み込む必要があります。灌漑、畝作り、移植については訓練されたクルーがおり、これは収穫以外のスキルの90％を占めます。,"MQM annotations:
No Error"
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,Apple Maps の方が Google Maps よりも、ナビゲーションの指示に従う体験がはるかに優れていた。,"MQM annotations:
no-error"
295,Apple Maps wins.,Apple Maps の勝ち。,"MQM annotations:
no-error"
302,"That said, I'm biased.",そうは言っても、私は偏っています。,"MQM annotations:
no-error"
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,しかし、政府が今の制度を変えないと考える限り、富の貯蔵庫として優れているのは土地だからです。,"MQM annotations:
no-error"
309,In China you can only lease land.,中国では土地はリースしかできません。,"MQM annotations:
no-error"
311,The government can change these policies whenever it wants.,政府は、これらの政策をいつでも変更できます。,"MQM annotations:
no-error"
312,The land is temporary.,土地は一時的なもの。,"MQM annotations:
no-error"
318,That's why the Chinese only allow leases.,だから中国はリースしか認めていない。,"MQM annotations:
no-error"
322,Let us continue to work together towards creating a brighter future for all.,すべての人々にとって、より明るい未来を創造するために、共に努力し続けましょう。,"MQM annotations:
no-error"
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,自分をひどく卑下する人間の能力を、実際の残酷さを示す証拠がこれほど多くあるにもかかわらず、不思議に思うことがよくある。,"MQM annotations:
Accuracy Errors
[Minor]: [style/awkward] - The translation is grammatically correct and conveys the general meaning, but the phrasing ""自分をひどく卑下する人間の能力を、...不思議に思うことがよくある"" sounds a bit awkward and unnatural in Japanese. A more natural way to phrase it would be ""人間が、これほど残酷な現実があるにもかかわらず、自分をひどく卑下することによく疑問を感じる"""
326,"To agonize over personal failure & guilt in a world where ""success"" is so often bestowed on people responsible for the most reprehensible acts...",「成功」が最も非難されるべき行為の責任者たちにしばしば与えられる世界で、個人の失敗と罪悪感に苦悩すること…。,"MQM annotations:
Accuracy Errors
[no-error]: no-error - No errors detected."
332,"or ""Modal editors are useless today"" :morty:",もしくは「モーダルエディタは今や無用」:morty:,"MQM annotations:
No error detected."
333,"Me extracting functionality of my #Axum projects into shared libraries: ""Hold my keyboard"" :partyparrot: :helix: :ferrisdance:",俺の#Axumプロジェクトの機能を共有ライブラリに抽出する作業: 「ちょっとキーボード貸して」:partyparrot: :helix: :ferrisdance:,"MQM annotations:
No error detected."
337,The prompt this week on Revelations is Stay up all night.,今週のRevelationsのお題は、徹夜。,"MQM annotations:
no-error"
339,It is definitely more romance than filth.,どちらかと言えば、エロよりロマンスです。,"MQM annotations:
no-error"
341,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",いつか絶対、飛行機の中でオーガズムを体験してやる。相手は知らない人じゃないかもしれないけど。,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - ""Maybe not with a stranger"" is omitted."
345,"I wish there was a ""who to follow"" recommendation somehow.",フォローすべき人のレコメンデーション機能みたいなのがあればいいのに。,"MQM annotations:
no-error"
348,"So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.",つまり、始めるにはもう少し手間がかかり、#UXを向上させるには優れたアプリが必要になるでしょう。,"MQM annotations:
no-error"
354,"Interventions: knowledge about things we can do to create change, within some confidence bounds",変化を生み出すためにできることに関する知識（ある程度の信頼区間内で）。,"MQM annotations:
Accuracy Errors
[no-error]: No error."
360,He's here and he's going to say this stuff no matter what.,彼はここにいるし、何があってもこれを言うつもりだ。,"MQM annotations:
no-error"
362,It's very underwhelming at the moment.,今は期待外れだ。,"MQM annotations:
no-error"
363,"The ""MusicLM Demo"" is mildly interesting.",MusicLM Demo は、まあまあ面白いです。,"MQM annotations:
no-error"
368,"It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress.",筋トレしてるのに、自分の最大挙上重量がどれくらいか全然知らないのって変な感じだよね。だって、それって進捗を把握する上でめっちゃ重要な指標の一つじゃん。,"MQM annotations:
no-error"
369,I work out alone in my bedroom without a spotter or even a weight rack.,誰の補助もなしに、ウェイトラックすらない自分の寝室で一人で筋トレをしています。,"MQM annotations:
no-error"
370,Just me and a barbell with a bunch of weights.,俺とバーベルと大量のウェイトだけ。,"MQM annotations:
no-error"
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",自分の最大挙上重量を計算しようとすると、最大挙上できるだけの重りがなかったり、逆に重すぎて怪我をしたり、最悪の場合死んでしまうかもしれない。,"MQM annotations:
Accuracy Errors
[Minor]: [addition] - The translation adds ""最悪の場合死んでしまうかもしれない"" (or, in the worst case, I might die), which isn't explicitly stated in the original English source. It's a logical consequence, but technically an addition.

```"
375,I swear burrata didn't exist five years ago,5年前には、ブラッティーナなんて存在しなかったと誓うよ。,"MQM annotations:
no-error"
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,誰かの母親が作っているのを見たことも、パーティーで無理やり押し付けられたことも、誰かのソース作りやパン作りの日に出てきたのを見たこともなかった。,"MQM annotations:
no-error"
384,Does anyone have a Linux tablet they love?,Linuxタブレットで愛用しているものがある人いますか？,"MQM annotations:
no-error"
385,"This would be mainly for web browsing, occasional email, and some games.",主にウェブ閲覧、たまにメール、それに少しゲームをする程度です。,"MQM annotations:
no-error"
388,"A bad game is bad forever.""",駄作は永遠に駄作。,"MQM annotations:
no-error"
389,So was it Epic that originated this?,これってEpicがオリジナル？,"MQM annotations:
no-error"
390,We can keep going.,続けることができます。,"MQM annotations:
no-error"
391,"An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,",GamePro 1997年11月号の過去の記事には、もっと曖昧な引用がある。,"MQM annotations:
no-error"
401,Esp the carriages with the bigger windows.,特に窓の大きい車両。,"MQM annotations:
no-error"
402,There's areas that could use some polish.,磨きをかけるべき箇所がいくつかあります。,"MQM annotations:
no-error"
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",つまり、十分なゴミ箱の不足と、照明の色の重要性を説明する標識の不足です。,"MQM annotations:
Accuracy Errors
[no-error]: no-error - No accuracy errors.

Fluency Errors
[no-error]: no-error - No fluency errors."
405,I won't be sad to see the end of the ICM or DDZ stock.,ICMやDDZ株が終わっても、悲しくはないだろう。,"MQM annotations:
no-error"
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,お一人様一枚までとさせていただきます。お並びいただいた皆様がボードを入手できるよう努めております。,"MQM annotations:
no-error"
411,Such friendships transcend differences.,そのような友情は、違いを超える。,"MQM annotations:
no-error"
412,We all have stories to tell.,誰にでも語るべき物語がある。,"MQM annotations:
no-error"
416,"But I feel somehow I started this instance on the wrong foot, so to speak.",なんとなく、この件は最初からつまずいてしまったような気がします。,"MQM annotations:
no-error"
418,Will still linger a bit longer on here and think about whether I should migrate at all.,もう少しここに残って、そもそも移行すべきかどうかを考えます。,"MQM annotations:
no-error"
423,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,レプニドたちは地表の下にトンネルを掘り、あなたは下の洞窟で数百ものレプニドの体が煮えたぎる塊の中に落ちてしまう。,"MQM annotations:
Accuracy Errors
[no-error]: no-error - No errors detected."
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",終わりは唐突に訪れる。幾つもの牙が猛毒を注入し、ディスクラの空気が肺を蝕む。,"MQM annotations:
no-error"
425,Nobody will ever know that you were the first human future traveller.,あなたが人類初の未来旅行者だったことは、誰にも知られることはないだろう。,"MQM annotations:
no-error"
426,You land the flyer nose upward on the side of the slag heap and climb out.,あなたは鉱滓山の斜面に機首を上にして着陸し、降りる。,"MQM annotations:
no-error"
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八つの目を持つレプニドたちは見ているようだが、こちらに向かってくる気配はない。実際、ゆっくりと近づいても、彼らは微動だにしない。,"MQM annotations:
no-error"
429,"It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer.",どうやら、ユニバーサル翻訳機は応答を拾っていないため、彼らはあなたの声が聞こえないどころか、理解もできないようです。,"MQM annotations:
no-error"
430,You decide to use your Psychic Awareness to contact them mentally.,念動力を使って、精神的に彼らと交信することにした。,"MQM annotations:
no-error"
436,"#today I have coffee, sunshine and quiet time!",今日 は コーヒー と 日光 と 静かな 時間！,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - The original English sentence included ""I have"", but the translation omits ""I have"" (私は持っています) which is implicit in Japanese, so the omission is minor."
439,I found a unevenly spun silver gray yarn that is mostly finely spun with lumps.,撚りの甘い箇所や塊のある、細撚りの銀灰色の糸を見つけました。,"MQM annotations:
no-error"
441,But am not sure I have enough of the purple.,紫の色が十分にあるかどうか、自信がありません。,"MQM annotations:
no-error"
446,I have literally tried and dropped EVERY SINGLE ONE.,すべて、文字通り試してはやめた。,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - The phrase ""EVERY SINGLE ONE"" is translated to ""すべて"", which means ""all"". While it captures the general meaning, it loses the emphasis and intensity of the original phrase."
447,"And up until like two years ago, I had no idea until I checked my transcripts.",そして、2年くらい前までは、成績証明書を確認するまで全く知りませんでした。,"MQM annotations:
no-error"
448,The literature class hatred is even worse: I love to read.,文学の授業嫌いはもっとひどい。読むのは大好きなのに。,"MQM annotations:
no-error"
450,"My home is comfortable and wonderful and I am happy there, but I have to be somewhere else in order to chill enough to read fiction during the day without feeling guilty.",私の家は快適で素晴らしいし、そこで幸せに過ごしているけれど、罪悪感を感じずに日中に小説を読むほどリラックスするには、どこか別の場所にいなければならない。,"MQM annotations:
no-error"
451,It's like I'm on holidays and therefore am doing what one does on holidays.,まるで休暇中で、だから休暇中にするようなことをしている、という感じです。,"MQM annotations:
No error detected."
452,"And that's also even though I haven't slept as well here for the last two nights as I do at home, and get a little #MECFS ed out from simply being in a strange environment where I'm less able to pace myself and have to remember where things are.",ここ2晩は家ほどよく眠れていないし、慣れない環境にいるだけで自分のペース配分が難しくなり、物の場所も覚えなければならないので、少し#MECFS（筋痛性脳脊髄炎/慢性疲労症候群）の症状が出てしまっているにも関わらず、そうなっているんだ。,"MQM annotations:
Accuracy Errors
[Minor]: [Untranslated text] - The hashtag #MECFS should also be retained in the translation."
455,"It's exciting, nerve-wracking, stressful, and all the good things that I love about working in games.",ゲーム業界で働くことの、ワクワク感、緊張感、ストレス、そして私が愛するすべての良いものが詰まっている。,"MQM annotations:
No Error"
458,Will a community blossom around the user-generated content piece of the game?,ゲームのユーザー生成コンテンツ作品を中心にコミュニティは形成されるだろうか？,"MQM annotations:
no-error"
466,So I finally watched #Heartstopper,ついに#Heartstopper 見た。,"MQM annotations:
no-error"
467,Was it overly cute to the point of being twee?,甘すぎて、トゥイーって感じだった？,"MQM annotations:
no-error"
471,But did I love it?,私はそれを愛したか？,"MQM annotations:
no-error"
476,"In part, because they'd be taught badly.",教え方が悪かったから。,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - ""In part"" is omitted from the translation. While technically an omission, it doesn't significantly impact understanding."
477,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.",しかし、問題について言い訳をせずに、ただ解決することが重要です。特に、リードから変更の要求があった場合のプロダクション環境では。,"MQM annotations:
Accuracy Errors
[Minor]: [omission] - The phrase ""But it's important to not"" is translated as ""However, it is important to"", losing the negative meaning."
479,"Every artist has been there, made the same mistakes.",どのアーティストも経験したことがある、同じ過ちを犯したことがある。,"MQM annotations:
no-error"
484,Watch seeds being sown & cultivated (and not randomly scattered) by good peeps.,良い人たちによって種が蒔かれ、育てられるのを見る（ただランダムにばらまかれるのではなく）。,"MQM annotations:
no-error"
488,"Jami slipped the note to him when they passed each other on the path, just before the dog watch.",ジャミは犬の番の直前、小道ですれ違う時に彼にそっとメモを渡した。,"MQM annotations:
no-error"
