index,source,target,category,annotation
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",locale_conventions,"```
MQM annotations:
```"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",style,"```
MQM annotations:
Minor: Unnatural Flow - ""The GNU engineering considers the man manual to be obsolete and should spend time elsewhere."" sounds unnatural. A more natural phrasing would be ""The GNU project considers man pages to be obsolete and believes time should be spent elsewhere.""
```"
4,"如果我们发觉本手册页的内容由于过时而导致明显的混乱和抱怨时,我们就停止发布它.不可能有其他选择,象更新Info文件同时更新man 手册, 因为其他维护Gnu cc 的工作没有留给我们时间做这个.GNU 工程认为man 手册是过时产物, 应该把时间用到别的地方.","If we find that the content of this manual page is causing obvious confusion or complaints due to its obsolescence, we will stop publishing it. There cannot be another option, like updating the Infob file at the same time as updating the man manual, because other maintenance jobs for Gnu cc have not left us time to do this. The GNU engineering considers the man manual to be obsolete and should spend time elsewhere.",terminology,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Infob file"" should be ""Info file"" as it appears in the source text.
minor: WRONG TERM - ""man 手册"" should be ""man manual"", to match the source ""man 手册"".
```"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/untranslated - ""ft&/HAIZE#H"" is untranslated.
[Minor]: no-error
```"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",audience_appropriateness,"MQM annotations:
no error"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",design_and_markup,"MQM annotations:
design and markup errors:
minor: markup tag - The string ""ft&/HAIZE#H"" in the source text is copied into the translated text ""ft&/HAIZE#H"", which is likely unintentional and may represent a transcription error or some form of placeholder/artifact from the original document processing."
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",linguistic_conventions,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",locale_conventions,"```
MQM annotations:
```"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",style,"```
MQM annotations:
minor: Style/Unnatural Flow - The phrase ""二者均来自"" is literally translated as ""Both are from"", which sounds slightly unnatural in English. A more natural phrasing might be ""Both are derived from"" or ""Both originate from"".
```"
5,"如果需要完整和最新的文档, 请查阅Info 文件'gee' 或Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) 手册.二者均来自Texinfo 原文件gee. texinfo.","For the full and up-to-date documentation, please see the Info file 'gee' or the Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0) manual. Both are from the Texinfo source gee. texinfo.",terminology,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - The translated text ""Using and Porting GNU CC (for version 2.0) (ft&/HAIZE#H GNU CC 2.0)"" appears to contain extraneous characters (""ft&/HAIZE#H"") that are not part of the glossary entry, constitutes a typo.
minor: WRONG TERM - The translated text ""Texinfo"" has incorrect capitalization (it should probably be 'Texinfo').
```"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",audience_appropriateness,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",design_and_markup,"```
MQM annotations:
design and markup errors:
minor: no-error
```"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: capitalization - The word ""description"" should not be capitalized as it is not a title or heading.
minor: punctuation - Missing period at the end of the sentence."
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",locale_conventions,"```
MQM annotations:
```"
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",style,"MQM annotations:
minor: style/Unnatural Flow - ""They all handle the input file in one or more of four steps"" sounds a bit awkward. A more natural phrasing might be ""They both process input files in one or more of four steps"" or ""Each compiler processes input files using one or more of these four steps""."
6,"描述(DESCRIPTION) C 和C++ 编译器是集成的.他们都要用四个步骤中的一个或多个处理输入文件: 预处理(preprocessing), Hii(compilation), (assembly) MERE (linking) .","DESCRIPTION C and C++ compilers are integrated. They all handle the input file in one or more of four steps: preprocessing, compilation, assembly, and linking.",terminology,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Hii"" is not a standard term for compilation. It seems to be a typo and should be ""compilation"".
minor: WRONG TERM - ""MERE"" seems to be a typo and should be ""linking"".
```"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""后绥名"" is mistranslated as ""suffix name"". It should be ""file extension"".
[Minor]: no-error
```"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",audience_appropriateness,"MQM annotations:
audience appropriateness error:
minor: style/awkward - The phrase ""suffix name"" is slightly redundant; ""suffix"" alone would be more natural in English. Although technically not an error impacting comprehension significantly, it affects the flow and naturalness for an English-speaking audience used to more concise phrasing."
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",design_and_markup,"MQM annotations:
design and markup errors:
no error"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing colon after ""setting""."
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",locale_conventions,"```
locale conventions:

MQM annotations:
```"
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",style,"MQM annotations:
minor: style/unnatural flow - The phrase ""suffix name"" is repeated unnecessarily. ""The source file extension identifies the language of the source file, but for the compiler, the extension controls the default setting:"" would be a more natural flow."
7,"源文件后级名标识源文件的语言, 但是对编译器来说, 后绥名控制着缺省设定:","The suffix name of the source file identifies the language of the source file, but for the compiler, the suffix name controls the default setting:",terminology,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""suffix name"" is repeated in the translation and should be streamlined, as the second instance is redundant and impacts readability.
```"
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""sets the connection to the form c"" does not accurately reflect the meaning of ""设定c 形式的连接"", which refers to setting the linkage to C-style.
[Minor]: no-error
```"
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",audience_appropriateness,"MQM annotations:
no error"
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",design_and_markup,"MQM annotations:
design and markup errors:
minor: no-error - No design or markup errors found."
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",locale_conventions,"locale conventions:

MQM annotations:
minor: no-error - No locale convention errors detected. The translation accurately reflects the source text's meaning and does not violate any locale-specific formatting or content requirements."
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",style,"MQM annotations:
minor: unnatural flow - The phrase ""connection to the form c"" sounds unnatural and could be phrased more clearly. A more natural phrasing might be ""C-style linkage"" or ""C linkage""."
8,"gcc 认为预处理后的文件(.i) 是c 文件, 并且设定c 形式的连接，","gcc considers the preprocessed file ((.i) to be a c file, and sets the connection to the form c,",terminology,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""connection"" should be ""linking""."
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""connection"" is an incorrect translation of ""连接"" (liánjiē). While ""connection"" can sometimes be a valid translation, in the context of compilers and linking, ""linking"" or ""linkage"" is more appropriate. The sentence is describing the process where the compiler sets up the linkage format (which is how different parts of the code are joined together).
[Minor]: no-error
```"
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,audience_appropriateness,"MQM annotations:
minor: style/awkward - ""sets the connection to the c++ form"" could be phrased more naturally. A more appropriate phrasing might be ""uses C++ linkage"" or ""links as a C++ program."""
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,design_and_markup,"MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors found in the translation."
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: grammar/other - ""connection to the c++ form"" is awkward and could be rephrased for better flow. A more natural phrasing would be ""C++ linkage""."
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,locale_conventions,"```
locale conventions:

MQM annotations:
```"
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,style,"MQM annotations:
minor: style/Unnatural Flow - ""sets the connection to the c++ form"" sounds unnatural. A better phrasing would be ""sets the linking to be compatible with C++""."
9,"g++ 认为预处理后的文件(.i) 是c++ 文件,并且设定c++ 形式的连接.",g++ considers the preprocessed file (.i) to be a c++ file and sets the connection to the c++ form.,terminology,"MQM annotations:
Terminology errors:
minor: WRONG TERM - ""connection"" is not the appropriate term here. It should be ""linking"" or ""linkage"" to better reflect the meaning of setting up the linking process in the context of compilation."
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""post-level name"" should be ""file extension"" or ""suffix"". The Chinese term ""后级名"" refers to the file extension, not a post-level name.
[Minor]: no-error
```"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,audience_appropriateness,"MQM annotations:
audience appropriateness error:
no error"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,design_and_markup,"```
MQM annotations:
design and markup errors:
no error
```"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing colon after ""operations""."
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,locale_conventions,"```
locale conventions:

MQM annotations:
```"
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,style,"MQM annotations:
minor: style/unnatural flow - ""The post-level name of the source file indicates the language type and subsequent operations:"" sounds a little awkward. A more natural flow would be something like ""The source file extension indicates the language and the type of processing performed."""
10,源文件后级名指出语言种类以及后期的操作:,The post-level name of the source file indicates the language type and subsequent operations:,terminology,"```
MQM annotations:
```"
11,代码生成选项(Code Generation Option),The code generation option,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
11,代码生成选项(Code Generation Option),The code generation option,audience_appropriateness,"MQM annotations:
minor: no-error"
11,代码生成选项(Code Generation Option),The code generation option,design_and_markup,"MQM annotations:
design and markup errors:
critical: no-error
major: no-error
minor: no-error"
11,代码生成选项(Code Generation Option),The code generation option,linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: capitalization - The word ""the"" should not be capitalized in this context."
11,代码生成选项(Code Generation Option),The code generation option,locale_conventions,"locale conventions:

MQM annotations:
no error"
11,代码生成选项(Code Generation Option),The code generation option,style,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""The code generation option"" is grammatically correct, but it could be more naturally expressed depending on the context. For example, ""Code generation settings"" or ""Code generation feature"".
```"
11,代码生成选项(Code Generation Option),The code generation option,terminology,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""The code generation option"" should be ""Code Generation Option"" to match the capitalization in the source.
```"
12,总体选项(Overall Option),Overall option,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
12,总体选项(Overall Option),Overall option,audience_appropriateness,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
12,总体选项(Overall Option),Overall option,design_and_markup,"MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors detected."
12,总体选项(Overall Option),Overall option,linguistic_conventions,"MQM annotations:
no error: linguistic_conventions/none - No error."
12,总体选项(Overall Option),Overall option,locale_conventions,"locale conventions:

MQM annotations:
no error"
12,总体选项(Overall Option),Overall option,style,"MQM annotations:
minor: style/unnatural flow - ""Overall option"" sounds unnatural in English. A more natural phrase might be ""Overall choice"" or ""General option""."
12,总体选项(Overall Option),Overall option,terminology,"```
MQM annotations
Terminology errors:
minor: WRONG TERM - ""Overall option"" is not a specific term and lacks context. It should be translated more specifically depending on the context.
```"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,accuracy,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,audience_appropriateness,"MQM annotations:
no error:"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,design_and_markup,"MQM annotations:
design and markup errors:
None"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,linguistic_conventions,"MQM annotations:
linguistic conventions errors:
minor: capitalization/incorrect - ""Make"" should not be capitalized as it's not the beginning of a sentence."
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,locale_conventions,"```
locale conventions:

MQM annotations:
```"
13,明确指出后面输入文件的语言为language (而不是从文件名后绥得到的默认选择).,Make clear that the language of the file input is the language (rather than the default choice from the file name suffix).,style,"MQM annotations:
minor: style/unnatural flow - ""Make clear that the language of the file input is the language"" sounds slightly awkward. A more natural phrasing might be ""Specify that the input file's language is the language"".
minor: style/redundancy - ""language (rather than the default choice from the file name suffix)"" could be more concise, e.g., ""language, not the default inferred from the filename suffix""."
