index,original,translated,style_annotation
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הסרת דו-משמעות הקשרית של משמעויות סמלים.","MQM annotations:
minor: style/Unnatural Flow - While technically correct, ""הסרת דו-משמעות הקשרית של משמעויות סמלים"" (hasarat du-mashma'ut hishrit shel mashma'uyot smalim) is a bit awkward. A more natural way to express this in Hebrew might involve restructuring the phrase for better flow."
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הייחוס של המקבל ניתנים לניצול חד-צדדי על ידי השולח, ללא יכולות הסרת עמימות מצד המקבל.","MQM annotations:
minor: style/Unnatural Flow - The phrase ""אילוצים סביבתיים על בחירת הייחוס של המקבל ניתנים לניצול חד-צדדי על ידי השולח"" is grammatically correct but sounds a bit awkward and could be phrased more naturally in Hebrew. A more idiomatic way to express this might involve restructuring the sentence."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי פיתוח עובדת עם מספר הולך וגדל של קהילות באזור אשנטי שבגאנה כבר כמעט 20 שנה, משתפת פעולה עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","```
MQM annotations:
Minor: Unnatural Flow - ""אשנטי פיתוח עובדת עם מספר הולך וגדל של קהילות"" can be phrased more naturally in Hebrew. A smoother phrasing might be ""אשנטי פיתוח עובדת מזה כמעט 20 שנה עם מספר גדל והולך של קהילות"".
```"
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן"" sounds slightly unnatural in Hebrew. A more idiomatic phrasing might be ""רוכשות את הידע הדרוש כדי להטמיע ולתמוך בפיתוח שלהן"" or ""צוברות את הידע הנחוץ להטמעה ותמיכה בפיתוח שלהן""."
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה בשנת 2011.,"```
MQM annotations:
Styles error:
minor: style/unnatural flow - The translation is grammatically correct, but a more natural phrasing might be ""התמונות מהטיול שלי לגאנה בשנת 2011"" or similar.

```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"MQM annotations:
Style error:
minor: Unnatural Flow - The phrase ""לאיזו כתובת זה הולך"" (to which address it goes) sounds slightly unnatural in Hebrew. A more fluent phrasing would be ""לאיזו כתובת זה נשלח"" (to which address it is sent) or ""מה הכתובת שאליה זה נשלח"" (what is the address it is sent to).
```"
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא מצליח להתגבר על ההעמדה המבישה של כריס ליכט כאילו הוא עוסק בעיתונות שירות לציבור בערוץ CNN אמש.,"MQM annotations:
Style error:
minor: unnatural flow - The phrase ""ההעמדה המבישה של כריס ליכט כאילו הוא עוסק בעיתונות שירות לציבור"" sounds somewhat awkward and could be phrased more naturally in Hebrew. A more fluent option might be something like ""ההתחזות המבישה של כריס ליכט לעיתונאי שמשרת את הציבור"" or similar."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל שקרי ותלונות אנטי-דמוקרטי סמלי בסגנון ה-6 בינואר, שאירחה התקשורת האמריקאית באופן הרסני.","MQM annotations:
Style error:
minor: unnatural flow - The phrase ""באופן הרסני"" (be'ofen harseni - destructively) feels a bit awkward and could be phrased more naturally in Hebrew, perhaps emphasizing the self-destructive nature in a different way.
```"
60,THE SHAMEFUL AUDIENCE.,הקהל המבייש,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While accurate, ""הקהל המבייש"" sounds somewhat awkward in Hebrew. A more natural phrasing might be considered depending on the specific context (e.g., ""קהל מביש"").
```"
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"MQM annotations:
minor: style/unnatural flow - While technically correct, the phrase ""קהל רפובליקני בלבד!"" sounds a bit unnatural in Hebrew. A more natural phrasing might be ""קהל של רפובליקנים בלבד"" or ""רק רפובליקנים""."
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,"```
MQM annotations:
minor: style/unnatural flow - The phrase ""יש שם סיפור לדווח עליו"" (yesh sham sipur l'devach alav) while grammatically correct, sounds slightly awkward and could be more naturally expressed. A more common phrasing might be ""יש שם סיפור שצריך לדווח עליו"" (yesh sham sipur shetzarich l'devach alav).
```"
64,The ratings--seeking delusional irresponsibility of it all.,"ההתנהלות חסרת האחריות וההזויה הזו, שמטרתה היא השגת רייטינג.","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The translation is grammatically correct and conveys the general meaning, but it sounds slightly awkward in Hebrew. A more natural phrasing might exist."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד דולף, מה שבעצם אומר שהרבה מכרסמים יכולים למצוא בו מחסה.","MQM annotations:
minor: Unnatural Flow - The phrase ""מה שבעצם אומר ש"" (what essentially means that) can sound a bit clunky in Hebrew. A more natural phrasing might exist."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","סוף סוף נמאס לי מהשגרה הזאת אתמול בלילה, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי פיסטוק בסופרגלו לכולן.","```
MQM annotations:
Style Errors:
minor: unnatural flow - While grammatically correct, ""והדבקתי פיסטוק בסופרגלו לכולן"" (and I glued a pistachio with superglue to all of them) sounds a bit awkward. A more natural phrasing might be ""...והדבקתי לכולן פיסטוק בסופרגלו"" (...and I glued a pistachio with superglue to all) or something similar, depending on the desired nuance.
```"
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים והקלות מס המעודדים פעילות עסקית נוספת.,"MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - The phrase ""המעודדים פעילות עסקית נוספת"" (that encourage more business activity) sounds slightly unnatural. A more natural phrasing might be ""התומכים בפעילות עסקית מוגברת"" (that support increased business activity)."
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעל עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","MQM annotations:
Minor: Unnatural Flow - While grammatically correct, the sentence structure in Hebrew could be more natural. Using ""בגללה"" is acceptable, but less common in everyday speech compared to alternatives."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","זה נכון גם עכשיו כש goatse.cx איננו, אם כי זה היה מרוץ צמוד לתחתית בין goatse לבין, נניח, khou.com, שם ניסיתי לראות סרטון שוונדי שלחה לי.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""מרוץ צמוד לתחתית"" (a close race to the bottom) sounds slightly unnatural in Hebrew. A more common phrasing might be ""תחרות קשה על המקום האחרון""."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,השג כמה מדבקות פגוש נגד טראמפ והדבק אותן בכל מקום.,"```
MQM annotations:
Styles error:
minor: style/unnatural flow - While grammatically correct, ""השג כמה מדבקות פגוש נגד טראמפ והדבק אותן בכל מקום"" sounds somewhat literal and could be phrased more naturally in Hebrew. A slightly more idiomatic phrasing could improve the flow.
```"
95,Yell back at those who would try to talk over us.,צעקו בחזרה על אלה שמנסים להשתיק אותנו.,"MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""צעקו בחזרה על אלה שמנסים להשתיק אותנו"" (tsa'aku be-khazara al ele she-menasim le-hashtik otanu) is grammatically correct but sounds somewhat unnatural in Hebrew. A more natural way to express this sentiment would be ""תענו להם למי שמנסה להשתיק אתכם"" (ta'anu lahem le-mi she-menase le-hashtik ethem)."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,לא מקובל חברתית לצאת למקומות ציבוריים או לרוץ לאנשים כשאתה משתעל שיעול שמלווה בהמון ליחה.,"MQM annotations:
Minor: Unnatural Flow - The phrase ""שיעול שמלווה בהמון ליחה"" (a cough accompanied by a lot of mucus) is grammatically correct but sounds somewhat awkward and could be phrased more naturally in Hebrew. A more common and fluent expression might be ""שיעול עם הרבה ליחה"" (a cough with a lot of mucus) or ""שיעול ליחתי"" (a phlegmy cough)."
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,אני חוזר. זה לא מקובל חברתית לפזר את סערת הליחה שלך מקורונה בכל מקום!!!,"MQM annotations:
Style Errors:
[Major]: [Unnatural Flow] - While the translation is understandable, ""סערת הליחה שלך מקורונה"" (your mucus storm from corona) sounds unnatural and overly literal in Hebrew. A more idiomatic expression would be preferable."
106,Mio knows that sorrow is life's constant companion.,מיו יודעת שהצער הוא בן לוויה קבוע של החיים.,"MQM annotations:
minor: unnatural flow - The phrase ""בן לוויה קבוע של החיים"" (ben levaya kavua shel hahayim) is a literal translation and sounds slightly awkward in Hebrew. A more natural phrasing might be preferred."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","אחרי 4,000 של מצוקה, י""ל מוצאת את עצמה במקום של אהבה ויש לה רגשות עצומים שהיא לא יודעת מה לעשות איתם אז יש הרבה משניהם.","MQM annotations:
minor: style/unnatural flow - The phrase ""יש לה רגשות עצומים שהיא לא יודעת מה לעשות איתם אז יש הרבה משניהם"" (she has huge feelings she doesn't know what to do with so there's a lot of both) sounds somewhat awkward and could be phrased more naturally in Hebrew. It is understandable, but not very elegant. A more natural phrasing could be used to better convey the emotional intensity."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,הפיאסקו של אתמול עם ‎#MangoMoron היה פיאסקו שערורייתי.,"MQM annotations:
Style Errors:
minor: Unnatural Flow - While the translation is accurate, repeating ""פיאסקו"" (fiasco) sounds slightly unnatural in Hebrew. A more idiomatic expression could be used for the second instance to improve flow."
111,"Which cable news ""executive"" made the call to give the fat, lying criminal this much air-time?","איזה ""בכיר"" ברשת חדשות בכבלים קיבל את ההחלטה לתת לפושע השמן והשקרן הזה כל כך הרבה זמן אוויר?","MQM annotations:
Styles error:
minor: REGISTER - The use of quotation marks around ""בכיר"" (executive) seems slightly sarcastic or informal, which might not be the intended tone from the source text. While not strictly incorrect, it could be perceived as slightly unnatural in a formal news context.
minor: UNNATURAL FLOW - The phrase ""זמן אוויר"" (literally ""air time"") is a correct translation, but ""זמן שידור"" (broadcast time) might sound more natural and idiomatic in Hebrew news reporting."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","ככל שהמכונית משתנה, כך גם ארני, שביטחונו החדש הופך ליהירות מאחורי ההגה של היופי האקזוטי שלו.","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""היופי האקזוטי שלו"" (his exotic beauty) sounds somewhat unnatural in Hebrew. A more natural phrasing might be something like ""המכונית האקזוטית שלו"" (his exotic car)."
118,Codleo is one of the best Salesforce Partner offering best Salesforce services tailored to your company needs.,קודליאו היא אחת משותפות Salesforce הטובות ביותר המציעה שירותי Salesforce מותאמים לצרכי החברה שלכם.,"MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""אחת משותפות Salesforce הטובות ביותר"" (one of the best Salesforce partners) sounds a bit awkward in Hebrew. A more natural way to phrase this would be ""אחת משותפות ה-Salesforce הטובות ביותר"".
minor: unnatural flow - The phrase ""שירותי Salesforce מותאמים לצרכי החברה שלכם"" (Salesforce services tailored to your company needs) is grammatically correct, but could be improved for better flow and readability. For example, ""שירותי Salesforce בהתאמה אישית לצרכי החברה שלכם""."
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,אחד הדברים הכי משוגעים בזה שהשכנים שלי התהפכו נגדי זה לחשוב כמה מאמץ צריך כדי להיות עוין.,"MQM annotations:
minor: unnatural flow - The phrase ""אחד הדברים הכי משוגעים בזה שהשכנים שלי התהפכו נגדי זה לחשוב כמה מאמץ צריך כדי להיות עוין"" sounds somewhat awkward and wordy in Hebrew. A more natural way to express this would be more concise and direct. For example, one could say something like ""מה שהכי מטורף בכל זה שהשכנים התהפכו נגדי זה לחשוב כמה מאמץ הם משקיעים בשנאה"" which translates to ""What's most crazy in all this, that the neighbors turned against me is to think how much effort they invest in hate""."
124,"Forget me, fine.","שכח ממני, בסדר.","MQM annotations:
Style Error:
minor: Unnatural Flow - The phrase ""בסדר"" (beseder) which translates to ""okay"" or ""alright"" at the end of the sentence sounds slightly unnatural in this context. While grammatically correct and understandable, it's not the most common or natural way to express this sentiment in Hebrew. A more natural phrasing might be something like ""עזוב/י אותי, זהו"" (azov/i oti, zehu) meaning ""leave me, that's it"" or ""forget about me, that's it."""
125,"Ignore me, fine.","תתעלם ממני, בסדר.","```
MQM annotations:
Styles error:
minor: style/unnatural flow - While grammatically correct, the phrase ""תתעלם ממני, בסדר"" sounds a bit abrupt. A more natural way to phrase it might be adding a more polite or softer tone.
```"
129,Slamming a door in my face takes effort.,לטרוק לי דלת בפנים דורש מאמץ.,"MQM annotations:
Style error:
minor: unnatural flow - While grammatically correct, the phrase ""דורש מאמץ"" (doresh ma'amatz) sounds a bit forceful/literal. A more natural phrasing might be ""לא פשוט"" (lo pashut) which translates to ""not simple/easy"" or similar, depending on the intended nuance. The current translation isn't wrong, just slightly less idiomatic."
133,That vessel is off-limits.,הכלי הזה אסור בכניסה.,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The translation ""הכלי הזה אסור בכניסה"" (ha-keli ha-zeh asur be-knisa) is grammatically correct but sounds somewhat formal and less natural than other possible options. A more common and natural way to express ""off-limits"" in this context might be ""אסור להיכנס"" (asur lehikanes) or ""אין כניסה"" (ein knisa) if addressing a person. While the given translation isn't incorrect, it lacks the natural flow a native speaker might use."
137,But another individual often flies aboard that ship.,אבל לעתים קרובות אדם אחר טס על סיפון האונייה הזו.,"```
MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""אדם אחר טס על סיפון האונייה הזו"" sounds somewhat unnatural. A more natural phrasing might use a slightly different verb or construction to indicate ""flies aboard.""
```"
138,If he were to die... the consequences would be... significant.,אילו היה מת... ההשלכות היו... משמעותיות.,"MQM annotations:
No style errors found."
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"הנה קורס מזורז (קצת יותר מאורך ציוץ) במה שאני מתכוון ב""אִבְחוּת"":","MQM annotations:
Minor: Unnatural Flow - The term ""אִבְחוּת"" (Ivchut) while literally translating to ""dad-ification"", sounds unnatural in Hebrew. A more common or natural expression might be more appropriate depending on the context."
142,The Last of Us is an easy and canonical example of dad-ification.,"המשחק ""האחרון מבינינו"" הוא דוגמה קלה וקנונית ל""אבהות"".","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The translation of ""dad-ification"" as ""אבהות"" (fatherhood) is a literal translation and while understandable, it lacks the nuanced meaning of the English term, which refers to a specific trope or theme often found in media. A more natural translation might use a more descriptive phrase or a neologism, depending on the context and audience."
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.","אבהות-יזציה שוחקת את האפשרות לפתרונות קהילתיים, ולעתים קרובות מתעלמת לחלוטין מ, או מחלישה כל סוכנות שיש לילד.","MQM annotations:
Style Errors:
minor: Unnatural Flow - The term ""אבהות-יזציה"" (Avahut-izatzia) which is a direct transliteration of ""Dad-ification,"" while technically correct, sounds awkward and unnatural in Hebrew. A more natural and idiomatic translation would be preferable.
```"
146,"In this way, Dad-ification is a stand in for a lot of neoliberal ideals; especially ideas like bootstrapping and self-sufficiency as being an ultimate goal/indicator for success.","במובן הזה, התאבכות (Dad-ification) היא תחליף לאידיאלים ניאו-ליברליים רבים; במיוחד רעיונות כמו בנייה עצמית והסתמכות עצמית כשהם מהווים מטרה אולטימטיבית/מדד להצלחה.","MQM annotations:
minor: style/Unnatural Flow - ""התאבכות (Dad-ification)"" sounds slightly awkward. A more natural phrasing might be ""(Dad-ification) במובן של התמסדות"" or a similar construct.
minor: style/Unnatural Flow - ""בנייה עצמית והסתמכות עצמית"" while a correct translation of ""bootstrapping and self-sufficiency"", sounds a bit repetitive and could be phrased more elegantly.
```"
148,- We send out notifications when airfare goes on sale.,אנחנו שולחים התראות כשמחירי הטיסות יורדים.,"MQM annotations:
minor: Unnatural Flow - The phrase ""כשמחירי הטיסות יורדים"" (when flight prices go down) is grammatically correct but sounds slightly less natural than alternatives like ""כשיש מבצעים על טיסות"" (when there are deals on flights) or ""כשיש ירידת מחירים בטיסות"" (when there is a drop in flight prices). It's understandable but slightly less idiomatic."
150,"- We don't sell tickets, or charge a subscription.","אנחנו לא מוכרים כרטיסים, או גובים דמי מנוי.","MQM annotations:
No style errors found."
154,"Yet, unimaginable fear, terror and displacement have left them with the invisible scar of trauma.","עם זאת, פחד, אימה ועקירה בלתי נתפסים הותירו בהם את הצלקת הבלתי נראית של טראומה.","MQM annotations:
Style Errors:
minor: Unnatural Flow - The phrase ""הותירו בהם את הצלקת הבלתי נראית של טראומה"" (hoti'ru bahem et ha-tzaleket ha-bilti nire'et shel trauma) is grammatically correct but sounds somewhat awkward and literal. A more natural way to express this in Hebrew might be to rephrase it to emphasize the enduring psychological impact."
159,Over time dart became my go-to for quick UI.,עם הזמן Dart הפכה לבחירה המועדפת שלי עבור ממשקי משתמש מהירים.,"MQM annotations:
minor: style/Unnatural Flow - The phrase ""עבור ממשקי משתמש מהירים"" (for fast user interfaces) sounds slightly unnatural in Hebrew. A more common and natural phrasing might be ""לממשקי משתמש מהירים""."
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter היא תענוג לעבוד איתה, ויש להם #mobx לניהול חנות קל.","MQM annotations:
minor: style/unnatural flow - The phrase ""תענוג לעבוד איתה"" (a pleasure to work with her) sounds slightly unnatural in Hebrew. A more natural phrasing might be ""תענוג לעבוד עם flutter"" (a pleasure to work with flutter). The current phrasing implies Flutter is female, which isn't accurate.
```"
161,"The dependency story is less insane than nodejs, too.","סיפור התלויות פחות מטורף מזה של nodejs, גם.","MQM annotations:
minor: style/unnatural flow - The word ""גם"" (also) at the end of the sentence feels slightly unnatural in Hebrew. While grammatically correct, it sounds a bit forced. A more natural phrasing might integrate ""גם"" earlier in the sentence or omit it entirely depending on the context."
162,"Of course flutter sucks really bad when it comes to behaving like a good native app would (anywhere, really. Even flutter web target sucks).","בטח, פלאטר גרוע מאוד בכל הנוגע להתנהגות כמו אפליקציה נייטיבית טובה (בכל מקום, באמת. אפילו יעד הפלאטר ווב גרוע).","```
MQM annotations:
minor: style/Unnatural Flow - The phrase ""יעד הפלאטר ווב"" sounds a bit unnatural in Hebrew. A more common phrasing might be ""פלאטר ווב"" or ""פלטפורמת פלאטר ווב"". While understandable, it's not the most fluent way to express the idea.
```"
182,Because it happens in the mind and seems less tangible than physical health.,מכיוון שזה קורה במוח ונראה פחות מוחשי מאשר בריאות גופנית.,"MQM annotations:
minor: style/unnatural flow - The phrase ""נראה פחות מוחשי מאשר"" (seems less tangible than) is grammatically correct but sounds slightly unnatural in Hebrew. A more common and natural phrasing would be ""פחות מוחשית מ"" (less tangible than), although it requires a small change in the sentence structure."
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","באותו אופן שבו בריאות נפשית נתפסת כ""פחות אמיתית"" מבריאות פיזית בעיני רבים, אני מרגיש/ה במידה מסוימת שהיותי טרנס/ית היא פשוט אינטרסקס של המוח.","MQM annotations:
minor: style/unnatural flow - The phrase ""במידה מסוימת שהיותי טרנס/ית"" (to some extent that I am trans) is a bit awkward. A more natural phrasing might be ""אני מרגיש/ה במידה מסוימת שהיותי טרנס/ית זה כמו"" (I feel to some extent that being trans is like)."
188,"I feel that to be trans is to be ""biologically non-binary"".","אני מרגיש שלהיות טרנס זה להיות ""בינארי לא ביולוגי"".","MQM annotations:
Style error:
Major: Unnatural Flow - The phrase ""בינארי לא ביולוגי"" (binary not biological) sounds unnatural and awkward in Hebrew. A more natural phrasing would be needed to capture the intended meaning of ""biologically non-binary."" The current translation is too literal."
198,"(And also: The Web is now largely a Google thing, unfortunately)","וגם: האינטרנט הוא עכשיו במידה רבה דבר של גוגל, לצערי.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""דבר של גוגל"" (a thing of Google) sounds slightly unnatural in Hebrew. A more natural way to express this would be to say ""נמצא בשליטת גוגל"" (under Google's control) or similar.
```"
