index,original,translated,linguistic_convention_annotation
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל שקרי ותלונות אנטי-דמוקרטי סמלי בסגנון ה-6 בינואר, שאירחה התקשורת האמריקאית באופן הרסני.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence."
60,THE SHAMEFUL AUDIENCE.,הקהל המבייש,"MQM annotations:
linguistic conventions errors:
minor: capitalization - The word ""הקהל"" should not be capitalized as it is not the beginning of a sentence or a proper noun."
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing the final exclamation mark."
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""יש"" and ""שם"".
```"
64,The ratings--seeking delusional irresponsibility of it all.,"ההתנהלות חסרת האחריות וההזויה הזו, שמטרתה היא השגת רייטינג.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד דולף, מה שבעצם אומר שהרבה מכרסמים יכולים למצוא בו מחסה.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""דולף"" should be ""דליף"" (leaky instead of drafty)."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","סוף סוף נמאס לי מהשגרה הזאת אתמול בלילה, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי פיסטוק בסופרגלו לכולן.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים והקלות מס המעודדים פעילות עסקית נוספת.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""מס"" and ""המעודדים"". It should be ""מס המעודדים"".
```"
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעל עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","```
MQM annotations:
linguistic conventions errors:
minor: agreement/gender - The pronoun ""הוא"" (he/it) refers to ""עסק"" (business), which is masculine, so the agreement is correct. However, a more natural phrasing might be to avoid the pronoun and simply repeat ""העסק"" (the business) or rephrase the sentence for better flow. This isn't technically incorrect, but stylistically could be improved.

```"
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","זה נכון גם עכשיו כש goatse.cx איננו, אם כי זה היה מרוץ צמוד לתחתית בין goatse לבין, נניח, khou.com, שם ניסיתי לראות סרטון שוונדי שלחה לי.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,השג כמה מדבקות פגוש נגד טראמפ והדבק אותן בכל מקום.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
95,Yell back at those who would try to talk over us.,צעקו בחזרה על אלה שמנסים להשתיק אותנו.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,לא מקובל חברתית לצאת למקומות ציבוריים או לרוץ לאנשים כשאתה משתעל שיעול שמלווה בהמון ליחה.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""בהמון"" and ""ליחה"". It should be ""בהמון ליחה""."
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,אני חוזר. זה לא מקובל חברתית לפזר את סערת הליחה שלך מקורונה בכל מקום!!!,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
106,Mio knows that sorrow is life's constant companion.,מיו יודעת שהצער הוא בן לוויה קבוע של החיים.,"```
MQM annotations:
linguistic conventions errors:
minor: capitalization/incorrect - The word ""מיו"" should be capitalized since it's a proper noun.
```"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","אחרי 4,000 של מצוקה, י""ל מוצאת את עצמה במקום של אהבה ויש לה רגשות עצומים שהיא לא יודעת מה לעשות איתם אז יש הרבה משניהם.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence.
```"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,הפיאסקו של אתמול עם ‎#MangoMoron היה פיאסקו שערורייתי.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/whitespace - There should be a space before and after the hashtag.
minor: punctuation/whitespace - There should be a space before and after the hashtag.
```"
111,"Which cable news ""executive"" made the call to give the fat, lying criminal this much air-time?","איזה ""בכיר"" ברשת חדשות בכבלים קיבל את ההחלטה לתת לפושע השמן והשקרן הזה כל כך הרבה זמן אוויר?","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing quotation marks around בכיר."
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.","ככל שהמכונית משתנה, כך גם ארני, שביטחונו החדש הופך ליהירות מאחורי ההגה של היופי האקזוטי שלו.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
118,Codleo is one of the best Salesforce Partner offering best Salesforce services tailored to your company needs.,קודליאו היא אחת משותפות Salesforce הטובות ביותר המציעה שירותי Salesforce מותאמים לצרכי החברה שלכם.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,אחד הדברים הכי משוגעים בזה שהשכנים שלי התהפכו נגדי זה לחשוב כמה מאמץ צריך כדי להיות עוין.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
124,"Forget me, fine.","שכח ממני, בסדר.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
125,"Ignore me, fine.","תתעלם ממני, בסדר.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing the question mark at the end of the sentence.
```"
129,Slamming a door in my face takes effort.,לטרוק לי דלת בפנים דורש מאמץ.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
133,That vessel is off-limits.,הכלי הזה אסור בכניסה.,"MQM annotations:
linguistic conventions errors:
minor: grammar/word_order - The phrase ""אסור בכניסה"" (asur b'knisa) which literally translates to ""forbidden in entry"" or ""forbidden with entry"" is grammatically correct but sounds slightly unnatural. A more natural phrasing would be ""הכניסה אסורה"" (ha-knisa asura) - ""entry is forbidden"" or ""אין כניסה"" (ein knisa) - ""no entry""."
137,But another individual often flies aboard that ship.,אבל לעתים קרובות אדם אחר טס על סיפון האונייה הזו.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""אדם"" and ""אחר"". Should be ""אדם אחר""."
138,If he were to die... the consequences would be... significant.,אילו היה מת... ההשלכות היו... משמעותיות.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing ellipsis at the end of the sentence.
```"
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:,"הנה קורס מזורז (קצת יותר מאורך ציוץ) במה שאני מתכוון ב""אִבְחוּת"":","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing quotation marks around ""אִבְחוּת"" to match the source's dad-ification."
142,The Last of Us is an easy and canonical example of dad-ification.,"המשחק ""האחרון מבינינו"" הוא דוגמה קלה וקנונית ל""אבהות"".","```
MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""אבהות"" should be ""דאדיפיקציה"" to reflect the transliteration of ""dad-ification"".

```"
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.","אבהות-יזציה שוחקת את האפשרות לפתרונות קהילתיים, ולעתים קרובות מתעלמת לחלוטין מ, או מחלישה כל סוכנות שיש לילד.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a space after the comma following ""מ"". It should be ""מ, או""."
146,"In this way, Dad-ification is a stand in for a lot of neoliberal ideals; especially ideas like bootstrapping and self-sufficiency as being an ultimate goal/indicator for success.","במובן הזה, התאבכות (Dad-ification) היא תחליף לאידיאלים ניאו-ליברליים רבים; במיוחד רעיונות כמו בנייה עצמית והסתמכות עצמית כשהם מהווים מטרה אולטימטיבית/מדד להצלחה.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""התאבכות"" should be ""התאבה""."
148,- We send out notifications when airfare goes on sale.,אנחנו שולחים התראות כשמחירי הטיסות יורדים.,"```
MQM annotations:
linguistic conventions errors:
minor: grammar/tense - The use of the present tense ""יורדים"" (yordim) instead of a future tense to align with ""goes on sale"" could be considered slightly less precise, although common in Hebrew. A more precise translation might use a future tense construction like ""ירדו"" (yirdu) or ""כשמחירי הטיסות יתחילו להיות במבצע""
```"
150,"- We don't sell tickets, or charge a subscription.","אנחנו לא מוכרים כרטיסים, או גובים דמי מנוי.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
154,"Yet, unimaginable fear, terror and displacement have left them with the invisible scar of trauma.","עם זאת, פחד, אימה ועקירה בלתי נתפסים הותירו בהם את הצלקת הבלתי נראית של טראומה.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
159,Over time dart became my go-to for quick UI.,עם הזמן Dart הפכה לבחירה המועדפת שלי עבור ממשקי משתמש מהירים.,"```
MQM annotations:
linguistic conventions errors:
minor: spelling/diacritics - Missing diacritic on the word ""הפכה"" (should be הפכהּ).

```"
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.","#flutter היא תענוג לעבוד איתה, ויש להם #mobx לניהול חנות קל.","```
MQM annotations:
linguistic conventions errors:
minor: grammar/agreement - The pronoun ""אותה"" (it/her) refers to Flutter. However, Flutter is typically treated as a masculine noun in Hebrew (even though the word itself doesn't inherently have a gender), so the pronoun should be ""איתו"" (with him).

```"
161,"The dependency story is less insane than nodejs, too.","סיפור התלויות פחות מטורף מזה של nodejs, גם.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
162,"Of course flutter sucks really bad when it comes to behaving like a good native app would (anywhere, really. Even flutter web target sucks).","בטח, פלאטר גרוע מאוד בכל הנוגע להתנהגות כמו אפליקציה נייטיבית טובה (בכל מקום, באמת. אפילו יעד הפלאטר ווב גרוע).","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
182,Because it happens in the mind and seems less tangible than physical health.,מכיוון שזה קורה במוח ונראה פחות מוחשי מאשר בריאות גופנית.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence."
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind.","באותו אופן שבו בריאות נפשית נתפסת כ""פחות אמיתית"" מבריאות פיזית בעיני רבים, אני מרגיש/ה במידה מסוימת שהיותי טרנס/ית היא פשוט אינטרסקס של המוח.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing quotation mark after אמיתית.
minor: grammar/agreement - ""מרגיש/ה"" should agree with the subject, which is ambiguous. It is better to use a single form (either masculine or feminine) or rephrase. While grammatically correct to include both, it is stylistically awkward and potentially confusing."
188,"I feel that to be trans is to be ""biologically non-binary"".","אני מרגיש שלהיות טרנס זה להיות ""בינארי לא ביולוגי"".","MQM annotations:
linguistic conventions errors:
major: grammar/incorrect part of speech - ""בינארי"" (binary) is used as an adjective modifying ""לא ביולוגי"" (not biological), which doesn't make grammatical sense. It should be ""לא בינארי"" (non-binary) to align with the intended meaning. The phrase should have been ""לא בינארי ביולוגית"" to be more accurate."
198,"(And also: The Web is now largely a Google thing, unfortunately)","וגם: האינטרנט הוא עכשיו במידה רבה דבר של גוגל, לצערי.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,"כמו כן, אנא הימנע מלומר לי שאפליקציות גוגל/פלטר גרועות ב-iOS וב-macOS, פשוט ספק את התרגום בלי טקסט נוסף.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
200,Cross platform is hard if you want to do it well.,קרוס פלטפורמה זה קשה אם אתה רוצה לעשות את זה כמו שצריך.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/whitespace - There should not be a space before the period at the end of the sentence.
```"
202,Thank you to those people who have downloaded the latest update to Leasey.,תודה לאנשים שהורידו את העדכון האחרון ל-Leasey.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
203,A few very small difficulties have come to light.,צצו כמה קשיים קטנים מאוד.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/whitespace - There should be a space after ""צצו""."
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,אני לא בדיוק יודע/ת למה המוח שלי לא מצליח להבין את זה; ייתכן שהכלים פשוט כל כך רחבים ומעורפלים שהמוח שלי פשוט נתקע בגלל 'יותר מדי אפשרויות'.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the translated sentence.
```"
211,Grafana looks pretty.,גרפנה נראית יפה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/whitespace - Missing period at the end of the sentence.
```"
218,...And that's how I found myself having to sort out a raid group roster.,וככה מצאתי את עצמי צריך לסדר את רשימת הקבוצה לפשיטה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
220,"Then, life crushed my soul and I lost all my passion for fiction and great storytelling.","אז, החיים ריסקו את נשמתי ואיבדתי את כל התשוקה שלי לספרות בדיונית ולסיפורים גדולים.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing comma after ""אז"" (Then).
```"
222,I'm now on book # 31 and it's only May.,אני עכשיו בספר מספר 31 וזה רק מאי.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""מספר"" and ""31"".
```"
224,I haven't really achieved anything.,לא ממש השגתי משהו.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error - No linguistic convention errors found.
```"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,שישקמו את הערים הריקות והמתפוררות ברחבי הארץ. שוב.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
233,Deport the white supremacists.,לגרש את תומכי עליונות לבנה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""","נמאס לי כל כך מהכותרות שטוענות ש""עבודה מרחוק מתה."" או ש""עבודה מרחוק הייתה ניסוי כושל.""","MQM annotations:
linguistic conventions errors:
minor: punctuation/missing - Missing period at the end of the sentence."
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,"הכל קליקבייט, אבל זה כן מטריד אותי לגבי המנהלים והבכירים שקוראים את המאמרים האלה.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,זה מאפשר לאנשים להימנע מנסיעות ארוכות לעבודה שלוקחות זמן מהיום שלהם וממשפחותיהם.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
243,To just ignore these facts is wrong.,להתעלם מהעובדות האלה זה פשוט לא בסדר.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""לא"" and ""בסדר"". It should be ""לא בסדר""."
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.","פארקר התייחס להפלות, ולדחף של נשים עירוניות מודרניות לדחות את הבאת ילדים לעולם למען הקריירה שלהן.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,הוא גם טוען שה-NDP והמתקדמים רוצים לדלל את אוכלוסיית החברה למען הסביבה.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing hyphen in ""ה-NDP"" (should be ה-NDP-)."
252,Whenever May would pop up I dreaded trying to celebrate my bday.,"בכל פעם שמאי הייתה צצה, חששתי לנסות לחגוג את יום ההולדת שלי.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
254,I fought over the years to get out of that mindset and to have better bdays.,נלחמתי במשך השנים כדי לצאת מהמנטליות הזו וכדי שיהיו לי ימי הולדת טובים יותר.,"MQM annotations:
linguistic conventions errors:
critical: no-error
major: no-error
minor: no-error"
265,Does you know of a performant way for a web component to respond to being added/removed from a document?,האם אתה מכיר דרך בעלת ביצועים טובים עבור קומפוננטת רשת להגיב להוספה/הסרה ממסמך?,"MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""קומפוננטת"" should be ""קומפוננטת"" (missing vowelization).
minor: whitespace/omission - There should be a space between ""הוספה/הסרה"" and ""ממסמך""."
268,We currently use a MutationObserver hack.,אנחנו משתמשים כרגע בטריק MutationObserver.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
285,Last week got a ton done and feeling much better about field items.,שבוע שעבר הספקתי המון ומרגיש הרבה יותר טוב לגבי פריטי שדה.,"```
MQM annotations:
linguistic conventions errors:
minor: spelling/omission - Missing vowel point (niqqud) on the word ""הספקתי"" (hespakti). While generally omitted in modern Hebrew, its absence can be considered a minor spelling issue.
```"
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items","וגם צריך לזרוע שורת סלט שם כדי לשלב ירקות חתוכים. בשתיהן צוות מאומן על השקיה, הכנת ערוגות והשתלה, שזה 90% מפריטי המיומנות שאינם קציר.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
290,It's 2023 and I still see people with iPhones actively avoid using Apple Maps.,זו 2023 ואני עדיין רואה אנשים עם אייפונים שנמנעים באופן פעיל מלהשתמש במפות של אפל.,"MQM annotations:
no-error: None"
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","מתוך סקרנות, שמרתי על ראש פתוח כדי להשוות בין Google Maps ל-Apple Maps, במכשיר האייפון הניסיוני שלי (מכשיר האנדרואיד שלי הוא השימושי היומיומי, אז זה נדיר שאני משתמש באייפון).","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
294,The experience having to follow directions was far superior on Apple Maps compared to Google Maps.,החוויה של מעקב אחר הנחיות הייתה טובה בהרבה במפות אפל בהשוואה למפות גוגל.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence."
298,Could it be that Google Maps got to market first?,הייתכן שגוגל מפות הגיעו לשוק קודם?,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing question mark at the end of the sentence.
```"
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","אני משוחד לטובת לא לשחרר זבל למשתמשי קצה, ואפל דפקה בגדול עם אפל מפות שלהם כשהוא יצא ב-2012.","MQM annotations:
linguistic conventions errors:
minor: agreement/number - The pronoun ""הוא"" (he/it) does not agree in number with ""אפל מפות שלהם"" (their Apple Maps), which is plural. It should be ""הן"" (they/them).
minor: punctuation/omission - Missing a period at the end of the sentence."
305,But it's the land that makes it a good storer of wealth for as long as you think the government isn't going to change the system we live in.,אבל זו האדמה שהופכת אותה למקום טוב לאגור בו עושר כל עוד אתה חושב שהממשלה לא תשנה את השיטה שאנחנו חיים בה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
